"","date","PFHD"
"210","2020-10-29",14
"211","2020-10-30",13.63
"212","2020-11-02",13.57
"213","2020-11-03",13.61
"214","2020-11-04",13.5
"215","2020-11-05",13.72
"216","2020-11-06",13.34
"217","2020-11-09",14.1
"218","2020-11-10",14.4
"219","2020-11-11",14.88
"220","2020-11-12",14.72
"221","2020-11-13",14.82
"222","2020-11-16",15.11
"223","2020-11-17",15.21
"224","2020-11-18",14.89
"225","2020-11-19",14.63
"226","2020-11-20",14.78
"227","2020-11-23",14.97
"228","2020-11-24",15.85
"229","2020-11-25",15.51
"230","2020-11-27",15.2
