"","date","ANCN"
"151","2019-09-17",2.381
"152","2019-09-18",2.332
"153","2019-09-19",2.51
"154","2019-09-20",2.545
"155","2019-09-23",2.67
"156","2019-09-24",2.66
"157","2019-09-25",2.45
"158","2019-09-26",2.39
"159","2019-09-27",2.3
"160","2019-09-30",2.299
"161","2019-10-01",2.26
"162","2019-10-02",2.3
"163","2019-10-03",2.245
"164","2019-10-04",2.16
"165","2019-10-07",2.19
"166","2019-10-08",2.195
"167","2019-10-09",2.209
"168","2019-10-10",2.16
"169","2019-10-11",2.236
"170","2019-10-14",2.23
"171","2019-10-15",2.13
"172","2019-10-16",2.13
"173","2019-10-17",2.17
"174","2019-10-18",2.28
"175","2019-10-21",2.17
"176","2019-10-22",2.25
"177","2019-10-23",2.18
"178","2019-10-24",2.15
"179","2019-10-25",2.34
"180","2019-10-28",2.2
"181","2019-10-29",2.22
"182","2019-10-30",2.22
"183","2019-10-31",2.31
"184","2019-11-01",2.48
"185","2019-11-04",2.47
"186","2019-11-05",2.404
"187","2019-11-06",2.34
"188","2019-11-07",2.31
"189","2019-11-08",2.37
"190","2019-11-11",2.297
"191","2019-11-12",2.25
"192","2019-11-13",2.33
"193","2019-11-14",2.33
"194","2019-11-15",1.92
"195","2019-11-18",1.59
"196","2019-11-19",1.467
"197","2019-11-20",1.35
"198","2019-11-21",1.275
"199","2019-11-22",1.37
"200","2019-11-25",1.346
"201","2019-11-26",1.326
"202","2019-11-27",1.357
"203","2019-11-29",1.41
"204","2019-12-02",1.38
"205","2019-12-03",1.8
"206","2019-12-04",1.66
"207","2019-12-05",1.61
"208","2019-12-06",1.589
"209","2019-12-09",1.6
"210","2019-12-10",1.64
"211","2019-12-11",1.51
"212","2019-12-12",1.59
"213","2019-12-13",1.61
"214","2019-12-16",1.46
"215","2019-12-17",1.49
"216","2019-12-18",1.55
"217","2019-12-19",1.52
"218","2019-12-20",1.421
"219","2019-12-23",1.43
"220","2019-12-24",1.386
"221","2019-12-26",1.57
"222","2019-12-27",1.42
"223","2019-12-30",1.397
"224","2019-12-31",1.4
"225","2020-01-02",1.557
"226","2020-01-03",1.41
"227","2020-01-06",1.4
"228","2020-01-07",1.559
"229","2020-01-08",1.58
"230","2020-01-09",1.47
"231","2020-01-10",1.46
"232","2020-01-13",1.44
"233","2020-01-14",1.453
"234","2020-01-15",1.435
"235","2020-01-16",1.51
"236","2020-01-17",1.58
"237","2020-01-21",1.5
"238","2020-01-22",1.47
"239","2020-01-23",1.48
"240","2020-01-24",1.43
"241","2020-01-27",1.322
"242","2020-01-28",1.35
"243","2020-01-29",1.345
"244","2020-01-30",1.287
"245","2020-01-31",1.28
"246","2020-02-03",1.295
"247","2020-02-04",1.27
"248","2020-02-05",1.3
"249","2020-02-06",1.29
"250","2020-02-07",1.29
"251","2020-02-10",1.33
"252","2020-02-11",1.28
"253","2020-02-12",1.295
"254","2020-02-13",1.29
"255","2020-02-14",1.29
"256","2020-02-18",1.31
"257","2020-02-19",1.41
"258","2020-02-20",1.36
"259","2020-02-21",1.38
"260","2020-02-24",1.321
"261","2020-02-25",1.224
"262","2020-02-26",1.01
"263","2020-02-27",0.95
"264","2020-02-28",0.899
"265","2020-03-02",0.988
"266","2020-03-03",0.921
"267","2020-03-04",1
"268","2020-03-05",1.02
"269","2020-03-06",0.91
"270","2020-03-09",0.894
"271","2020-03-10",0.894
"272","2020-03-11",0.819
"273","2020-03-12",0.65
"274","2020-03-13",0.85
"275","2020-03-16",0.652
"276","2020-03-17",0.74
"277","2020-03-18",0.65
"278","2020-03-19",0.61
"279","2020-03-20",0.636
"280","2020-03-23",0.623
"281","2020-03-24",0.615
"282","2020-03-25",0.6
"283","2020-03-26",0.628
"284","2020-03-27",0.673
"285","2020-03-30",0.67
"286","2020-03-31",0.786
"287","2020-04-01",0.67
"288","2020-04-02",0.651
"289","2020-04-03",0.675
"290","2020-04-06",0.7
"291","2020-04-07",0.717
"292","2020-04-08",0.7
"293","2020-04-09",0.701
"294","2020-04-13",0.655
"295","2020-04-14",0.78
"296","2020-04-15",0.79
"297","2020-04-16",0.9
"298","2020-04-17",0.87
"299","2020-04-20",0.8
"300","2020-04-21",0.8
"301","2020-04-22",0.84
"302","2020-04-23",0.813
"303","2020-04-24",0.83
"304","2020-04-27",0.8
"305","2020-04-28",0.8
"306","2020-04-29",0.9
"307","2020-04-30",0.894
"308","2020-05-01",0.88
"309","2020-05-04",0.9
"310","2020-05-05",0.85
"311","2020-05-06",0.9
"312","2020-05-07",0.93
"313","2020-05-08",1.09
"314","2020-05-11",1.105
"315","2020-05-12",0.95
"316","2020-05-13",0.94
"317","2020-05-14",0.935
"318","2020-05-15",0.961
"319","2020-05-18",0.959
"320","2020-05-19",0.95
"321","2020-05-20",0.93
"322","2020-05-21",1.18
"323","2020-05-22",1.12
"324","2020-05-26",1.14
"325","2020-05-27",1.05
"326","2020-05-28",1.11
"327","2020-05-29",1.1
"328","2020-06-01",1.169
"329","2020-06-02",1.11
"330","2020-06-03",1.135
"331","2020-06-04",1.136
"332","2020-06-05",1.13
"333","2020-06-08",1.151
"334","2020-06-09",1.34
"335","2020-06-10",1.28
"336","2020-06-11",1.43
"337","2020-06-12",1.514
"338","2020-06-15",1.44
"339","2020-06-16",1.34
"340","2020-06-17",1.52
"341","2020-06-18",1.6
"342","2020-06-19",1.55
"343","2020-06-22",1.68
"344","2020-06-23",1.68
"345","2020-06-24",1.58
"346","2020-06-25",1.54
"347","2020-06-26",1.48
"348","2020-06-29",1.36
"349","2020-06-30",1.37
"350","2020-07-01",1.39
"351","2020-07-02",1.55
"352","2020-07-06",1.57
"353","2020-07-07",1.56
"354","2020-07-08",1.55
"355","2020-07-09",1.5
"356","2020-07-10",1.31
"357","2020-07-13",0.86
"358","2020-07-14",0.782
"359","2020-07-15",0.823
"360","2020-07-16",0.93
"361","2020-07-17",0.948
"362","2020-07-20",0.96
"363","2020-07-21",1.015
"364","2020-07-22",0.988
"365","2020-07-23",0.964
"366","2020-07-24",0.945
"367","2020-07-27",0.88
"368","2020-07-28",0.908
"369","2020-07-29",0.906
"370","2020-07-30",0.94
"371","2020-07-31",0.967
"372","2020-08-03",0.98
"373","2020-08-04",0.998
"374","2020-08-05",1.12
"375","2020-08-06",1.08
"376","2020-08-07",1.08
"377","2020-08-10",1.09
"378","2020-08-11",1.08
"379","2020-08-12",1
"380","2020-08-13",0.934
"381","2020-08-14",1.16
"382","2020-08-17",1.1
"383","2020-08-18",1.065
"384","2020-08-19",1.05
"385","2020-08-20",1.03
"386","2020-08-21",1.05
"387","2020-08-24",1.05
"388","2020-08-25",1.05
"389","2020-08-26",1.02
"390","2020-08-27",1
"391","2020-08-28",1.06
"392","2020-08-31",0.979
"393","2020-09-01",1.027
"394","2020-09-02",1.015
"395","2020-09-03",0.99
"396","2020-09-04",0.97
"397","2020-09-08",0.938
"398","2020-09-09",0.95
"399","2020-09-10",0.974
"400","2020-09-11",1.01
"401","2020-09-14",1.09
"402","2020-09-15",1.07
"403","2020-09-16",1.06
"404","2020-09-17",1.06
"405","2020-09-18",1.07
"406","2020-09-21",1.01
"407","2020-09-22",1.02
"408","2020-09-23",1.01
"409","2020-09-24",1.01
"410","2020-09-25",1.01
"411","2020-09-28",1.045
"412","2020-09-29",1.19
"413","2020-09-30",1.14
"414","2020-10-01",1.15
"415","2020-10-02",1.15
"416","2020-10-05",1.18
"417","2020-10-06",1.18
"418","2020-10-07",1.16
"419","2020-10-08",1.18
"420","2020-10-09",1.18
"421","2020-10-12",1.132
"422","2020-10-13",1.09
"423","2020-10-14",1.153
"424","2020-10-15",1.17
"425","2020-10-16",1.15
"426","2020-10-19",1.14
"427","2020-10-20",1.48
"428","2020-10-21",1.16
"429","2020-10-22",1.15
"430","2020-10-23",1.09
"431","2020-10-26",1.13
"432","2020-10-27",1.18
"433","2020-10-28",1.2
"434","2020-10-29",1.19
"435","2020-10-30",1.29
"436","2020-11-02",1.18
"437","2020-11-03",1.217
"438","2020-11-04",1.24
"439","2020-11-05",1.25
"440","2020-11-06",1.23
"441","2020-11-09",1.34
"442","2020-11-10",1.38
"443","2020-11-11",1.41
"444","2020-11-12",1.4
"445","2020-11-13",1.41
"446","2020-11-16",1.44
"447","2020-11-17",1.38
"448","2020-11-18",1.48
"449","2020-11-19",1.52
"450","2020-11-20",1.45
"451","2020-11-23",1.41
"452","2020-11-24",1.5
"453","2020-11-25",1.57
"454","2020-11-27",1.54
