"","date","NPA"
"99","2020-03-25",9.69
"100","2020-03-26",9.73
"101","2020-03-27",9.8
"102","2020-03-30",9.8
"103","2020-03-31",9.77
"104","2020-04-01",10.1
"105","2020-04-02",9.95
"106","2020-04-03",9.85
"107","2020-04-06",9.82
"108","2020-04-07",9.82
"109","2020-04-08",9.87
"110","2020-04-09",9.814
"111","2020-04-13",9.85
"112","2020-04-14",9.87
"113","2020-04-15",9.87
"114","2020-04-16",9.87
"115","2020-04-17",9.84
"116","2020-04-20",9.84
"117","2020-04-21",9.84
"118","2020-04-22",9.84
"119","2020-04-23",9.9
"120","2020-04-24",9.93
"121","2020-04-27",9.93
"122","2020-04-28",9.93
"123","2020-04-29",9.88
"124","2020-04-30",9.88
"125","2020-05-01",9.92
"126","2020-05-04",9.92
"127","2020-05-05",9.92
"128","2020-05-06",9.914
"129","2020-05-07",9.914
"130","2020-05-08",9.9
"131","2020-05-11",9.9
"132","2020-05-12",9.9
"133","2020-05-13",9.9
"134","2020-05-14",9.9
"135","2020-05-15",9.9
"136","2020-05-18",9.9
"137","2020-05-19",9.9
"138","2020-05-20",9.9
"139","2020-05-21",9.9
"140","2020-05-22",9.9
"141","2020-05-26",9.9
"142","2020-05-27",9.9
"143","2020-05-28",9.9
"144","2020-05-29",9.87
"145","2020-06-01",9.93
"146","2020-06-02",9.93
"147","2020-06-03",9.93
"148","2020-06-04",9.93
"149","2020-06-05",9.92
"150","2020-06-08",9.955
"151","2020-06-09",9.92
"152","2020-06-10",9.92
"153","2020-06-11",9.92
"154","2020-06-12",9.92
"155","2020-06-15",9.92
"156","2020-06-16",9.97
"157","2020-06-17",9.97
"158","2020-06-18",9.97
"159","2020-06-19",10.02
"160","2020-06-22",10.05
"161","2020-06-23",10.078
"162","2020-06-24",10.04
"163","2020-06-25",10.04
"164","2020-06-26",10.04
"165","2020-06-29",10.15
"166","2020-06-30",10.08
"167","2020-07-01",10.15
"168","2020-07-02",10.22
"169","2020-07-06",10.2
"170","2020-07-07",10.18
"171","2020-07-08",10.1
"172","2020-07-09",10.12
"173","2020-07-10",10.1
"174","2020-07-13",10.12
"175","2020-07-14",10.12
"176","2020-07-15",10.17
"177","2020-07-16",10.18
"178","2020-07-17",10.13
"179","2020-07-20",10.2
"180","2020-07-21",10.26
"181","2020-07-22",10.3
"182","2020-07-23",10.3
"183","2020-07-24",10.2
"184","2020-07-27",10.21
"185","2020-07-28",10.3
"186","2020-07-29",10.2
"187","2020-07-30",10.175
"188","2020-07-31",10.18
"189","2020-08-03",10.185
"190","2020-08-04",10.2
"191","2020-08-05",10.2
"192","2020-08-06",10.2
"193","2020-08-07",10.15
"194","2020-08-10",10.08
"195","2020-08-11",10.06
"196","2020-08-12",10.06
"197","2020-08-13",10.1
"198","2020-08-14",10.06
"199","2020-08-17",10.04
"200","2020-08-18",10.03
"201","2020-08-19",10.06
"202","2020-08-20",10.04
"203","2020-08-21",10.015
"204","2020-08-24",10.055
"205","2020-08-25",10.04
"206","2020-08-26",10.05
"207","2020-08-27",10.06
"208","2020-08-28",10.09
"209","2020-08-31",10.1
"210","2020-09-01",10.1
"211","2020-09-02",10.15
"212","2020-09-03",10.05
"213","2020-09-04",10.05
"214","2020-09-08",10.1
"215","2020-09-09",10.15
"216","2020-09-10",10.18
"217","2020-09-11",10.1
"218","2020-09-14",10.08
"219","2020-09-15",10.09
"220","2020-09-16",10.2
"221","2020-09-17",10.16
"222","2020-09-18",10.16
"223","2020-09-21",10.12
"224","2020-09-22",10.16
"225","2020-09-23",10.18
"226","2020-09-24",10.1
"227","2020-09-25",10.11
"228","2020-09-28",10.11
"229","2020-09-29",10.11
"230","2020-09-30",10.07
"231","2020-10-01",10.06
"232","2020-10-02",10.1
"233","2020-10-05",10.15
"234","2020-10-06",10.08
"235","2020-10-07",10.11
"236","2020-10-08",10.105
"237","2020-10-09",10.1
"238","2020-10-12",10.1
"239","2020-10-13",10.12
"240","2020-10-14",10.11
"241","2020-10-15",10.1
"242","2020-10-16",10.089
"243","2020-10-19",10.19
"244","2020-10-20",10.19
"245","2020-10-21",10.16
"246","2020-10-22",10.12
"247","2020-10-23",10.13
"248","2020-10-26",10.11
"249","2020-10-27",10.11
"250","2020-10-28",10.2
"251","2020-10-29",10.05
"252","2020-10-30",10.05
"253","2020-11-02",10.045
"254","2020-11-03",9.98
"255","2020-11-04",9.98
"256","2020-11-05",9.98
"257","2020-11-06",10.01
"258","2020-11-09",10.03
"259","2020-11-10",10.07
"260","2020-11-11",10.07
"261","2020-11-12",10.11
"262","2020-11-13",10.11
"263","2020-11-16",10.085
"264","2020-11-17",10.09
"265","2020-11-18",10.16
"266","2020-11-19",10.11
"267","2020-11-20",10.16
"268","2020-11-23",10.117
"269","2020-11-24",10.1
"270","2020-11-25",10.12
"271","2020-11-27",10.12
