"","date","RMED"
"96","2019-02-14",174.25
"97","2019-02-15",184
"98","2019-02-19",183.75
"99","2019-02-20",183.75
"100","2019-02-21",182.5
"101","2019-02-22",177.75
"102","2019-02-25",181
"103","2019-02-26",177.5
"104","2019-02-27",174.5
"105","2019-02-28",168.5
"106","2019-03-01",173.75
"107","2019-03-04",175.25
"108","2019-03-05",173.75
"109","2019-03-06",160
"110","2019-03-07",160.5
"111","2019-03-08",165.75
"112","2019-03-11",164
"113","2019-03-12",163.75
"114","2019-03-13",163.75
"115","2019-03-14",164.25
"116","2019-03-15",110.75
"117","2019-03-18",100
"118","2019-03-19",96.75
"119","2019-03-20",97.5
"120","2019-03-21",104.5
"121","2019-03-22",98.75
"122","2019-03-25",99
"123","2019-03-26",99.5
"124","2019-03-27",87.5
"125","2019-03-28",89.25
"126","2019-03-29",85
"127","2019-04-01",91
"128","2019-04-02",95.25
"129","2019-04-03",87.25
"130","2019-04-04",87.5
"131","2019-04-05",86.5
"132","2019-04-08",88.25
"133","2019-04-09",88.25
"134","2019-04-10",87
"135","2019-04-11",87.25
"136","2019-04-12",97.5
"137","2019-04-15",95.5
"138","2019-04-16",105.75
"139","2019-04-17",101.5
"140","2019-04-18",101.25
"141","2019-04-22",105
"142","2019-04-23",111.5
"143","2019-04-24",126.25
"144","2019-04-25",137.25
"145","2019-04-26",119.75
"146","2019-04-29",107.25
"147","2019-04-30",107
"148","2019-05-01",110.75
"149","2019-05-02",110
"150","2019-05-03",101
"151","2019-05-06",103.25
"152","2019-05-07",104
"153","2019-05-08",101.75
"154","2019-05-09",101.25
"155","2019-05-10",101.25
"156","2019-05-13",97
"157","2019-05-14",104.5
"158","2019-05-15",103.25
"159","2019-05-16",114
"160","2019-05-17",120
"161","2019-05-20",119.25
"162","2019-05-21",117.25
"163","2019-05-22",108
"164","2019-05-23",98.75
"165","2019-05-24",93
"166","2019-05-28",90
"167","2019-05-29",87.5
"168","2019-05-30",85.75
"169","2019-05-31",86
"170","2019-06-03",82
"171","2019-06-04",87.5
"172","2019-06-05",85.5
"173","2019-06-06",83.75
"174","2019-06-07",83.25
"175","2019-06-10",85
"176","2019-06-11",77.25
"177","2019-06-12",76.5
"178","2019-06-13",82.25
"179","2019-06-14",82.25
"180","2019-06-17",78.25
"181","2019-06-18",81.25
"182","2019-06-19",83.75
"183","2019-06-20",86
"184","2019-06-21",85
"185","2019-06-24",84.25
"186","2019-06-25",86.25
"187","2019-06-26",87
"188","2019-06-27",85.5
"189","2019-06-28",90.5
"190","2019-07-01",87.5
"191","2019-07-02",87.75
"192","2019-07-03",85
"193","2019-07-05",89.25
"194","2019-07-08",86.5
"195","2019-07-09",85.75
"196","2019-07-10",87.25
"197","2019-07-11",84
"198","2019-07-12",82.5
"199","2019-07-15",79.25
"200","2019-07-16",78.25
"201","2019-07-17",73
"202","2019-07-18",69
"203","2019-07-19",68.5
"204","2019-07-22",67.75
"205","2019-07-23",68
"206","2019-07-24",69
"207","2019-07-25",68.75
"208","2019-07-26",68.25
"209","2019-07-29",71.25
"210","2019-07-30",72
"211","2019-07-31",70.75
"212","2019-08-01",72
"213","2019-08-02",71.25
"214","2019-08-05",67.5
"215","2019-08-06",68
"216","2019-08-07",67
"217","2019-08-08",67.75
"218","2019-08-09",68.25
"219","2019-08-12",70.5
"220","2019-08-13",30.25
"221","2019-08-14",37
"222","2019-08-15",49
"223","2019-08-16",45
"224","2019-08-19",47
"225","2019-08-20",52.25
"226","2019-08-21",52.25
"227","2019-08-22",49.75
"228","2019-08-23",46.75
"229","2019-08-26",44.75
"230","2019-08-27",41.25
"231","2019-08-28",37.5
"232","2019-08-29",39.25
"233","2019-08-30",38.5
"234","2019-09-03",37.5
"235","2019-09-04",37.25
"236","2019-09-05",38.25
"237","2019-09-06",38.5
"238","2019-09-09",35.75
"239","2019-09-10",42.25
"240","2019-09-11",46.5
"241","2019-09-12",42
"242","2019-09-13",43.25
"243","2019-09-16",42.25
"244","2019-09-17",42.5
"245","2019-09-18",40.75
"246","2019-09-19",37.25
"247","2019-09-20",37.25
"248","2019-09-23",36.75
"249","2019-09-24",34
"250","2019-09-25",34.75
"251","2019-09-26",34.5
"252","2019-09-27",39.5
"253","2019-09-30",35
"254","2019-10-01",31.75
"255","2019-10-02",29.25
"256","2019-10-03",28.5
"257","2019-10-04",31.5
"258","2019-10-07",29.5
"259","2019-10-08",29.5
"260","2019-10-09",30
"261","2019-10-10",28.25
"262","2019-10-11",30.5
"263","2019-10-14",28.75
"264","2019-10-15",35.5
"265","2019-10-16",36.75
"266","2019-10-17",36
"267","2019-10-18",33.5
"268","2019-10-21",34
"269","2019-10-22",36.75
"270","2019-10-23",39.75
"271","2019-10-24",40.5
"272","2019-10-25",39.25
"273","2019-10-28",38
"274","2019-10-29",34.25
"275","2019-10-30",37.75
"276","2019-10-31",37.75
"277","2019-11-01",35
"278","2019-11-04",36.5
"279","2019-11-05",38
"280","2019-11-06",36.5
"281","2019-11-07",42
"282","2019-11-08",41.25
"283","2019-11-11",38.75
"284","2019-11-12",39.75
"285","2019-11-13",38
"286","2019-11-14",38.75
"287","2019-11-15",38.25
"288","2019-11-18",38.75
"289","2019-11-19",37
"290","2019-11-20",36.5
"291","2019-11-21",33.75
"292","2019-11-22",35.25
"293","2019-11-25",35.75
"294","2019-11-26",36.25
"295","2019-11-27",35.75
"296","2019-11-29",31.75
"297","2019-12-02",33.25
"298","2019-12-03",30.5
"299","2019-12-04",34.25
"300","2019-12-05",32.75
"301","2019-12-06",30.25
"302","2019-12-09",26.75
"303","2019-12-10",25
"304","2019-12-11",22.25
"305","2019-12-12",22.5
"306","2019-12-13",19.75
"307","2019-12-16",19.5
"308","2019-12-17",19.25
"309","2019-12-18",21.75
"310","2019-12-19",22.25
"311","2019-12-20",22.5
"312","2019-12-23",21.75
"313","2019-12-24",23.25
"314","2019-12-26",23
"315","2019-12-27",22.25
"316","2019-12-30",30.75
"317","2019-12-31",28.25
"318","2020-01-02",28
"319","2020-01-03",28.5
"320","2020-01-06",29.5
"321","2020-01-07",33.25
"322","2020-01-08",35.25
"323","2020-01-09",34.5
"324","2020-01-10",38.25
"325","2020-01-13",38.75
"326","2020-01-14",39.25
"327","2020-01-15",50.75
"328","2020-01-16",50.75
"329","2020-01-17",43.75
"330","2020-01-21",52.5
"331","2020-01-22",46.25
"332","2020-01-23",48.25
"333","2020-01-24",47.75
"334","2020-01-27",45.75
"335","2020-01-28",46.5
"336","2020-01-29",49.75
"337","2020-01-30",59
"338","2020-01-31",61.75
"339","2020-02-03",61.5
"340","2020-02-04",55
"341","2020-02-05",59.5
"342","2020-02-06",62.25
"343","2020-02-07",60.5
"344","2020-02-10",57.75
"345","2020-02-11",59
"346","2020-02-12",53.75
"347","2020-02-13",53.25
"348","2020-02-14",52.75
"349","2020-02-18",48.75
"350","2020-02-19",44.75
"351","2020-02-20",42.5
"352","2020-02-21",45
"353","2020-02-24",37.5
"354","2020-02-25",37.5
"355","2020-02-26",37.25
"356","2020-02-27",34
"357","2020-02-28",36.25
"358","2020-03-02",37.5
"359","2020-03-03",31.25
"360","2020-03-04",36
"361","2020-03-05",39.5
"362","2020-03-06",37.75
"363","2020-03-09",37.5
"364","2020-03-10",35.25
"365","2020-03-11",31.5
"366","2020-03-12",31.25
"367","2020-03-13",33
"368","2020-03-16",30
"369","2020-03-17",26.75
"370","2020-03-18",29.25
"371","2020-03-19",28.75
"372","2020-03-20",26.75
"373","2020-03-23",25
"374","2020-03-24",27.5
"375","2020-03-25",27.5
"376","2020-03-26",27.5
"377","2020-03-27",27.5
"378","2020-03-30",25.5
"379","2020-03-31",27.25
"380","2020-04-01",32.75
"381","2020-04-02",33.25
"382","2020-04-03",31.5
"383","2020-04-06",27
"384","2020-04-07",27.5
"385","2020-04-08",28
"386","2020-04-09",28
"387","2020-04-13",26
"388","2020-04-14",27.75
"389","2020-04-15",31
"390","2020-04-16",28.5
"391","2020-04-17",26.25
"392","2020-04-20",26.25
"393","2020-04-21",25
"394","2020-04-22",24.75
"395","2020-04-23",25
"396","2020-04-24",25
"397","2020-04-27",29
"398","2020-04-28",25.75
"399","2020-04-29",26.75
"400","2020-04-30",25
"401","2020-05-01",24.75
"402","2020-05-04",24
"403","2020-05-05",23.75
"404","2020-05-06",23.25
"405","2020-05-07",24.25
"406","2020-05-08",28.75
"407","2020-05-11",25.75
"408","2020-05-12",26.25
"409","2020-05-13",24
"410","2020-05-14",21.25
"411","2020-05-15",19.5
"412","2020-05-18",18.75
"413","2020-05-19",16.5
"414","2020-05-20",12.5
"415","2020-05-21",12
"416","2020-05-22",12.25
"417","2020-05-26",13.25
"418","2020-05-27",12.5
"419","2020-05-28",12.25
"420","2020-05-29",13
"421","2020-06-01",12.75
"422","2020-06-02",12.5
"423","2020-06-03",12.75
"424","2020-06-04",13.75
"425","2020-06-05",13.25
"426","2020-06-08",15
"427","2020-06-09",15.25
"428","2020-06-10",15.5
"429","2020-06-11",15.25
"430","2020-06-12",15.25
"431","2020-06-15",15.25
"432","2020-06-16",15.25
"433","2020-06-17",15.75
"434","2020-06-18",15.5
"435","2020-06-19",14.25
"436","2020-06-22",14.5
"437","2020-06-23",14.25
"438","2020-06-24",13.75
"439","2020-06-25",13
"440","2020-06-26",12
"441","2020-06-29",13
"442","2020-06-30",12.25
"443","2020-07-01",11.75
"444","2020-07-02",11.75
"445","2020-07-06",11.75
"446","2020-07-07",11.25
"447","2020-07-08",11.25
"448","2020-07-09",11.5
"449","2020-07-10",11.25
"450","2020-07-13",11
"451","2020-07-14",10.75
"452","2020-07-15",11
"453","2020-07-16",11
"454","2020-07-17",10
"455","2020-07-20",9.75
"456","2020-07-21",10.5
"457","2020-07-22",10.25
"458","2020-07-23",9.75
"459","2020-07-24",9.75
"460","2020-07-27",9.5
"461","2020-07-28",9
"462","2020-07-29",8.5
"463","2020-07-30",7.25
"464","2020-07-31",7.25
"465","2020-08-03",7.25
"466","2020-08-04",7.5
"467","2020-08-05",7.25
"468","2020-08-06",8.25
"469","2020-08-07",8.25
"470","2020-08-10",9.25
"471","2020-08-11",8.75
"472","2020-08-12",8
"473","2020-08-13",8
"474","2020-08-14",7.75
"475","2020-08-17",7.75
"476","2020-08-18",7.5
"477","2020-08-19",8.75
"478","2020-08-20",8
"479","2020-08-21",8.75
"480","2020-08-24",8.5
"481","2020-08-25",9
"482","2020-08-26",8.5
"483","2020-08-27",8.25
"484","2020-08-28",8.5
"485","2020-08-31",8.5
"486","2020-09-01",7.75
"487","2020-09-02",7.5
"488","2020-09-03",7
"489","2020-09-04",7
"490","2020-09-08",6.5
"491","2020-09-09",6.25
"492","2020-09-10",6.25
"493","2020-09-11",6.25
"494","2020-09-14",6.25
"495","2020-09-15",6.5
"496","2020-09-16",6.5
"497","2020-09-17",6.5
"498","2020-09-18",6.5
"499","2020-09-21",6.25
"500","2020-09-22",6.25
"501","2020-09-23",5.75
"502","2020-09-24",5.75
"503","2020-09-25",6.5
"504","2020-09-28",7
"505","2020-09-29",7
"506","2020-09-30",7.25
"507","2020-10-01",6.75
"508","2020-10-02",6.75
"509","2020-10-05",6.75
"510","2020-10-06",6.75
"511","2020-10-07",7.25
"512","2020-10-08",7.25
"513","2020-10-09",7.5
"514","2020-10-12",6.75
"515","2020-10-13",6.75
"516","2020-10-14",6.5
"517","2020-10-15",6.5
"518","2020-10-16",6.5
"519","2020-10-19",6.5
"520","2020-10-20",6
"521","2020-10-21",6.25
"522","2020-10-22",6
"523","2020-10-23",5.75
"524","2020-10-26",5.75
"525","2020-10-27",5.5
"526","2020-10-28",5
"527","2020-10-29",5
"528","2020-10-30",4.5
"529","2020-11-02",4.5
"530","2020-11-03",4.75
"531","2020-11-04",4.5
"532","2020-11-05",4.75
"533","2020-11-06",4.5
"534","2020-11-09",5.5
"535","2020-11-10",5.25
"536","2020-11-11",5.25
"537","2020-11-12",5
"538","2020-11-13",5.5
"539","2020-11-16",5.25
"540","2020-11-17",4.62
"541","2020-11-18",5.41
"542","2020-11-19",5.94
"543","2020-11-20",6.39
"544","2020-11-23",6.64
"545","2020-11-24",6.44
"546","2020-11-25",6.78
"547","2020-11-27",6.57
