"","date","HYLN"
"106","2020-06-03",10.03
"107","2020-06-04",10.06
"108","2020-06-05",10.08
"109","2020-06-08",10.135
"110","2020-06-09",10.08
"111","2020-06-10",10.1
"112","2020-06-11",10.11
"113","2020-06-12",10.15
"114","2020-06-15",10.18
"115","2020-06-16",10.18
"116","2020-06-17",10.27
"117","2020-06-18",10.22
"118","2020-06-19",14.04
"119","2020-06-22",18.290001
"120","2020-06-23",17.4
"121","2020-06-24",16.209999
"122","2020-06-25",17.4
"123","2020-06-26",24.57
"124","2020-06-29",31.84
"125","2020-06-30",27.440001
"126","2020-07-01",25.18
"127","2020-07-02",27.07
"128","2020-07-06",26.209999
"129","2020-07-07",23.76
"130","2020-07-08",26.34
"131","2020-07-09",26.91
"132","2020-07-10",26.889999
"133","2020-07-13",21.379999
"134","2020-07-14",23.469999
"135","2020-07-15",23.299999
"136","2020-07-16",23.15
"137","2020-07-17",22.59
"138","2020-07-20",21.85
"139","2020-07-21",21.99
"140","2020-07-22",21.559999
"141","2020-07-23",20
"142","2020-07-24",17.969999
"143","2020-07-27",19
"144","2020-07-28",18.91
"145","2020-07-29",18.959999
"146","2020-07-30",19
"147","2020-07-31",19.33
"148","2020-08-03",19.99
"149","2020-08-04",20.1
"150","2020-08-05",19.6
"151","2020-08-06",19.709999
"152","2020-08-07",19.370001
"153","2020-08-10",20.120001
"154","2020-08-11",20
"155","2020-08-12",19.9
"156","2020-08-13",24
"157","2020-08-14",24.450001
"158","2020-08-17",27.440001
"159","2020-08-18",26.6
"160","2020-08-19",26.450001
"161","2020-08-20",26.84
"162","2020-08-21",29.91
"163","2020-08-24",40
"164","2020-08-25",38.880001
"165","2020-08-26",38.700001
"166","2020-08-27",37
"167","2020-08-28",38
"168","2020-08-31",39.439999
"169","2020-09-01",48.970001
"170","2020-09-02",55.849998
"171","2020-09-03",50.75
"172","2020-09-04",50.349998
"173","2020-09-08",53.299999
"174","2020-09-09",51.23
"175","2020-09-10",49.82
"176","2020-09-11",47.779999
"177","2020-09-14",43.25
"178","2020-09-15",47.490002
"179","2020-09-16",47.009998
"180","2020-09-17",47.919998
"181","2020-09-18",50
"182","2020-09-21",50.400002
"183","2020-09-22",48.16
"184","2020-09-23",44.860001
"185","2020-09-24",40.5
"186","2020-09-25",44.389999
"187","2020-09-28",48
"188","2020-09-29",53.509998
"189","2020-09-30",49.830002
"190","2020-10-01",44.91
"191","2020-10-02",39.5
"192","2020-10-05",39.16
"193","2020-10-06",33.279999
"194","2020-10-07",29.4
"195","2020-10-08",30.950001
"196","2020-10-09",29.73
"197","2020-10-12",28.719999
"198","2020-10-13",26.49
"199","2020-10-14",29.139999
"200","2020-10-15",28.27
"201","2020-10-16",27
"202","2020-10-19",25.549999
"203","2020-10-20",23.15
"204","2020-10-21",22.549999
"205","2020-10-22",24.309999
"206","2020-10-23",22.110001
"207","2020-10-26",20.75
"208","2020-10-27",21.27
"209","2020-10-28",20
"210","2020-10-29",20.049999
"211","2020-10-30",18.92
"212","2020-11-02",18.67
"213","2020-11-03",20.559999
"214","2020-11-04",21.08
"215","2020-11-05",23.559999
"216","2020-11-06",22.58
"217","2020-11-09",23.08
"218","2020-11-10",23.73
"219","2020-11-11",23.49
"220","2020-11-12",23.5
"221","2020-11-13",22.33
"222","2020-11-16",23.35
"223","2020-11-17",25.33
"224","2020-11-18",24.67
"225","2020-11-19",24.299999
"226","2020-11-20",25.1
"227","2020-11-23",27
"228","2020-11-24",24.85
"229","2020-11-25",24.190001
"230","2020-11-27",24.49
