"","date","GNLN"
"82","2019-08-14",6.95
"83","2019-08-15",6.97
"84","2019-08-16",6.49
"85","2019-08-19",6.41
"86","2019-08-20",6.42
"87","2019-08-21",6.69
"88","2019-08-22",7.02
"89","2019-08-23",6.52
"90","2019-08-26",6.61
"91","2019-08-27",6.39
"92","2019-08-28",6.44
"93","2019-08-29",6.54
"94","2019-08-30",6.2
"95","2019-09-03",6.14
"96","2019-09-04",6
"97","2019-09-05",6.22
"98","2019-09-06",5.99
"99","2019-09-09",5.34
"100","2019-09-10",5.21
"101","2019-09-11",5.6
"102","2019-09-12",4.99
"103","2019-09-13",4.64
"104","2019-09-16",3.98
"105","2019-09-17",3.71
"106","2019-09-18",4.25
"107","2019-09-19",4.44
"108","2019-09-20",4.54
"109","2019-09-23",4.24
"110","2019-09-24",3.795
"111","2019-09-25",3.87
"112","2019-09-26",3.7
"113","2019-09-27",3.48
"114","2019-09-30",3.39
"115","2019-10-01",3.27
"116","2019-10-02",3.31
"117","2019-10-03",3.47
"118","2019-10-04",3.58
"119","2019-10-07",3.45
"120","2019-10-08",3.29
"121","2019-10-09",3.4
"122","2019-10-10",3.44
"123","2019-10-11",3.35
"124","2019-10-14",3.3
"125","2019-10-15",3.37
"126","2019-10-16",3.19
"127","2019-10-17",3.33
"128","2019-10-18",3.21
"129","2019-10-21",3.53
"130","2019-10-22",3.79
"131","2019-10-23",4.03
"132","2019-10-24",3.94
"133","2019-10-25",3.94
"134","2019-10-28",4.03
"135","2019-10-29",3.79
"136","2019-10-30",4.21
"137","2019-10-31",3.93
"138","2019-11-01",3.94
"139","2019-11-04",3.93
"140","2019-11-05",4.07
"141","2019-11-06",4.3
"142","2019-11-07",3.91
"143","2019-11-08",3.81
"144","2019-11-11",3.55
"145","2019-11-12",3.32
"146","2019-11-13",3.36
"147","2019-11-14",3.4
"148","2019-11-15",3.36
"149","2019-11-18",3.63
"150","2019-11-19",3.54
"151","2019-11-20",3.39
"152","2019-11-21",3.38
"153","2019-11-22",3.26
"154","2019-11-25",3.22
"155","2019-11-26",3.31
"156","2019-11-27",3.21
"157","2019-11-29",3.39
"158","2019-12-02",3.39
"159","2019-12-03",3.13
"160","2019-12-04",3.14
"161","2019-12-05",2.88
"162","2019-12-06",2.67
"163","2019-12-09",2.77
"164","2019-12-10",2.68
"165","2019-12-11",2.63
"166","2019-12-12",2.9
"167","2019-12-13",2.82
"168","2019-12-16",2.99
"169","2019-12-17",2.91
"170","2019-12-18",2.82
"171","2019-12-19",2.75
"172","2019-12-20",2.8
"173","2019-12-23",2.69
"174","2019-12-24",2.61
"175","2019-12-26",3.06
"176","2019-12-27",3.2
"177","2019-12-30",3.13
"178","2019-12-31",3.255
"179","2020-01-02",3.42
"180","2020-01-03",3.25
"181","2020-01-06",3.07
"182","2020-01-07",3.02
"183","2020-01-08",3.05
"184","2020-01-09",2.96
"185","2020-01-10",2.91
"186","2020-01-13",2.86
"187","2020-01-14",2.97
"188","2020-01-15",2.83
"189","2020-01-16",3.07
"190","2020-01-17",3.11
"191","2020-01-21",2.91
"192","2020-01-22",3.03
"193","2020-01-23",3.01
"194","2020-01-24",2.85
"195","2020-01-27",2.73
"196","2020-01-28",2.72
"197","2020-01-29",2.63
"198","2020-01-30",2.54
"199","2020-01-31",2.44
"200","2020-02-03",2.11
"201","2020-02-04",2.18
"202","2020-02-05",2.1
"203","2020-02-06",2.355
"204","2020-02-07",2.15
"205","2020-02-10",2.03
"206","2020-02-11",2.13
"207","2020-02-12",2.18
"208","2020-02-13",2.27
"209","2020-02-14",2.4
"210","2020-02-18",2.66
"211","2020-02-19",2.61
"212","2020-02-20",2.49
"213","2020-02-21",2.48
"214","2020-02-24",2.34
"215","2020-02-25",2.16
"216","2020-02-26",2.17
"217","2020-02-27",2.11
"218","2020-02-28",2.14
"219","2020-03-02",2
"220","2020-03-03",1.91
"221","2020-03-04",1.96
"222","2020-03-05",1.86
"223","2020-03-06",1.73
"224","2020-03-09",1.62
"225","2020-03-10",1.55
"226","2020-03-11",1.44
"227","2020-03-12",1.4
"228","2020-03-13",1.5
"229","2020-03-16",1.21
"230","2020-03-17",1.29
"231","2020-03-18",1.27
"232","2020-03-19",1.88
"233","2020-03-20",1.93
"234","2020-03-23",1.73
"235","2020-03-24",2
"236","2020-03-25",2.11
"237","2020-03-26",2.5
"238","2020-03-27",2.16
"239","2020-03-30",1.98
"240","2020-03-31",1.72
"241","2020-04-01",1.545
"242","2020-04-02",1.47
"243","2020-04-03",1.56
"244","2020-04-06",1.83
"245","2020-04-07",1.86
"246","2020-04-08",1.76
"247","2020-04-09",1.95
"248","2020-04-13",1.74
"249","2020-04-14",1.84
"250","2020-04-15",1.9
"251","2020-04-16",1.75
"252","2020-04-17",1.86
"253","2020-04-20",1.81
"254","2020-04-21",2.21
"255","2020-04-22",2.23
"256","2020-04-23",2.07
"257","2020-04-24",2.28
"258","2020-04-27",2.9
"259","2020-04-28",3.29
"260","2020-04-29",3.16
"261","2020-04-30",3.2
"262","2020-05-01",2.94
"263","2020-05-04",2.91
"264","2020-05-05",2.66
"265","2020-05-06",2.41
"266","2020-05-07",2.41
"267","2020-05-08",2.97
"268","2020-05-11",2.82
"269","2020-05-12",2.67
"270","2020-05-13",2.42
"271","2020-05-14",2.27
"272","2020-05-15",2.61
"273","2020-05-18",2.74
"274","2020-05-19",2.54
"275","2020-05-20",2.49
"276","2020-05-21",2.85
"277","2020-05-22",2.83
"278","2020-05-26",3.44
"279","2020-05-27",3.67
"280","2020-05-28",3.65
"281","2020-05-29",3.44
"282","2020-06-01",3.31
"283","2020-06-02",3.18
"284","2020-06-03",3.26
"285","2020-06-04",3.95
"286","2020-06-05",3.86
"287","2020-06-08",3.94
"288","2020-06-09",4.05
"289","2020-06-10",3.94
"290","2020-06-11",3.48
"291","2020-06-12",3.38
"292","2020-06-15",3.66
"293","2020-06-16",3.43
"294","2020-06-17",3.43
"295","2020-06-18",3.57
"296","2020-06-19",3.56
"297","2020-06-22",3.79
"298","2020-06-23",3.72
"299","2020-06-24",3.53
"300","2020-06-25",3.58
"301","2020-06-26",3.935
"302","2020-06-29",3.8
"303","2020-06-30",3.98
"304","2020-07-01",3.92
"305","2020-07-02",3.61
"306","2020-07-06",3.44
"307","2020-07-07",3.36
"308","2020-07-08",3.3
"309","2020-07-09",3.19
"310","2020-07-10",3.38
"311","2020-07-13",3.48
"312","2020-07-14",3.44
"313","2020-07-15",3.63
"314","2020-07-16",3.57
"315","2020-07-17",3.74
"316","2020-07-20",3.62
"317","2020-07-21",3.64
"318","2020-07-22",3.38
"319","2020-07-23",3.13
"320","2020-07-24",3.09
"321","2020-07-27",3.24
"322","2020-07-28",3.53
"323","2020-07-29",3.86
"324","2020-07-30",3.89
"325","2020-07-31",3.86
"326","2020-08-03",3.76
"327","2020-08-04",3.72
"328","2020-08-05",3.68
"329","2020-08-06",3.57
"330","2020-08-07",3.39
"331","2020-08-10",3.315
"332","2020-08-11",3.18
"333","2020-08-12",3.25
"334","2020-08-13",3.11
"335","2020-08-14",2.93
"336","2020-08-17",2.995
"337","2020-08-18",3.02
"338","2020-08-19",2.84
"339","2020-08-20",2.63
"340","2020-08-21",2.59
"341","2020-08-24",2.59
"342","2020-08-25",2.5
"343","2020-08-26",2.59
"344","2020-08-27",2.54
"345","2020-08-28",2.66
"346","2020-08-31",3.07
"347","2020-09-01",3.07
"348","2020-09-02",2.83
"349","2020-09-03",2.77
"350","2020-09-04",2.68
"351","2020-09-08",2.645
"352","2020-09-09",2.58
"353","2020-09-10",2.55
"354","2020-09-11",2.42
"355","2020-09-14",2.36
"356","2020-09-15",2.31
"357","2020-09-16",2.41
"358","2020-09-17",2.28
"359","2020-09-18",2.27
"360","2020-09-21",2.12
"361","2020-09-22",2.22
"362","2020-09-23",1.99
"363","2020-09-24",2.1
"364","2020-09-25",2.06
"365","2020-09-28",2.07
"366","2020-09-29",2.15
"367","2020-09-30",2.24
"368","2020-10-01",2.26
"369","2020-10-02",2.41
"370","2020-10-05",2.35
"371","2020-10-06",2.29
"372","2020-10-07",2.33
"373","2020-10-08",2.28
"374","2020-10-09",2.67
"375","2020-10-12",3.02
"376","2020-10-13",2.98
"377","2020-10-14",3
"378","2020-10-15",2.92
"379","2020-10-16",2.86
"380","2020-10-19",3.01
"381","2020-10-20",2.95
"382","2020-10-21",2.94
"383","2020-10-22",2.94
"384","2020-10-23",3.28
"385","2020-10-26",2.99
"386","2020-10-27",2.98
"387","2020-10-28",2.74
"388","2020-10-29",2.73
"389","2020-10-30",2.43
"390","2020-11-02",2.69
"391","2020-11-03",2.76
"392","2020-11-04",2.46
"393","2020-11-05",2.91
"394","2020-11-06",3.11
"395","2020-11-09",3.18
"396","2020-11-10",3.5
"397","2020-11-11",3.25
"398","2020-11-12",2.78
"399","2020-11-13",2.73
"400","2020-11-16",2.89
"401","2020-11-17",2.84
"402","2020-11-18",2.87
"403","2020-11-19",2.9
"404","2020-11-20",2.76
"405","2020-11-23",2.77
"406","2020-11-24",2.87
"407","2020-11-25",3.15
"408","2020-11-27",3.55
