"","date","SFTW"
"105","2020-05-21",9.69
"106","2020-05-22",9.65
"107","2020-05-26",9.69
"108","2020-05-27",9.74
"109","2020-05-28",9.85
"110","2020-05-29",9.75
"111","2020-06-01",9.85
"112","2020-06-02",9.89
"113","2020-06-03",9.765
"114","2020-06-04",9.75
"115","2020-06-05",9.825
"116","2020-06-08",9.73
"117","2020-06-09",9.9
"118","2020-06-10",9.85
"119","2020-06-11",9.79
"120","2020-06-12",9.794
"121","2020-06-15",9.76
"122","2020-06-16",9.78
"123","2020-06-17",9.8
"124","2020-06-18",9.81
"125","2020-06-19",9.79
"126","2020-06-22",9.925
"127","2020-06-23",9.94
"128","2020-06-24",9.95
"129","2020-06-25",9.95
"130","2020-06-26",9.958
"131","2020-06-29",10.03
"132","2020-06-30",10.045
"133","2020-07-01",10
"134","2020-07-02",10.09
"135","2020-07-06",10
"136","2020-07-07",9.95
"137","2020-07-08",9.96
"138","2020-07-09",10.035
"139","2020-07-10",10.16
"140","2020-07-13",10.14
"141","2020-07-14",10.17
"142","2020-07-15",10.15
"143","2020-07-16",10.3
"144","2020-07-17",10.33
"145","2020-07-20",10.26
"146","2020-07-21",10.26
"147","2020-07-22",10.34
"148","2020-07-23",10.32
"149","2020-07-24",10.32
"150","2020-07-27",10.31
"151","2020-07-28",10.31
"152","2020-07-29",10.31
"153","2020-07-30",10.233
"154","2020-07-31",10.15
"155","2020-08-03",10.15
"156","2020-08-04",10.13
"157","2020-08-05",10.15
"158","2020-08-06",10.12
"159","2020-08-07",10.125
"160","2020-08-10",10.09
"161","2020-08-11",10.09
"162","2020-08-12",10.09
"163","2020-08-13",10.1
"164","2020-08-14",10.05
"165","2020-08-17",10.02
"166","2020-08-18",10
"167","2020-08-19",9.95
"168","2020-08-20",9.9
"169","2020-08-21",9.93
"170","2020-08-24",10.01
"171","2020-08-25",10
"172","2020-08-26",10
"173","2020-08-27",9.94
"174","2020-08-28",9.92
"175","2020-08-31",10.02
"176","2020-09-01",9.98
"177","2020-09-02",9.96
"178","2020-09-03",10
"179","2020-09-04",10.01
"180","2020-09-08",10.05
"181","2020-09-09",10.06
"182","2020-09-10",10.11
"183","2020-09-11",10.05
"184","2020-09-14",10.03
"185","2020-09-15",10.053
"186","2020-09-16",10.03
"187","2020-09-17",10.07
"188","2020-09-18",10.16
"189","2020-09-21",10.16
"190","2020-09-22",10.15
"191","2020-09-23",10.1
"192","2020-09-24",10.06
"193","2020-09-25",10.15
"194","2020-09-28",10.15
"195","2020-09-29",10.13
"196","2020-09-30",10.19
"197","2020-10-01",10.17
"198","2020-10-02",10.22
"199","2020-10-05",10.12
"200","2020-10-06",10.2
"201","2020-10-07",10.08
"202","2020-10-08",10.15
"203","2020-10-09",10.05
"204","2020-10-12",10.05
"205","2020-10-13",10.086
"206","2020-10-14",10.105
"207","2020-10-15",10.1
"208","2020-10-16",10.15
"209","2020-10-19",10.1
"210","2020-10-20",10.1
"211","2020-10-21",10.02
"212","2020-10-22",10
"213","2020-10-23",9.995
"214","2020-10-26",9.96
"215","2020-10-27",10.035
"216","2020-10-28",9.96
"217","2020-10-29",9.85
"218","2020-10-30",9.89
"219","2020-11-02",9.89
"220","2020-11-03",9.9
"221","2020-11-04",9.9
"222","2020-11-05",9.99
"223","2020-11-06",10.05
"224","2020-11-09",10.1
"225","2020-11-10",10.1
"226","2020-11-11",10.1
"227","2020-11-12",10.15
"228","2020-11-13",10.15
"229","2020-11-16",10.13
"230","2020-11-17",10.126
"231","2020-11-18",10.083
"232","2020-11-19",10.1
"233","2020-11-20",10.125
"234","2020-11-23",10.13
"235","2020-11-24",10.23
"236","2020-11-25",10.18
"237","2020-11-27",10.18
