"","date","MTB"
"318","2008-04-08",85.75
"319","2008-04-09",84.129997
"320","2008-04-10",84.900002
"321","2008-04-11",83.620003
"322","2008-04-14",80.75
"323","2008-04-15",85.860001
"324","2008-04-16",89.849998
"325","2008-04-17",91.419998
"326","2008-04-18",90.5
"327","2008-04-21",87.949997
"328","2008-04-22",89.040001
"329","2008-04-23",88.019997
"330","2008-04-24",91.760002
"331","2008-04-25",94.279999
"332","2008-04-28",94.989998
"333","2008-04-29",93.620003
"334","2008-04-30",93.230003
"335","2008-05-01",97.040001
"336","2008-05-02",95.309998
"337","2008-05-05",94.019997
"338","2008-05-06",94.589996
"339","2008-05-07",92.230003
"340","2008-05-08",91.480003
"341","2008-05-09",91.040001
"342","2008-05-12",93.339996
"343","2008-05-13",91.470001
"344","2008-05-14",93.269997
"345","2008-05-15",94.110001
"346","2008-05-16",91.639999
"347","2008-05-19",91.599998
"348","2008-05-20",88.809998
"349","2008-05-21",88.599998
"350","2008-05-22",89.889999
"351","2008-05-23",88.360001
"352","2008-05-27",89.779999
"353","2008-05-28",86.669998
"354","2008-05-29",87.580002
"355","2008-05-30",86.660004
"356","2008-06-02",85.610001
"357","2008-06-03",85.050003
"358","2008-06-04",83.910004
"359","2008-06-05",84.75
"360","2008-06-06",81.18
"361","2008-06-09",80.790001
"362","2008-06-10",81.029999
"363","2008-06-11",77.709999
"364","2008-06-12",77.760002
"365","2008-06-13",77.879997
"366","2008-06-16",78.849998
"367","2008-06-17",77.07
"368","2008-06-18",75.889999
"369","2008-06-19",75.959999
"370","2008-06-20",73.32
"371","2008-06-23",72.190002
"372","2008-06-24",73.330002
"373","2008-06-25",73.510002
"374","2008-06-26",71.910004
"375","2008-06-27",71.57
"376","2008-06-30",70.540001
"377","2008-07-01",73.220001
"378","2008-07-02",73.860001
"379","2008-07-03",71.480003
"380","2008-07-07",69.480003
"381","2008-07-08",73.769997
"382","2008-07-09",69.410004
"383","2008-07-10",69.209999
"384","2008-07-11",69.699997
"385","2008-07-14",58.82
"386","2008-07-15",56.939999
"387","2008-07-16",64.129997
"388","2008-07-17",66.839996
"389","2008-07-18",68.629997
"390","2008-07-21",69.07
"391","2008-07-22",72.690002
"392","2008-07-23",71.419998
"393","2008-07-24",68.510002
"394","2008-07-25",68.099998
"395","2008-07-28",66.75
"396","2008-07-29",70.18
"397","2008-07-30",71.459999
"398","2008-07-31",70.379997
"399","2008-08-01",71.57
"400","2008-08-04",72.18
"401","2008-08-05",74.75
"402","2008-08-06",74.910004
"403","2008-08-07",72.839996
"404","2008-08-08",76.07
"405","2008-08-11",79.129997
"406","2008-08-12",74.57
"407","2008-08-13",72.300003
"408","2008-08-14",74.25
"409","2008-08-15",74.519997
"410","2008-08-18",71.669998
"411","2008-08-19",69.860001
"412","2008-08-20",69.190002
"413","2008-08-21",68.25
"414","2008-08-22",70.209999
"415","2008-08-25",67.730003
"416","2008-08-26",68.410004
"417","2008-08-27",68.650002
"418","2008-08-28",70.739998
"419","2008-08-29",71.339996
"420","2008-09-02",73
"421","2008-09-03",73.669998
"422","2008-09-04",72.599998
"423","2008-09-05",73.910004
"424","2008-09-08",76
"425","2008-09-09",74.559998
"426","2008-09-10",74.75
"427","2008-09-11",75.110001
"428","2008-09-12",78.169998
"429","2008-09-15",75.830002
"430","2008-09-16",80.980003
"431","2008-09-17",77.550003
"432","2008-09-18",90.099998
"433","2008-09-19",93.5
"434","2008-09-22",89.589996
"435","2008-09-23",84.129997
"436","2008-09-24",88.400002
"437","2008-09-25",87.489998
"438","2008-09-26",91.5
"439","2008-09-29",80
"440","2008-09-30",89.25
"441","2008-10-01",95.449997
"442","2008-10-02",86.25
"443","2008-10-03",87.669998
"444","2008-10-06",85.209999
"445","2008-10-07",79
"446","2008-10-08",73.540001
"447","2008-10-09",64.730003
"448","2008-10-10",72.75
"449","2008-10-13",69.599998
"450","2008-10-14",80
"451","2008-10-15",77.879997
"452","2008-10-16",79.5
"453","2008-10-17",79
"454","2008-10-20",81.080002
"455","2008-10-21",83.82
"456","2008-10-22",78.209999
"457","2008-10-23",74.040001
"458","2008-10-24",75.25
"459","2008-10-27",75.32
"460","2008-10-28",80.550003
"461","2008-10-29",78.82
"462","2008-10-30",78
"463","2008-10-31",81.099998
"464","2008-11-03",81.980003
"465","2008-11-04",87.110001
"466","2008-11-05",78.25
"467","2008-11-06",74.25
"468","2008-11-07",73.779999
"469","2008-11-10",70.900002
"470","2008-11-11",68.639999
"471","2008-11-12",64.809998
"472","2008-11-13",67.290001
"473","2008-11-14",65.830002
"474","2008-11-17",62.040001
"475","2008-11-18",61.099998
"476","2008-11-19",56.139999
"477","2008-11-20",55
"478","2008-11-21",58.209999
"479","2008-11-24",62.900002
"480","2008-11-25",64.379997
"481","2008-11-26",65.089996
"482","2008-11-28",64.25
"483","2008-12-01",56.23
"484","2008-12-02",59.84
"485","2008-12-03",62.25
"486","2008-12-04",62.169998
"487","2008-12-05",67.879997
"488","2008-12-08",69.480003
"489","2008-12-09",65.669998
"490","2008-12-10",64.82
"491","2008-12-11",58.950001
"492","2008-12-12",59.07
"493","2008-12-15",57.200001
"494","2008-12-16",61.18
"495","2008-12-17",61.380001
"496","2008-12-18",59.720001
"497","2008-12-19",55.959999
"498","2008-12-22",55.25
"499","2008-12-23",53.900002
"500","2008-12-24",55.93
"501","2008-12-26",55.389999
"502","2008-12-29",53.630001
"503","2008-12-30",55.220001
"504","2008-12-31",57.41
"505","2009-01-02",57.32
"506","2009-01-05",53.959999
"507","2009-01-06",53.34
"508","2009-01-07",49.599998
"509","2009-01-08",49.299999
"510","2009-01-09",48.099998
"511","2009-01-12",45.459999
"512","2009-01-13",47
"513","2009-01-14",45.18
"514","2009-01-15",42.59
"515","2009-01-16",39.93
"516","2009-01-20",35.599998
"517","2009-01-21",37.900002
"518","2009-01-22",36.240002
"519","2009-01-23",37.380001
"520","2009-01-26",36.700001
"521","2009-01-27",37.810001
"522","2009-01-28",42.130001
"523","2009-01-29",39.98
"524","2009-01-30",38.91
"525","2009-02-02",38.939999
"526","2009-02-03",37.23
"527","2009-02-04",38.25
"528","2009-02-05",38.27
"529","2009-02-06",41.099998
"530","2009-02-09",41.43
"531","2009-02-10",37.889999
"532","2009-02-11",38.119999
"533","2009-02-12",38.57
"534","2009-02-13",36.91
"535","2009-02-17",35
"536","2009-02-18",36.029999
"537","2009-02-19",33.299999
"538","2009-02-20",35.099998
"539","2009-02-23",35.32
"540","2009-02-24",38.950001
"541","2009-02-25",38.43
"542","2009-02-26",39.75
"543","2009-02-27",36.599998
"544","2009-03-02",34.950001
"545","2009-03-03",33.689999
"546","2009-03-04",33.52
"547","2009-03-05",30.5
"548","2009-03-06",31.85
"549","2009-03-09",32.330002
"550","2009-03-10",35.779999
"551","2009-03-11",35.66
"552","2009-03-12",38.450001
"553","2009-03-13",39.34
"554","2009-03-16",38.110001
"555","2009-03-17",39.759998
"556","2009-03-18",41.919998
"557","2009-03-19",40.139999
"558","2009-03-20",40.27
"559","2009-03-23",48.75
"560","2009-03-24",45.599998
"561","2009-03-25",45.549999
"562","2009-03-26",47.09
"563","2009-03-27",47.740002
"564","2009-03-30",44
"565","2009-03-31",45.240002
"566","2009-04-01",48.119999
"567","2009-04-02",47
"568","2009-04-03",47.310001
"569","2009-04-06",47.419998
"570","2009-04-07",46.400002
"571","2009-04-08",47.25
"572","2009-04-09",54.560001
"573","2009-04-13",55.669998
"574","2009-04-14",51.490002
"575","2009-04-15",55.099998
"576","2009-04-16",56.82
"577","2009-04-17",59.970001
"578","2009-04-20",52.509998
"579","2009-04-21",51.75
"580","2009-04-22",49.599998
"581","2009-04-23",51.540001
"582","2009-04-24",53.560001
"583","2009-04-27",50.490002
"584","2009-04-28",49.549999
"585","2009-04-29",52.599998
"586","2009-04-30",52.450001
"587","2009-05-01",49.389999
"588","2009-05-04",56.290001
"589","2009-05-05",54.290001
"590","2009-05-06",57
"591","2009-05-07",52.900002
"592","2009-05-08",55.09
"593","2009-05-11",51.279999
"594","2009-05-12",50.150002
"595","2009-05-13",46.52
"596","2009-05-14",47.990002
"597","2009-05-15",46.16
"598","2009-05-18",48.68
"599","2009-05-19",51.189999
"600","2009-05-20",47.73
"601","2009-05-21",46.580002
"602","2009-05-22",46.73
"603","2009-05-26",49
"604","2009-05-27",48.77
"605","2009-05-28",48.560001
"606","2009-05-29",50.299999
"607","2009-06-01",50.799999
"608","2009-06-02",48.959999
"609","2009-06-03",49
"610","2009-06-04",49.669998
"611","2009-06-05",48.439999
"612","2009-06-08",49.02
"613","2009-06-09",49.209999
