"","date","GRNV"
"98","2020-04-29",9.9
"99","2020-04-30",9.9
"100","2020-05-01",9.91
"101","2020-05-04",9.91
"102","2020-05-05",9.91
"103","2020-05-06",9.91
"104","2020-05-07",9.91
"105","2020-05-08",9.91
"106","2020-05-11",9.91
"107","2020-05-12",9.91
"108","2020-05-13",9.91
"109","2020-05-14",9.91
"110","2020-05-15",9.91
"111","2020-05-18",9.9
"112","2020-05-19",9.9
"113","2020-05-20",9.9
"114","2020-05-21",9.89
"115","2020-05-22",9.89
"116","2020-05-26",9.89
"117","2020-05-27",9.88
"118","2020-05-28",9.88
"119","2020-05-29",9.91
"120","2020-06-01",9.91
"121","2020-06-02",9.92
"122","2020-06-03",9.9
"123","2020-06-04",9.92
"124","2020-06-05",9.92
"125","2020-06-08",9.92
"126","2020-06-09",9.92
"127","2020-06-10",9.9
"128","2020-06-11",9.91
"129","2020-06-12",9.94
"130","2020-06-15",9.94
"131","2020-06-16",9.94
"132","2020-06-17",9.93
"133","2020-06-18",9.91
"134","2020-06-19",10
"135","2020-06-22",10
"136","2020-06-23",10
"137","2020-06-24",9.93
"138","2020-06-25",9.93
"139","2020-06-26",9.93
"140","2020-06-29",9.99
"141","2020-06-30",9.99
"142","2020-07-01",9.99
"143","2020-07-02",9.99
"144","2020-07-06",10.14
"145","2020-07-07",10.1
"146","2020-07-08",10.1
"147","2020-07-09",10.12
"148","2020-07-10",10.14
"149","2020-07-13",10.17
"150","2020-07-14",10.18
"151","2020-07-15",10.19
"152","2020-07-16",10.16
"153","2020-07-17",10.19
"154","2020-07-20",10.17
"155","2020-07-21",10.15
"156","2020-07-22",10.15
"157","2020-07-23",10.164
"158","2020-07-24",10.19
"159","2020-07-27",10.151
"160","2020-07-28",10.11
"161","2020-07-29",10.1
"162","2020-07-30",10.151
"163","2020-07-31",10.1
"164","2020-08-03",10.1
"165","2020-08-04",10.1
"166","2020-08-05",10.101
"167","2020-08-06",10.101
"168","2020-08-07",10.101
"169","2020-08-10",10.101
"170","2020-08-11",10.101
"171","2020-08-12",10.06
"172","2020-08-13",10.08
"173","2020-08-14",10.08
"174","2020-08-17",10.11
"175","2020-08-18",10.11
"176","2020-08-19",10.12
"177","2020-08-20",10.122
"178","2020-08-21",10.085
"179","2020-08-24",10.085
"180","2020-08-25",10.085
"181","2020-08-26",10.095
"182","2020-08-27",10.06
"183","2020-08-28",10.06
"184","2020-08-31",10.062
"185","2020-09-01",10.03
"186","2020-09-02",10.03
"187","2020-09-03",10.045
"188","2020-09-04",10.06
"189","2020-09-08",10.1
"190","2020-09-09",10.075
"191","2020-09-10",10.05
"192","2020-09-11",10.03
"193","2020-09-14",10.03
"194","2020-09-15",10.06
"195","2020-09-16",10.015
"196","2020-09-17",10.04
"197","2020-09-18",10.065
"198","2020-09-21",10.06
"199","2020-09-22",10
"200","2020-09-23",10.01
"201","2020-09-24",10
"202","2020-09-25",10.05
"203","2020-09-28",9.96
"204","2020-09-29",10.05
"205","2020-09-30",10.04
"206","2020-10-01",10.1
"207","2020-10-02",10.04
"208","2020-10-05",10.04
"209","2020-10-06",10.035
"210","2020-10-07",10.02
"211","2020-10-08",10.054
"212","2020-10-09",10.026
"213","2020-10-12",10.05
"214","2020-10-13",10.04
"215","2020-10-14",9.99
"216","2020-10-15",10.03
"217","2020-10-16",9.995
"218","2020-10-19",10
"219","2020-10-20",9.99
"220","2020-10-21",9.99
"221","2020-10-22",9.98
"222","2020-10-23",10.03
"223","2020-10-26",10.04
"224","2020-10-27",10.04
"225","2020-10-28",9.98
"226","2020-10-29",10
"227","2020-10-30",10
"228","2020-11-02",10
"229","2020-11-03",10
"230","2020-11-04",10
"231","2020-11-05",9.985
"232","2020-11-06",9.99
"233","2020-11-09",10
"234","2020-11-10",10
"235","2020-11-11",10
"236","2020-11-12",10.005
"237","2020-11-13",10.045
"238","2020-11-16",10.075
"239","2020-11-17",10.02
"240","2020-11-18",10.06
"241","2020-11-19",10.06
"242","2020-11-20",10.03
"243","2020-11-23",10.04
"244","2020-11-24",10.04
"245","2020-11-25",10.06
"246","2020-11-27",10.11
