"","date","SITE"
"530","2018-06-19",92.360001
"531","2018-06-20",94.519997
"532","2018-06-21",92.029999
"533","2018-06-22",89.589996
"534","2018-06-25",87.620003
"535","2018-06-26",87.75
"536","2018-06-27",86.949997
"537","2018-06-28",83.730003
"538","2018-06-29",83.970001
"539","2018-07-02",84.699997
"540","2018-07-03",80.889999
"541","2018-07-05",81.620003
"542","2018-07-06",83.410004
"543","2018-07-09",83.379997
"544","2018-07-10",83.849998
"545","2018-07-11",82.690002
"546","2018-07-12",85.300003
"547","2018-07-13",86.099998
"548","2018-07-16",85.57
"549","2018-07-17",87.860001
"550","2018-07-18",90.300003
"551","2018-07-19",92.709999
"552","2018-07-20",93.099998
"553","2018-07-23",90.589996
"554","2018-07-24",88.610001
"555","2018-07-25",87.699997
"556","2018-07-26",87.720001
"557","2018-07-27",88.07
"558","2018-07-30",85.809998
"559","2018-07-31",89.160004
"560","2018-08-01",83.860001
"561","2018-08-02",89.129997
"562","2018-08-03",89.860001
"563","2018-08-06",91.839996
"564","2018-08-07",93.220001
"565","2018-08-08",93.029999
"566","2018-08-09",93.120003
"567","2018-08-10",91.959999
"568","2018-08-13",88.970001
"569","2018-08-14",89.690002
"570","2018-08-15",88.32
"571","2018-08-16",88.610001
"572","2018-08-17",88.949997
"573","2018-08-20",89.25
"574","2018-08-21",90.339996
"575","2018-08-22",90.550003
"576","2018-08-23",89.529999
"577","2018-08-24",89.940002
"578","2018-08-27",89.82
"579","2018-08-28",90.470001
"580","2018-08-29",90.849998
"581","2018-08-30",90.809998
"582","2018-08-31",90.370003
"583","2018-09-04",90.059998
"584","2018-09-05",89.980003
"585","2018-09-06",89.839996
"586","2018-09-07",90.120003
"587","2018-09-10",92.669998
"588","2018-09-11",92.599998
"589","2018-09-12",91.970001
"590","2018-09-13",90.739998
"591","2018-09-14",90.870003
"592","2018-09-17",87.910004
"593","2018-09-18",87.75
"594","2018-09-19",84.830002
"595","2018-09-20",81.730003
"596","2018-09-21",81.199997
"597","2018-09-24",80.410004
"598","2018-09-25",82.610001
"599","2018-09-26",79.370003
"600","2018-09-27",75.860001
"601","2018-09-28",75.339996
"602","2018-10-01",73.169998
"603","2018-10-02",73.459999
"604","2018-10-03",71.5
"605","2018-10-04",71.080002
"606","2018-10-05",71.190002
"607","2018-10-08",70.720001
"608","2018-10-09",67.669998
"609","2018-10-10",66.239998
"610","2018-10-11",65.620003
"611","2018-10-12",69.690002
"612","2018-10-15",71.940002
"613","2018-10-16",72.360001
"614","2018-10-17",70.940002
"615","2018-10-18",69.93
"616","2018-10-19",67
"617","2018-10-22",67.25
"618","2018-10-23",68.050003
"619","2018-10-24",64.010002
"620","2018-10-25",64.080002
"621","2018-10-26",62.310001
"622","2018-10-29",62.41
"623","2018-10-30",63
"624","2018-10-31",68.040001
"625","2018-11-01",67.519997
"626","2018-11-02",68.010002
"627","2018-11-05",66.440002
"628","2018-11-06",66.690002
"629","2018-11-07",66.610001
"630","2018-11-08",64.730003
"631","2018-11-09",62.91
"632","2018-11-12",62.220001
"633","2018-11-13",64.550003
"634","2018-11-14",63.73
"635","2018-11-15",64.199997
"636","2018-11-16",63.110001
"637","2018-11-19",61.790001
"638","2018-11-20",58.349998
"639","2018-11-21",58.490002
"640","2018-11-23",57.830002
"641","2018-11-26",57
"642","2018-11-27",56.900002
"643","2018-11-28",58.759998
"644","2018-11-29",60.029999
"645","2018-11-30",61.639999
"646","2018-12-03",63.27
"647","2018-12-04",59.41
"648","2018-12-06",61.59
"649","2018-12-07",60.720001
"650","2018-12-10",58.040001
"651","2018-12-11",57.419998
"652","2018-12-12",55.669998
"653","2018-12-13",54.709999
"654","2018-12-14",54.490002
"655","2018-12-17",55.77
"656","2018-12-18",56.09
"657","2018-12-19",55.119999
"658","2018-12-20",53.080002
"659","2018-12-21",52.950001
"660","2018-12-24",50.790001
"661","2018-12-26",53.669998
"662","2018-12-27",54.049999
"663","2018-12-28",55.59
"664","2018-12-31",55.27
"665","2019-01-02",55.419998
"666","2019-01-03",52.349998
"667","2019-01-04",54.470001
"668","2019-01-07",55.919998
"669","2019-01-08",55.779999
"670","2019-01-09",58.919998
"671","2019-01-10",59.110001
"672","2019-01-11",58.470001
"673","2019-01-14",57.209999
"674","2019-01-15",53.049999
"675","2019-01-16",53.310001
"676","2019-01-17",54.77
"677","2019-01-18",57.009998
"678","2019-01-22",55.16
"679","2019-01-23",55.34
"680","2019-01-24",55.279999
"681","2019-01-25",55.959999
"682","2019-01-28",56.790001
"683","2019-01-29",58.029999
"684","2019-01-30",53.959999
"685","2019-01-31",53.299999
"686","2019-02-01",47.529999
"687","2019-02-04",51.490002
"688","2019-02-05",52.419998
"689","2019-02-06",51.59
"690","2019-02-07",51.849998
"691","2019-02-08",51
"692","2019-02-11",52.509998
"693","2019-02-12",54.41
"694","2019-02-13",54.84
"695","2019-02-14",53.93
"696","2019-02-15",55.07
"697","2019-02-19",55.060001
"698","2019-02-20",54.25
"699","2019-02-21",55.970001
"700","2019-02-22",55.259998
"701","2019-02-25",55.709999
"702","2019-02-26",55.450001
"703","2019-02-27",54.82
"704","2019-02-28",53.709999
"705","2019-03-01",54.619999
"706","2019-03-04",53.650002
"707","2019-03-05",52.619999
"708","2019-03-06",51.75
"709","2019-03-07",51.77
"710","2019-03-08",50.939999
"711","2019-03-11",52.259998
"712","2019-03-12",53.759998
"713","2019-03-13",53.060001
"714","2019-03-14",54.150002
"715","2019-03-15",54.669998
"716","2019-03-18",55.299999
"717","2019-03-19",56.18
"718","2019-03-20",55.450001
"719","2019-03-21",57.049999
"720","2019-03-22",55.299999
"721","2019-03-25",56.049999
"722","2019-03-26",56.860001
"723","2019-03-27",56.57
"724","2019-03-28",56.169998
"725","2019-03-29",57.150002
"726","2019-04-01",58.639999
"727","2019-04-02",57.150002
"728","2019-04-03",57.650002
"729","2019-04-04",59.310001
"730","2019-04-05",60.77
"731","2019-04-08",60.150002
"732","2019-04-09",57.790001
"733","2019-04-10",59.400002
"734","2019-04-11",61.099998
"735","2019-04-12",61.77
"736","2019-04-15",62.93
"737","2019-04-16",62.419998
"738","2019-04-17",64.610001
"739","2019-04-18",65.120003
"740","2019-04-22",63.889999
"741","2019-04-23",66.300003
"742","2019-04-24",66.059998
"743","2019-04-25",65.779999
"744","2019-04-26",67.910004
"745","2019-04-29",67.900002
"746","2019-04-30",67.300003
"747","2019-05-01",61.009998
"748","2019-05-02",59.66
"749","2019-05-03",63.48
"750","2019-05-06",64.419998
"751","2019-05-07",64.400002
"752","2019-05-08",62.709999
"753","2019-05-09",64.169998
"754","2019-05-10",64.699997
"755","2019-05-13",62.27
"756","2019-05-14",64.489998
"757","2019-05-15",66.099998
"758","2019-05-16",66.760002
"759","2019-05-17",65.379997
"760","2019-05-20",65.410004
"761","2019-05-21",66.489998
"762","2019-05-22",64.389999
"763","2019-05-23",64.529999
"764","2019-05-24",65
"765","2019-05-28",66.660004
"766","2019-05-29",66.029999
"767","2019-05-30",65.150002
"768","2019-05-31",64.870003
"769","2019-06-03",65.18
"770","2019-06-04",67
"771","2019-06-05",67.470001
"772","2019-06-06",68.370003
"773","2019-06-07",68.720001
"774","2019-06-10",69.629997
"775","2019-06-11",66.099998
"776","2019-06-12",65.470001
"777","2019-06-13",67.019997
"778","2019-06-14",65.139999
"779","2019-06-17",65.239998
"780","2019-06-18",66.959999
"781","2019-06-19",68.599998
"782","2019-06-20",68.059998
"783","2019-06-21",67.25
"784","2019-06-24",66.900002
"785","2019-06-25",68.709999
"786","2019-06-26",67.800003
"787","2019-06-27",68.919998
"788","2019-06-28",69.300003
"789","2019-07-01",69.879997
"790","2019-07-02",68.779999
"791","2019-07-03",69.5
"792","2019-07-05",69.5
"793","2019-07-08",68
"794","2019-07-09",67.089996
"795","2019-07-10",66.379997
"796","2019-07-11",66.610001
"797","2019-07-12",68.459999
"798","2019-07-15",68.709999
"799","2019-07-16",69.349998
"800","2019-07-17",69.029999
"801","2019-07-18",68.760002
"802","2019-07-19",67.760002
"803","2019-07-22",65.800003
"804","2019-07-23",66.800003
"805","2019-07-24",70.760002
"806","2019-07-25",72.379997
"807","2019-07-26",73.110001
"808","2019-07-29",68.580002
"809","2019-07-30",68.75
"810","2019-07-31",73.870003
"811","2019-08-01",72.110001
"812","2019-08-02",73.389999
"813","2019-08-05",71.190002
"814","2019-08-06",74.239998
"815","2019-08-07",74.739998
"816","2019-08-08",77.010002
"817","2019-08-09",76.190002
"818","2019-08-12",76.290001
"819","2019-08-13",76.480003
"820","2019-08-14",72.709999
"821","2019-08-15",73.489998
"822","2019-08-16",74.290001
"823","2019-08-19",75.220001
"824","2019-08-20",74.879997
"825","2019-08-21",75.870003
"826","2019-08-22",77.059998
"827","2019-08-23",75.07
"828","2019-08-26",76.18
"829","2019-08-27",75.559998
"830","2019-08-28",76.300003
"831","2019-08-29",78.169998
"832","2019-08-30",78.199997
"833","2019-09-03",74.839996
"834","2019-09-04",74.639999
"835","2019-09-05",76.559998
"836","2019-09-06",77.029999
"837","2019-09-09",78.32
"838","2019-09-10",76.620003
"839","2019-09-11",79.300003
"840","2019-09-12",78.379997
"841","2019-09-13",79.059998
"842","2019-09-16",78.32
"843","2019-09-17",79.32
"844","2019-09-18",79.879997
"845","2019-09-19",77.809998
"846","2019-09-20",74.480003
"847","2019-09-23",73.589996
"848","2019-09-24",73.18
"849","2019-09-25",75.209999
"850","2019-09-26",74.489998
"851","2019-09-27",72.889999
"852","2019-09-30",74.019997
"853","2019-10-01",72.25
"854","2019-10-02",71.559998
"855","2019-10-03",70.959999
