"","date","AIH"
"132","2020-05-05",8.42
"133","2020-05-06",8.43
"134","2020-05-07",8.83
"135","2020-05-08",8.99
"136","2020-05-11",8.56
"137","2020-05-12",8.56
"138","2020-05-13",8.31
"139","2020-05-14",8.07
"140","2020-05-15",8
"141","2020-05-18",8.2
"142","2020-05-19",8.17
"143","2020-05-20",8.035
"144","2020-05-21",8.21
"145","2020-05-22",8.07
"146","2020-05-26",8.04
"147","2020-05-27",7.79
"148","2020-05-28",7.93
"149","2020-05-29",7.92
"150","2020-06-01",7.73
"151","2020-06-02",7.59
"152","2020-06-03",7.38
"153","2020-06-04",7.27
"154","2020-06-05",7.13
"155","2020-06-08",7.36
"156","2020-06-09",7.17
"157","2020-06-10",6.96
"158","2020-06-11",6.57
"159","2020-06-12",6.44
"160","2020-06-15",6.23
"161","2020-06-16",6.35
"162","2020-06-17",6.36
"163","2020-06-18",6.27
"164","2020-06-19",6.58
"165","2020-06-22",6.37
"166","2020-06-23",6.1
"167","2020-06-24",6.05
"168","2020-06-25",6.23
"169","2020-06-26",6.11
"170","2020-06-29",6.1
"171","2020-06-30",6.18
"172","2020-07-01",6.08
"173","2020-07-02",6.2
"174","2020-07-06",5.94
"175","2020-07-07",5.51
"176","2020-07-08",5.1
"177","2020-07-09",5.12
"178","2020-07-10",5.48
"179","2020-07-13",5.89
"180","2020-07-14",5.72
"181","2020-07-15",5.83
"182","2020-07-16",5.38
"183","2020-07-17",5.58
"184","2020-07-20",5.14
"185","2020-07-21",5.08
"186","2020-07-22",5.09
"187","2020-07-23",5.05
"188","2020-07-24",4.72
"189","2020-07-27",4.5
"190","2020-07-28",4.47
"191","2020-07-29",4.85
"192","2020-07-30",5.195
"193","2020-07-31",4.64
"194","2020-08-03",4.86
"195","2020-08-04",4.78
"196","2020-08-05",4.54
"197","2020-08-06",4.48
"198","2020-08-07",4.4
"199","2020-08-10",4.55
"200","2020-08-11",4.58
"201","2020-08-12",4.49
"202","2020-08-13",4.46
"203","2020-08-14",4.5
"204","2020-08-17",4.57
"205","2020-08-18",4.66
"206","2020-08-19",4.835
"207","2020-08-20",4.86
"208","2020-08-21",4.87
"209","2020-08-24",4.9
"210","2020-08-25",4.86
"211","2020-08-26",4.85
"212","2020-08-27",4.57
"213","2020-08-28",4.59
"214","2020-08-31",4.63
"215","2020-09-01",4.735
"216","2020-09-02",4.63
"217","2020-09-03",4.23
"218","2020-09-04",3.99
"219","2020-09-08",3.94
"220","2020-09-09",4.03
"221","2020-09-10",4.13
"222","2020-09-11",4.14
"223","2020-09-14",4.23
"224","2020-09-15",4.33
"225","2020-09-16",4.33
"226","2020-09-17",4.33
"227","2020-09-18",4.35
"228","2020-09-21",4.34
"229","2020-09-22",4.5
"230","2020-09-23",4.45
"231","2020-09-24",4.38
"232","2020-09-25",4.23
"233","2020-09-28",4.25
"234","2020-09-29",4.29
"235","2020-09-30",4.26
"236","2020-10-01",4.33
"237","2020-10-02",4.57
"238","2020-10-05",4.69
"239","2020-10-06",4.7
"240","2020-10-07",4.93
"241","2020-10-08",5.11
"242","2020-10-09",5.34
"243","2020-10-12",5.53
"244","2020-10-13",6.19
"245","2020-10-14",6.17
"246","2020-10-15",6.34
"247","2020-10-16",6.855
"248","2020-10-19",7.45
"249","2020-10-20",7.5
"250","2020-10-21",7.04
"251","2020-10-22",5.8
"252","2020-10-23",5.91
"253","2020-10-26",6.01
"254","2020-10-27",5.49
"255","2020-10-28",5.62
"256","2020-10-29",5.57
"257","2020-10-30",5.58
"258","2020-11-02",5.35
"259","2020-11-03",5.44
"260","2020-11-04",5.2
"261","2020-11-05",5.58
"262","2020-11-06",5.83
"263","2020-11-09",5.82
"264","2020-11-10",5.6
"265","2020-11-11",5.34
"266","2020-11-12",5.31
"267","2020-11-13",5.24
"268","2020-11-16",5.19
"269","2020-11-17",5.05
"270","2020-11-18",4.82
"271","2020-11-19",4.75
"272","2020-11-20",4.85
"273","2020-11-23",4.74
"274","2020-11-24",4.98
"275","2020-11-25",5.23
"276","2020-11-27",5.74
