"","date","SBE"
"211","2020-07-16",10.05
"212","2020-07-17",10.1
"213","2020-07-20",10.19
"214","2020-07-21",10.14
"215","2020-07-22",10.08
"216","2020-07-23",10.09
"217","2020-07-24",10.14
"218","2020-07-27",10.3
"219","2020-07-28",10.28
"220","2020-07-29",10.2
"221","2020-07-30",10.25
"222","2020-07-31",10.2
"223","2020-08-03",10.33
"224","2020-08-04",10.32
"225","2020-08-05",10.34
"226","2020-08-06",10.35
"227","2020-08-07",10.28
"228","2020-08-10",10.21
"229","2020-08-11",10.24
"230","2020-08-12",10.2
"231","2020-08-13",10.35
"232","2020-08-14",10.31
"233","2020-08-17",10.35
"234","2020-08-18",10.3
"235","2020-08-19",10.19
"236","2020-08-20",10.25
"237","2020-08-21",10.2
"238","2020-08-24",10.2
"239","2020-08-25",10.24
"240","2020-08-26",10.25
"241","2020-08-27",10.245
"242","2020-08-28",10.2
"243","2020-08-31",10.2
"244","2020-09-01",10.2
"245","2020-09-02",10.25
"246","2020-09-03",10.265
"247","2020-09-04",10.35
"248","2020-09-08",10.35
"249","2020-09-09",10.4
"250","2020-09-10",10.38
"251","2020-09-11",10.35
"252","2020-09-14",10.37
"253","2020-09-15",10.45
"254","2020-09-16",13.3
"255","2020-09-17",14.25
"256","2020-09-18",14.25
"257","2020-09-21",13.79
"258","2020-09-22",13.19
"259","2020-09-23",12.18
"260","2020-09-24",12.46
"261","2020-09-25",13.84
"262","2020-09-28",15.53
"263","2020-09-29",15.21
"264","2020-09-30",15.6
"265","2020-10-01",15.38
"266","2020-10-02",15.39
"267","2020-10-05",14.96
"268","2020-10-06",13.9
"269","2020-10-07",13.71
"270","2020-10-08",14.72
"271","2020-10-09",14.66
"272","2020-10-12",15.05
"273","2020-10-13",14.42
"274","2020-10-14",14.85
"275","2020-10-15",15.14
"276","2020-10-16",15.21
"277","2020-10-19",16.09
"278","2020-10-20",16.040001
"279","2020-10-21",16.200001
"280","2020-10-22",15.94
"281","2020-10-23",15.61
"282","2020-10-26",14.16
"283","2020-10-27",13.95
"284","2020-10-28",13.32
"285","2020-10-29",13.6
"286","2020-10-30",13.23
"287","2020-11-02",13.71
"288","2020-11-03",14.9
"289","2020-11-04",14.2
"290","2020-11-05",15.33
"291","2020-11-06",16.110001
"292","2020-11-09",16.879999
"293","2020-11-10",16.959999
"294","2020-11-11",17
"295","2020-11-12",16.370001
"296","2020-11-13",16.549999
"297","2020-11-16",18.200001
"298","2020-11-17",19.48
"299","2020-11-18",19.68
"300","2020-11-19",24.700001
"301","2020-11-20",26.16
"302","2020-11-23",34.080002
"303","2020-11-24",36.880001
"304","2020-11-25",34.939999
"305","2020-11-27",37.130001
