"","date","LILA"
"399","2017-01-31",21.696512
"400","2017-02-01",21.583412
"401","2017-02-02",21.583412
"402","2017-02-03",22.186617
"403","2017-02-06",21.979265
"404","2017-02-07",21.687088
"405","2017-02-08",21.253534
"406","2017-02-09",21.35721
"407","2017-02-10",21.866163
"408","2017-02-13",21.31951
"409","2017-02-14",21.187559
"410","2017-02-15",21.008482
"411","2017-02-16",24.401508
"412","2017-02-17",25.193214
"413","2017-02-21",25.777569
"414","2017-02-22",24.976437
"415","2017-02-23",24.62771
"416","2017-02-24",23.854855
"417","2017-02-27",23.732328
"418","2017-02-28",23.044298
"419","2017-03-01",22.968897
"420","2017-03-02",22.130066
"421","2017-03-03",22.101791
"422","2017-03-06",22.667295
"423","2017-03-07",22.280867
"424","2017-03-08",21.705938
"425","2017-03-09",21.545712
"426","2017-03-10",21.33836
"427","2017-03-13",21.102734
"428","2017-03-14",20.80113
"429","2017-03-15",21.187559
"430","2017-03-16",21.385485
"431","2017-03-17",21.385485
"432","2017-03-20",21.121584
"433","2017-03-21",20.735155
"434","2017-03-22",20.395853
"435","2017-03-23",20.273327
"436","2017-03-24",20.207352
"437","2017-03-27",20.367579
"438","2017-03-28",20.754005
"439","2017-03-29",21.489161
"440","2017-03-30",21.281809
"441","2017-03-31",20.961357
"442","2017-04-03",20.819981
"443","2017-04-04",21.083883
"444","2017-04-05",21.347786
"445","2017-04-06",21.621113
"446","2017-04-07",21.178133
"447","2017-04-10",21.489161
"448","2017-04-11",21.33836
"449","2017-04-12",21.31951
"450","2017-04-13",21.055609
"451","2017-04-17",21.159285
"452","2017-04-18",20.603205
"453","2017-04-19",20.565504
"454","2017-04-20",20.697454
"455","2017-04-21",20.53723
"456","2017-04-24",20.414703
"457","2017-04-25",20.292177
"458","2017-04-26",20.584354
"459","2017-04-27",20.377003
"460","2017-04-28",20.235626
"461","2017-05-01",20.197926
"462","2017-05-02",20.1131
"463","2017-05-03",20.169651
"464","2017-05-04",19.076344
"465","2017-05-05",19.538172
"466","2017-05-08",20.80113
"467","2017-05-09",20.414703
"468","2017-05-10",20.263903
"469","2017-05-11",20.065975
"470","2017-05-12",19.820923
"471","2017-05-15",20.245052
"472","2017-05-16",20.122526
"473","2017-05-17",19.076344
"474","2017-05-18",19.038643
"475","2017-05-19",19.33082
"476","2017-05-22",20.1131
"477","2017-05-23",20.1131
"478","2017-05-24",19.934025
"479","2017-05-25",19.792648
"480","2017-05-26",19.943449
"481","2017-05-30",19.802074
"482","2017-05-31",19.896324
"483","2017-06-01",20.716305
"484","2017-06-02",20.706881
"485","2017-06-05",20.697454
"486","2017-06-06",20.301601
"487","2017-06-07",19.820923
"488","2017-06-08",19.736097
"489","2017-06-09",19.227144
"490","2017-06-12",19.21772
"491","2017-06-13",19.302546
"492","2017-06-14",18.925543
"493","2017-06-15",18.953817
"494","2017-06-16",19.132893
"495","2017-06-19",19.406221
"496","2017-06-20",18.925543
"497","2017-06-21",19.519321
"498","2017-06-22",19.359095
"499","2017-06-23",19.528746
"500","2017-06-26",20
"501","2017-06-27",20.065975
"502","2017-06-28",20.273327
"503","2017-06-29",20.245052
"504","2017-06-30",20.518379
"505","2017-07-03",20.829407
"506","2017-07-05",20.829407
"507","2017-07-06",20.78228
"508","2017-07-07",21.017908
"509","2017-07-10",23.081999
"510","2017-07-11",23.543827
"511","2017-07-12",23.279924
"512","2017-07-13",24.307257
"513","2017-07-14",24.60886
"514","2017-07-17",24.665409
"515","2017-07-18",24.420359
"516","2017-07-19",23.930254
"517","2017-07-20",23.845428
"518","2017-07-21",23.892553
"519","2017-07-24",23.421301
"520","2017-07-25",23.524977
"521","2017-07-26",23.977381
"522","2017-07-27",23.807728
"523","2017-07-28",24.062206
"524","2017-07-31",24.241282
"525","2017-08-01",24.335533
"526","2017-08-02",24.533459
"527","2017-08-03",24.787935
"528","2017-08-04",24.825636
"529","2017-08-07",24.778511
"530","2017-08-08",25.080112
"531","2017-08-09",25.164938
"532","2017-08-10",25.023563
"533","2017-08-11",25.438265
"534","2017-08-14",25.023563
"535","2017-08-15",24.580584
"536","2017-08-16",24.712536
"537","2017-08-17",24.524035
"538","2017-08-18",24.74081
"539","2017-08-21",24.420359
"540","2017-08-22",24.429783
"541","2017-08-23",24.316683
"542","2017-08-24",24.354383
"543","2017-08-25",24.495758
"544","2017-08-28",24.231857
"545","2017-08-29",24.486334
"546","2017-08-30",24.646561
"547","2017-08-31",24.514608
"548","2017-09-01",24.891611
"549","2017-09-05",23.760603
"550","2017-09-06",24.03393
"551","2017-09-07",23.996229
"552","2017-09-08",24.05278
"553","2017-09-11",24.147032
"554","2017-09-12",23.967955
"555","2017-09-13",24.165882
"556","2017-09-14",23.996229
"557","2017-09-15",23.534401
"558","2017-09-18",23.025448
"559","2017-09-19",22.82752
"560","2017-09-20",22.535343
"561","2017-09-21",22.233742
"562","2017-09-22",22.384542
"563","2017-09-25",22.111216
"564","2017-09-26",22.459944
"565","2017-09-27",22.167767
"566","2017-09-28",21.969839
"567","2017-09-29",22.393969
"568","2017-10-02",23.609802
"569","2017-10-03",24.147032
"570","2017-10-04",24.062206
"571","2017-10-05",23.901979
"572","2017-10-06",23.242224
"573","2017-10-09",22.56362
"574","2017-10-10",22.865221
"575","2017-10-11",22.271442
"576","2017-10-12",21.847313
"577","2017-10-13",21.988689
"578","2017-10-16",21.460886
"579","2017-10-17",20.65033
"580","2017-10-18",20.53723
"581","2017-10-19",20.065975
"582","2017-10-20",20.725731
"583","2017-10-23",20.57493
"584","2017-10-24",20.273327
"585","2017-10-25",20.480679
"586","2017-10-26",20.009424
"587","2017-10-27",19.98115
"588","2017-10-30",19.990576
"589","2017-10-31",20.471254
"590","2017-11-01",21.310085
"591","2017-11-02",21.149858
"592","2017-11-03",20.744581
"593","2017-11-06",20.631479
"594","2017-11-07",20.612629
"595","2017-11-08",20.885956
"596","2017-11-09",20.914232
"597","2017-11-10",20.885956
"598","2017-11-13",20.697454
"599","2017-11-14",20.772856
"600","2017-11-15",20.895382
"601","2017-11-16",20.546654
"602","2017-11-17",20.188501
"603","2017-11-20",20.55608
"604","2017-11-21",20.311028
"605","2017-11-22",20.320452
"606","2017-11-24",20.405277
"607","2017-11-27",19.86805
"608","2017-11-28",20.179077
"609","2017-11-29",20.471254
"610","2017-11-30",19.604147
"611","2017-12-01",20.273327
"612","2017-12-04",19.830349
"613","2017-12-05",20.047125
"614","2017-12-06",20.282753
"615","2017-12-07",20.084826
"616","2017-12-08",19.943449
"617","2017-12-11",20.301601
"618","2017-12-12",20.329878
"619","2017-12-13",20.358152
"620","2017-12-14",20.414703
"621","2017-12-15",20.452404
"622","2017-12-18",20.895382
"623","2017-12-19",20.631479
