"","date","VAC"
"304","2013-01-25",44.23
"305","2013-01-28",44.939999
"306","2013-01-29",45
"307","2013-01-30",44.389999
"308","2013-01-31",44.380001
"309","2013-02-01",44.380001
"310","2013-02-04",43.900002
"311","2013-02-05",44.91
"312","2013-02-06",45.98
"313","2013-02-07",46.540001
"314","2013-02-08",46.299999
"315","2013-02-11",46.720001
"316","2013-02-12",46.860001
"317","2013-02-13",46.860001
"318","2013-02-14",46.639999
"319","2013-02-15",46.810001
"320","2013-02-19",46.66
"321","2013-02-20",45.73
"322","2013-02-21",40.389999
"323","2013-02-22",39.93
"324","2013-02-25",39.450001
"325","2013-02-26",38.919998
"326","2013-02-27",40.990002
"327","2013-02-28",41.259998
"328","2013-03-01",42.290001
"329","2013-03-04",42.779999
"330","2013-03-05",42.380001
"331","2013-03-06",42.560001
"332","2013-03-07",42.439999
"333","2013-03-08",42.619999
"334","2013-03-11",42.689999
"335","2013-03-12",42.580002
"336","2013-03-13",42.77
"337","2013-03-14",42.720001
"338","2013-03-15",42.990002
"339","2013-03-18",42.259998
"340","2013-03-19",42.759998
"341","2013-03-20",42.889999
"342","2013-03-21",42.52
"343","2013-03-22",42.82
"344","2013-03-25",43
"345","2013-03-26",42.77
"346","2013-03-27",42.740002
"347","2013-03-28",42.91
"348","2013-04-01",42.5
"349","2013-04-02",42.18
"350","2013-04-03",41.610001
"351","2013-04-04",42.490002
"352","2013-04-05",42.200001
"353","2013-04-08",42.5
"354","2013-04-09",43.119999
"355","2013-04-10",43.84
"356","2013-04-11",44.34
"357","2013-04-12",44.689999
"358","2013-04-15",42.18
"359","2013-04-16",43.779999
"360","2013-04-17",43.759998
"361","2013-04-18",42.830002
"362","2013-04-19",43.57
"363","2013-04-22",44
"364","2013-04-23",44.540001
"365","2013-04-24",43.400002
"366","2013-04-25",45.09
"367","2013-04-26",45.849998
"368","2013-04-29",45.509998
"369","2013-04-30",45.48
"370","2013-05-01",44.349998
"371","2013-05-02",44.110001
"372","2013-05-03",44.709999
"373","2013-05-06",44.869999
"374","2013-05-07",45.73
"375","2013-05-08",46.02
"376","2013-05-09",45.52
"377","2013-05-10",45.84
"378","2013-05-13",45.830002
"379","2013-05-14",45.959999
"380","2013-05-15",46.189999
"381","2013-05-16",45.439999
"382","2013-05-17",44.439999
"383","2013-05-20",43.860001
"384","2013-05-21",43.790001
"385","2013-05-22",42.869999
"386","2013-05-23",44.27
"387","2013-05-24",43.830002
"388","2013-05-28",45.139999
"389","2013-05-29",44.549999
"390","2013-05-30",44.709999
"391","2013-05-31",44.25
"392","2013-06-03",44.720001
"393","2013-06-04",43.689999
"394","2013-06-05",42.73
"395","2013-06-06",42.66
"396","2013-06-07",43.560001
"397","2013-06-10",44.810001
"398","2013-06-11",43.509998
"399","2013-06-12",43.009998
"400","2013-06-13",44.860001
"401","2013-06-14",43.759998
"402","2013-06-17",44.619999
"403","2013-06-18",45.150002
"404","2013-06-19",44.720001
"405","2013-06-20",43.59
"406","2013-06-21",42.740002
"407","2013-06-24",41.48
"408","2013-06-25",42.419998
"409","2013-06-26",42.810001
"410","2013-06-27",43.470001
"411","2013-06-28",43.240002
"412","2013-07-01",44.040001
"413","2013-07-02",44.450001
"414","2013-07-03",44.580002
"415","2013-07-05",45.66
"416","2013-07-08",45.369999
"417","2013-07-09",46.259998
"418","2013-07-10",46.639999
"419","2013-07-11",47.360001
"420","2013-07-12",47.139999
"421","2013-07-15",47.080002
"422","2013-07-16",46.68
"423","2013-07-17",46.970001
"424","2013-07-18",45.779999
"425","2013-07-19",44.349998
"426","2013-07-22",44.98
"427","2013-07-23",44.32
"428","2013-07-24",44.360001
"429","2013-07-25",44.720001
"430","2013-07-26",44.43
"431","2013-07-29",43.700001
"432","2013-07-30",44.48
"433","2013-07-31",44
"434","2013-08-01",44.529999
"435","2013-08-02",43.82
"436","2013-08-05",43.91
"437","2013-08-06",43.799999
"438","2013-08-07",43.869999
"439","2013-08-08",45.639999
"440","2013-08-09",45.48
"441","2013-08-12",45.5
"442","2013-08-13",45.540001
"443","2013-08-14",45.5
"444","2013-08-15",45
"445","2013-08-16",44.869999
"446","2013-08-19",43.619999
"447","2013-08-20",43.810001
"448","2013-08-21",43.540001
"449","2013-08-22",44.400002
"450","2013-08-23",44.73
"451","2013-08-26",44.450001
"452","2013-08-27",42.720001
"453","2013-08-28",42.959999
"454","2013-08-29",43.860001
"455","2013-08-30",43.599998
"456","2013-09-03",43.650002
"457","2013-09-04",43.68
"458","2013-09-05",43.580002
"459","2013-09-06",43.5
"460","2013-09-09",43.759998
"461","2013-09-10",44.09
"462","2013-09-11",43.73
"463","2013-09-12",43.5
"464","2013-09-13",43.259998
"465","2013-09-16",43.779999
"466","2013-09-17",43.799999
"467","2013-09-18",44.669998
"468","2013-09-19",44.470001
"469","2013-09-20",44.34
"470","2013-09-23",44.290001
"471","2013-09-24",44.5
"472","2013-09-25",43.630001
"473","2013-09-26",44.529999
"474","2013-09-27",44.279999
"475","2013-09-30",44
"476","2013-10-01",45.279999
"477","2013-10-02",45.049999
"478","2013-10-03",44.849998
"479","2013-10-04",45.580002
"480","2013-10-07",45.549999
"481","2013-10-08",44.68
"482","2013-10-09",44.5
"483","2013-10-10",47
"484","2013-10-11",48.580002
"485","2013-10-14",48.75
"486","2013-10-15",47.82
"487","2013-10-16",48.279999
"488","2013-10-17",49.119999
"489","2013-10-18",49.349998
"490","2013-10-21",49.110001
"491","2013-10-22",48.869999
"492","2013-10-23",49.060001
"493","2013-10-24",49.84
"494","2013-10-25",50.119999
"495","2013-10-28",50.150002
"496","2013-10-29",50.950001
"497","2013-10-30",50.310001
"498","2013-10-31",50.080002
"499","2013-11-01",49.98
"500","2013-11-04",50.860001
"501","2013-11-05",50.529999
"502","2013-11-06",50.619999
"503","2013-11-07",49.66
"504","2013-11-08",50.759998
"505","2013-11-11",50.68
"506","2013-11-12",50.34
"507","2013-11-13",51.099998
"508","2013-11-14",51.23
"509","2013-11-15",51.450001
"510","2013-11-18",51.200001
"511","2013-11-19",50.830002
"512","2013-11-20",50.540001
"513","2013-11-21",51.299999
"514","2013-11-22",51.57
"515","2013-11-25",51.73
"516","2013-11-26",51.919998
"517","2013-11-27",52.200001
"518","2013-11-29",52.240002
"519","2013-12-02",52.099998
"520","2013-12-03",51.84
"521","2013-12-04",51.41
"522","2013-12-05",51.869999
"523","2013-12-06",51.59
"524","2013-12-09",51.299999
"525","2013-12-10",50.540001
"526","2013-12-11",49.82
"527","2013-12-12",50.130001
"528","2013-12-13",50.740002
"529","2013-12-16",51.43
"530","2013-12-17",51.630001
"531","2013-12-18",52.75
"532","2013-12-19",52.27
"533","2013-12-20",53.349998
"534","2013-12-23",53
"535","2013-12-24",53.240002
"536","2013-12-26",53.459999
"537","2013-12-27",53.02
"538","2013-12-30",53.040001
"539","2013-12-31",52.759998
"540","2014-01-02",52.349998
"541","2014-01-03",52.66
"542","2014-01-06",51.900002
"543","2014-01-07",52.009998
"544","2014-01-08",52.369999
"545","2014-01-09",51.990002
"546","2014-01-10",52.310001
"547","2014-01-13",50.66
"548","2014-01-14",51.599998
"549","2014-01-15",51.759998
"550","2014-01-16",51
"551","2014-01-17",50.32
"552","2014-01-21",50.52
"553","2014-01-22",50.790001
"554","2014-01-23",50.18
"555","2014-01-24",48.849998
"556","2014-01-27",48.32
"557","2014-01-28",48.900002
"558","2014-01-29",47.84
"559","2014-01-30",48.450001
"560","2014-01-31",47.880001
"561","2014-02-03",47.299999
"562","2014-02-04",47.540001
"563","2014-02-05",47.540001
"564","2014-02-06",48.419998
"565","2014-02-07",48.950001
"566","2014-02-10",48.669998
"567","2014-02-11",48.950001
"568","2014-02-12",48.869999
"569","2014-02-13",50.040001
"570","2014-02-14",50.049999
"571","2014-02-18",50.509998
"572","2014-02-19",50.459999
"573","2014-02-20",50.27
"574","2014-02-21",50.110001
"575","2014-02-24",49.779999
"576","2014-02-25",49.990002
"577","2014-02-26",50.360001
"578","2014-02-27",51.860001
"579","2014-02-28",52.439999
"580","2014-03-03",52.41
"581","2014-03-04",53.970001
"582","2014-03-05",53.869999
"583","2014-03-06",54.02
"584","2014-03-07",54.84
"585","2014-03-10",54.939999
"586","2014-03-11",54.849998
"587","2014-03-12",55.049999
"588","2014-03-13",54.16
"589","2014-03-14",54.049999
