"","date","PRVL"
"247","2020-06-11",15.55
"248","2020-06-12",15.59
"249","2020-06-15",16
"250","2020-06-16",15.83
"251","2020-06-17",16.98
"252","2020-06-18",16.77
"253","2020-06-19",16.549999
"254","2020-06-22",16.65
"255","2020-06-23",16.59
"256","2020-06-24",15.9
"257","2020-06-25",15.4
"258","2020-06-26",14.59
"259","2020-06-29",14.66
"260","2020-06-30",14.9
"261","2020-07-01",15.99
"262","2020-07-02",15.4
"263","2020-07-06",15.41
"264","2020-07-07",15.18
"265","2020-07-08",15.24
"266","2020-07-09",15.4
"267","2020-07-10",15.04
"268","2020-07-13",14.415
"269","2020-07-14",14.27
"270","2020-07-15",15.31
"271","2020-07-16",15.22
"272","2020-07-17",15.53
"273","2020-07-20",15.68
"274","2020-07-21",15.62
"275","2020-07-22",15.44
"276","2020-07-23",15.65
"277","2020-07-24",15.65
"278","2020-07-27",16.15
"279","2020-07-28",16.030001
"280","2020-07-29",14.71
"281","2020-07-30",14.65
"282","2020-07-31",14.97
"283","2020-08-03",15.75
"284","2020-08-04",15.44
"285","2020-08-05",15.35
"286","2020-08-06",15.37
"287","2020-08-07",15.51
"288","2020-08-10",15.88
"289","2020-08-11",13.55
"290","2020-08-12",13.18
"291","2020-08-13",13.14
"292","2020-08-14",12.9
"293","2020-08-17",13
"294","2020-08-18",12.94
"295","2020-08-19",12.88
"296","2020-08-20",12.97
"297","2020-08-21",12.63
"298","2020-08-24",12.51
"299","2020-08-25",12.13
"300","2020-08-26",12.5
"301","2020-08-27",12.17
"302","2020-08-28",12.02
"303","2020-08-31",12.25
"304","2020-09-01",11.91
"305","2020-09-02",11.98
"306","2020-09-03",11.51
"307","2020-09-04",11.8
"308","2020-09-08",11.5
"309","2020-09-09",11.11
"310","2020-09-10",11.27
"311","2020-09-11",11.3
"312","2020-09-14",11.6
"313","2020-09-15",12
"314","2020-09-16",11.87
"315","2020-09-17",11.64
"316","2020-09-18",11.75
"317","2020-09-21",11.31
"318","2020-09-22",11.31
"319","2020-09-23",11
"320","2020-09-24",10.54
"321","2020-09-25",11.39
"322","2020-09-28",10.68
"323","2020-09-29",9.93
"324","2020-09-30",10.18
"325","2020-10-01",10.28
"326","2020-10-02",10.26
"327","2020-10-05",10.97
"328","2020-10-06",10.3
"329","2020-10-07",10.475
"330","2020-10-08",10.4
"331","2020-10-09",10.47
"332","2020-10-12",10.2
"333","2020-10-13",10.38
"334","2020-10-14",10.32
"335","2020-10-15",9.33
"336","2020-10-16",9.745
"337","2020-10-19",9.745
"338","2020-10-20",10.6
"339","2020-10-21",10
"340","2020-10-22",10.13
"341","2020-10-23",10.82
"342","2020-10-26",10.39
"343","2020-10-27",10.72
"344","2020-10-28",10.55
"345","2020-10-29",9.95
"346","2020-10-30",9.79
"347","2020-11-02",10.19
"348","2020-11-03",10.04
"349","2020-11-04",10.74
"350","2020-11-05",10.2
"351","2020-11-06",9.81
"352","2020-11-09",9.63
"353","2020-11-10",9.92
"354","2020-11-11",9.76
"355","2020-11-12",9.8
"356","2020-11-13",9.76
"357","2020-11-16",10.05
"358","2020-11-17",9.84
"359","2020-11-18",9.7
"360","2020-11-19",10.09
"361","2020-11-20",10.14
"362","2020-11-23",10.31
"363","2020-11-24",10.33
"364","2020-11-25",10.15
"365","2020-11-27",10.03
