"","date","BAP"
"524","2009-01-30",39.74976
"525","2009-02-02",38.575554
"526","2009-02-03",38.286816
"527","2009-02-04",36.717999
"528","2009-02-05",36.198269
"529","2009-02-06",37.536091
"530","2009-02-09",38.527431
"531","2009-02-10",37.401348
"532","2009-02-11",38.604427
"533","2009-02-12",39.355148
"534","2009-02-13",38.498558
"535","2009-02-17",36.275265
"536","2009-02-18",36.121269
"537","2009-02-19",36.092396
"538","2009-02-20",35.303177
"539","2009-02-23",35.43792
"540","2009-02-24",35.909527
"541","2009-02-25",35.466797
"542","2009-02-26",35.16843
"543","2009-02-27",35.139557
"544","2009-03-02",33.62849
"545","2009-03-03",33.493744
"546","2009-03-04",34.83157
"547","2009-03-05",34.023098
"548","2009-03-06",34.119347
"549","2009-03-09",33.282001
"550","2009-03-10",35.428295
"551","2009-03-11",36.641003
"552","2009-03-12",38.440807
"553","2009-03-13",38.411934
"554","2009-03-16",39.326275
"555","2009-03-17",40.240616
"556","2009-03-18",40.760345
"557","2009-03-19",41.145332
"558","2009-03-20",39.83638
"559","2009-03-23",43.638115
"560","2009-03-24",42.252167
"561","2009-03-25",43.724735
"562","2009-03-26",45.745911
"563","2009-03-27",44.956688
"564","2009-03-30",43.657364
"565","2009-03-31",45.08181
"566","2009-04-01",46.352261
"567","2009-04-02",48.267567
"568","2009-04-03",49.942253
"569","2009-04-06",49.374397
"570","2009-04-07",47.892204
"571","2009-04-08",48.238689
"572","2009-04-09",49.769009
"573","2009-04-13",51.000961
"574","2009-04-14",49.547642
"575","2009-04-15",48.585178
"576","2009-04-16",48.13282
"577","2009-04-17",47.872955
"578","2009-04-20",45.871029
"579","2009-04-21",47.353226
"580","2009-04-22",47.776707
"581","2009-04-23",47.410973
"582","2009-04-24",49.489895
"583","2009-04-27",47.160732
"584","2009-04-28",46.005775
"585","2009-04-29",47.901829
"586","2009-04-30",48.142445
"587","2009-05-01",48.152069
"588","2009-05-04",50.384987
"589","2009-05-05",51.164581
"590","2009-05-06",56.140518
"591","2009-05-07",53.647739
"592","2009-05-08",54.282963
"593","2009-05-11",52.146294
"594","2009-05-12",52.916267
"595","2009-05-13",51.116459
"596","2009-05-14",50.93359
"597","2009-05-15",50.240616
"598","2009-05-18",51.203079
"599","2009-05-19",51.799809
"600","2009-05-20",51.905678
"601","2009-05-21",50.664101
"602","2009-05-22",51.318577
"603","2009-05-26",52.935516
"604","2009-05-27",53.609241
"605","2009-05-28",55.283928
"606","2009-05-29",57.959576
"607","2009-06-01",59.91338
"608","2009-06-02",58.21944
"609","2009-06-03",56.939365
"610","2009-06-04",59.932629
"611","2009-06-05",59.451397
"612","2009-06-08",59.355148
"613","2009-06-09",59.432148
"614","2009-06-10",60.144371
"615","2009-06-11",60.375362
"616","2009-06-12",59.846004
"617","2009-06-15",58.970165
"618","2009-06-16",58.306065
"619","2009-06-17",57.516842
"620","2009-06-18",57.237728
"621","2009-06-19",57.661213
"622","2009-06-22",55.264679
"623","2009-06-23",54.552456
"624","2009-06-24",55.24543
"625","2009-06-25",55.861404
"626","2009-06-26",56.583252
"627","2009-06-29",56.717999
"628","2009-06-30",56.0154
"629","2009-07-01",56.515881
"630","2009-07-02",55.899902
"631","2009-07-06",55.736286
"632","2009-07-07",55.004814
"633","2009-07-08",54.465832
"634","2009-07-09",54.350338
"635","2009-07-10",53.792107
"636","2009-07-13",55.024063
"637","2009-07-14",56.111645
"638","2009-07-15",57.449471
"639","2009-07-16",58.075073
"640","2009-07-17",58.517807
"641","2009-07-20",60.394611
"642","2009-07-21",61.597691
"643","2009-07-22",62.675652
"644","2009-07-23",64.119347
"645","2009-07-24",63.888355
"646","2009-07-27",64.600578
"647","2009-07-28",64.369583
"648","2009-07-29",63.532242
"649","2009-07-30",63.589989
"650","2009-07-31",64.196342
"651","2009-08-03",65.226181
"652","2009-08-04",65.534164
"653","2009-08-05",66.198265
"654","2009-08-06",65.861404
"655","2009-08-07",66.871994
"656","2009-08-10",65.948029
"657","2009-08-11",64.436958
"658","2009-08-12",64.388832
"659","2009-08-13",67.439842
"660","2009-08-14",68.902794
"661","2009-08-17",68.229065
"662","2009-08-18",68.739174
"663","2009-08-19",68.81617
"664","2009-08-20",68.854668
"665","2009-08-21",68.864296
"666","2009-08-24",67.709335
"667","2009-08-25",68.267563
"668","2009-08-26",69.451393
"669","2009-08-27",68.97979
"670","2009-08-28",68.681427
"671","2009-08-31",68.739174
"672","2009-09-01",66.207893
"673","2009-09-02",65.784409
"674","2009-09-03",68.113571
"675","2009-09-04",68.594803
"676","2009-09-08",69.817131
"677","2009-09-09",71.241577
"678","2009-09-10",71.886429
"679","2009-09-11",71.145332
"680","2009-09-14",71.251205
"681","2009-09-15",71.992302
"682","2009-09-16",72.117424
"683","2009-09-17",72.338791
"684","2009-09-18",73.772858
"685","2009-09-21",73.349373
"686","2009-09-22",74.379211
"687","2009-09-23",73.2435
"688","2009-09-24",72.261787
"689","2009-09-25",72.184792
"690","2009-09-28",74.07122
"691","2009-09-29",74.513954
"692","2009-09-30",74.841194
"693","2009-10-01",73.551491
"694","2009-10-02",73.339752
"695","2009-10-05",74.937439
"696","2009-10-06",75.909531
"697","2009-10-07",75.611168
"698","2009-10-08",75.630417
"699","2009-10-09",75.861404
"700","2009-10-12",76.227142
"701","2009-10-13",75.967278
"702","2009-10-14",76.891243
"703","2009-10-15",76.612129
"704","2009-10-16",75.591919
"705","2009-10-19",75.216553
"706","2009-10-20",74.167465
"707","2009-10-21",73.859482
"708","2009-10-22",73.368622
"709","2009-10-23",72.232918
"710","2009-10-26",71.578438
"711","2009-10-27",68.806541
"712","2009-10-28",65.457169
"713","2009-10-29",66.823868
"714","2009-10-30",66.438881
"715","2009-11-02",67.420593
"716","2009-11-03",68.796921
"717","2009-11-04",69.076035
