"","date","INMB"
"334","2020-06-01",5.81
"335","2020-06-02",5.554
"336","2020-06-03",5.65
"337","2020-06-04",5.34
"338","2020-06-05",5.41
"339","2020-06-08",5.61
"340","2020-06-09",5.48
"341","2020-06-10",5.45
"342","2020-06-11",5.21
"343","2020-06-12",5.21
"344","2020-06-15",5.48
"345","2020-06-16",5.49
"346","2020-06-17",5.8
"347","2020-06-18",5.99
"348","2020-06-19",6
"349","2020-06-22",5.72
"350","2020-06-23",5.89
"351","2020-06-24",5.43
"352","2020-06-25",5.78
"353","2020-06-26",5.99
"354","2020-06-29",5.39
"355","2020-06-30",5.25
"356","2020-07-01",5.06
"357","2020-07-02",5
"358","2020-07-06",5.17
"359","2020-07-07",4.92
"360","2020-07-08",5.2
"361","2020-07-09",6.1
"362","2020-07-10",7
"363","2020-07-13",8.85
"364","2020-07-14",15.75
"365","2020-07-15",13.05
"366","2020-07-16",10.73
"367","2020-07-17",11.15
"368","2020-07-20",14.08
"369","2020-07-21",13.48
"370","2020-07-22",12.77
"371","2020-07-23",12.15
"372","2020-07-24",12.64
"373","2020-07-27",11.56
"374","2020-07-28",11.68
"375","2020-07-29",11.49
"376","2020-07-30",11.75
"377","2020-07-31",11.62
"378","2020-08-03",11.79
"379","2020-08-04",11.82
"380","2020-08-05",11.87
"381","2020-08-06",11.4
"382","2020-08-07",10.66
"383","2020-08-10",10.49
"384","2020-08-11",9.89
"385","2020-08-12",9.93
"386","2020-08-13",10.18
"387","2020-08-14",9.69
"388","2020-08-17",8.9
"389","2020-08-18",9.52
"390","2020-08-19",9.2
"391","2020-08-20",9.87
"392","2020-08-21",9.45
"393","2020-08-24",8.74
"394","2020-08-25",9.11
"395","2020-08-26",9.18
"396","2020-08-27",9.59
"397","2020-08-28",10.24
"398","2020-08-31",10.5
"399","2020-09-01",10.38
"400","2020-09-02",9.78
"401","2020-09-03",9.44
"402","2020-09-04",9.31
"403","2020-09-08",9.33
"404","2020-09-09",10.05
"405","2020-09-10",9.83
"406","2020-09-11",9.84
"407","2020-09-14",10.35
"408","2020-09-15",10.44
"409","2020-09-16",11.14
"410","2020-09-17",11.59
"411","2020-09-18",11.37
"412","2020-09-21",10.97
"413","2020-09-22",10.68
"414","2020-09-23",10.31
"415","2020-09-24",10.43
"416","2020-09-25",11.09
"417","2020-09-28",10.26
"418","2020-09-29",11
"419","2020-09-30",10.31
"420","2020-10-01",10.39
"421","2020-10-02",10.27
"422","2020-10-05",10.65
"423","2020-10-06",10.63
"424","2020-10-07",10.5
"425","2020-10-08",10.41
"426","2020-10-09",10.36
"427","2020-10-12",9.56
"428","2020-10-13",9.51
"429","2020-10-14",9.17
"430","2020-10-15",8.7
"431","2020-10-16",8.73
"432","2020-10-19",8.15
"433","2020-10-20",8.33
"434","2020-10-21",7.98
"435","2020-10-22",8.42
"436","2020-10-23",8.24
"437","2020-10-26",8.11
"438","2020-10-27",8
"439","2020-10-28",7.8
"440","2020-10-29",7.8
"441","2020-10-30",7.66
"442","2020-11-02",7.51
"443","2020-11-03",8.09
"444","2020-11-04",8.28
"445","2020-11-05",8.45
"446","2020-11-06",7.69
"447","2020-11-09",7.74
"448","2020-11-10",8.2
"449","2020-11-11",8.32
"450","2020-11-12",8.57
"451","2020-11-13",8.71
"452","2020-11-16",8.6
"453","2020-11-17",9.29
"454","2020-11-18",8.73
"455","2020-11-19",8.81
"456","2020-11-20",8.93
"457","2020-11-23",8.58
"458","2020-11-24",8.47
"459","2020-11-25",8.47
"460","2020-11-27",8.91
