"","date","WAFU"
"216","2020-03-06",2.4
"217","2020-03-09",1.31
"218","2020-03-10",1.56
"219","2020-03-11",1.79
"220","2020-03-12",1.98
"221","2020-03-13",1.67
"222","2020-03-16",1.45
"223","2020-03-17",1.36
"224","2020-03-18",1.33
"225","2020-03-19",1.4
"226","2020-03-20",1.65
"227","2020-03-23",1.48
"228","2020-03-24",1.58
"229","2020-03-25",1.72
"230","2020-03-26",1.58
"231","2020-03-27",1.57
"232","2020-03-30",1.6
"233","2020-03-31",1.64
"234","2020-04-01",1.5
"235","2020-04-02",1.523
"236","2020-04-03",1.41
"237","2020-04-06",1.58
"238","2020-04-07",1.59
"239","2020-04-08",1.58
"240","2020-04-09",1.526
"241","2020-04-13",1.475
"242","2020-04-14",1.85
"243","2020-04-15",1.59
"244","2020-04-16",1.51
"245","2020-04-17",1.62
"246","2020-04-20",1.5
"247","2020-04-21",1.607
"248","2020-04-22",1.58
"249","2020-04-23",1.584
"250","2020-04-24",1.595
"251","2020-04-27",1.581
"252","2020-04-28",1.62
"253","2020-04-29",1.677
"254","2020-04-30",1.595
"255","2020-05-01",1.54
"256","2020-05-04",1.52
"257","2020-05-05",1.51
"258","2020-05-06",1.515
"259","2020-05-07",1.501
"260","2020-05-08",1.535
"261","2020-05-11",1.6
"262","2020-05-12",1.74
"263","2020-05-13",1.7
"264","2020-05-14",1.7
"265","2020-05-15",1.61
"266","2020-05-18",1.71
"267","2020-05-19",1.66
"268","2020-05-20",1.82
"269","2020-05-21",1.87
"270","2020-05-22",1.8
"271","2020-05-26",2.41
"272","2020-05-27",2.5
"273","2020-05-28",2.145
"274","2020-05-29",2.05
"275","2020-06-01",2
"276","2020-06-02",2.02
"277","2020-06-03",1.96
"278","2020-06-04",1.98
"279","2020-06-05",2
"280","2020-06-08",2
"281","2020-06-09",2.13
"282","2020-06-10",2.22
"283","2020-06-11",7.15
"284","2020-06-12",5.44
"285","2020-06-15",4.74
"286","2020-06-16",7.6
"287","2020-06-17",6.38
"288","2020-06-18",6.38
"289","2020-06-19",6.02
"290","2020-06-22",5.61
"291","2020-06-23",5.15
"292","2020-06-24",5.21
"293","2020-06-25",5.02
"294","2020-06-26",4.6
"295","2020-06-29",4.2
"296","2020-06-30",4.39
"297","2020-07-01",4.53
"298","2020-07-02",4.9
"299","2020-07-06",4.78
"300","2020-07-07",4.46
"301","2020-07-08",4.48
"302","2020-07-09",5
"303","2020-07-10",7.18
"304","2020-07-13",6.09
"305","2020-07-14",5.38
"306","2020-07-15",5.57
"307","2020-07-16",5.9
"308","2020-07-17",5.76
"309","2020-07-20",5.48
"310","2020-07-21",5.9
"311","2020-07-22",5.78
"312","2020-07-23",5.68
"313","2020-07-24",5.4
"314","2020-07-27",5.51
"315","2020-07-28",5.61
"316","2020-07-29",5.62
"317","2020-07-30",6.05
"318","2020-07-31",5.35
"319","2020-08-03",5.31
"320","2020-08-04",5.407
"321","2020-08-05",5.949
"322","2020-08-06",5.78
"323","2020-08-07",5.71
"324","2020-08-10",5.78
"325","2020-08-11",5.44
"326","2020-08-12",5.52
"327","2020-08-13",5.28
"328","2020-08-14",5.39
"329","2020-08-17",5.12
"330","2020-08-18",5.15
"331","2020-08-19",5.62
"332","2020-08-20",5.51
"333","2020-08-21",5.15
"334","2020-08-24",4.54
"335","2020-08-25",4.81
"336","2020-08-26",4.64
"337","2020-08-27",4.26
"338","2020-08-28",4.44
"339","2020-08-31",4.35
"340","2020-09-01",4.46
"341","2020-09-02",4.33
"342","2020-09-03",4.09
"343","2020-09-04",3.85
"344","2020-09-08",3.57
"345","2020-09-09",3.28
"346","2020-09-10",3.545
"347","2020-09-11",3.25
"348","2020-09-14",3.23
"349","2020-09-15",3.27
"350","2020-09-16",3.24
"351","2020-09-17",3.29
"352","2020-09-18",3.3
"353","2020-09-21",3.09
"354","2020-09-22",3
"355","2020-09-23",2.873
"356","2020-09-24",2.68
"357","2020-09-25",2.89
"358","2020-09-28",3.16
"359","2020-09-29",3.265
"360","2020-09-30",3.68
"361","2020-10-01",3.515
"362","2020-10-02",3.39
"363","2020-10-05",3.47
"364","2020-10-06",3.39
"365","2020-10-07",3.26
"366","2020-10-08",3.19
"367","2020-10-09",3.2
"368","2020-10-12",6.87
"369","2020-10-13",4.72
"370","2020-10-14",4.38
"371","2020-10-15",4.55
"372","2020-10-16",4.84
"373","2020-10-19",4.85
"374","2020-10-20",4.81
"375","2020-10-21",4.72
"376","2020-10-22",4.32
"377","2020-10-23",4.53
"378","2020-10-26",4.38
"379","2020-10-27",4.29
"380","2020-10-28",4.1
"381","2020-10-29",4.1
"382","2020-10-30",3.8
"383","2020-11-02",3.8
"384","2020-11-03",3.9
"385","2020-11-04",3.8
"386","2020-11-05",3.9
"387","2020-11-06",4.18
"388","2020-11-09",3.91
"389","2020-11-10",3.9
"390","2020-11-11",3.87
"391","2020-11-12",4.29
"392","2020-11-13",4.37
"393","2020-11-16",4.28
"394","2020-11-17",4.149
"395","2020-11-18",4.4
"396","2020-11-19",4.4
"397","2020-11-20",4.33
"398","2020-11-23",4.34
"399","2020-11-24",4.47
"400","2020-11-25",4.78
"401","2020-11-27",4.365
