"","date","IRWD"
"287","2011-03-23",11.273032
"288","2011-03-24",11.197655
"289","2011-03-25",11.072027
"290","2011-03-28",11.273032
"291","2011-03-29",11.700168
"292","2011-03-30",11.758794
"293","2011-03-31",11.708543
"294","2011-04-01",11.742043
"295","2011-04-04",11.917923
"296","2011-04-05",12.20268
"297","2011-04-06",12.319933
"298","2011-04-07",12.252932
"299","2011-04-08",12.319933
"300","2011-04-11",12.361809
"301","2011-04-12",12.403685
"302","2011-04-13",12.487437
"303","2011-04-14",12.98995
"304","2011-04-15",13.442211
"305","2011-04-18",12.897822
"306","2011-04-19",12.964824
"307","2011-04-20",12.939698
"308","2011-04-21",12.738693
"309","2011-04-25",12.638191
"310","2011-04-26",12.529313
"311","2011-04-27",12.504188
"312","2011-04-28",12.554439
"313","2011-04-29",12.244556
"314","2011-05-02",12.060302
"315","2011-05-03",11.884422
"316","2011-05-04",11.809045
"317","2011-05-05",12.01005
"318","2011-05-06",12.026801
"319","2011-05-09",12.286432
"320","2011-05-10",12.520938
"321","2011-05-11",12.529313
"322","2011-05-12",12.654942
"323","2011-05-13",12.571189
"324","2011-05-16",12.395309
"325","2011-05-17",12.512563
"326","2011-05-18",12.512563
"327","2011-05-19",12.579564
"328","2011-05-20",12.562814
"329","2011-05-23",12.453937
"330","2011-05-24",12.353434
"331","2011-05-25",12.571189
"332","2011-05-26",12.562814
"333","2011-05-27",12.613066
"334","2011-05-31",12.663317
"335","2011-06-01",12.546063
"336","2011-06-02",12.554439
"337","2011-06-03",12.495812
"338","2011-06-06",12.479062
"339","2011-06-07",12.562814
"340","2011-06-08",12.445561
"341","2011-06-09",12.504188
"342","2011-06-10",12.420436
"343","2011-06-13",12.587939
"344","2011-06-14",13.283082
"345","2011-06-15",13.056952
"346","2011-06-16",13.190955
"347","2011-06-17",13.241206
"348","2011-06-20",13.358459
"349","2011-06-21",13.316583
"350","2011-06-22",13.400335
"351","2011-06-23",13.618091
"352","2011-06-24",13.425461
"353","2011-06-27",13.56784
"354","2011-06-28",13.735343
"355","2011-06-29",13.358459
