"","date","CIIC"
"148","2020-09-01",9.97
"149","2020-09-02",10.025
"150","2020-09-03",10.01
"151","2020-09-04",10.01
"152","2020-09-08",10.01
"153","2020-09-09",10.01
"154","2020-09-10",10.05
"155","2020-09-11",10.073
"156","2020-09-14",10.01
"157","2020-09-15",10
"158","2020-09-16",10.02
"159","2020-09-17",10.065
"160","2020-09-18",10.07
"161","2020-09-21",10.07
"162","2020-09-22",10.05
"163","2020-09-23",10.02
"164","2020-09-24",10.03
"165","2020-09-25",10.06
"166","2020-09-28",10.04
"167","2020-09-29",10
"168","2020-09-30",10.02
"169","2020-10-01",10
"170","2020-10-02",10.02
"171","2020-10-05",10.02
"172","2020-10-06",10.03
"173","2020-10-07",9.99
"174","2020-10-08",9.975
"175","2020-10-09",10.02
"176","2020-10-12",10.02
"177","2020-10-13",10.024
"178","2020-10-14",9.984
"179","2020-10-15",9.98
"180","2020-10-16",9.97
"181","2020-10-19",9.98
"182","2020-10-20",10.105
"183","2020-10-21",10.15
"184","2020-10-22",10.2
"185","2020-10-23",10.23
"186","2020-10-26",10.19
"187","2020-10-27",10.14
"188","2020-10-28",10.14
"189","2020-10-29",10.03
"190","2020-10-30",10.03
"191","2020-11-02",10
"192","2020-11-03",9.97
"193","2020-11-04",10.15
"194","2020-11-05",10.09
"195","2020-11-06",10.13
"196","2020-11-09",10.15
"197","2020-11-10",10.129
"198","2020-11-11",10.15
"199","2020-11-12",10.15
"200","2020-11-13",10.15
"201","2020-11-16",10.15
"202","2020-11-17",10.75
"203","2020-11-18",13.36
"204","2020-11-19",17
"205","2020-11-20",17
"206","2020-11-23",25.450001
"207","2020-11-24",27.17
"208","2020-11-25",25.950001
"209","2020-11-27",24.1
