"","date","SRAC"
"72","2020-04-15",9.85
"73","2020-04-16",9.85
"74","2020-04-17",9.85
"75","2020-04-20",9.85
"76","2020-04-21",9.85
"77","2020-04-22",9.85
"78","2020-04-23",9.85
"79","2020-04-24",9.85
"80","2020-04-27",9.79
"81","2020-04-28",9.79
"82","2020-04-29",9.79
"83","2020-04-30",9.79
"84","2020-05-01",9.71
"85","2020-05-04",9.71
"86","2020-05-05",9.71
"87","2020-05-06",9.73
"88","2020-05-07",9.75
"89","2020-05-08",9.75
"90","2020-05-11",9.75
"91","2020-05-12",9.75
"92","2020-05-13",9.85
"93","2020-05-14",9.85
"94","2020-05-15",9.85
"95","2020-05-18",9.85
"96","2020-05-19",9.85
"97","2020-05-20",9.77
"98","2020-05-21",9.8
"99","2020-05-22",9.8
"100","2020-05-26",9.8
"101","2020-05-27",9.87
"102","2020-05-28",9.88
"103","2020-05-29",9.77
"104","2020-06-01",9.77
"105","2020-06-02",9.78
"106","2020-06-03",9.8
"107","2020-06-04",9.8
"108","2020-06-05",9.8
"109","2020-06-08",9.8
"110","2020-06-09",9.8
"111","2020-06-10",9.8
"112","2020-06-11",9.8
"113","2020-06-12",9.8
"114","2020-06-15",9.8
"115","2020-06-16",9.8
"116","2020-06-17",9.81
"117","2020-06-18",9.83
"118","2020-06-19",9.9
"119","2020-06-22",9.9
"120","2020-06-23",9.9
"121","2020-06-24",9.95
"122","2020-06-25",9.95
"123","2020-06-26",9.91
"124","2020-06-29",9.93
"125","2020-06-30",9.95
"126","2020-07-01",9.975
"127","2020-07-02",9.91
"128","2020-07-06",9.91
"129","2020-07-07",9.97
"130","2020-07-08",9.97
"131","2020-07-09",9.97
"132","2020-07-10",9.97
"133","2020-07-13",9.97
"134","2020-07-14",9.97
"135","2020-07-15",10
"136","2020-07-16",9.995
"137","2020-07-17",9.98
"138","2020-07-20",9.98
"139","2020-07-21",10.08
"140","2020-07-22",10.08
"141","2020-07-23",10.02
"142","2020-07-24",10.02
"143","2020-07-27",10.02
"144","2020-07-28",10.02
"145","2020-07-29",10.01
"146","2020-07-30",10.01
"147","2020-07-31",10.01
"148","2020-08-03",9.99
"149","2020-08-04",10.02
"150","2020-08-05",9.97
"151","2020-08-06",9.97
"152","2020-08-07",9.97
"153","2020-08-10",9.97
"154","2020-08-11",10.02
"155","2020-08-12",10.05
"156","2020-08-13",10.035
"157","2020-08-14",9.94
"158","2020-08-17",9.89
"159","2020-08-18",9.8
"160","2020-08-19",9.75
"161","2020-08-20",9.76
"162","2020-08-21",9.85
"163","2020-08-24",9.85
"164","2020-08-25",9.89
"165","2020-08-26",9.91
"166","2020-08-27",9.885
"167","2020-08-28",9.88
"168","2020-08-31",9.93
"169","2020-09-01",9.95
"170","2020-09-02",9.95
"171","2020-09-03",9.925
"172","2020-09-04",9.93
"173","2020-09-08",9.93
"174","2020-09-09",9.93
"175","2020-09-10",9.93
"176","2020-09-11",9.93
"177","2020-09-14",9.896
"178","2020-09-15",9.91
"179","2020-09-16",9.97
"180","2020-09-17",9.965
"181","2020-09-18",10.04
"182","2020-09-21",10.02
"183","2020-09-22",9.99
"184","2020-09-23",9.95
"185","2020-09-24",9.95
"186","2020-09-25",10.01
"187","2020-09-28",10.01
"188","2020-09-29",10.05
"189","2020-09-30",10.08
"190","2020-10-01",10.2
"191","2020-10-02",10.28
"192","2020-10-05",10.28
"193","2020-10-06",10.29
"194","2020-10-07",10.29
"195","2020-10-08",10.58
"196","2020-10-09",10.39
"197","2020-10-12",10.64
"198","2020-10-13",10.5
"199","2020-10-14",10.4
"200","2020-10-15",10.45
"201","2020-10-16",10.61
"202","2020-10-19",10.7
"203","2020-10-20",10.67
"204","2020-10-21",10.56
"205","2020-10-22",10.48
"206","2020-10-23",10.4
"207","2020-10-26",10.22
"208","2020-10-27",10.25
"209","2020-10-28",10.2
"210","2020-10-29",10.16
"211","2020-10-30",10.1
"212","2020-11-02",10.07
"213","2020-11-03",10.17
"214","2020-11-04",10.17
"215","2020-11-05",10.24
"216","2020-11-06",10.15
"217","2020-11-09",10.11
"218","2020-11-10",10.125
"219","2020-11-11",10.08
"220","2020-11-12",10.13
"221","2020-11-13",10.34
"222","2020-11-16",10.47
"223","2020-11-17",10.5
"224","2020-11-18",10.7
"225","2020-11-19",10.89
"226","2020-11-20",10.77
"227","2020-11-23",10.7
"228","2020-11-24",10.75
"229","2020-11-25",11.86
"230","2020-11-27",13.2
