"","date","ORRF"
"642","2009-07-21",36.349998
"643","2009-07-22",36.5
"644","2009-07-23",37.450001
"645","2009-07-24",37.110001
"646","2009-07-27",37.049999
"647","2009-07-28",36.98
"648","2009-07-29",36.869999
"649","2009-07-30",37.490002
"650","2009-07-31",36.93
"651","2009-08-03",37.09
"652","2009-08-04",37.049999
"653","2009-08-05",37.25
"654","2009-08-06",36.540001
"655","2009-08-07",37.200001
"656","2009-08-10",36.599998
"657","2009-08-11",37.110001
"658","2009-08-12",38
"659","2009-08-13",37.740002
"660","2009-08-14",37.139999
"661","2009-08-17",37.529999
"662","2009-08-18",37.549999
"663","2009-08-19",37.200001
"664","2009-08-20",37
"665","2009-08-21",37.029999
"666","2009-08-24",36.419998
"667","2009-08-25",36.189999
"668","2009-08-26",37.599998
"669","2009-08-27",36.939999
"670","2009-08-28",37.459999
"671","2009-08-31",36.529999
"672","2009-09-01",35.91
"673","2009-09-02",36.279999
"674","2009-09-03",37.02
"675","2009-09-04",37.599998
"676","2009-09-08",36.57
"677","2009-09-09",37.740002
"678","2009-09-10",37.75
"679","2009-09-11",36.779999
"680","2009-09-14",37.200001
"681","2009-09-15",37.57
"682","2009-09-16",37.799999
"683","2009-09-17",36.75
"684","2009-09-18",38.490002
"685","2009-09-21",37.75
"686","2009-09-22",37.869999
"687","2009-09-23",37.41
"688","2009-09-24",38.32
"689","2009-09-25",37.810001
"690","2009-09-28",37.630001
"691","2009-09-29",37.459999
"692","2009-09-30",38.639999
"693","2009-10-01",37.380001
"694","2009-10-02",37.650002
"695","2009-10-05",37.389999
"696","2009-10-06",37.279999
"697","2009-10-07",36.950001
"698","2009-10-08",36.799999
"699","2009-10-09",37.990002
"700","2009-10-12",37.009998
"701","2009-10-13",37.09
"702","2009-10-14",37.810001
"703","2009-10-15",37.740002
"704","2009-10-16",37.220001
"705","2009-10-19",37.830002
"706","2009-10-20",37.419998
"707","2009-10-21",37.240002
"708","2009-10-22",37.529999
"709","2009-10-23",36.700001
"710","2009-10-26",36.189999
"711","2009-10-27",35.630001
"712","2009-10-28",35.200001
"713","2009-10-29",34.07
