"","date","WSG"
"262","2020-08-07",2.04
"263","2020-08-10",2.06
"264","2020-08-11",2.06
"265","2020-08-12",2.05
"266","2020-08-13",2.03
"267","2020-08-14",2.06
"268","2020-08-17",2.05
"269","2020-08-18",2.03
"270","2020-08-19",2.02
"271","2020-08-20",2.07
"272","2020-08-21",1.99
"273","2020-08-24",2.04
"274","2020-08-25",2.01
"275","2020-08-26",2.04
"276","2020-08-27",2.08
"277","2020-08-28",2.15
"278","2020-08-31",2.14
"279","2020-09-01",2.11
"280","2020-09-02",2.07
"281","2020-09-03",1.93
"282","2020-09-04",1.92
"283","2020-09-08",1.99
"284","2020-09-09",1.99
"285","2020-09-10",1.98
"286","2020-09-11",1.96
"287","2020-09-14",2
"288","2020-09-15",1.96
"289","2020-09-16",1.97
"290","2020-09-17",1.99
"291","2020-09-18",1.96
"292","2020-09-21",1.93
"293","2020-09-22",1.95
"294","2020-09-23",1.87
"295","2020-09-24",1.85
"296","2020-09-25",1.83
"297","2020-09-28",1.82
"298","2020-09-29",1.8
"299","2020-09-30",2.32
"300","2020-10-01",2.29
"301","2020-10-02",2.26
"302","2020-10-05",2.23
"303","2020-10-06",2.26
"304","2020-10-07",2.23
"305","2020-10-08",2.24
"306","2020-10-09",2.26
"307","2020-10-12",2.26
"308","2020-10-13",2.28
"309","2020-10-14",2.26
"310","2020-10-15",2.25
"311","2020-10-16",2.26
"312","2020-10-19",2.25
"313","2020-10-20",2.265
"314","2020-10-21",2.265
"315","2020-10-22",2.25
"316","2020-10-23",2.25
"317","2020-10-26",2.25
"318","2020-10-27",2.22
"319","2020-10-28",2.19
"320","2020-10-29",2.18
"321","2020-10-30",2.19
"322","2020-11-02",2.21
"323","2020-11-03",2.215
"324","2020-11-04",2.23
"325","2020-11-05",2.23
"326","2020-11-06",2.21
"327","2020-11-09",2.21
"328","2020-11-10",2.2
"329","2020-11-11",2.215
"330","2020-11-12",2.2
"331","2020-11-13",2.19
"332","2020-11-16",2.23
"333","2020-11-17",2.11
"334","2020-11-18",2.11
"335","2020-11-19",2.09
"336","2020-11-20",2.12
"337","2020-11-23",2.14
"338","2020-11-24",2.165
"339","2020-11-25",2.25
"340","2020-11-27",2.25
