"","date","ORGO"
"415","2018-08-28",10.1
"416","2018-08-29",10.11
"417","2018-08-30",10.11
"418","2018-08-31",10.11
"419","2018-09-04",10.11
"420","2018-09-05",10.11
"421","2018-09-06",10.11
"422","2018-09-07",10.11
"423","2018-09-10",10.13
"424","2018-09-11",10.1
"425","2018-09-12",10.1
"426","2018-09-13",10.15
"427","2018-09-14",10.13
"428","2018-09-17",10.137
"429","2018-09-18",10.12
"430","2018-09-19",10.12
"431","2018-09-20",10.12
"432","2018-09-21",10.12
"433","2018-09-24",10.14
"434","2018-09-25",10.14
"435","2018-09-26",10.05
"436","2018-09-27",10.15
"437","2018-09-28",10.13
"438","2018-10-01",10.12
"439","2018-10-02",10.18
"440","2018-10-03",10.15
"441","2018-10-04",10.15
"442","2018-10-05",10.15
"443","2018-10-08",10.26
"444","2018-10-09",10.08
"445","2018-10-10",10.05
"446","2018-10-11",10
"447","2018-10-12",10.09
"448","2018-10-15",10.06
"449","2018-10-16",10.06
"450","2018-10-17",9.8
"451","2018-10-18",9.8
"452","2018-10-19",9.8
"453","2018-10-22",9.6
"454","2018-10-23",9.6
"455","2018-10-24",9.951
"456","2018-10-25",9.86
"457","2018-10-26",10.7
"458","2018-10-29",10.47
"459","2018-10-30",10.15
"460","2018-10-31",10.15
"461","2018-11-01",10.15
"462","2018-11-02",10.15
"463","2018-11-05",10.15
"464","2018-11-06",10.15
"465","2018-11-07",10.15
"466","2018-11-08",10.15
"467","2018-11-09",10.15
"468","2018-11-12",10.15
"469","2018-11-13",10.15
"470","2018-11-14",10.15
"471","2018-11-15",10.15
"472","2018-11-16",10.15
"473","2018-11-19",10.15
"474","2018-11-20",10.15
"475","2018-11-21",10.15
"476","2018-11-23",10.15
"477","2018-11-26",10.15
"478","2018-11-27",10.15
"479","2018-11-28",10.15
"480","2018-11-29",10.15
"481","2018-11-30",10.15
"482","2018-12-03",10.15
"483","2018-12-04",10.15
"484","2018-12-06",10.15
"485","2018-12-07",10.15
"486","2018-12-10",10.15
"487","2018-12-11",10.15
"488","2018-12-12",10.15
"489","2018-12-13",10.15
"490","2018-12-14",10.15
"491","2018-12-17",10.15
"492","2018-12-18",10.15
"493","2018-12-19",10.15
"494","2018-12-20",10.15
"495","2018-12-21",10.15
"496","2018-12-24",10.15
"497","2018-12-26",10.15
"498","2018-12-27",10.15
"499","2018-12-28",10.15
"500","2018-12-31",10.15
"501","2019-01-02",10.15
"502","2019-01-03",10.15
"503","2019-01-04",10.15
"504","2019-01-07",10.15
"505","2019-01-08",13.44
