"","date","PSNL"
"91","2019-10-28",10.9
"92","2019-10-29",10.08
"93","2019-10-30",10.33
"94","2019-10-31",10.36
"95","2019-11-01",10.87
"96","2019-11-04",11.25
"97","2019-11-05",10.94
"98","2019-11-06",10.45
"99","2019-11-07",10.17
"100","2019-11-08",10.46
"101","2019-11-11",10.69
"102","2019-11-12",10.18
"103","2019-11-13",10.89
"104","2019-11-14",10.2
"105","2019-11-15",9.74
"106","2019-11-18",8.89
"107","2019-11-19",8.9
"108","2019-11-20",8.88
"109","2019-11-21",8.81
"110","2019-11-22",8.78
"111","2019-11-25",9.05
"112","2019-11-26",8.93
"113","2019-11-27",8.875
"114","2019-11-29",8.9
"115","2019-12-02",8.73
"116","2019-12-03",8.86
"117","2019-12-04",9
"118","2019-12-05",8.79
"119","2019-12-06",9.4
"120","2019-12-09",9.26
"121","2019-12-10",9.86
"122","2019-12-11",9.62
"123","2019-12-12",9.7
"124","2019-12-13",10.21
"125","2019-12-16",9.63
"126","2019-12-17",10.26
"127","2019-12-18",9.82
"128","2019-12-19",9.92
"129","2019-12-20",9.7
"130","2019-12-23",9.47
"131","2019-12-24",9.84
"132","2019-12-26",9.67
"133","2019-12-27",9.68
"134","2019-12-30",10.02
"135","2019-12-31",10.9
"136","2020-01-02",10.91
"137","2020-01-03",10.64
"138","2020-01-06",10.35
"139","2020-01-07",10.91
"140","2020-01-08",11.26
"141","2020-01-09",10.84
"142","2020-01-10",10.42
"143","2020-01-13",10.74
"144","2020-01-14",10.92
"145","2020-01-15",11.58
"146","2020-01-16",12.41
"147","2020-01-17",11.76
"148","2020-01-21",11.39
"149","2020-01-22",12.05
"150","2020-01-23",11.57
"151","2020-01-24",11.78
"152","2020-01-27",10.9
"153","2020-01-28",11.2
"154","2020-01-29",11.64
"155","2020-01-30",11.51
"156","2020-01-31",10.92
"157","2020-02-03",10.39
"158","2020-02-04",10.52
"159","2020-02-05",11
"160","2020-02-06",11.29
"161","2020-02-07",10.73
"162","2020-02-10",10.48
"163","2020-02-11",10.31
"164","2020-02-12",9.71
"165","2020-02-13",9.98
"166","2020-02-14",10.39
"167","2020-02-18",10.39
"168","2020-02-19",10.48
"169","2020-02-20",10.05
"170","2020-02-21",10.04
"171","2020-02-24",9.25
"172","2020-02-25",8.52
"173","2020-02-26",8.79
"174","2020-02-27",8.63
"175","2020-02-28",8.73
"176","2020-03-02",8.21
"177","2020-03-03",8.305
"178","2020-03-04",8.79
"179","2020-03-05",8.68
"180","2020-03-06",8.69
"181","2020-03-09",7.25
"182","2020-03-10",6.81
"183","2020-03-11",6.02
"184","2020-03-12",5.07
"185","2020-03-13",5.35
"186","2020-03-16",4.75
"187","2020-03-17",5.1
"188","2020-03-18",5.04
"189","2020-03-19",5.46
"190","2020-03-20",6.54
"191","2020-03-23",6.52
"192","2020-03-24",6.51
"193","2020-03-25",7
"194","2020-03-26",7.65
"195","2020-03-27",7.12
"196","2020-03-30",8.3
"197","2020-03-31",8.07
"198","2020-04-01",7.75
"199","2020-04-02",8.01
"200","2020-04-03",7.65
"201","2020-04-06",8.26
"202","2020-04-07",7.88
"203","2020-04-08",7.91
"204","2020-04-09",8.26
"205","2020-04-13",8.34
"206","2020-04-14",8.66
"207","2020-04-15",8.57
"208","2020-04-16",8.67
"209","2020-04-17",8.81
"210","2020-04-20",8.85
"211","2020-04-21",9.275
"212","2020-04-22",9.41
"213","2020-04-23",9.37
"214","2020-04-24",9.95
"215","2020-04-27",10.31
"216","2020-04-28",10.46
"217","2020-04-29",10.81
"218","2020-04-30",10.37
"219","2020-05-01",9.94
"220","2020-05-04",10.16
"221","2020-05-05",10.4
"222","2020-05-06",10.46
"223","2020-05-07",10.34
"224","2020-05-08",10.94
"225","2020-05-11",11.52
"226","2020-05-12",11.21
"227","2020-05-13",10.88
"228","2020-05-14",10.26
"229","2020-05-15",11.22
"230","2020-05-18",11.95
"231","2020-05-19",11.52
"232","2020-05-20",12.42
"233","2020-05-21",12.24
"234","2020-05-22",12.62
"235","2020-05-26",12.45
"236","2020-05-27",11.94
"237","2020-05-28",11.78
"238","2020-05-29",11.84
"239","2020-06-01",13.19
"240","2020-06-02",14.08
"241","2020-06-03",12.02
"242","2020-06-04",14.11
"243","2020-06-05",13.35
"244","2020-06-08",13.5
"245","2020-06-09",13.16
"246","2020-06-10",13.09
"247","2020-06-11",11.95
"248","2020-06-12",11.69
"249","2020-06-15",12.41
"250","2020-06-16",12.39
"251","2020-06-17",12.68
"252","2020-06-18",12.12
"253","2020-06-19",12.45
"254","2020-06-22",13.47
"255","2020-06-23",13.79
"256","2020-06-24",13.39
"257","2020-06-25",13.99
"258","2020-06-26",12.74
"259","2020-06-29",12.72
"260","2020-06-30",12.97
"261","2020-07-01",13.635
"262","2020-07-02",14.21
"263","2020-07-06",13.76
"264","2020-07-07",14.24
"265","2020-07-08",14.81
"266","2020-07-09",15.14
"267","2020-07-10",14.99
"268","2020-07-13",15.03
"269","2020-07-14",15.55
"270","2020-07-15",16.92
"271","2020-07-16",16.870001
"272","2020-07-17",17.049999
"273","2020-07-20",17.959999
"274","2020-07-21",17.18
"275","2020-07-22",17.07
"276","2020-07-23",16.969999
"277","2020-07-24",16.32
"278","2020-07-27",17.540001
"279","2020-07-28",17.639999
"280","2020-07-29",17.379999
"281","2020-07-30",18.110001
"282","2020-07-31",17.41
"283","2020-08-03",18.07
"284","2020-08-04",21.1
"285","2020-08-05",22.02
"286","2020-08-06",21.66
"287","2020-08-07",21.49
"288","2020-08-10",21.049999
"289","2020-08-11",21.205
"290","2020-08-12",19.01
"291","2020-08-13",19.879999
"292","2020-08-14",20.17
"293","2020-08-17",21.719999
"294","2020-08-18",22.23
"295","2020-08-19",24.02
"296","2020-08-20",23.66
"297","2020-08-21",23.370001
"298","2020-08-24",22.1
"299","2020-08-25",21.200001
"300","2020-08-26",21.879999
"301","2020-08-27",21.51
"302","2020-08-28",22.07
"303","2020-08-31",22.82
"304","2020-09-01",22.99
"305","2020-09-02",23.07
"306","2020-09-03",21.639999
"307","2020-09-04",20.98
"308","2020-09-08",20.02
"309","2020-09-09",20.23
"310","2020-09-10",20.76
"311","2020-09-11",20.860001
"312","2020-09-14",21.809999
"313","2020-09-15",22.27
"314","2020-09-16",23.540001
"315","2020-09-17",23.08
"316","2020-09-18",24.120001
"317","2020-09-21",23.57
"318","2020-09-22",23.85
"319","2020-09-23",22.23
"320","2020-09-24",21.620001
"321","2020-09-25",21.450001
"322","2020-09-28",21.870001
"323","2020-09-29",22.120001
"324","2020-09-30",21.67
"325","2020-10-01",22.469999
"326","2020-10-02",21.84
"327","2020-10-05",24.27
"328","2020-10-06",28.200001
"329","2020-10-07",28.9
"330","2020-10-08",28.780001
"331","2020-10-09",30.52
"332","2020-10-12",28.360001
"333","2020-10-13",28.42
"334","2020-10-14",26.35
"335","2020-10-15",26.26
"336","2020-10-16",26.629999
"337","2020-10-19",27.84
"338","2020-10-20",26.82
"339","2020-10-21",24.84
"340","2020-10-22",25.700001
"341","2020-10-23",26.27
"342","2020-10-26",25.889999
"343","2020-10-27",26.93
"344","2020-10-28",26.32
"345","2020-10-29",26.219999
"346","2020-10-30",24.73
"347","2020-11-02",24.57
"348","2020-11-03",26.469999
"349","2020-11-04",26.379999
"350","2020-11-05",26.77
"351","2020-11-06",26.4
"352","2020-11-09",25.209999
"353","2020-11-10",26.309999
"354","2020-11-11",29.440001
"355","2020-11-12",28.940001
"356","2020-11-13",29.059999
"357","2020-11-16",27.67
"358","2020-11-17",28.129999
"359","2020-11-18",28.700001
"360","2020-11-19",29.200001
"361","2020-11-20",31
"362","2020-11-23",26.190001
"363","2020-11-24",25.280001
"364","2020-11-25",26.24
"365","2020-11-27",27.77
