"","date","LINX"
"339","2020-10-27",6.42
"340","2020-10-28",6.4
"341","2020-10-29",6.3
"342","2020-10-30",6.24
"343","2020-11-02",6.2
"344","2020-11-03",6.15
"345","2020-11-04",6.49
"346","2020-11-05",6.54
"347","2020-11-06",6.91
"348","2020-11-09",6.89
"349","2020-11-10",6.86
"350","2020-11-11",6.7
"351","2020-11-12",6.62
"352","2020-11-13",6.54
"353","2020-11-16",6.46
"354","2020-11-17",6.87
"355","2020-11-18",6.79
"356","2020-11-19",6.85
"357","2020-11-20",6.65
"358","2020-11-23",6.73
"359","2020-11-24",6.73
"360","2020-11-25",6.79
"361","2020-11-27",6.77
