"","date","SGOC"
"412","2009-11-23",30.92
"413","2009-11-24",30.92
"414","2009-11-25",30.92
"415","2009-11-27",30.92
"416","2009-11-30",30.92
"417","2009-12-01",30.92
"418","2009-12-02",30.92
"419","2009-12-03",30.92
"420","2009-12-04",30.92
"421","2009-12-07",30.92
"422","2009-12-08",30.92
"423","2009-12-09",30.92
"424","2009-12-10",30.92
"425","2009-12-11",30.92
"426","2009-12-14",30.92
"427","2009-12-15",30.92
"428","2009-12-16",30.92
"429","2009-12-17",30.92
"430","2009-12-18",30.92
"431","2009-12-21",30.92
"432","2009-12-22",30.92
"433","2009-12-23",30.92
"434","2009-12-24",30.92
"435","2009-12-28",31
"436","2009-12-29",31
"437","2009-12-30",31
"438","2009-12-31",31.24
"439","2010-01-04",31.24
"440","2010-01-05",31.24
"441","2010-01-06",31.24
"442","2010-01-07",31.24
"443","2010-01-08",31.24
"444","2010-01-11",31.24
"445","2010-01-12",31.24
"446","2010-01-13",31.24
"447","2010-01-14",31.24
"448","2010-01-15",31.24
"449","2010-01-19",31.24
"450","2010-01-20",31.24
"451","2010-01-21",31.24
"452","2010-01-22",31.24
"453","2010-01-25",31.24
"454","2010-01-26",31.24
"455","2010-01-27",31.24
"456","2010-01-28",31.24
"457","2010-01-29",31.52
"458","2010-02-01",31.52
"459","2010-02-02",31.52
"460","2010-02-03",31.52
"461","2010-02-04",31.6
"462","2010-02-05",31.6
"463","2010-02-08",31.6
"464","2010-02-09",31.6
"465","2010-02-10",32
"466","2010-02-11",31.92
"467","2010-02-12",31.92
"468","2010-02-16",31.92
"469","2010-02-17",31.92
"470","2010-02-18",31.92
"471","2010-02-19",31.92
"472","2010-02-22",31.92
"473","2010-02-23",31.92
"474","2010-02-24",31.92
"475","2010-02-25",31.92
"476","2010-02-26",31.92
"477","2010-03-01",31.92
"478","2010-03-02",31.92
"479","2010-03-03",31.92
"480","2010-03-04",31.92
"481","2010-03-05",31.92
"482","2010-03-08",31.92
"483","2010-03-09",31.92
"484","2010-03-10",30.92
