"","date","XYF"
"384","2020-03-30",2.79
"385","2020-03-31",3.15
"386","2020-04-01",2.97
"387","2020-04-02",2.73
"388","2020-04-03",2.85
"389","2020-04-06",2.85
"390","2020-04-07",2.85
"391","2020-04-08",2.82
"392","2020-04-09",2.82
"393","2020-04-13",2.85
"394","2020-04-14",2.79
"395","2020-04-15",2.85
"396","2020-04-16",2.85
"397","2020-04-17",2.85
"398","2020-04-20",2.91
"399","2020-04-21",2.55
"400","2020-04-22",2.76
"401","2020-04-23",2.7
"402","2020-04-24",2.73
"403","2020-04-27",2.79
"404","2020-04-28",2.7
"405","2020-04-29",2.7
"406","2020-04-30",2.82
"407","2020-05-01",2.85
"408","2020-05-04",2.55
"409","2020-05-05",2.58
"410","2020-05-06",2.64
"411","2020-05-07",2.64
"412","2020-05-08",2.7
"413","2020-05-11",2.7
"414","2020-05-12",2.64
"415","2020-05-13",2.55
"416","2020-05-14",2.4
"417","2020-05-15",2.28
"418","2020-05-18",2.28
"419","2020-05-19",2.22
"420","2020-05-20",2.4
"421","2020-05-21",2.370002
"422","2020-05-22",2.490002
"423","2020-05-26",2.430002
"424","2020-05-27",2.400002
"425","2020-05-28",2.310002
"426","2020-05-29",2.07
"427","2020-06-01",2.22
"428","2020-06-02",2.7
"429","2020-06-03",2.58
"430","2020-06-04",2.7
"431","2020-06-05",3
"432","2020-06-08",3.15
"433","2020-06-09",3
"434","2020-06-10",2.91
"435","2020-06-11",2.76
"436","2020-06-12",2.85
"437","2020-06-15",2.94
"438","2020-06-16",3.06
"439","2020-06-17",2.97
"440","2020-06-18",3.06
"441","2020-06-19",2.97
"442","2020-06-22",2.82
"443","2020-06-23",2.97
"444","2020-06-24",2.82
"445","2020-06-25",2.73
"446","2020-06-26",2.76
"447","2020-06-29",2.73
"448","2020-06-30",2.7
"449","2020-07-01",2.46
"450","2020-07-02",2.46
"451","2020-07-06",2.46
"452","2020-07-07",2.43
"453","2020-07-08",2.4
"454","2020-07-09",3.06
"455","2020-07-10",2.91
"456","2020-07-13",2.82
"457","2020-07-14",2.67
"458","2020-07-15",2.7
"459","2020-07-16",2.61
"460","2020-07-17",2.67
"461","2020-07-20",2.61
"462","2020-07-21",2.64
"463","2020-07-22",2.64
"464","2020-07-23",2.55
"465","2020-07-24",2.55
"466","2020-07-27",2.58
"467","2020-07-28",2.58
"468","2020-07-29",2.46
"469","2020-07-30",2.46
"470","2020-07-31",2.28
"471","2020-08-03",2.37
"472","2020-08-04",2.37
"473","2020-08-05",2.37
"474","2020-08-06",2.34
"475","2020-08-07",2.25
"476","2020-08-10",2.34
"477","2020-08-11",2.31
"478","2020-08-12",2.28
"479","2020-08-13",2.79
"480","2020-08-14",2.31
"481","2020-08-17",2.31
"482","2020-08-18",2.46
"483","2020-08-19",2.82
"484","2020-08-20",2.73
"485","2020-08-21",2.37
"486","2020-08-24",2.34
"487","2020-08-25",2.25
"488","2020-08-26",2.28
"489","2020-08-27",2.19
"490","2020-08-28",2.19
"491","2020-08-31",2.25
"492","2020-09-01",2.22
"493","2020-09-02",2.16
"494","2020-09-03",2.13
"495","2020-09-04",2.1
"496","2020-09-08",2.16
"497","2020-09-09",2.1
"498","2020-09-10",2.04
"499","2020-09-11",1.95
"500","2020-09-14",1.86
"501","2020-09-15",1.86
"502","2020-09-16",1.86
"503","2020-09-17",1.8
"504","2020-09-18",1.68
"505","2020-09-21",1.71
"506","2020-09-22",1.62
"507","2020-09-23",1.53
"508","2020-09-24",1.5
"509","2020-09-25",1.59
"510","2020-09-28",1.59
"511","2020-09-29",1.59
"512","2020-09-30",1.56
"513","2020-10-01",1.53
"514","2020-10-02",1.59
"515","2020-10-05",1.59
"516","2020-10-06",1.68
"517","2020-10-07",1.56
"518","2020-10-08",1.68
"519","2020-10-09",1.77
"520","2020-10-12",1.68
"521","2020-10-13",1.8
"522","2020-10-14",1.86
"523","2020-10-15",1.89
"524","2020-10-16",1.8
"525","2020-10-19",1.89
"526","2020-10-20",3.33
"527","2020-10-21",2.67
"528","2020-10-22",2.64
"529","2020-10-23",2.52
"530","2020-10-26",2.28
"531","2020-10-27",2.49
"532","2020-10-28",2.58
"533","2020-10-29",2.52
"534","2020-10-30",2.43
"535","2020-11-02",2.19
"536","2020-11-03",2.25
"537","2020-11-04",2.25
"538","2020-11-05",2.43
"539","2020-11-06",2.37
"540","2020-11-09",2.46
"541","2020-11-10",2.28
"542","2020-11-11",2.19
"543","2020-11-12",2.22
"544","2020-11-13",2.13
"545","2020-11-16",2.13
"546","2020-11-17",2.16
"547","2020-11-18",2.100002
"548","2020-11-19",1.92
"549","2020-11-20",1.77
"550","2020-11-23",1.86
"551","2020-11-24",2.2
"552","2020-11-25",2.36
"553","2020-11-27",2.75
