"","date","HARP"
"284","2020-03-25",11.95
"285","2020-03-26",12.07
"286","2020-03-27",11.45
"287","2020-03-30",11.78
"288","2020-03-31",11.58
"289","2020-04-01",11.26
"290","2020-04-02",11.34
"291","2020-04-03",11.11
"292","2020-04-06",11.87
"293","2020-04-07",11.49
"294","2020-04-08",11.62
"295","2020-04-09",11.47
"296","2020-04-13",12.03
"297","2020-04-14",12.4
"298","2020-04-15",12.07
"299","2020-04-16",11.75
"300","2020-04-17",12.69
"301","2020-04-20",13.01
"302","2020-04-21",12.46
"303","2020-04-22",13.06
"304","2020-04-23",12.75
"305","2020-04-24",12.43
"306","2020-04-27",13.73
"307","2020-04-28",13.03
"308","2020-04-29",13.39
"309","2020-04-30",12.6
"310","2020-05-01",12.26
"311","2020-05-04",13.37
"312","2020-05-05",13.46
"313","2020-05-06",13.76
"314","2020-05-07",13.92
"315","2020-05-08",13.52
"316","2020-05-11",14.03
"317","2020-05-12",14.04
"318","2020-05-13",14.12
"319","2020-05-14",14.28
"320","2020-05-15",14.43
"321","2020-05-18",15.81
"322","2020-05-19",15.75
"323","2020-05-20",19.200001
"324","2020-05-21",21.110001
"325","2020-05-22",22.799999
"326","2020-05-26",24.719999
"327","2020-05-27",21.690001
"328","2020-05-28",20.59
"329","2020-05-29",21.76
"330","2020-06-01",18.280001
"331","2020-06-02",18.280001
"332","2020-06-03",17.26
"333","2020-06-04",17.309999
"334","2020-06-05",17.17
"335","2020-06-08",18.719999
"336","2020-06-09",18.43
"337","2020-06-10",18.360001
"338","2020-06-11",16.59
"339","2020-06-12",17.639999
"340","2020-06-15",18.219999
"341","2020-06-16",18.030001
"342","2020-06-17",18.110001
"343","2020-06-18",18.379999
"344","2020-06-19",18.1
"345","2020-06-22",18.209999
"346","2020-06-23",17.799999
"347","2020-06-24",17.700001
"348","2020-06-25",17.870001
"349","2020-06-26",17.059999
"350","2020-06-29",16.49
"351","2020-06-30",16.6
"352","2020-07-01",17.49
"353","2020-07-02",16.59
"354","2020-07-06",16.440001
"355","2020-07-07",16.559999
"356","2020-07-08",16.700001
"357","2020-07-09",16.139999
"358","2020-07-10",16.24
"359","2020-07-13",15.56
"360","2020-07-14",15.06
"361","2020-07-15",15.46
"362","2020-07-16",14.99
"363","2020-07-17",15.08
"364","2020-07-20",15.17
"365","2020-07-21",14.94
"366","2020-07-22",14.11
"367","2020-07-23",13.64
"368","2020-07-24",12.89
"369","2020-07-27",13.23
"370","2020-07-28",12.87
"371","2020-07-29",12.3
"372","2020-07-30",11.45
"373","2020-07-31",11.01
"374","2020-08-03",12.04
"375","2020-08-04",13.09
"376","2020-08-05",12.71
"377","2020-08-06",12.68
"378","2020-08-07",12.58
"379","2020-08-10",13.38
"380","2020-08-11",13.68
"381","2020-08-12",12.96
"382","2020-08-13",12.35
"383","2020-08-14",12.13
"384","2020-08-17",12.38
"385","2020-08-18",11.74
"386","2020-08-19",11.63
"387","2020-08-20",11.72
"388","2020-08-21",15.31
"389","2020-08-24",13.06
"390","2020-08-25",13.04
"391","2020-08-26",13.125
"392","2020-08-27",12.81
"393","2020-08-28",12.96
"394","2020-08-31",13.76
"395","2020-09-01",13.7
"396","2020-09-02",14.21
"397","2020-09-03",13.61
"398","2020-09-04",13.77
"399","2020-09-08",14.61
"400","2020-09-09",14.93
"401","2020-09-10",14.81
"402","2020-09-11",14.83
"403","2020-09-14",17.18
"404","2020-09-15",15.9
"405","2020-09-16",16.42
"406","2020-09-17",17.26
"407","2020-09-18",18.52
"408","2020-09-21",17.43
"409","2020-09-22",17.129999
"410","2020-09-23",15.86
"411","2020-09-24",15.36
"412","2020-09-25",15.47
"413","2020-09-28",16
"414","2020-09-29",16.08
"415","2020-09-30",16.99
"416","2020-10-01",16.950001
"417","2020-10-02",16.43
"418","2020-10-05",17.35
"419","2020-10-06",16.75
"420","2020-10-07",17.68
"421","2020-10-08",17.25
"422","2020-10-09",16.799999
"423","2020-10-12",16.74
"424","2020-10-13",16.77
"425","2020-10-14",16.16
"426","2020-10-15",16.190001
"427","2020-10-16",16.200001
"428","2020-10-19",15.77
"429","2020-10-20",15.14
"430","2020-10-21",14.68
"431","2020-10-22",15.02
"432","2020-10-23",15.34
"433","2020-10-26",15.08
"434","2020-10-27",15.41
"435","2020-10-28",14.75
"436","2020-10-29",15.11
"437","2020-10-30",14.47
"438","2020-11-02",14.88
"439","2020-11-03",15.9
"440","2020-11-04",16.030001
"441","2020-11-05",16.540001
"442","2020-11-06",15.55
"443","2020-11-09",15.63
"444","2020-11-10",16.76
"445","2020-11-11",16.290001
"446","2020-11-12",16.16
"447","2020-11-13",15.6
"448","2020-11-16",15.59
"449","2020-11-17",15.35
"450","2020-11-18",14.52
"451","2020-11-19",14.67
"452","2020-11-20",14.61
"453","2020-11-23",14.57
"454","2020-11-24",14.41
"455","2020-11-25",14.59
"456","2020-11-27",14.84
