"","date","SCL"
"438","2008-09-26",26.855
"439","2008-09-29",26.135
"440","2008-09-30",27.285
"441","2008-10-01",27.605
"442","2008-10-02",25.799999
"443","2008-10-03",24.73
"444","2008-10-06",23.245001
"445","2008-10-07",21.445
"446","2008-10-08",20.155001
"447","2008-10-09",18.290001
"448","2008-10-10",21.209999
"449","2008-10-13",22.754999
"450","2008-10-14",21.75
"451","2008-10-15",19.264999
"452","2008-10-16",21.040001
"453","2008-10-17",20.764999
"454","2008-10-20",21.045
"455","2008-10-21",20.940001
"456","2008-10-22",18.424999
"457","2008-10-23",17.025
"458","2008-10-24",16.16
"459","2008-10-27",14.44
"460","2008-10-28",15.395
"461","2008-10-29",16.459999
"462","2008-10-30",17.055
"463","2008-10-31",17.915001
"464","2008-11-03",18.27
"465","2008-11-04",18.014999
"466","2008-11-05",17.695
"467","2008-11-06",17.235001
"468","2008-11-07",17.295
"469","2008-11-10",17.4
"470","2008-11-11",17.41
"471","2008-11-12",16.440001
"472","2008-11-13",18.475
"473","2008-11-14",17.195
"474","2008-11-17",16.825001
"475","2008-11-18",16.825001
"476","2008-11-19",16.08
"477","2008-11-20",16.389999
"478","2008-11-21",17.139999
"479","2008-11-24",18.635
"480","2008-11-25",18.99
"481","2008-11-26",21.465
"482","2008-11-28",22.99
"483","2008-12-01",20.344999
"484","2008-12-02",21.344999
"485","2008-12-03",21.959999
"486","2008-12-04",20.68
"487","2008-12-05",21.475
"488","2008-12-08",21.93
"489","2008-12-09",20.155001
"490","2008-12-10",21.035
"491","2008-12-11",19.434999
"492","2008-12-12",20.93
"493","2008-12-15",21.084999
"494","2008-12-16",21.549999
"495","2008-12-17",22.719999
"496","2008-12-18",22.205
"497","2008-12-19",20.889999
"498","2008-12-22",20.395
"499","2008-12-23",20.74
"500","2008-12-24",20.405001
"501","2008-12-26",20.860001
"502","2008-12-29",21.264999
"503","2008-12-30",22.684999
"504","2008-12-31",23.495001
"505","2009-01-02",23.42
"506","2009-01-05",22.73
"507","2009-01-06",23.43
"508","2009-01-07",22.35
"509","2009-01-08",22.924999
"510","2009-01-09",22.014999
"511","2009-01-12",21.780001
"512","2009-01-13",21.465
"513","2009-01-14",20.545
"514","2009-01-15",20.125
"515","2009-01-16",20.77
"516","2009-01-20",19.65
"517","2009-01-21",20.825001
"518","2009-01-22",20.184999
"519","2009-01-23",19.735001
"520","2009-01-26",19.91
"521","2009-01-27",20.18
"522","2009-01-28",20.155001
"523","2009-01-29",18.514999
"524","2009-01-30",18.344999
"525","2009-02-02",17.84
"526","2009-02-03",17.674999
"527","2009-02-04",17.84
"528","2009-02-05",18.030001
"529","2009-02-06",18.620001
"530","2009-02-09",18.85
"531","2009-02-10",17.92
"532","2009-02-11",17.290001
"533","2009-02-12",17.344999
"534","2009-02-13",17.83
"535","2009-02-17",16.395
"536","2009-02-18",15.795
"537","2009-02-19",15.705
"538","2009-02-20",15.515
"539","2009-02-23",14.35
"540","2009-02-24",14.415
"541","2009-02-25",13.2
"542","2009-02-26",13.835
"543","2009-02-27",14.19
"544","2009-03-02",13.105
"545","2009-03-03",12.93
"546","2009-03-04",13.485
"547","2009-03-05",12.91
"548","2009-03-06",12.9
"549","2009-03-09",12.07
"550","2009-03-10",11.545
"551","2009-03-11",12.685
"552","2009-03-12",13.08
"553","2009-03-13",13.44
"554","2009-03-16",13.26
"555","2009-03-17",14.085
"556","2009-03-18",14.57
"557","2009-03-19",14.365
"558","2009-03-20",13.89
"559","2009-03-23",15.36
"560","2009-03-24",14.35
"561","2009-03-25",15.12
"562","2009-03-26",14.93
"563","2009-03-27",14
"564","2009-03-30",13.775
"565","2009-03-31",13.65
"566","2009-04-01",14.64
"567","2009-04-02",16.305
"568","2009-04-03",15.765
"569","2009-04-06",15.815
"570","2009-04-07",15.67
"571","2009-04-08",17.26
"572","2009-04-09",18.195
"573","2009-04-13",18.15
"574","2009-04-14",17.584999
"575","2009-04-15",18.309999
"576","2009-04-16",18.754999
"577","2009-04-17",18.959999
"578","2009-04-20",17.815001
"579","2009-04-21",18.115
"580","2009-04-22",18.120001
"581","2009-04-23",17.955
"582","2009-04-24",18.415001
"583","2009-04-27",18
"584","2009-04-28",18.495001
"585","2009-04-29",18.825001
"586","2009-04-30",19.785
"587","2009-05-01",19.635
"588","2009-05-04",20.01
"589","2009-05-05",20.280001
"590","2009-05-06",20.254999
"591","2009-05-07",19.040001
"592","2009-05-08",20.135
"593","2009-05-11",18.635
"594","2009-05-12",19.295
"595","2009-05-13",18.125
"596","2009-05-14",19.125
"597","2009-05-15",18.725
"598","2009-05-18",20.445
"599","2009-05-19",19.795
"600","2009-05-20",20.264999
"601","2009-05-21",19.92
"602","2009-05-22",19.155001
"603","2009-05-26",20.695
"604","2009-05-27",20.459999
"605","2009-05-28",20.35
"606","2009-05-29",21.004999
"607","2009-06-01",22.325001
"608","2009-06-02",22.860001
"609","2009-06-03",21.889999
"610","2009-06-04",22.02
"611","2009-06-05",22.235001
"612","2009-06-08",21.799999
"613","2009-06-09",21.584999
"614","2009-06-10",21.035
"615","2009-06-11",21.885
"616","2009-06-12",21.485001
"617","2009-06-15",20.865
"618","2009-06-16",20.295
"619","2009-06-17",19.9
"620","2009-06-18",20.370001
"621","2009-06-19",20.225
"622","2009-06-22",18.924999
"623","2009-06-23",19.475
"624","2009-06-24",19.834999
"625","2009-06-25",21.075001
"626","2009-06-26",22.225
"627","2009-06-29",22.325001
"628","2009-06-30",22.08
"629","2009-07-01",22.57
"630","2009-07-02",22.049999
"631","2009-07-06",22.02
"632","2009-07-07",21.184999
"633","2009-07-08",20.815001
"634","2009-07-09",20.219999
"635","2009-07-10",20.795
"636","2009-07-13",21.02
"637","2009-07-14",20.895
"638","2009-07-15",21.295
"639","2009-07-16",21.49
"640","2009-07-17",20.955
"641","2009-07-20",21.035
"642","2009-07-21",20.565001
"643","2009-07-22",20.68
"644","2009-07-23",21.07
"645","2009-07-24",21.135
"646","2009-07-27",21.139999
"647","2009-07-28",22.605
"648","2009-07-29",22.825001
"649","2009-07-30",22.504999
"650","2009-07-31",22.389999
"651","2009-08-03",22.975
"652","2009-08-04",23.5
"653","2009-08-05",23.540001
"654","2009-08-06",22.77
"655","2009-08-07",23.280001
"656","2009-08-10",23.594999
"657","2009-08-11",23.014999
"658","2009-08-12",23.485001
"659","2009-08-13",23.809999
"660","2009-08-14",23.674999
"661","2009-08-17",23.665001
"662","2009-08-18",23.99
"663","2009-08-19",23.93
"664","2009-08-20",24.775
"665","2009-08-21",23.775
"666","2009-08-24",24.860001
"667","2009-08-25",24.83
"668","2009-08-26",25.450001
"669","2009-08-27",25.879999
"670","2009-08-28",26.51
"671","2009-08-31",27.030001
"672","2009-09-01",26.75
"673","2009-09-02",26.950001
"674","2009-09-03",27.360001
"675","2009-09-04",27.334999
"676","2009-09-08",28.695
"677","2009-09-09",28.605
"678","2009-09-10",29.549999
"679","2009-09-11",29.485001
"680","2009-09-14",29.905001
"681","2009-09-15",30.405001
"682","2009-09-16",30.959999
"683","2009-09-17",31.35
"684","2009-09-18",31.014999
"685","2009-09-21",30.360001
"686","2009-09-22",30.700001
"687","2009-09-23",30.84
"688","2009-09-24",30.825001
"689","2009-09-25",30.610001
"690","2009-09-28",31.23
"691","2009-09-29",30.785
"692","2009-09-30",30.040001
"693","2009-10-01",29.41
"694","2009-10-02",29.995001
"695","2009-10-05",30.084999
"696","2009-10-06",31.290001
"697","2009-10-07",31.26
"698","2009-10-08",31.545
"699","2009-10-09",31.514999
"700","2009-10-12",31.725
"701","2009-10-13",31.639999
"702","2009-10-14",32.095001
"703","2009-10-15",31.860001
"704","2009-10-16",31.584999
"705","2009-10-19",32.244999
"706","2009-10-20",32.185001
"707","2009-10-21",32.279999
"708","2009-10-22",32.07
"709","2009-10-23",30.344999
"710","2009-10-26",30.395
"711","2009-10-27",30.625
"712","2009-10-28",29.105
"713","2009-10-29",29.945
"714","2009-10-30",28.620001
"715","2009-11-02",28.075001
"716","2009-11-03",28.475
"717","2009-11-04",28.120001
"718","2009-11-05",29.924999
"719","2009-11-06",29.09
"720","2009-11-09",29.73
"721","2009-11-10",30.155001
"722","2009-11-11",30.155001
"723","2009-11-12",29.754999
"724","2009-11-13",30.219999
"725","2009-11-16",30.764999
"726","2009-11-17",32.279999
"727","2009-11-18",32.494999
"728","2009-11-19",31.655001
"729","2009-11-20",31.645
"730","2009-11-23",31.309999
"731","2009-11-24",32.544998
"732","2009-11-25",32.205002
"733","2009-11-27",30.5
"734","2009-11-30",31.360001
"735","2009-12-01",31.325001
"736","2009-12-02",32.310001
"737","2009-12-03",31.235001
"738","2009-12-04",31.625
"739","2009-12-07",31.465
"740","2009-12-08",31.985001
"741","2009-12-09",32.334999
"742","2009-12-10",31.190001
"743","2009-12-11",31.985001
"744","2009-12-14",32.025002
"745","2009-12-15",32.150002
"746","2009-12-16",33.195
"747","2009-12-17",32.794998
"748","2009-12-18",33.294998
"749","2009-12-21",33.580002
"750","2009-12-22",33.685001
"751","2009-12-23",33.73
"752","2009-12-24",33.695
"753","2009-12-28",33.695
"754","2009-12-29",33.580002
"755","2009-12-30",33.465
"756","2009-12-31",32.404999
"757","2010-01-04",33.560001
"758","2010-01-05",33.014999
"759","2010-01-06",32.535
"760","2010-01-07",32.884998
"761","2010-01-08",32.474998
"762","2010-01-11",32.674999
"763","2010-01-12",32.369999
"764","2010-01-13",33.779999
"765","2010-01-14",33.445
"766","2010-01-15",33.330002
"767","2010-01-19",33.439999
"768","2010-01-20",32.75
"769","2010-01-21",32.514999
"770","2010-01-22",31.309999
"771","2010-01-25",31.645
"772","2010-01-26",31.42
"773","2010-01-27",30.684999
"774","2010-01-28",29.665001
"775","2010-01-29",29.24
"776","2010-02-01",29.129999
"777","2010-02-02",28.525
"778","2010-02-03",28.450001
"779","2010-02-04",27.700001
"780","2010-02-05",27.92
"781","2010-02-08",27.514999
"782","2010-02-09",25.084999
"783","2010-02-10",23.58
"784","2010-02-11",24.299999
"785","2010-02-12",25.105
"786","2010-02-16",24.84
"787","2010-02-17",25.01
"788","2010-02-18",25.32
"789","2010-02-19",25.465
"790","2010-02-22",25.34
"791","2010-02-23",24.525
"792","2010-02-24",24.575001
"793","2010-02-25",24.155001
"794","2010-02-26",23.77
"795","2010-03-01",24.205
"796","2010-03-02",24.825001
"797","2010-03-03",25.25
"798","2010-03-04",25.855
"799","2010-03-05",26.485001
"800","2010-03-08",25.969999
"801","2010-03-09",26.355
"802","2010-03-10",26.504999
"803","2010-03-11",26.35
"804","2010-03-12",26.870001
"805","2010-03-15",26.719999
"806","2010-03-16",26.75
"807","2010-03-17",26.799999
"808","2010-03-18",27.43
"809","2010-03-19",27.055
"810","2010-03-22",27.35
"811","2010-03-23",27.334999
"812","2010-03-24",26.85
"813","2010-03-25",26.385
"814","2010-03-26",26.174999
"815","2010-03-29",27.075001
"816","2010-03-30",28.059999
"817","2010-03-31",27.945
"818","2010-04-01",27.75
"819","2010-04-05",28.08
"820","2010-04-06",28.885
"821","2010-04-07",28.84
"822","2010-04-08",29.235001
"823","2010-04-09",29.93
"824","2010-04-12",30.145
"825","2010-04-13",30.32
"826","2010-04-14",30.15
"827","2010-04-15",30.82
"828","2010-04-16",30.65
"829","2010-04-19",30.865
"830","2010-04-20",36.23
"831","2010-04-21",36.494999
"832","2010-04-22",37.395
"833","2010-04-23",37.580002
"834","2010-04-26",37.525002
"835","2010-04-27",38.125
"836","2010-04-28",37.259998
"837","2010-04-29",39.634998
"838","2010-04-30",37.875
"839","2010-05-03",38.084999
"840","2010-05-04",37.084999
"841","2010-05-05",35.889999
"842","2010-05-06",34.799999
"843","2010-05-07",34.459999
"844","2010-05-10",36.540001
"845","2010-05-11",37.459999
"846","2010-05-12",37.634998
"847","2010-05-13",37.115002
"848","2010-05-14",36.41
"849","2010-05-17",37.490002
"850","2010-05-18",36.654999
"851","2010-05-19",36.82
"852","2010-05-20",35.064999
"853","2010-05-21",36.150002
"854","2010-05-24",36.445
"855","2010-05-25",35.66
"856","2010-05-26",35.025002
"857","2010-05-27",37.009998
"858","2010-05-28",36.064999
"859","2010-06-01",35.535
"860","2010-06-02",36.244999
"861","2010-06-03",36.985001
"862","2010-06-04",34.244999
"863","2010-06-07",33.275002
"864","2010-06-08",32.619999
"865","2010-06-09",32.93
"866","2010-06-10",33.645
"867","2010-06-11",34.334999
"868","2010-06-14",34.275002
"869","2010-06-15",34.91
"870","2010-06-16",34.880001
"871","2010-06-17",35.080002
"872","2010-06-18",36.439999
"873","2010-06-21",36.035
"874","2010-06-22",35.880001
"875","2010-06-23",36.055
"876","2010-06-24",34.855
"877","2010-06-25",34.880001
"878","2010-06-28",34.814999
"879","2010-06-29",34.139999
"880","2010-06-30",34.215
"881","2010-07-01",34.375
"882","2010-07-02",33.029999
"883","2010-07-06",31.67
"884","2010-07-07",31.965
"885","2010-07-08",34.474998
"886","2010-07-09",34.630001
"887","2010-07-12",34.185001
"888","2010-07-13",35.66
"889","2010-07-14",35.605
"890","2010-07-15",35.755001
"891","2010-07-16",33.865002
"892","2010-07-19",33.970001
"893","2010-07-20",34.5
"894","2010-07-21",33.59
"895","2010-07-22",34.924999
"896","2010-07-23",35.775002
"897","2010-07-26",35
"898","2010-07-27",32.91
"899","2010-07-28",32.700001
"900","2010-07-29",32.669998
"901","2010-07-30",33.005001
"902","2010-08-02",33.735001
"903","2010-08-03",32.950001
"904","2010-08-04",32.945
"905","2010-08-05",32.060001
"906","2010-08-06",31.545
"907","2010-08-09",32.439999
"908","2010-08-10",30.855
"909","2010-08-11",29.879999
"910","2010-08-12",29.530001
"911","2010-08-13",28.92
"912","2010-08-16",29.205
"913","2010-08-17",29.370001
"914","2010-08-18",29.225
"915","2010-08-19",27.995001
"916","2010-08-20",28.01
"917","2010-08-23",27.57
"918","2010-08-24",27.745001
"919","2010-08-25",28.08
"920","2010-08-26",27.475
"921","2010-08-27",27.875
"922","2010-08-30",27.195
"923","2010-08-31",27.725
"924","2010-09-01",28.174999
"925","2010-09-02",28.110001
"926","2010-09-03",28.73
"927","2010-09-07",28.1
"928","2010-09-08",27.99
"929","2010-09-09",29.135
"930","2010-09-10",28.98
"931","2010-09-13",29.785
"932","2010-09-14",29.57
"933","2010-09-15",29.625
"934","2010-09-16",29.635
"935","2010-09-17",29.844999
"936","2010-09-20",31.055
"937","2010-09-21",30.875
"938","2010-09-22",30.73
"939","2010-09-23",29.455
"940","2010-09-24",30.115
"941","2010-09-27",30.01
"942","2010-09-28",29.985001
"943","2010-09-29",29.709999
"944","2010-09-30",29.555
"945","2010-10-01",29.559999
"946","2010-10-04",29.540001
"947","2010-10-05",30.094999
"948","2010-10-06",29.870001
"949","2010-10-07",30.620001
"950","2010-10-08",31.105
"951","2010-10-11",30.245001
"952","2010-10-12",30.879999
"953","2010-10-13",32.27
"954","2010-10-14",31.885
"955","2010-10-15",31.49
"956","2010-10-18",31.975
"957","2010-10-19",32.025002
"958","2010-10-20",33.165001
"959","2010-10-21",33.424999
"960","2010-10-22",33.535
"961","2010-10-25",34.215
"962","2010-10-26",34.055
"963","2010-10-27",34.09
"964","2010-10-28",33.884998
"965","2010-10-29",33.720001
"966","2010-11-01",33.764999
"967","2010-11-02",34.735001
"968","2010-11-03",35.145
"969","2010-11-04",36.375
"970","2010-11-05",36.305
"971","2010-11-08",36.310001
"972","2010-11-09",36
"973","2010-11-10",36.619999
