"","date","CTK"
"525","2020-10-28",4.4
"526","2020-10-29",4.38
"527","2020-10-30",4.4
"528","2020-11-02",4.47
"529","2020-11-03",4.4
"530","2020-11-04",4.39
"531","2020-11-05",4.59
"532","2020-11-06",4.76
"533","2020-11-09",4.89
"534","2020-11-10",4.56
"535","2020-11-11",4.72
"536","2020-11-12",4.69
"537","2020-11-13",4.68
"538","2020-11-16",4.92
"539","2020-11-17",4.81
"540","2020-11-18",5.49
"541","2020-11-19",5.22
"542","2020-11-20",5.39
"543","2020-11-23",5.49
"544","2020-11-24",5.4
"545","2020-11-25",5
"546","2020-11-27",4.95
