"","date","APPS"
"348","2008-05-20",25
"349","2008-05-21",25
"350","2008-05-22",25
"351","2008-05-23",23.75
"352","2008-05-27",21.25
"353","2008-05-28",21.25
"354","2008-05-29",20
"355","2008-05-30",20.5
"356","2008-06-02",20.5
"357","2008-06-03",18.75
"358","2008-06-04",16.25
"359","2008-06-05",13.75
"360","2008-06-06",10
"361","2008-06-09",10
"362","2008-06-10",10
"363","2008-06-11",13.75
"364","2008-06-12",13.75
"365","2008-06-13",13.75
"366","2008-06-16",13.75
"367","2008-06-17",13.75
"368","2008-06-18",13.75
"369","2008-06-19",13.75
"370","2008-06-20",13.75
"371","2008-06-23",13.75
"372","2008-06-24",13
"373","2008-06-25",13
"374","2008-06-26",13
"375","2008-06-27",13
"376","2008-06-30",14.5
"377","2008-07-01",14.5
"378","2008-07-02",14.5
"379","2008-07-03",14.5
"380","2008-07-07",10
"381","2008-07-08",10
"382","2008-07-09",10
"383","2008-07-10",10
"384","2008-07-11",10
"385","2008-07-14",10
"386","2008-07-15",10
"387","2008-07-16",10
"388","2008-07-17",10
"389","2008-07-18",10
"390","2008-07-21",10
"391","2008-07-22",10
"392","2008-07-23",13.75
"393","2008-07-24",13.75
"394","2008-07-25",13.75
"395","2008-07-28",12.5
"396","2008-07-29",12.5
"397","2008-07-30",12.5
"398","2008-07-31",12.5
"399","2008-08-01",12.5
"400","2008-08-04",12.5
"401","2008-08-05",12.5
"402","2008-08-06",12.5
"403","2008-08-07",12.5
"404","2008-08-08",12.5
"405","2008-08-11",12.5
"406","2008-08-12",12.5
"407","2008-08-13",11.75
"408","2008-08-14",11.5
"409","2008-08-15",11.5
"410","2008-08-18",10.5
"411","2008-08-19",10.5
"412","2008-08-20",10.5
"413","2008-08-21",10.5
"414","2008-08-22",10.5
"415","2008-08-25",10.95
"416","2008-08-26",10.5
"417","2008-08-27",10.5
"418","2008-08-28",11
"419","2008-08-29",11.9
"420","2008-09-02",11.5
"421","2008-09-03",11.5
"422","2008-09-04",11.5
"423","2008-09-05",11.5
"424","2008-09-08",11.5
"425","2008-09-09",10.25
"426","2008-09-10",11
"427","2008-09-11",7.5
"428","2008-09-12",10.75
"429","2008-09-15",10.75
"430","2008-09-16",10.75
"431","2008-09-17",10.75
"432","2008-09-18",10.75
"433","2008-09-19",10.5
"434","2008-09-22",10.5
"435","2008-09-23",10.5
"436","2008-09-24",10.5
"437","2008-09-25",11.5
"438","2008-09-26",12
"439","2008-09-29",12
"440","2008-09-30",12
"441","2008-10-01",11.95
"442","2008-10-02",11
"443","2008-10-03",11
"444","2008-10-06",11.2
"445","2008-10-07",11.2
"446","2008-10-08",11.2
"447","2008-10-09",11.2
"448","2008-10-10",11
"449","2008-10-13",11
"450","2008-10-14",11
"451","2008-10-15",11
"452","2008-10-16",11
"453","2008-10-17",11
"454","2008-10-20",11
"455","2008-10-21",11
"456","2008-10-22",11
"457","2008-10-23",11
"458","2008-10-24",7.5
"459","2008-10-27",7.5
"460","2008-10-28",9.5
"461","2008-10-29",9.5
"462","2008-10-30",9.5
"463","2008-10-31",9.5
"464","2008-11-03",9.5
"465","2008-11-04",9.5
"466","2008-11-05",9.5
"467","2008-11-06",9.5
"468","2008-11-07",9.5
"469","2008-11-10",9.5
"470","2008-11-11",7.5
"471","2008-11-12",5
"472","2008-11-13",8.75
"473","2008-11-14",5
"474","2008-11-17",5
"475","2008-11-18",5
"476","2008-11-19",5
"477","2008-11-20",7.5
"478","2008-11-21",3
"479","2008-11-24",5
"480","2008-11-25",5
"481","2008-11-26",5
"482","2008-11-28",7.5
"483","2008-12-01",7.5
"484","2008-12-02",5.3
"485","2008-12-03",5.05
"486","2008-12-04",5.05
"487","2008-12-05",8.75
"488","2008-12-08",8.75
"489","2008-12-09",8.75
"490","2008-12-10",8.75
"491","2008-12-11",8.75
"492","2008-12-12",8.75
"493","2008-12-15",8.75
"494","2008-12-16",8.75
"495","2008-12-17",8.75
"496","2008-12-18",8.75
"497","2008-12-19",8.75
"498","2008-12-22",8.75
"499","2008-12-23",7.5
"500","2008-12-24",7.5
"501","2008-12-26",6
"502","2008-12-29",6
"503","2008-12-30",8.75
"504","2008-12-31",8.75
"505","2009-01-02",8.75
"506","2009-01-05",8.75
"507","2009-01-06",8.75
"508","2009-01-07",7.25
"509","2009-01-08",7.25
"510","2009-01-09",7.25
"511","2009-01-12",7.25
"512","2009-01-13",7
"513","2009-01-14",7
"514","2009-01-15",7
"515","2009-01-16",7
"516","2009-01-20",7
"517","2009-01-21",7
"518","2009-01-22",7
"519","2009-01-23",7
"520","2009-01-26",7
"521","2009-01-27",7
"522","2009-01-28",7
"523","2009-01-29",7
"524","2009-01-30",7
"525","2009-02-02",7
"526","2009-02-03",7
"527","2009-02-04",7
"528","2009-02-05",7
"529","2009-02-06",7
"530","2009-02-09",7
"531","2009-02-10",7
"532","2009-02-11",7
"533","2009-02-12",7
"534","2009-02-13",7
"535","2009-02-17",7
"536","2009-02-18",6.75
"537","2009-02-19",6.25
"538","2009-02-20",5.05
"539","2009-02-23",5.05
"540","2009-02-24",2.6
"541","2009-02-25",4.55
"542","2009-02-26",4.55
"543","2009-02-27",2.55
"544","2009-03-02",4.25
"545","2009-03-03",4.25
"546","2009-03-04",4.25
"547","2009-03-05",4.25
"548","2009-03-06",4.25
"549","2009-03-09",4.25
"550","2009-03-10",4.25
"551","2009-03-11",4.25
"552","2009-03-12",4.25
"553","2009-03-13",4.25
"554","2009-03-16",4.25
"555","2009-03-17",4.25
"556","2009-03-18",4.25
"557","2009-03-19",4.4
"558","2009-03-20",4.4
"559","2009-03-23",4.45
"560","2009-03-24",4.45
"561","2009-03-25",4.45
"562","2009-03-26",4.45
"563","2009-03-27",4.45
"564","2009-03-30",4.55
"565","2009-03-31",4.55
"566","2009-04-01",4.55
"567","2009-04-02",4.55
"568","2009-04-03",4.55
"569","2009-04-06",4.55
"570","2009-04-07",4.55
"571","2009-04-08",4.25
"572","2009-04-09",4.25
"573","2009-04-13",4.25
"574","2009-04-14",4.25
"575","2009-04-15",3.25
"576","2009-04-16",3.25
"577","2009-04-17",3.25
"578","2009-04-20",3.25
"579","2009-04-21",3.25
"580","2009-04-22",3.25
"581","2009-04-23",4.45
"582","2009-04-24",4.45
"583","2009-04-27",4.45
"584","2009-04-28",4.45
"585","2009-04-29",4.5
"586","2009-04-30",4.5
"587","2009-05-01",2.25
"588","2009-05-04",2.5
"589","2009-05-05",2.5
"590","2009-05-06",2.5
"591","2009-05-07",2.5
"592","2009-05-08",1.55
"593","2009-05-11",1.55
"594","2009-05-12",1.55
"595","2009-05-13",1.55
"596","2009-05-14",1.55
"597","2009-05-15",2.75
"598","2009-05-18",2.5
"599","2009-05-19",2.5
"600","2009-05-20",2.5
"601","2009-05-21",2.5
"602","2009-05-22",2.5
"603","2009-05-26",2.5
"604","2009-05-27",2.65
"605","2009-05-28",3.75
"606","2009-05-29",3
"607","2009-06-01",3
"608","2009-06-02",3
"609","2009-06-03",2.9
"610","2009-06-04",2.95
"611","2009-06-05",2.95
"612","2009-06-08",3
"613","2009-06-09",2.6
"614","2009-06-10",3
"615","2009-06-11",2.75
"616","2009-06-12",3
"617","2009-06-15",3.75
"618","2009-06-16",3.75
"619","2009-06-17",3
"620","2009-06-18",3
"621","2009-06-19",3.05
"622","2009-06-22",3.05
"623","2009-06-23",3.05
"624","2009-06-24",3.05
"625","2009-06-25",3.05
"626","2009-06-26",3.05
"627","2009-06-29",3
"628","2009-06-30",3
"629","2009-07-01",3
"630","2009-07-02",2.95
"631","2009-07-06",2.95
"632","2009-07-07",2.75
"633","2009-07-08",2.75
"634","2009-07-09",2.75
"635","2009-07-10",2.75
"636","2009-07-13",2.75
"637","2009-07-14",2.75
"638","2009-07-15",2.75
"639","2009-07-16",2.75
"640","2009-07-17",2.75
"641","2009-07-20",2.75
"642","2009-07-21",2.1
"643","2009-07-22",2.1
"644","2009-07-23",2.1
"645","2009-07-24",2.1
"646","2009-07-27",2.1
"647","2009-07-28",2.1
"648","2009-07-29",2.1
"649","2009-07-30",2.55
"650","2009-07-31",2.75
"651","2009-08-03",2.25
"652","2009-08-04",2.75
"653","2009-08-05",2.75
"654","2009-08-06",2.75
"655","2009-08-07",2.1
"656","2009-08-10",2.1
"657","2009-08-11",2.1
"658","2009-08-12",2.05
"659","2009-08-13",2.05
"660","2009-08-14",2.05
"661","2009-08-17",2.05
"662","2009-08-18",2.05
"663","2009-08-19",2.05
"664","2009-08-20",2.05
"665","2009-08-21",1.95
"666","2009-08-24",1.95
"667","2009-08-25",1.95
"668","2009-08-26",1.95
"669","2009-08-27",1.95
"670","2009-08-28",2
"671","2009-08-31",2.05
"672","2009-09-01",2.05
"673","2009-09-02",2.05
"674","2009-09-03",2.05
"675","2009-09-04",2
"676","2009-09-08",2
"677","2009-09-09",2
"678","2009-09-10",2
"679","2009-09-11",2.25
"680","2009-09-14",2.25
"681","2009-09-15",2.25
"682","2009-09-16",2.25
"683","2009-09-17",2.25
"684","2009-09-18",2.25
"685","2009-09-21",2.1
"686","2009-09-22",2.1
"687","2009-09-23",2.4
"688","2009-09-24",2.4
"689","2009-09-25",2.5
"690","2009-09-28",2.5
"691","2009-09-29",2.5
"692","2009-09-30",2.5
"693","2009-10-01",2.25
"694","2009-10-02",2.25
"695","2009-10-05",2.4
"696","2009-10-06",2.5
"697","2009-10-07",2.5
"698","2009-10-08",2.35
"699","2009-10-09",2.35
"700","2009-10-12",2.35
"701","2009-10-13",2.35
"702","2009-10-14",2.35
"703","2009-10-15",2.5
"704","2009-10-16",2.5
"705","2009-10-19",2.05
"706","2009-10-20",2.05
"707","2009-10-21",2.05
"708","2009-10-22",2.5
"709","2009-10-23",2.2
"710","2009-10-26",2.2
"711","2009-10-27",2.2
"712","2009-10-28",2.1
"713","2009-10-29",2.25
"714","2009-10-30",2.45
"715","2009-11-02",2.5
"716","2009-11-03",2.5
"717","2009-11-04",2.2
"718","2009-11-05",2.2
"719","2009-11-06",2.2
"720","2009-11-09",2.5
"721","2009-11-10",2.5
"722","2009-11-11",2.5
"723","2009-11-12",2.5
"724","2009-11-13",2.5
"725","2009-11-16",2.5
"726","2009-11-17",2.4
"727","2009-11-18",2.4
"728","2009-11-19",2.4
"729","2009-11-20",2.4
"730","2009-11-23",2.4
"731","2009-11-24",2.4
"732","2009-11-25",2.4
"733","2009-11-27",2.4
"734","2009-11-30",2.4
"735","2009-12-01",2.4
"736","2009-12-02",1.95
"737","2009-12-03",1.8
"738","2009-12-04",1.8
"739","2009-12-07",1.8
"740","2009-12-08",1.8
"741","2009-12-09",1.8
"742","2009-12-10",1.8
"743","2009-12-11",1.8
"744","2009-12-14",1.8
"745","2009-12-15",1.8
"746","2009-12-16",1.75
"747","2009-12-17",1.75
"748","2009-12-18",1.75
"749","2009-12-21",1.75
"750","2009-12-22",1.75
"751","2009-12-23",1.8
"752","2009-12-24",2.5
"753","2009-12-28",2.5
"754","2009-12-29",2.5
"755","2009-12-30",2.5
"756","2009-12-31",2.5
"757","2010-01-04",1.9
"758","2010-01-05",1.9
"759","2010-01-06",2.5
"760","2010-01-07",2.5
"761","2010-01-08",1.9
"762","2010-01-11",1.9
"763","2010-01-12",1.9
"764","2010-01-13",1.9
"765","2010-01-14",2.5
"766","2010-01-15",2.5
"767","2010-01-19",1.9
"768","2010-01-20",2.25
"769","2010-01-21",2.25
"770","2010-01-22",1.9
"771","2010-01-25",2.25
"772","2010-01-26",2.25
"773","2010-01-27",1.9
"774","2010-01-28",1.9
"775","2010-01-29",1.9
"776","2010-02-01",2.25
"777","2010-02-02",2.25
"778","2010-02-03",2.25
"779","2010-02-04",1.85
"780","2010-02-05",2
"781","2010-02-08",2
"782","2010-02-09",2
"783","2010-02-10",2
"784","2010-02-11",2
"785","2010-02-12",2
"786","2010-02-16",2
"787","2010-02-17",2
"788","2010-02-18",2
"789","2010-02-19",2
"790","2010-02-22",2
"791","2010-02-23",2
"792","2010-02-24",2
"793","2010-02-25",2
"794","2010-02-26",2
"795","2010-03-01",2
"796","2010-03-02",2
"797","2010-03-03",1.5
"798","2010-03-04",1.5
"799","2010-03-05",1.5
"800","2010-03-08",2
"801","2010-03-09",2
"802","2010-03-10",2
"803","2010-03-11",2
"804","2010-03-12",2
"805","2010-03-15",2
"806","2010-03-16",2
"807","2010-03-17",2
"808","2010-03-18",2
"809","2010-03-19",2
"810","2010-03-22",2
"811","2010-03-23",2
"812","2010-03-24",2
"813","2010-03-25",2
"814","2010-03-26",2
"815","2010-03-29",2
"816","2010-03-30",2
"817","2010-03-31",2
"818","2010-04-01",1.5
"819","2010-04-05",1.5
"820","2010-04-06",1.5
"821","2010-04-07",1.5
"822","2010-04-08",1.5
"823","2010-04-09",1.5
"824","2010-04-12",1.5
"825","2010-04-13",1.05
"826","2010-04-14",1.5
"827","2010-04-15",1.5
"828","2010-04-16",1.5
"829","2010-04-19",1.5
"830","2010-04-20",1.5
"831","2010-04-21",1.05
"832","2010-04-22",1.45
"833","2010-04-23",1.45
"834","2010-04-26",1.45
"835","2010-04-27",1.5
"836","2010-04-28",1.5
"837","2010-04-29",1.5
"838","2010-04-30",1.5
"839","2010-05-03",1.5
"840","2010-05-04",1.5
"841","2010-05-05",1.5
"842","2010-05-06",1.5
"843","2010-05-07",1.5
"844","2010-05-10",1.5
"845","2010-05-11",1.5
"846","2010-05-12",1.5
"847","2010-05-13",1.5
"848","2010-05-14",1.5
"849","2010-05-17",1.5
"850","2010-05-18",1.5
"851","2010-05-19",1.5
"852","2010-05-20",1.5
"853","2010-05-21",1.5
"854","2010-05-24",1.75
"855","2010-05-25",1.75
"856","2010-05-26",1.75
"857","2010-05-27",1.75
"858","2010-05-28",1.75
"859","2010-06-01",1.75
"860","2010-06-02",1.75
"861","2010-06-03",1.75
"862","2010-06-04",1
"863","2010-06-07",1
"864","2010-06-08",1
"865","2010-06-09",1
"866","2010-06-10",1
"867","2010-06-11",1.15
"868","2010-06-14",1.15
"869","2010-06-15",1.15
"870","2010-06-16",1.15
"871","2010-06-17",1.15
"872","2010-06-18",1.15
"873","2010-06-21",1.75
"874","2010-06-22",1.75
"875","2010-06-23",1.75
"876","2010-06-24",1.75
"877","2010-06-25",1.75
"878","2010-06-28",2
"879","2010-06-29",1.75
"880","2010-06-30",1.75
"881","2010-07-01",1.75
"882","2010-07-02",1.75
"883","2010-07-06",1.75
"884","2010-07-07",1.75
"885","2010-07-08",1.75
"886","2010-07-09",1.75
"887","2010-07-12",1.75
"888","2010-07-13",1.75
"889","2010-07-14",1.75
"890","2010-07-15",1.75
"891","2010-07-16",1.75
"892","2010-07-19",1.75
"893","2010-07-20",1.75
"894","2010-07-21",1.75
"895","2010-07-22",1.75
"896","2010-07-23",1.75
"897","2010-07-26",1.75
"898","2010-07-27",1.75
"899","2010-07-28",1.75
"900","2010-07-29",1.75
"901","2010-07-30",1.75
"902","2010-08-02",1.75
"903","2010-08-03",1.75
"904","2010-08-04",1.75
"905","2010-08-05",1.75
"906","2010-08-06",1.75
"907","2010-08-09",1.75
"908","2010-08-10",1.7
"909","2010-08-11",1.7
"910","2010-08-12",1.7
"911","2010-08-13",1.7
"912","2010-08-16",1.7
"913","2010-08-17",1.7
"914","2010-08-18",1.7
"915","2010-08-19",1.7
"916","2010-08-20",1.7
"917","2010-08-23",1.7
"918","2010-08-24",1.7
"919","2010-08-25",1.7
"920","2010-08-26",1.7
"921","2010-08-27",1.7
"922","2010-08-30",1.7
"923","2010-08-31",1.7
"924","2010-09-01",2.5
"925","2010-09-02",2.15
"926","2010-09-03",2.15
"927","2010-09-07",2.15
"928","2010-09-08",2.15
"929","2010-09-09",1.95
"930","2010-09-10",1.95
"931","2010-09-13",1.95
"932","2010-09-14",1.95
"933","2010-09-15",1.95
"934","2010-09-16",1.95
"935","2010-09-17",1.95
"936","2010-09-20",1.95
"937","2010-09-21",1.95
"938","2010-09-22",1.95
"939","2010-09-23",1.95
"940","2010-09-24",1.95
"941","2010-09-27",1.95
"942","2010-09-28",1.95
"943","2010-09-29",1.95
"944","2010-09-30",1.95
"945","2010-10-01",1.95
"946","2010-10-04",1.95
"947","2010-10-05",1.95
"948","2010-10-06",1.95
"949","2010-10-07",1.95
"950","2010-10-08",1.95
"951","2010-10-11",1.95
"952","2010-10-12",1.95
"953","2010-10-13",1.95
"954","2010-10-14",1.95
"955","2010-10-15",1.95
"956","2010-10-18",1.95
"957","2010-10-19",1.95
"958","2010-10-20",1.95
"959","2010-10-21",1.4
"960","2010-10-22",1.7
"961","2010-10-25",1.7
"962","2010-10-26",1.65
"963","2010-10-27",1.05
"964","2010-10-28",1.6
"965","2010-10-29",1.6
"966","2010-11-01",1.7
"967","2010-11-02",1.7
"968","2010-11-03",1.7
"969","2010-11-04",1.65
"970","2010-11-05",1.7
"971","2010-11-08",1.7
"972","2010-11-09",1.7
"973","2010-11-10",1.7
"974","2010-11-11",1.7
"975","2010-11-12",1.7
"976","2010-11-15",1.7
"977","2010-11-16",1.7
"978","2010-11-17",1.7
"979","2010-11-18",1.15
"980","2010-11-19",1.15
"981","2010-11-22",1.15
"982","2010-11-23",1.7
"983","2010-11-24",1.7
"984","2010-11-26",1.7
"985","2010-11-29",1.7
"986","2010-11-30",1.7
"987","2010-12-01",1.7
"988","2010-12-02",1.7
"989","2010-12-03",1.7
"990","2010-12-06",1.7
"991","2010-12-07",1.7
"992","2010-12-08",1.7
"993","2010-12-09",1.7
"994","2010-12-10",1.7
"995","2010-12-13",1.7
"996","2010-12-14",1.7
"997","2010-12-15",1.7
"998","2010-12-16",1.7
"999","2010-12-17",1.7
"1000","2010-12-20",1.7
"1001","2010-12-21",1.7
"1002","2010-12-22",1.7
"1003","2010-12-23",1.6
"1004","2010-12-27",1.6
"1005","2010-12-28",1.6
"1006","2010-12-29",1.6
"1007","2010-12-30",1.45
"1008","2010-12-31",1.45
"1009","2011-01-03",1.4
"1010","2011-01-04",1.4
"1011","2011-01-05",1.4
"1012","2011-01-06",1.4
"1013","2011-01-07",1.4
"1014","2011-01-10",1.4
"1015","2011-01-11",1.4
"1016","2011-01-12",1.4
"1017","2011-01-13",1.4
"1018","2011-01-14",1.4
"1019","2011-01-18",1.4
"1020","2011-01-19",1.4
"1021","2011-01-20",1.4
"1022","2011-01-21",1.4
"1023","2011-01-24",1.4
"1024","2011-01-25",1.4
"1025","2011-01-26",1.4
"1026","2011-01-27",1.4
"1027","2011-01-28",1.4
"1028","2011-01-31",1.4
"1029","2011-02-01",1.4
"1030","2011-02-02",1.4
"1031","2011-02-03",1.4
