"","date","BORR"
"131","2020-02-04",5.045
"132","2020-02-05",4.96
"133","2020-02-06",4.92
"134","2020-02-07",4.7
"135","2020-02-10",4.19
"136","2020-02-11",4.18
"137","2020-02-12",4.28
"138","2020-02-13",4.18
"139","2020-02-14",4.199
"140","2020-02-18",3.9
"141","2020-02-19",3.91
"142","2020-02-20",3.78
"143","2020-02-21",3.66
"144","2020-02-24",3.02
"145","2020-02-25",2.87
"146","2020-02-26",2.763
"147","2020-02-27",2.679
"148","2020-02-28",2.405
"149","2020-03-02",1.92
"150","2020-03-03",1.79
"151","2020-03-04",1.52
"152","2020-03-05",1.41
"153","2020-03-06",1.13
"154","2020-03-09",0.825
"155","2020-03-10",0.858
"156","2020-03-11",0.836
"157","2020-03-12",0.666
"158","2020-03-13",0.592
"159","2020-03-16",0.41
"160","2020-03-17",0.28
"161","2020-03-18",0.25
"162","2020-03-19",0.38
"163","2020-03-20",0.45
"164","2020-03-23",0.57
"165","2020-03-24",0.504
"166","2020-03-25",0.486
"167","2020-03-26",0.75
"168","2020-03-27",0.46
"169","2020-03-30",0.5
"170","2020-03-31",0.485
"171","2020-04-01",0.48
"172","2020-04-02",0.48
"173","2020-04-03",0.576
"174","2020-04-06",0.79
"175","2020-04-07",1.6
"176","2020-04-08",1.42
"177","2020-04-09",1.57
"178","2020-04-13",1.51
"179","2020-04-14",1.14
"180","2020-04-15",0.89
"181","2020-04-16",0.8
"182","2020-04-17",0.754
"183","2020-04-20",0.688
"184","2020-04-21",0.6
"185","2020-04-22",0.73
"186","2020-04-23",0.685
"187","2020-04-24",0.779
"188","2020-04-27",0.71
"189","2020-04-28",0.677
"190","2020-04-29",0.715
"191","2020-04-30",0.889
"192","2020-05-01",0.782
"193","2020-05-04",0.72
"194","2020-05-05",0.686
"195","2020-05-06",0.67
"196","2020-05-07",0.661
"197","2020-05-08",0.638
"198","2020-05-11",0.629
"199","2020-05-12",0.591
"200","2020-05-13",0.52
"201","2020-05-14",0.545
"202","2020-05-15",0.56
"203","2020-05-18",0.609
"204","2020-05-19",0.548
"205","2020-05-20",0.571
"206","2020-05-21",0.705
"207","2020-05-22",0.69
"208","2020-05-26",0.709
"209","2020-05-27",0.684
"210","2020-05-28",0.695
"211","2020-05-29",0.62
"212","2020-06-01",0.6
"213","2020-06-02",0.6
"214","2020-06-03",0.63
"215","2020-06-04",0.69
"216","2020-06-05",1.16
"217","2020-06-08",2.63
"218","2020-06-09",1.78
"219","2020-06-10",1.39
"220","2020-06-11",1.08
"221","2020-06-12",1.34
"222","2020-06-15",1.37
"223","2020-06-16",1.52
"224","2020-06-17",1.41
"225","2020-06-18",1.53
"226","2020-06-19",1.52
"227","2020-06-22",1.45
"228","2020-06-23",1.36
"229","2020-06-24",1.18
"230","2020-06-25",1.19
"231","2020-06-26",1.15
"232","2020-06-29",1.16
"233","2020-06-30",1.12
"234","2020-07-01",1.13
"235","2020-07-02",1.11
"236","2020-07-06",1.08
"237","2020-07-07",1.04
"238","2020-07-08",0.98
"239","2020-07-09",0.887
"240","2020-07-10",1.04
"241","2020-07-13",0.935
"242","2020-07-14",0.972
"243","2020-07-15",1.06
"244","2020-07-16",1
"245","2020-07-17",0.963
"246","2020-07-20",0.98
"247","2020-07-21",1.03
"248","2020-07-22",1
"249","2020-07-23",1
"250","2020-07-24",1
"251","2020-07-27",0.962
"252","2020-07-28",0.94
"253","2020-07-29",0.94
"254","2020-07-30",0.903
"255","2020-07-31",0.894
"256","2020-08-03",1.09
"257","2020-08-04",1.09
"258","2020-08-05",1.04
"259","2020-08-06",1.02
"260","2020-08-07",1
"261","2020-08-10",1.01
"262","2020-08-11",0.98
"263","2020-08-12",1.02
"264","2020-08-13",1.01
"265","2020-08-14",1.02
"266","2020-08-17",0.99
"267","2020-08-18",0.96
"268","2020-08-19",0.97
"269","2020-08-20",0.9
"270","2020-08-21",0.927
"271","2020-08-24",0.931
"272","2020-08-25",0.94
"273","2020-08-26",0.949
"274","2020-08-27",0.92
"275","2020-08-28",0.941
"276","2020-08-31",0.885
"277","2020-09-01",0.84
"278","2020-09-02",0.81
"279","2020-09-03",0.79
"280","2020-09-04",0.795
"281","2020-09-08",0.75
"282","2020-09-09",0.771
"283","2020-09-10",0.76
"284","2020-09-11",0.73
"285","2020-09-14",0.75
"286","2020-09-15",0.804
"287","2020-09-16",0.802
"288","2020-09-17",0.796
"289","2020-09-18",0.793
"290","2020-09-21",0.746
"291","2020-09-22",0.72
"292","2020-09-23",0.717
"293","2020-09-24",0.715
"294","2020-09-25",0.669
"295","2020-09-28",0.659
"296","2020-09-29",0.635
"297","2020-09-30",0.55
"298","2020-10-01",0.542
"299","2020-10-02",0.524
"300","2020-10-05",0.519
"301","2020-10-06",0.49
"302","2020-10-07",0.55
"303","2020-10-08",0.525
"304","2020-10-09",0.54
"305","2020-10-12",0.51
"306","2020-10-13",0.502
"307","2020-10-14",0.508
"308","2020-10-15",0.48
"309","2020-10-16",0.447
"310","2020-10-19",0.465
"311","2020-10-20",0.474
"312","2020-10-21",0.455
"313","2020-10-22",0.421
"314","2020-10-23",0.43
"315","2020-10-26",0.417
"316","2020-10-27",0.415
"317","2020-10-28",0.4
"318","2020-10-29",0.395
"319","2020-10-30",0.39
"320","2020-11-02",0.419
"321","2020-11-03",0.435
"322","2020-11-04",0.43
"323","2020-11-05",0.435
"324","2020-11-06",0.414
"325","2020-11-09",0.575
"326","2020-11-10",0.686
"327","2020-11-11",0.61
"328","2020-11-12",0.535
"329","2020-11-13",0.581
"330","2020-11-16",0.627
"331","2020-11-17",0.62
"332","2020-11-18",0.623
"333","2020-11-19",0.62
"334","2020-11-20",0.62
"335","2020-11-23",0.8
"336","2020-11-24",0.929
"337","2020-11-25",0.936
"338","2020-11-27",0.874
