"","date","ETTX"
"207","2019-07-24",6.37
"208","2019-07-25",6.44
"209","2019-07-26",6.4
"210","2019-07-29",6.38
"211","2019-07-30",6.45
"212","2019-07-31",6.55
"213","2019-08-01",6.63
"214","2019-08-02",6.47
"215","2019-08-05",6.44
"216","2019-08-06",6.74
"217","2019-08-07",6.8
"218","2019-08-08",6.79
"219","2019-08-09",6.99
"220","2019-08-12",7
"221","2019-08-13",7.2
"222","2019-08-14",7.25
"223","2019-08-15",7.45
"224","2019-08-16",8.25
"225","2019-08-19",8.4
"226","2019-08-20",8.42
"227","2019-08-21",8.33
"228","2019-08-22",8.3
"229","2019-08-23",8.47
"230","2019-08-26",8
"231","2019-08-27",7.59
"232","2019-08-28",7.7
"233","2019-08-29",7.46
"234","2019-08-30",7.4
"235","2019-09-03",6.75
"236","2019-09-04",6.95
"237","2019-09-05",6.69
"238","2019-09-06",6.91
"239","2019-09-09",6.52
"240","2019-09-10",6.3
"241","2019-09-11",6.3
"242","2019-09-12",6.38
"243","2019-09-13",5.77
"244","2019-09-16",5.72
"245","2019-09-17",5.12
"246","2019-09-18",5.81
"247","2019-09-19",5.77
"248","2019-09-20",6.36
"249","2019-09-23",6.39
"250","2019-09-24",6.13
"251","2019-09-25",6.3
"252","2019-09-26",6.17
"253","2019-09-27",6.15
"254","2019-09-30",5.96
"255","2019-10-01",5.64
"256","2019-10-02",5.59
"257","2019-10-03",6.04
"258","2019-10-04",5.55
"259","2019-10-07",5.61
"260","2019-10-08",5.8
"261","2019-10-09",5.79
"262","2019-10-10",5.87
"263","2019-10-11",5.85
"264","2019-10-14",5.77
"265","2019-10-15",5.78
"266","2019-10-16",5.7
"267","2019-10-17",5.8
"268","2019-10-18",5.75
"269","2019-10-21",6.16
"270","2019-10-22",6.21
"271","2019-10-23",6.18
"272","2019-10-24",6.2
"273","2019-10-25",6.19
"274","2019-10-28",6.14
"275","2019-10-29",6.28
"276","2019-10-30",6.05
"277","2019-10-31",5.97
"278","2019-11-01",5.74
"279","2019-11-04",5.7
"280","2019-11-05",5.61
"281","2019-11-06",5.89
"282","2019-11-07",5.98
"283","2019-11-08",5.6
"284","2019-11-11",5.55
"285","2019-11-12",5.59
"286","2019-11-13",5.28
"287","2019-11-14",5.08
"288","2019-11-15",5.01
"289","2019-11-18",4.94
"290","2019-11-19",4.95
"291","2019-11-20",5.09
"292","2019-11-21",4.89
"293","2019-11-22",4.84
"294","2019-11-25",4.81
"295","2019-11-26",4.6
"296","2019-11-27",4.74
"297","2019-11-29",4.85
"298","2019-12-02",4.81
"299","2019-12-03",4.9
"300","2019-12-04",4.97
"301","2019-12-05",4.98
"302","2019-12-06",4.88
"303","2019-12-09",5.01
"304","2019-12-10",5.4
"305","2019-12-11",5.32
"306","2019-12-12",5.2
"307","2019-12-13",5.25
"308","2019-12-16",5.25
"309","2019-12-17",5.33
"310","2019-12-18",4.8
"311","2019-12-19",4.8
"312","2019-12-20",4.75
"313","2019-12-23",4.95
"314","2019-12-24",4.92
"315","2019-12-26",5
"316","2019-12-27",5.11
"317","2019-12-30",5.09
"318","2019-12-31",4.97
"319","2020-01-02",4.96
"320","2020-01-03",4.95
"321","2020-01-06",5
"322","2020-01-07",5
"323","2020-01-08",5.05
"324","2020-01-09",4.9
"325","2020-01-10",5
"326","2020-01-13",4.89
"327","2020-01-14",4.88
"328","2020-01-15",4.7
"329","2020-01-16",4.77
"330","2020-01-17",4.8
"331","2020-01-21",4.88
"332","2020-01-22",4.91
"333","2020-01-23",4.94
"334","2020-01-24",4.86
"335","2020-01-27",4.8
"336","2020-01-28",4.92
"337","2020-01-29",5.09
"338","2020-01-30",5.08
"339","2020-01-31",5
"340","2020-02-03",4.97
"341","2020-02-04",5.09
"342","2020-02-05",5.13
"343","2020-02-06",5.08
"344","2020-02-07",5.16
"345","2020-02-10",5.3
"346","2020-02-11",5.38
"347","2020-02-12",5
"348","2020-02-13",5.26
"349","2020-02-14",5.24
"350","2020-02-18",5.34
"351","2020-02-19",5.05
"352","2020-02-20",5.3
"353","2020-02-21",5.13
"354","2020-02-24",5.03
"355","2020-02-25",5.01
"356","2020-02-26",5.02
"357","2020-02-27",5.16
"358","2020-02-28",5.27
"359","2020-03-02",5.01
"360","2020-03-03",5.09
"361","2020-03-04",5.1
"362","2020-03-05",5.1
"363","2020-03-06",4.97
"364","2020-03-09",5.09
"365","2020-03-10",4.21
"366","2020-03-11",4.13
"367","2020-03-12",3.08
"368","2020-03-13",2.7
"369","2020-03-16",1.99
"370","2020-03-17",2.02
"371","2020-03-18",5.56
"372","2020-03-19",2.75
"373","2020-03-20",2.71
"374","2020-03-23",2.4
"375","2020-03-24",2.47
"376","2020-03-25",2.75
"377","2020-03-26",2.88
"378","2020-03-27",2.75
"379","2020-03-30",2.61
"380","2020-03-31",2.64
"381","2020-04-01",2.5
"382","2020-04-02",2.46
"383","2020-04-03",2.31
"384","2020-04-06",2.33
"385","2020-04-07",2.47
"386","2020-04-08",2.57
"387","2020-04-09",2.63
"388","2020-04-13",2.64
"389","2020-04-14",2.9
"390","2020-04-15",2.68
"391","2020-04-16",2.7
"392","2020-04-17",2.83
"393","2020-04-20",3.02
"394","2020-04-21",2.95
"395","2020-04-22",2.95
"396","2020-04-23",2.79
"397","2020-04-24",2.69
"398","2020-04-27",2.59
"399","2020-04-28",2.67
"400","2020-04-29",2.75
"401","2020-04-30",2.76
"402","2020-05-01",2.73
"403","2020-05-04",2.59
"404","2020-05-05",2.75
"405","2020-05-06",2.8
"406","2020-05-07",2.75
"407","2020-05-08",2.68
"408","2020-05-11",2.79
"409","2020-05-12",2.64
"410","2020-05-13",2.62
"411","2020-05-14",2.43
"412","2020-05-15",2.46
"413","2020-05-18",2.7
"414","2020-05-19",2.52
"415","2020-05-20",2.4
"416","2020-05-21",2.4
"417","2020-05-22",2.4
"418","2020-05-26",2.38
"419","2020-05-27",2.58
"420","2020-05-28",2.71
"421","2020-05-29",2.77
"422","2020-06-01",2.71
"423","2020-06-02",2.71
"424","2020-06-03",2.76
"425","2020-06-04",2.77
"426","2020-06-05",2.88
"427","2020-06-08",3.01
"428","2020-06-09",2.91
"429","2020-06-10",2.98
"430","2020-06-11",2.71
"431","2020-06-12",2.81
"432","2020-06-15",3.32
"433","2020-06-16",3.04
"434","2020-06-17",2.93
"435","2020-06-18",2.98
"436","2020-06-19",2.98
"437","2020-06-22",2.96
"438","2020-06-23",2.95
"439","2020-06-24",2.94
"440","2020-06-25",2.87
"441","2020-06-26",2.94
"442","2020-06-29",2.83
"443","2020-06-30",2.96
"444","2020-07-01",2.95
"445","2020-07-02",2.92
"446","2020-07-06",2.8
"447","2020-07-07",2.62
"448","2020-07-08",2.54
"449","2020-07-09",2.79
"450","2020-07-10",2.94
"451","2020-07-13",3.06
"452","2020-07-14",3.1
"453","2020-07-15",3.12
"454","2020-07-16",3.77
"455","2020-07-17",3.91
"456","2020-07-20",4.03
"457","2020-07-21",3.76
"458","2020-07-22",3.25
"459","2020-07-23",3.05
"460","2020-07-24",3.01
"461","2020-07-27",3
"462","2020-07-28",3.06
"463","2020-07-29",2.84
"464","2020-07-30",3.01
"465","2020-07-31",2.8
"466","2020-08-03",2.82
"467","2020-08-04",2.95
"468","2020-08-05",2.88
"469","2020-08-06",2.8
"470","2020-08-07",2.87
"471","2020-08-10",2.97
"472","2020-08-11",2.92
"473","2020-08-12",2.91
"474","2020-08-13",2.9
"475","2020-08-14",2.88
"476","2020-08-17",2.86
"477","2020-08-18",2.84
"478","2020-08-19",2.73
"479","2020-08-20",2.6
"480","2020-08-21",2.58
"481","2020-08-24",2.56
"482","2020-08-25",2.65
"483","2020-08-26",2.51
"484","2020-08-27",2.55
"485","2020-08-28",2.61
"486","2020-08-31",2.65
"487","2020-09-01",2.52
"488","2020-09-02",2.88
"489","2020-09-03",2.77
"490","2020-09-04",2.76
"491","2020-09-08",2.82
"492","2020-09-09",2.89
"493","2020-09-10",2.94
"494","2020-09-11",2.94
"495","2020-09-14",3
"496","2020-09-15",3.03
"497","2020-09-16",2.97
"498","2020-09-17",2.98
"499","2020-09-18",2.86
"500","2020-09-21",2.77
"501","2020-09-22",2.64
"502","2020-09-23",2.49
"503","2020-09-24",2.26
"504","2020-09-25",2.29
"505","2020-09-28",2.25
"506","2020-09-29",2.1
"507","2020-09-30",2.04
"508","2020-10-01",2.06
"509","2020-10-02",2.15
"510","2020-10-05",2.18
"511","2020-10-06",2.09
"512","2020-10-07",2.1
"513","2020-10-08",2.04
"514","2020-10-09",2.02
"515","2020-10-12",2
"516","2020-10-13",2.01
"517","2020-10-14",2.04
"518","2020-10-15",2.1
"519","2020-10-16",2.07
"520","2020-10-19",2.11
"521","2020-10-20",2.14
"522","2020-10-21",2.02
"523","2020-10-22",1.83
"524","2020-10-23",1.77
"525","2020-10-26",1.72
"526","2020-10-27",1.77
"527","2020-10-28",1.64
"528","2020-10-29",1.67
"529","2020-10-30",1.61
"530","2020-11-02",1.65
"531","2020-11-03",1.68
"532","2020-11-04",1.7
"533","2020-11-05",1.7
"534","2020-11-06",1.67
"535","2020-11-09",1.68
"536","2020-11-10",1.7
"537","2020-11-11",1.7
"538","2020-11-12",1.68
"539","2020-11-13",1.72
"540","2020-11-16",1.75
"541","2020-11-17",1.78
"542","2020-11-18",1.81
"543","2020-11-19",1.81
"544","2020-11-20",1.81
"545","2020-11-23",1.81
"546","2020-11-24",1.76
"547","2020-11-25",1.77
"548","2020-11-27",1.76
