"","date","PINE"
"151","2020-06-30",16.26
"152","2020-07-01",15.87
"153","2020-07-02",15.21
"154","2020-07-06",15.35
"155","2020-07-07",14.43
"156","2020-07-08",14.03
"157","2020-07-09",13.4
"158","2020-07-10",13.73
"159","2020-07-13",13.57
"160","2020-07-14",14.14
"161","2020-07-15",15.13
"162","2020-07-16",14.76
"163","2020-07-17",14.72
"164","2020-07-20",14.65
"165","2020-07-21",14.27
"166","2020-07-22",14.49
"167","2020-07-23",14.78
"168","2020-07-24",14.6
"169","2020-07-27",14.44
"170","2020-07-28",14.64
"171","2020-07-29",14.78
"172","2020-07-30",14.92
"173","2020-07-31",14.04
"174","2020-08-03",14.66
"175","2020-08-04",14.79
"176","2020-08-05",14.77
"177","2020-08-06",14.8
"178","2020-08-07",15.24
"179","2020-08-10",15.34
"180","2020-08-11",14.62
"181","2020-08-12",14.45
"182","2020-08-13",14.48
"183","2020-08-14",14.33
"184","2020-08-17",15.08
"185","2020-08-18",14.83
"186","2020-08-19",14.87
"187","2020-08-20",14.69
"188","2020-08-21",14.4
"189","2020-08-24",14.36
"190","2020-08-25",14.56
"191","2020-08-26",13.45
"192","2020-08-27",13.83
"193","2020-08-28",14.2
"194","2020-08-31",14.51
"195","2020-09-01",14.58
"196","2020-09-02",14.66
"197","2020-09-03",14.23
"198","2020-09-04",14.04
"199","2020-09-08",13.91
"200","2020-09-09",14.81
"201","2020-09-10",15.67
"202","2020-09-11",14.88
"203","2020-09-14",15.59
"204","2020-09-15",16.16
"205","2020-09-16",16.190001
"206","2020-09-17",16.08
"207","2020-09-18",16.75
"208","2020-09-21",15.8
"209","2020-09-22",16.35
"210","2020-09-23",16.280001
"211","2020-09-24",15.25
"212","2020-09-25",15.59
"213","2020-09-28",15.94
"214","2020-09-29",15.56
"215","2020-09-30",15.55
"216","2020-10-01",16
"217","2020-10-02",15.94
"218","2020-10-05",15.61
"219","2020-10-06",15.17
"220","2020-10-07",15.54
"221","2020-10-08",15.54
"222","2020-10-09",15.6
"223","2020-10-12",15.52
"224","2020-10-13",14.9
"225","2020-10-14",14.59
"226","2020-10-15",14.58
"227","2020-10-16",14.09
"228","2020-10-19",14
"229","2020-10-20",14.44
"230","2020-10-21",14.64
"231","2020-10-22",15.9
"232","2020-10-23",15.46
"233","2020-10-26",15.04
"234","2020-10-27",14.25
"235","2020-10-28",13.85
"236","2020-10-29",14.14
"237","2020-10-30",13.95
"238","2020-11-02",14.02
"239","2020-11-03",14.55
"240","2020-11-04",14.34
"241","2020-11-05",14.18
"242","2020-11-06",13.64
"243","2020-11-09",14.74
"244","2020-11-10",15.3
"245","2020-11-11",15.32
"246","2020-11-12",14.99
"247","2020-11-13",15.35
"248","2020-11-16",15.5
"249","2020-11-17",15.44
"250","2020-11-18",15.19
"251","2020-11-19",15.2
"252","2020-11-20",15.5
"253","2020-11-23",15.38
"254","2020-11-24",16.030001
"255","2020-11-25",16.09
"256","2020-11-27",15.98
