"","date","ELF"
"517","2018-10-10",12.15
"518","2018-10-11",11.58
"519","2018-10-12",11.51
"520","2018-10-15",11.48
"521","2018-10-16",10.85
"522","2018-10-17",10.94
"523","2018-10-18",10.48
"524","2018-10-19",10.4
"525","2018-10-22",10.87
"526","2018-10-23",10.67
"527","2018-10-24",10.4
"528","2018-10-25",10.73
"529","2018-10-26",10.26
"530","2018-10-29",10.24
"531","2018-10-30",10.48
"532","2018-10-31",10.61
"533","2018-11-01",10.81
"534","2018-11-02",10.87
"535","2018-11-05",11.1
"536","2018-11-06",13.23
"537","2018-11-07",13.44
"538","2018-11-08",13.22
"539","2018-11-09",13.01
"540","2018-11-12",12.76
"541","2018-11-13",12.98
"542","2018-11-14",12.89
"543","2018-11-15",13.2
"544","2018-11-16",13
"545","2018-11-19",12.24
"546","2018-11-20",12.19
"547","2018-11-21",12.45
"548","2018-11-23",12.01
"549","2018-11-26",12.28
"550","2018-11-27",12.14
"551","2018-11-28",12.63
"552","2018-11-29",12.49
"553","2018-11-30",12.76
"554","2018-12-03",12.48
"555","2018-12-04",11.63
"556","2018-12-06",11.21
"557","2018-12-07",11.12
"558","2018-12-10",10.96
"559","2018-12-11",10.87
"560","2018-12-12",10.97
"561","2018-12-13",10.67
"562","2018-12-14",9.9
"563","2018-12-17",9.6
"564","2018-12-18",9.55
"565","2018-12-19",9.4
"566","2018-12-20",8.47
"567","2018-12-21",8.31
"568","2018-12-24",7.85
"569","2018-12-26",8.37
"570","2018-12-27",8.52
"571","2018-12-28",8.73
"572","2018-12-31",8.66
"573","2019-01-02",9.17
"574","2019-01-03",9.01
"575","2019-01-04",9.34
"576","2019-01-07",9.69
"577","2019-01-08",9.97
"578","2019-01-09",9.83
"579","2019-01-10",8.2
"580","2019-01-11",8.21
"581","2019-01-14",8.31
"582","2019-01-15",8.3
"583","2019-01-16",8.12
"584","2019-01-17",8.27
"585","2019-01-18",8.36
"586","2019-01-22",8.15
"587","2019-01-23",8.26
"588","2019-01-24",8.24
"589","2019-01-25",8.44
"590","2019-01-28",8.53
"591","2019-01-29",8.44
"592","2019-01-30",8.45
"593","2019-01-31",8.4
"594","2019-02-01",8.43
"595","2019-02-04",8.44
"596","2019-02-05",8.6
"597","2019-02-06",8.59
"598","2019-02-07",8.61
"599","2019-02-08",9.24
"600","2019-02-11",9.34
"601","2019-02-12",9.41
"602","2019-02-13",9.5
"603","2019-02-14",9.43
"604","2019-02-15",9.38
"605","2019-02-19",9.41
"606","2019-02-20",9.56
"607","2019-02-21",9.56
"608","2019-02-22",9.85
"609","2019-02-25",9.45
"610","2019-02-26",9.48
