"","date","LIZI"
"157","2020-08-31",4.36
"158","2020-09-01",4.22
"159","2020-09-02",4
"160","2020-09-03",3.87
"161","2020-09-04",3.72
"162","2020-09-08",3.68
"163","2020-09-09",3.95
"164","2020-09-10",3.7
"165","2020-09-11",3.57
"166","2020-09-14",3.52
"167","2020-09-15",3.58
"168","2020-09-16",3.63
"169","2020-09-17",3.63
"170","2020-09-18",3.43
"171","2020-09-21",3.27
"172","2020-09-22",2.77
"173","2020-09-23",2.69
"174","2020-09-24",2.51
"175","2020-09-25",2.45
"176","2020-09-28",2.35
"177","2020-09-29",2.17
"178","2020-09-30",2.26
"179","2020-10-01",2.57
"180","2020-10-02",2.3
"181","2020-10-05",2.26
"182","2020-10-06",2.25
"183","2020-10-07",2.21
"184","2020-10-08",2.29
"185","2020-10-09",2.65
"186","2020-10-12",3.15
"187","2020-10-13",2.6
"188","2020-10-14",2.54
"189","2020-10-15",2.4
"190","2020-10-16",2.35
"191","2020-10-19",2.26
"192","2020-10-20",2.12
"193","2020-10-21",2.02
"194","2020-10-22",1.995
"195","2020-10-23",2.19
"196","2020-10-26",2.12
"197","2020-10-27",2.06
"198","2020-10-28",2.02
"199","2020-10-29",2.04
"200","2020-10-30",1.96
"201","2020-11-02",2
"202","2020-11-03",2.07
"203","2020-11-04",2.1
"204","2020-11-05",2.11
"205","2020-11-06",2.34
"206","2020-11-09",2.38
"207","2020-11-10",2.13
"208","2020-11-11",2.23
"209","2020-11-12",2.11
"210","2020-11-13",2.12
"211","2020-11-16",2.38
"212","2020-11-17",2.37
"213","2020-11-18",2.45
"214","2020-11-19",2.53
"215","2020-11-20",2.46
"216","2020-11-23",2.48
"217","2020-11-24",2.47
"218","2020-11-25",2.4
"219","2020-11-27",2.43
