"","date","EGBN"
"267","2008-01-24",10.917356
"268","2008-01-25",10.917356
"269","2008-01-28",11.190083
"270","2008-01-29",11.652892
"271","2008-01-30",11.735538
"272","2008-01-31",11.528926
"273","2008-02-01",11.570248
"274","2008-02-04",11.570248
"275","2008-02-05",11.570248
"276","2008-02-06",11.570248
"277","2008-02-07",11.776859
"278","2008-02-08",11.76033
"279","2008-02-11",11.53719
"280","2008-02-12",11.206612
"281","2008-02-13",11.380165
"282","2008-02-14",11.380165
"283","2008-02-15",11.570248
"284","2008-02-19",10.909091
"285","2008-02-20",11.280992
"286","2008-02-21",10.545455
"287","2008-02-22",11.148761
"288","2008-02-25",10.446281
"289","2008-02-26",10.545455
"290","2008-02-27",10.53719
"291","2008-02-28",10.892562
"292","2008-02-29",10.280992
"293","2008-03-03",10.53719
"294","2008-03-04",10.033058
"295","2008-03-05",10
"296","2008-03-06",10
"297","2008-03-07",9.834711
"298","2008-03-10",10.123967
"299","2008-03-11",9.900826
"300","2008-03-12",9.752066
"301","2008-03-13",9.710744
"302","2008-03-14",9.504132
"303","2008-03-17",10.206612
"304","2008-03-18",9.710744
"305","2008-03-19",9.710744
"306","2008-03-20",9.752066
"307","2008-03-24",10.735538
"308","2008-03-25",9.710744
"309","2008-03-26",9.793388
"310","2008-03-27",9.710744
"311","2008-03-28",9.752066
"312","2008-03-31",10.785124
"313","2008-04-01",10.355371
"314","2008-04-02",10.743802
"315","2008-04-03",10.867768
"316","2008-04-04",10.702479
"317","2008-04-07",9.826447
"318","2008-04-08",9.793388
"319","2008-04-09",9.793388
"320","2008-04-10",9.669421
"321","2008-04-11",9.793388
"322","2008-04-14",9.628099
"323","2008-04-15",9.719008
"324","2008-04-16",9.669421
"325","2008-04-17",9.553719
"326","2008-04-18",9.710744
"327","2008-04-21",9.380165
"328","2008-04-22",9.305785
"329","2008-04-23",9.429752
"330","2008-04-24",9.586777
"331","2008-04-25",9.289256
"332","2008-04-28",9.289256
"333","2008-04-29",9.173553
"334","2008-04-30",9.132232
"335","2008-05-01",9.115703
"336","2008-05-02",9.090909
"337","2008-05-05",9.090909
"338","2008-05-06",9.033058
"339","2008-05-07",8.53719
