"","date","AMHC"
"75","2020-04-28",9.7
"76","2020-04-29",9.7
"77","2020-04-30",9.7
"78","2020-05-01",9.75
"79","2020-05-04",9.75
"80","2020-05-05",9.75
"81","2020-05-06",9.75
"82","2020-05-07",9.75
"83","2020-05-08",9.704
"84","2020-05-11",9.704
"85","2020-05-12",9.704
"86","2020-05-13",9.704
"87","2020-05-14",9.704
"88","2020-05-15",9.704
"89","2020-05-18",9.704
"90","2020-05-19",9.704
"91","2020-05-20",9.704
"92","2020-05-21",9.704
"93","2020-05-22",9.704
"94","2020-05-26",9.704
"95","2020-05-27",9.704
"96","2020-05-28",9.704
"97","2020-05-29",9.704
"98","2020-06-01",9.704
"99","2020-06-02",9.74
"100","2020-06-03",9.74
"101","2020-06-04",9.74
"102","2020-06-05",9.74
"103","2020-06-08",9.74
"104","2020-06-09",9.74
"105","2020-06-10",9.75
"106","2020-06-11",9.75
"107","2020-06-12",9.75
"108","2020-06-15",9.75
"109","2020-06-16",9.75
"110","2020-06-17",9.75
"111","2020-06-18",9.75
"112","2020-06-19",9.75
"113","2020-06-22",9.75
"114","2020-06-23",9.95
"115","2020-06-24",9.95
"116","2020-06-25",9.95
"117","2020-06-26",9.95
"118","2020-06-29",10.25
"119","2020-06-30",10.25
"120","2020-07-01",10.25
"121","2020-07-02",10.25
"122","2020-07-06",10.25
"123","2020-07-07",10.25
"124","2020-07-08",10.25
"125","2020-07-09",10.25
"126","2020-07-10",10.25
"127","2020-07-13",10.23
"128","2020-07-14",10.11
"129","2020-07-15",10.11
"130","2020-07-16",10.11
"131","2020-07-17",10.18
"132","2020-07-20",10.23
"133","2020-07-21",10.146
"134","2020-07-22",10.12
"135","2020-07-23",10.184
"136","2020-07-24",10.1
"137","2020-07-27",10.13
"138","2020-07-28",10.172
"139","2020-07-29",10.12
"140","2020-07-30",10.24
"141","2020-07-31",10.1
"142","2020-08-03",10.02
"143","2020-08-04",10
"144","2020-08-05",10
"145","2020-08-06",10
"146","2020-08-07",10
"147","2020-08-10",9.95
"148","2020-08-11",9.945
"149","2020-08-12",9.9
"150","2020-08-13",9.99
"151","2020-08-14",9.99
"152","2020-08-17",9.99
"153","2020-08-18",9.99
"154","2020-08-19",9.87
"155","2020-08-20",9.88
"156","2020-08-21",9.77
"157","2020-08-24",9.77
"158","2020-08-25",9.899
"159","2020-08-26",9.845
"160","2020-08-27",9.845
"161","2020-08-28",9.845
"162","2020-08-31",9.95
"163","2020-09-01",9.95
"164","2020-09-02",9.7
"165","2020-09-03",9.9
"166","2020-09-04",9.9
"167","2020-09-08",9.91
"168","2020-09-09",9.9
"169","2020-09-10",9.925
"170","2020-09-11",9.99
"171","2020-09-14",9.97
"172","2020-09-15",9.93
"173","2020-09-16",9.89
"174","2020-09-17",9.9
"175","2020-09-18",10.05
"176","2020-09-21",10.049
"177","2020-09-22",9.964
"178","2020-09-23",9.91
"179","2020-09-24",9.91
"180","2020-09-25",9.91
"181","2020-09-28",9.9
"182","2020-09-29",9.95
"183","2020-09-30",9.925
"184","2020-10-01",9.9
"185","2020-10-02",9.95
"186","2020-10-05",9.94
"187","2020-10-06",9.87
"188","2020-10-07",9.86
"189","2020-10-08",9.86
"190","2020-10-09",9.911
"191","2020-10-12",9.911
"192","2020-10-13",9.911
"193","2020-10-14",9.911
"194","2020-10-15",9.911
"195","2020-10-16",9.911
"196","2020-10-19",9.911
"197","2020-10-20",9.911
"198","2020-10-21",9.832
"199","2020-10-22",9.87
"200","2020-10-23",9.87
"201","2020-10-26",9.89
"202","2020-10-27",9.89
"203","2020-10-28",9.834
"204","2020-10-29",9.895
"205","2020-10-30",9.84
"206","2020-11-02",9.855
"207","2020-11-03",9.86
"208","2020-11-04",9.86
"209","2020-11-05",9.85
"210","2020-11-06",9.85
"211","2020-11-09",9.86
"212","2020-11-10",9.87
"213","2020-11-11",9.86
"214","2020-11-12",9.86
"215","2020-11-13",9.87
"216","2020-11-16",9.87
"217","2020-11-17",9.9
"218","2020-11-18",9.9
"219","2020-11-19",9.87
"220","2020-11-20",9.87
"221","2020-11-23",9.906
"222","2020-11-24",9.91
"223","2020-11-25",9.91
"224","2020-11-27",9.914
