"","date","RUHN"
"106","2019-09-03",4.62
"107","2019-09-04",4.41
"108","2019-09-05",4.3
"109","2019-09-06",4.33
"110","2019-09-09",4.47
"111","2019-09-10",4.68
"112","2019-09-11",4.75
"113","2019-09-12",7
"114","2019-09-13",6.8
"115","2019-09-16",7
"116","2019-09-17",7
"117","2019-09-18",7
"118","2019-09-19",6.98
"119","2019-09-20",6.95
"120","2019-09-23",7.13
"121","2019-09-24",6.87
"122","2019-09-25",6.98
"123","2019-09-26",6.85
"124","2019-09-27",7.07
"125","2019-09-30",7.28
"126","2019-10-01",7
"127","2019-10-02",7.01
"128","2019-10-03",7.07
"129","2019-10-04",7.05
"130","2019-10-07",6.84
"131","2019-10-08",6.59
"132","2019-10-09",6.37
"133","2019-10-10",5.79
"134","2019-10-11",5.92
"135","2019-10-14",5.37
"136","2019-10-15",4.74
"137","2019-10-16",4.79
"138","2019-10-17",4.49
"139","2019-10-18",4.94
"140","2019-10-21",4.79
"141","2019-10-22",4.95
"142","2019-10-23",5.05
"143","2019-10-24",5.07
"144","2019-10-25",5.14
"145","2019-10-28",5.55
"146","2019-10-29",5.36
"147","2019-10-30",5.58
"148","2019-10-31",5.47
"149","2019-11-01",5.67
"150","2019-11-04",5.66
"151","2019-11-05",6.65
"152","2019-11-06",6.96
"153","2019-11-07",6.97
"154","2019-11-08",7.07
"155","2019-11-11",7.05
"156","2019-11-12",7.02
"157","2019-11-13",6.98
"158","2019-11-14",6.98
"159","2019-11-15",6.75
"160","2019-11-18",6.84
"161","2019-11-19",6.95
"162","2019-11-20",7
"163","2019-11-21",6.98
"164","2019-11-22",7.05
"165","2019-11-25",8.11
"166","2019-11-26",8.4
"167","2019-11-27",7.77
"168","2019-11-29",7.27
"169","2019-12-02",7.1
"170","2019-12-03",6.29
"171","2019-12-04",6.4
"172","2019-12-05",6.36
"173","2019-12-06",6.2
"174","2019-12-09",6.18
"175","2019-12-10",6.18
"176","2019-12-11",6.09
"177","2019-12-12",5.88
"178","2019-12-13",5.57
"179","2019-12-16",5.53
"180","2019-12-17",5.49
"181","2019-12-18",5.32
"182","2019-12-19",5.08
"183","2019-12-20",6.2
"184","2019-12-23",5.7
"185","2019-12-24",5.8
"186","2019-12-26",6.92
"187","2019-12-27",6.96
"188","2019-12-30",6.99
"189","2019-12-31",7.01
"190","2020-01-02",8.68
"191","2020-01-03",7.89
"192","2020-01-06",7
"193","2020-01-07",7.19
"194","2020-01-08",7.61
"195","2020-01-09",7.69
"196","2020-01-10",7.94
"197","2020-01-13",8.18
"198","2020-01-14",8.3
"199","2020-01-15",8.48
"200","2020-01-16",8.93
"201","2020-01-17",8.58
"202","2020-01-21",7.67
"203","2020-01-22",8.24
"204","2020-01-23",8.1
"205","2020-01-24",8.5
"206","2020-01-27",8.6
"207","2020-01-28",8.28
"208","2020-01-29",8.31
"209","2020-01-30",8.38
"210","2020-01-31",8.89
"211","2020-02-03",8.1
"212","2020-02-04",8.22
"213","2020-02-05",8.45
"214","2020-02-06",8.07
"215","2020-02-07",8.2
"216","2020-02-10",7.85
"217","2020-02-11",8.27
"218","2020-02-12",8.2
"219","2020-02-13",8.28
"220","2020-02-14",8.26
"221","2020-02-18",8.14
"222","2020-02-19",7.95
"223","2020-02-20",7.87
"224","2020-02-21",7.5
"225","2020-02-24",7.5
"226","2020-02-25",7.53
"227","2020-02-26",7.26
"228","2020-02-27",7.27
"229","2020-02-28",6.91
"230","2020-03-02",6.97
"231","2020-03-03",7.55
"232","2020-03-04",7.51
"233","2020-03-05",7.39
"234","2020-03-06",7.5
"235","2020-03-09",7.52
"236","2020-03-10",7.25
"237","2020-03-11",7.4
"238","2020-03-12",7.32
"239","2020-03-13",7.48
"240","2020-03-16",6.8
"241","2020-03-17",5.85
"242","2020-03-18",5.58
"243","2020-03-19",5.14
"244","2020-03-20",5.29
"245","2020-03-23",4.99
"246","2020-03-24",4.9
"247","2020-03-25",4.78
"248","2020-03-26",4.96
"249","2020-03-27",4.94
"250","2020-03-30",4.74
"251","2020-03-31",4.39
"252","2020-04-01",4.09
"253","2020-04-02",4.03
"254","2020-04-03",4.23
"255","2020-04-06",4.24
"256","2020-04-07",4.06
"257","2020-04-08",4.26
"258","2020-04-09",4.45
"259","2020-04-13",4.44
"260","2020-04-14",4.55
"261","2020-04-15",4.15
"262","2020-04-16",4.09
"263","2020-04-17",3.83
"264","2020-04-20",3.48
"265","2020-04-21",3.73
"266","2020-04-22",3.6
"267","2020-04-23",3.8
"268","2020-04-24",3.59
"269","2020-04-27",3.87
"270","2020-04-28",3.64
"271","2020-04-29",3.59
"272","2020-04-30",3.42
"273","2020-05-01",3.12
"274","2020-05-04",3.22
"275","2020-05-05",3.11
"276","2020-05-06",3.13
"277","2020-05-07",3.12
"278","2020-05-08",3.1
"279","2020-05-11",3.19
"280","2020-05-12",3.09
"281","2020-05-13",2.91
"282","2020-05-14",2.84
"283","2020-05-15",2.87
"284","2020-05-18",3
"285","2020-05-19",2.98
"286","2020-05-20",2.78
"287","2020-05-21",2.83
"288","2020-05-22",2.6
"289","2020-05-26",2.63
"290","2020-05-27",2.7
"291","2020-05-28",2.82
"292","2020-05-29",3.08
"293","2020-06-01",3
"294","2020-06-02",3.62
"295","2020-06-03",4.16
"296","2020-06-04",3.71
"297","2020-06-05",3.75
"298","2020-06-08",3.78
"299","2020-06-09",3.5
"300","2020-06-10",3.59
"301","2020-06-11",3.37
"302","2020-06-12",3.31
"303","2020-06-15",3.27
"304","2020-06-16",3.22
"305","2020-06-17",3.18
"306","2020-06-18",3.1
"307","2020-06-19",3.08
"308","2020-06-22",3
"309","2020-06-23",3.07
"310","2020-06-24",3.08
"311","2020-06-25",3.14
"312","2020-06-26",3.2
"313","2020-06-29",3.06
"314","2020-06-30",2.98
"315","2020-07-01",2.86
"316","2020-07-02",3.03
"317","2020-07-06",3.1
"318","2020-07-07",3.7
"319","2020-07-08",4.45
"320","2020-07-09",4.28
"321","2020-07-10",3.88
"322","2020-07-13",3.44
"323","2020-07-14",3.78
"324","2020-07-15",3.78
"325","2020-07-16",3.57
"326","2020-07-17",3.5
"327","2020-07-20",3.64
"328","2020-07-21",3.84
"329","2020-07-22",3.69
"330","2020-07-23",3.87
"331","2020-07-24",3.8
"332","2020-07-27",3.82
"333","2020-07-28",3.87
"334","2020-07-29",3.94
"335","2020-07-30",4.007
"336","2020-07-31",4.12
"337","2020-08-03",4.25
"338","2020-08-04",4.25
"339","2020-08-05",4.07
"340","2020-08-06",3.94
"341","2020-08-07",3.66
"342","2020-08-10",3.71
"343","2020-08-11",3.55
"344","2020-08-12",3.6
"345","2020-08-13",3.53
"346","2020-08-14",3.5
"347","2020-08-17",3.18
"348","2020-08-18",3.09
"349","2020-08-19",3.02
"350","2020-08-20",3.03
"351","2020-08-21",2.99
"352","2020-08-24",2.83
"353","2020-08-25",2.72
"354","2020-08-26",3.21
"355","2020-08-27",3.04
"356","2020-08-28",3.02
"357","2020-08-31",2.94
"358","2020-09-01",2.95
"359","2020-09-02",2.91
"360","2020-09-03",2.75
"361","2020-09-04",2.76
"362","2020-09-08",2.71
"363","2020-09-09",2.75
"364","2020-09-10",2.73
"365","2020-09-11",2.88
"366","2020-09-14",2.51
"367","2020-09-15",2.63
"368","2020-09-16",2.55
"369","2020-09-17",2.49
"370","2020-09-18",2.51
"371","2020-09-21",2.56
"372","2020-09-22",2.5
"373","2020-09-23",2.61
"374","2020-09-24",2.59
"375","2020-09-25",2.65
"376","2020-09-28",2.58
"377","2020-09-29",2.65
"378","2020-09-30",2.62
"379","2020-10-01",2.65
"380","2020-10-02",2.65
"381","2020-10-05",2.61
"382","2020-10-06",2.63
"383","2020-10-07",2.655
"384","2020-10-08",2.68
"385","2020-10-09",2.64
"386","2020-10-12",2.62
"387","2020-10-13",2.65
"388","2020-10-14",2.65
"389","2020-10-15",2.68
"390","2020-10-16",2.69
"391","2020-10-19",2.68
"392","2020-10-20",2.66
"393","2020-10-21",2.68
"394","2020-10-22",2.56
"395","2020-10-23",2.55
"396","2020-10-26",2.46
"397","2020-10-27",2.43
"398","2020-10-28",2.41
"399","2020-10-29",2.4
"400","2020-10-30",2.34
"401","2020-11-02",2.26
"402","2020-11-03",2.35
"403","2020-11-04",2.4
"404","2020-11-05",2.42
"405","2020-11-06",2.42
"406","2020-11-09",2.4
"407","2020-11-10",2.47
"408","2020-11-11",2.47
"409","2020-11-12",2.44
"410","2020-11-13",2.42
"411","2020-11-16",2.42
"412","2020-11-17",2.44
"413","2020-11-18",2.45
"414","2020-11-19",2.54
"415","2020-11-20",2.75
"416","2020-11-23",2.65
"417","2020-11-24",3.08
"418","2020-11-25",2.89
"419","2020-11-27",3.07
