"","date","LOOP"
"746","2020-11-05",6.48
"747","2020-11-06",6.37
"748","2020-11-09",6.56
"749","2020-11-10",6.52
"750","2020-11-11",6.83
"751","2020-11-12",6.77
"752","2020-11-13",6.76
"753","2020-11-16",6.75
"754","2020-11-17",7.06
"755","2020-11-18",7.14
"756","2020-11-19",7.56
"757","2020-11-20",7.87
"758","2020-11-23",8
"759","2020-11-24",8.45
"760","2020-11-25",8.61
"761","2020-11-27",8.22
