"","date","DXC"
"455","2008-10-21",15.94275
"456","2008-10-22",13.692183
"457","2008-10-23",13.811419
"458","2008-10-24",13.717025
"459","2008-10-27",13.48849
"460","2008-10-28",14.983899
"461","2008-10-29",13.900846
"462","2008-10-30",14.213839
"463","2008-10-31",14.983899
"464","2008-11-03",15.748992
"465","2008-11-04",16.384914
"466","2008-11-05",15.431031
"467","2008-11-06",14.79511
"468","2008-11-07",15.262115
"469","2008-11-10",15.152816
"470","2008-11-11",14.621225
"471","2008-11-12",13.895878
"472","2008-11-13",15.192561
"473","2008-11-14",14.174093
"474","2008-11-17",13.831291
"475","2008-11-18",13.885942
"476","2008-11-19",13.021485
"477","2008-11-20",12.127221
"478","2008-11-21",12.917154
"479","2008-11-24",13.210275
"480","2008-11-25",13.389128
"481","2008-11-26",13.418937
"482","2008-11-28",13.841228
"483","2008-12-01",12.658812
"484","2008-12-02",13.741865
"485","2008-12-03",14.169125
"486","2008-12-04",13.682247
"487","2008-12-05",14.323137
"488","2008-12-08",15.018676
"489","2008-12-09",14.859695
"490","2008-12-10",15.162752
"491","2008-12-11",15.093198
"492","2008-12-12",15.565171
"493","2008-12-15",15.455873
"494","2008-12-16",16.091793
"495","2008-12-17",16.280582
"496","2008-12-18",16.76746
"497","2008-12-19",16.469372
"498","2008-12-22",16.265678
"499","2008-12-23",15.659566
"500","2008-12-24",15.80861
"501","2008-12-26",16.121603
"502","2008-12-29",16.558798
"503","2008-12-30",16.841982
"504","2008-12-31",17.458031
"505","2009-01-02",18.431786
"506","2009-01-05",18.66032
"507","2009-01-06",19.639044
"508","2009-01-07",18.824268
"509","2009-01-08",18.277773
"510","2009-01-09",18.064144
"511","2009-01-12",17.9151
"512","2009-01-13",18.541084
"513","2009-01-14",17.736246
"514","2009-01-15",18.213188
"515","2009-01-16",18.372168
"516","2009-01-20",17.482872
"517","2009-01-21",18.213188
"518","2009-01-22",18.228092
"519","2009-01-23",17.860451
"520","2009-01-26",18.228092
"521","2009-01-27",18.779556
"522","2009-01-28",19.107452
"523","2009-01-29",18.292679
"524","2009-01-30",18.302614
"525","2009-02-02",18.700066
"526","2009-02-03",19.112421
"527","2009-02-04",18.878918
"528","2009-02-05",19.2714
"529","2009-02-06",20.076239
"530","2009-02-09",20.006685
"531","2009-02-10",19.286304
"532","2009-02-11",20.016621
"533","2009-02-12",19.72847
"534","2009-02-13",19.663883
"535","2009-02-17",18.859045
"536","2009-02-18",18.8193
"537","2009-02-19",18.307583
"538","2009-02-20",18.203251
"539","2009-02-23",17.477903
"540","2009-02-24",17.850513
"541","2009-02-25",17.398413
"542","2009-02-26",17.115231
"543","2009-02-27",17.259306
"544","2009-03-02",16.986057
"545","2009-03-03",16.971153
"546","2009-03-04",17.999557
"547","2009-03-05",16.981091
"548","2009-03-06",16.315359
"549","2009-03-09",15.937781
"550","2009-03-10",16.20606
"551","2009-03-11",16.533958
"552","2009-03-12",17.423254
"553","2009-03-13",17.582235
"554","2009-03-16",17.080452
"555","2009-03-17",17.537521
"556","2009-03-18",17.959812
"557","2009-03-19",17.597139
"558","2009-03-20",17.333828
"559","2009-03-23",18.575861
"560","2009-03-24",18.118793
"561","2009-03-25",18.242996
"562","2009-03-26",18.779556
"563","2009-03-27",18.093952
"564","2009-03-30",18.223124
"565","2009-03-31",18.302614
"566","2009-04-01",18.670256
"567","2009-04-02",19.494967
"568","2009-04-03",19.947067
"569","2009-04-06",19.758278
"570","2009-04-07",19.291273
"571","2009-04-08",18.888855
"572","2009-04-09",19.415478
"573","2009-04-13",19.08758
"574","2009-04-14",18.739811
"575","2009-04-15",18.501339
"576","2009-04-16",18.66032
"577","2009-04-17",18.868982
"578","2009-04-20",18.297646
"579","2009-04-21",18.461596
"580","2009-04-22",18.307583
"581","2009-04-23",18.302614
"582","2009-04-24",18.416882
"583","2009-04-27",18.352295
"584","2009-04-28",18.501339
"585","2009-04-29",19.132294
"586","2009-04-30",18.362232
"587","2009-05-01",18.431786
"588","2009-05-04",18.814333
"589","2009-05-05",18.774588
"590","2009-05-06",18.98325
"591","2009-05-07",18.675224
"592","2009-05-08",18.620575
"593","2009-05-11",18.640448
"594","2009-05-12",18.58083
"595","2009-05-13",17.959812
"596","2009-05-14",18.118793
"597","2009-05-15",18.029367
"598","2009-05-18",18.486435
"599","2009-05-19",18.441723
"600","2009-05-20",18.456627
"601","2009-05-21",19.847704
"602","2009-05-22",19.753309
"603","2009-05-26",20.925791
"604","2009-05-27",20.791651
"605","2009-05-28",20.761843
"606","2009-05-29",21.094707
"607","2009-06-01",21.934322
"608","2009-06-02",21.78031
"609","2009-06-03",21.526936
"610","2009-06-04",21.720692
"611","2009-06-05",21.825024
"612","2009-06-08",21.775341
"613","2009-06-09",21.705788
"614","2009-06-10",21.869736
"615","2009-06-11",22.177761
"616","2009-06-12",22.351646
"617","2009-06-15",21.988972
"618","2009-06-16",21.690884
"619","2009-06-17",22.073429
"620","2009-06-18",22.2026
"621","2009-06-19",21.805151
"622","2009-06-22",21.204006
"623","2009-06-23",21.154325
"624","2009-06-24",21.392796
"625","2009-06-25",21.516998
"626","2009-06-26",21.67598
"627","2009-06-29",21.909481
"628","2009-06-30",22.008844
"629","2009-07-01",22.207569
"630","2009-07-02",21.760437
"631","2009-07-06",21.705788
"632","2009-07-07",21.21891
"633","2009-07-08",20.955599
