"","date","PULM"
"460","2016-01-15",31.299999
"461","2016-01-19",29
"462","2016-01-20",27.299999
"463","2016-01-21",30.4
"464","2016-01-22",31.5
"465","2016-01-25",31.6
"466","2016-01-26",29
"467","2016-01-27",28.799999
"468","2016-01-28",27.360001
"469","2016-01-29",28.48
"470","2016-02-01",29.5
"471","2016-02-02",28.200001
"472","2016-02-03",28
"473","2016-02-04",28.5
"474","2016-02-05",29.5
"475","2016-02-08",29.5
"476","2016-02-09",26
"477","2016-02-10",25.1
"478","2016-02-11",24.27
"479","2016-02-12",24.5
"480","2016-02-16",24.65
"481","2016-02-17",23
"482","2016-02-18",22.98
"483","2016-02-19",21.43
"484","2016-02-22",20.200001
"485","2016-02-23",23.200001
"486","2016-02-24",25.190001
"487","2016-02-25",25.5
"488","2016-02-26",27.27
"489","2016-02-29",28.5
"490","2016-03-01",29
"491","2016-03-02",29
"492","2016-03-03",28.799999
"493","2016-03-04",32.099998
"494","2016-03-07",29.5
"495","2016-03-08",29
"496","2016-03-09",29.75
"497","2016-03-10",28.6
"498","2016-03-11",28
"499","2016-03-14",28.5
"500","2016-03-15",29.6
"501","2016-03-16",29.9
"502","2016-03-17",29.6
"503","2016-03-18",30
"504","2016-03-21",29.700001
"505","2016-03-22",28.799999
"506","2016-03-23",29
"507","2016-03-24",29.799999
"508","2016-03-28",27.9
"509","2016-03-29",29.1
"510","2016-03-30",29.299999
"511","2016-03-31",29.299999
"512","2016-04-01",29.4
"513","2016-04-04",27.700001
"514","2016-04-05",29.700001
"515","2016-04-06",30
"516","2016-04-07",30
"517","2016-04-08",29.299999
"518","2016-04-11",28.9
"519","2016-04-12",28
"520","2016-04-13",29.5
"521","2016-04-14",34.599998
"522","2016-04-15",34.700001
"523","2016-04-18",34.900002
"524","2016-04-19",33.389999
"525","2016-04-20",33.700001
"526","2016-04-21",32
"527","2016-04-22",33.099998
"528","2016-04-25",34
"529","2016-04-26",34.099998
"530","2016-04-27",33.299999
"531","2016-04-28",32.400002
"532","2016-04-29",33.200001
"533","2016-05-02",29.200001
"534","2016-05-03",28.75
"535","2016-05-04",27.5
"536","2016-05-05",25.5
"537","2016-05-06",25
"538","2016-05-09",25.799999
"539","2016-05-10",26
"540","2016-05-11",25.5
"541","2016-05-12",26
"542","2016-05-13",24.299999
"543","2016-05-16",21.5
"544","2016-05-17",22.200001
"545","2016-05-18",22.27
"546","2016-05-19",24
"547","2016-05-20",24.9
"548","2016-05-23",24
"549","2016-05-24",23.700001
"550","2016-05-25",22.6
"551","2016-05-26",22.4
"552","2016-05-27",23.5
"553","2016-05-31",24.200001
"554","2016-06-01",25.08
"555","2016-06-02",23.9
"556","2016-06-03",23.9
"557","2016-06-06",24.6
"558","2016-06-07",24.6
"559","2016-06-08",24.700001
"560","2016-06-09",23.200001
"561","2016-06-10",23.1
"562","2016-06-13",20
"563","2016-06-14",18.93
"564","2016-06-15",23.200001
"565","2016-06-16",25
"566","2016-06-17",23.1
"567","2016-06-20",21.9
"568","2016-06-21",21.4
"569","2016-06-22",21.1
"570","2016-06-23",24.299999
"571","2016-06-24",22.5
"572","2016-06-27",21.4
"573","2016-06-28",19.6
"574","2016-06-29",19.42
"575","2016-06-30",19.6
"576","2016-07-01",20.799999
"577","2016-07-05",19.700001
"578","2016-07-06",21
"579","2016-07-07",21.6
"580","2016-07-08",20.799999
"581","2016-07-11",20.6
"582","2016-07-12",21.5
"583","2016-07-13",21.9
"584","2016-07-14",21.799999
"585","2016-07-15",22.52
"586","2016-07-18",22.1
"587","2016-07-19",22.299999
"588","2016-07-20",20.799999
"589","2016-07-21",21.799999
"590","2016-07-22",21.6
"591","2016-07-25",21.4
"592","2016-07-26",20.700001
"593","2016-07-27",22.5
"594","2016-07-28",21.700001
"595","2016-07-29",21.200001
"596","2016-08-01",20.700001
"597","2016-08-02",20
"598","2016-08-03",20.4
"599","2016-08-04",19.83
"600","2016-08-05",19.9
"601","2016-08-08",19.6
"602","2016-08-09",19.700001
"603","2016-08-10",19.4
"604","2016-08-11",19.200001
"605","2016-08-12",19.6
"606","2016-08-15",18.83
"607","2016-08-16",19.1
"608","2016-08-17",19.9
"609","2016-08-18",19.299999
"610","2016-08-19",19.200001
"611","2016-08-22",18.700001
"612","2016-08-23",18.799999
"613","2016-08-24",18.200001
"614","2016-08-25",17.9
"615","2016-08-26",16.6
"616","2016-08-29",16.9
"617","2016-08-30",16.1
"618","2016-08-31",15.37
"619","2016-09-01",15.8
"620","2016-09-02",16.5
"621","2016-09-06",15.7
"622","2016-09-07",15.1
"623","2016-09-08",15.4
"624","2016-09-09",15.8
"625","2016-09-12",16.9
"626","2016-09-13",16.6
"627","2016-09-14",16.6
"628","2016-09-15",16
"629","2016-09-16",15.9
"630","2016-09-19",16
"631","2016-09-20",15.5
"632","2016-09-21",16
"633","2016-09-22",15.6
"634","2016-09-23",16.299999
"635","2016-09-26",15.5
"636","2016-09-27",16.700001
"637","2016-09-28",15.7
"638","2016-09-29",15.4
"639","2016-09-30",16.5
"640","2016-10-03",16.4
"641","2016-10-04",16.4
"642","2016-10-05",16.9
"643","2016-10-06",17.1
"644","2016-10-07",17.1
"645","2016-10-10",15.6
"646","2016-10-11",16
"647","2016-10-12",14.8
"648","2016-10-13",14.7
"649","2016-10-14",13.8
"650","2016-10-17",13.2
"651","2016-10-18",13.7
"652","2016-10-19",13.8
"653","2016-10-20",13.9
"654","2016-10-21",13.6
"655","2016-10-24",14
"656","2016-10-25",15.2
"657","2016-10-26",14.5
"658","2016-10-27",14.3
"659","2016-10-28",12.7
"660","2016-10-31",12.8
"661","2016-11-01",12
"662","2016-11-02",10.9
"663","2016-11-03",10.3
"664","2016-11-04",9.5
"665","2016-11-07",8.31
"666","2016-11-08",9.1
"667","2016-11-09",9.5
"668","2016-11-10",9.19
"669","2016-11-11",9.1
"670","2016-11-14",9.1
"671","2016-11-15",9
"672","2016-11-16",8.7
"673","2016-11-17",7.52
"674","2016-11-18",7.75
"675","2016-11-21",7
"676","2016-11-22",7.8
"677","2016-11-23",7.68
"678","2016-11-25",7
"679","2016-11-28",7.1
"680","2016-11-29",6.8
"681","2016-11-30",6
"682","2016-12-01",6
"683","2016-12-02",6.07
"684","2016-12-05",6.5
"685","2016-12-06",6.21
"686","2016-12-07",6.7
"687","2016-12-08",6.93
"688","2016-12-09",6.54
"689","2016-12-12",6.3
"690","2016-12-13",6.2
"691","2016-12-14",6.2
"692","2016-12-15",6.15
"693","2016-12-16",5.6
