"","date","ETON"
"308","2020-02-05",6.79
"309","2020-02-06",6.65
"310","2020-02-07",6.74
"311","2020-02-10",6.78
"312","2020-02-11",6.82
"313","2020-02-12",6.76
"314","2020-02-13",6.86
"315","2020-02-14",7.01
"316","2020-02-18",7.31
"317","2020-02-19",6.8
"318","2020-02-20",6.5
"319","2020-02-21",6.26
"320","2020-02-24",5.98
"321","2020-02-25",5.74
"322","2020-02-26",5.75
"323","2020-02-27",5.4
"324","2020-02-28",5.4
"325","2020-03-02",5.51
"326","2020-03-03",5.69
"327","2020-03-04",5.81
"328","2020-03-05",5.56
"329","2020-03-06",5.32
"330","2020-03-09",4.69
"331","2020-03-10",4.54
"332","2020-03-11",4.2
"333","2020-03-12",3.58
"334","2020-03-13",3.9
"335","2020-03-16",3.1
"336","2020-03-17",3.2
"337","2020-03-18",2.87
"338","2020-03-19",3.15
"339","2020-03-20",3.1
"340","2020-03-23",2.99
"341","2020-03-24",3.3
"342","2020-03-25",3.19
"343","2020-03-26",3.33
"344","2020-03-27",4.36
"345","2020-03-30",4
"346","2020-03-31",4.1
"347","2020-04-01",3.99
"348","2020-04-02",3.7
"349","2020-04-03",3.5
"350","2020-04-06",3.63
"351","2020-04-07",3.83
"352","2020-04-08",4.25
"353","2020-04-09",4.37
"354","2020-04-13",4.13
"355","2020-04-14",4.36
"356","2020-04-15",4.15
"357","2020-04-16",3.95
"358","2020-04-17",4.21
"359","2020-04-20",4.22
"360","2020-04-21",4.21
"361","2020-04-22",4.42
"362","2020-04-23",4.45
"363","2020-04-24",4.71
"364","2020-04-27",5.06
"365","2020-04-28",4.97
"366","2020-04-29",5
"367","2020-04-30",5.18
"368","2020-05-01",5.17
"369","2020-05-04",5.45
"370","2020-05-05",5.45
"371","2020-05-06",5.43
"372","2020-05-07",5.46
"373","2020-05-08",5.55
"374","2020-05-11",5.53
"375","2020-05-12",5.42
"376","2020-05-13",5.23
"377","2020-05-14",5.2
"378","2020-05-15",4.75
"379","2020-05-18",4.7
"380","2020-05-19",4.69
"381","2020-05-20",4.74
"382","2020-05-21",4.74
"383","2020-05-22",4.78
"384","2020-05-26",4.83
"385","2020-05-27",4.85
"386","2020-05-28",4.57
"387","2020-05-29",4.6
"388","2020-06-01",5.01
"389","2020-06-02",5.14
"390","2020-06-03",5.16
"391","2020-06-04",5.15
"392","2020-06-05",5.42
"393","2020-06-08",5.62
"394","2020-06-09",5.47
"395","2020-06-10",5.38
"396","2020-06-11",4.83
"397","2020-06-12",5.17
"398","2020-06-15",5.5
"399","2020-06-16",5.69
"400","2020-06-17",5.88
"401","2020-06-18",5.81
"402","2020-06-19",5.7
"403","2020-06-22",5.64
"404","2020-06-23",5.77
"405","2020-06-24",5.86
"406","2020-06-25",6.09
"407","2020-06-26",6.06
"408","2020-06-29",5.65
"409","2020-06-30",5.45
"410","2020-07-01",5.73
"411","2020-07-02",5.52
"412","2020-07-06",5.42
"413","2020-07-07",5.34
"414","2020-07-08",5.21
"415","2020-07-09",5.13
"416","2020-07-10",5.05
"417","2020-07-13",4.96
"418","2020-07-14",5.03
"419","2020-07-15",5.33
"420","2020-07-16",5.35
"421","2020-07-17",5.48
"422","2020-07-20",5.7
"423","2020-07-21",5.82
"424","2020-07-22",5.85
"425","2020-07-23",5.68
"426","2020-07-24",5.61
"427","2020-07-27",5.95
"428","2020-07-28",5.76
"429","2020-07-29",5.95
"430","2020-07-30",6.16
"431","2020-07-31",6.68
"432","2020-08-03",6.74
"433","2020-08-04",6.78
"434","2020-08-05",6.85
"435","2020-08-06",6.76
"436","2020-08-07",6.64
"437","2020-08-10",7.83
"438","2020-08-11",6.85
"439","2020-08-12",6.38
"440","2020-08-13",6.7
"441","2020-08-14",7.08
"442","2020-08-17",7.15
"443","2020-08-18",7.37
"444","2020-08-19",7.3
"445","2020-08-20",7.2
"446","2020-08-21",6.82
"447","2020-08-24",6.61
"448","2020-08-25",6.93
"449","2020-08-26",6.73
"450","2020-08-27",6.69
"451","2020-08-28",7.2
"452","2020-08-31",7.84
"453","2020-09-01",7.73
"454","2020-09-02",7.7
"455","2020-09-03",7.3
"456","2020-09-04",7.26
"457","2020-09-08",7.37
"458","2020-09-09",7.9
"459","2020-09-10",7.62
"460","2020-09-11",7.7
"461","2020-09-14",8.34
"462","2020-09-15",7.88
"463","2020-09-16",7.67
"464","2020-09-17",8.12
"465","2020-09-18",9.06
"466","2020-09-21",8.73
"467","2020-09-22",8.56
"468","2020-09-23",8.63
"469","2020-09-24",8.18
"470","2020-09-25",8.28
"471","2020-09-28",8.01
"472","2020-09-29",7.82
"473","2020-09-30",7.9
"474","2020-10-01",7.23
"475","2020-10-02",6.96
"476","2020-10-05",6.97
"477","2020-10-06",6.65
"478","2020-10-07",6.97
"479","2020-10-08",7.03
"480","2020-10-09",6.99
"481","2020-10-12",6.93
"482","2020-10-13",6.93
"483","2020-10-14",7.77
"484","2020-10-15",7.73
"485","2020-10-16",7.73
"486","2020-10-19",8.31
"487","2020-10-20",7.92
"488","2020-10-21",7.55
"489","2020-10-22",7.94
"490","2020-10-23",7.64
"491","2020-10-26",7.6
"492","2020-10-27",8.13
"493","2020-10-28",7.57
"494","2020-10-29",7.66
"495","2020-10-30",7.29
"496","2020-11-02",7.02
"497","2020-11-03",7.02
"498","2020-11-04",7.09
"499","2020-11-05",6.97
"500","2020-11-06",6.95
"501","2020-11-09",6.68
"502","2020-11-10",6.98
"503","2020-11-11",7.32
"504","2020-11-12",7.39
"505","2020-11-13",7.21
"506","2020-11-16",7.43
"507","2020-11-17",7.53
"508","2020-11-18",7.38
"509","2020-11-19",7.35
"510","2020-11-20",7.36
"511","2020-11-23",7.44
"512","2020-11-24",7.28
"513","2020-11-25",7.5
"514","2020-11-27",7.95
