"","date","MSBI"
"278","2017-06-29",33.669998
"279","2017-06-30",33.52
"280","2017-07-03",33.939999
"281","2017-07-05",33.580002
"282","2017-07-06",33.470001
"283","2017-07-07",33.650002
"284","2017-07-10",33.549999
"285","2017-07-11",33.950001
"286","2017-07-12",34.029999
"287","2017-07-13",33.919998
"288","2017-07-14",33.779999
"289","2017-07-17",33.919998
"290","2017-07-18",33.77
"291","2017-07-19",33.84
"292","2017-07-20",33.889999
"293","2017-07-21",33.400002
"294","2017-07-24",33.41
"295","2017-07-25",33.880001
"296","2017-07-26",33.610001
"297","2017-07-27",33.790001
"298","2017-07-28",32.25
"299","2017-07-31",31.76
"300","2017-08-01",31.99
"301","2017-08-02",31.73
"302","2017-08-03",31.799999
"303","2017-08-04",31.459999
"304","2017-08-07",30.99
"305","2017-08-08",30.719999
"306","2017-08-09",30.26
"307","2017-08-10",29.450001
"308","2017-08-11",29.51
"309","2017-08-14",30.879999
"310","2017-08-15",30.5
"311","2017-08-16",29.84
"312","2017-08-17",29.27
"313","2017-08-18",29.33
"314","2017-08-21",29.700001
"315","2017-08-22",29.809999
"316","2017-08-23",29.889999
"317","2017-08-24",29.67
"318","2017-08-25",29.85
"319","2017-08-28",29.780001
"320","2017-08-29",29.91
"321","2017-08-30",29.82
"322","2017-08-31",30.540001
"323","2017-09-01",30.709999
"324","2017-09-05",30.370001
"325","2017-09-06",30.219999
"326","2017-09-07",29.870001
"327","2017-09-08",30.17
"328","2017-09-11",30.57
"329","2017-09-12",30.959999
"330","2017-09-13",31.09
"331","2017-09-14",30.41
"332","2017-09-15",30.15
"333","2017-09-18",31.190001
"334","2017-09-19",31.41
"335","2017-09-20",32.119999
"336","2017-09-21",31.74
"337","2017-09-22",31.67
"338","2017-09-25",31.68
"339","2017-09-26",31.73
"340","2017-09-27",31.6
"341","2017-09-28",31.85
"342","2017-09-29",31.68
"343","2017-10-02",32.299999
"344","2017-10-03",32.700001
"345","2017-10-04",32.5
"346","2017-10-05",32.900002
"347","2017-10-06",33.07
"348","2017-10-09",32.939999
"349","2017-10-10",33.25
"350","2017-10-11",33.169998
"351","2017-10-12",33.09
"352","2017-10-13",33.099998
"353","2017-10-16",33.029999
"354","2017-10-17",33.849998
"355","2017-10-18",35.34
"356","2017-10-19",35.700001
"357","2017-10-20",35.75
"358","2017-10-23",35.349998
"359","2017-10-24",35.740002
"360","2017-10-25",35.630001
"361","2017-10-26",35.990002
"362","2017-10-27",32.490002
"363","2017-10-30",32.029999
"364","2017-10-31",32.450001
"365","2017-11-01",32.299999
"366","2017-11-02",32.639999
"367","2017-11-03",32.130001
"368","2017-11-06",31.92
"369","2017-11-07",30.82
"370","2017-11-08",30.66
"371","2017-11-09",30.74
"372","2017-11-10",30.65
"373","2017-11-13",30.77
"374","2017-11-14",31.01
"375","2017-11-15",30.889999
"376","2017-11-16",31.030001
"377","2017-11-17",31.25
"378","2017-11-20",31.549999
"379","2017-11-21",31.75
"380","2017-11-22",31.59
"381","2017-11-24",31.33
"382","2017-11-27",31.27
"383","2017-11-28",32
"384","2017-11-29",33.110001
"385","2017-11-30",33.25
"386","2017-12-01",32.740002
"387","2017-12-04",33.52
"388","2017-12-05",33.5
"389","2017-12-06",32.610001
"390","2017-12-07",32.290001
"391","2017-12-08",31.82
"392","2017-12-11",31.59
"393","2017-12-12",31.459999
"394","2017-12-13",31.280001
"395","2017-12-14",31.09
"396","2017-12-15",31.889999
"397","2017-12-18",32.610001
"398","2017-12-19",32
"399","2017-12-20",31.66
"400","2017-12-21",32.349998
"401","2017-12-22",32.099998
"402","2017-12-26",32.220001
"403","2017-12-27",32.470001
"404","2017-12-28",32.709999
"405","2017-12-29",32.48
"406","2018-01-02",32.470001
"407","2018-01-03",32.529999
"408","2018-01-04",32.75
"409","2018-01-05",32.900002
"410","2018-01-08",32.759998
"411","2018-01-09",32.869999
"412","2018-01-10",33.549999
"413","2018-01-11",34
"414","2018-01-12",33.970001
"415","2018-01-16",33.599998
"416","2018-01-17",34.200001
"417","2018-01-18",33.830002
"418","2018-01-19",34.25
"419","2018-01-22",33.970001
"420","2018-01-23",34.139999
"421","2018-01-24",33.880001
"422","2018-01-25",33.900002
"423","2018-01-26",32.119999
"424","2018-01-29",32.07
"425","2018-01-30",32.310001
"426","2018-01-31",32.09
"427","2018-02-01",32.169998
"428","2018-02-02",32.080002
"429","2018-02-05",30.67
"430","2018-02-06",30.17
"431","2018-02-07",30.42
"432","2018-02-08",29.950001
"433","2018-02-09",30.5
"434","2018-02-12",30.48
"435","2018-02-13",30.200001
"436","2018-02-14",30.309999
"437","2018-02-15",30.24
"438","2018-02-16",31.33
"439","2018-02-20",31.1
"440","2018-02-21",31.51
"441","2018-02-22",31.059999
"442","2018-02-23",31.440001
"443","2018-02-26",31.76
"444","2018-02-27",31.32
"445","2018-02-28",31.35
"446","2018-03-01",31.889999
"447","2018-03-02",31.950001
"448","2018-03-05",31.77
"449","2018-03-06",31.85
"450","2018-03-07",32.169998
"451","2018-03-08",31.92
"452","2018-03-09",32.490002
"453","2018-03-12",32.720001
"454","2018-03-13",32.130001
"455","2018-03-14",31.809999
"456","2018-03-15",31.969999
"457","2018-03-16",32.169998
"458","2018-03-19",32.849998
"459","2018-03-20",33.080002
"460","2018-03-21",33
"461","2018-03-22",32.43
"462","2018-03-23",31.530001
"463","2018-03-26",32.330002
"464","2018-03-27",31.15
"465","2018-03-28",31.27
"466","2018-03-29",31.559999
"467","2018-04-02",31.299999
"468","2018-04-03",31.98
"469","2018-04-04",32.419998
"470","2018-04-05",32.259998
"471","2018-04-06",31.58
"472","2018-04-09",31.5
"473","2018-04-10",31.84
"474","2018-04-11",31.73
"475","2018-04-12",32.040001
"476","2018-04-13",31.790001
"477","2018-04-16",32.09
"478","2018-04-17",31.809999
"479","2018-04-18",31.68
"480","2018-04-19",31.84
"481","2018-04-20",31.959999
"482","2018-04-23",32.09
"483","2018-04-24",32.389999
"484","2018-04-25",32.099998
"485","2018-04-26",31.9
"486","2018-04-27",31.690001
"487","2018-04-30",31.5
"488","2018-05-01",31.66
"489","2018-05-02",31.809999
"490","2018-05-03",31.719999
"491","2018-05-04",31.780001
"492","2018-05-07",31.85
"493","2018-05-08",31.99
"494","2018-05-09",32.099998
"495","2018-05-10",31.92
"496","2018-05-11",31.85
"497","2018-05-14",31.67
"498","2018-05-15",31.799999
"499","2018-05-16",31.889999
"500","2018-05-17",32.259998
"501","2018-05-18",32.060001
"502","2018-05-21",32.369999
"503","2018-05-22",32.439999
"504","2018-05-23",32.700001
"505","2018-05-24",32.639999
"506","2018-05-25",32.84
"507","2018-05-29",32.220001
"508","2018-05-30",32.59
"509","2018-05-31",32.439999
"510","2018-06-01",32.900002
"511","2018-06-04",33.009998
"512","2018-06-05",33.330002
"513","2018-06-06",33.689999
"514","2018-06-07",34.169998
"515","2018-06-08",34.599998
"516","2018-06-11",33.82
"517","2018-06-12",33.380001
"518","2018-06-13",33.459999
"519","2018-06-14",33.990002
"520","2018-06-15",35.07
"521","2018-06-18",35.349998
"522","2018-06-19",35.650002
"523","2018-06-20",35.860001
"524","2018-06-21",35.599998
"525","2018-06-22",35.450001
"526","2018-06-25",35.32
"527","2018-06-26",35.080002
"528","2018-06-27",34.48
"529","2018-06-28",34.450001
"530","2018-06-29",34.259998
"531","2018-07-02",34.450001
"532","2018-07-03",34.57
"533","2018-07-05",34.830002
"534","2018-07-06",34.889999
"535","2018-07-09",35.900002
"536","2018-07-10",35.330002
"537","2018-07-11",35.07
"538","2018-07-12",34.77
"539","2018-07-13",34.630001
"540","2018-07-16",34.900002
"541","2018-07-17",34.73
"542","2018-07-18",34.869999
"543","2018-07-19",35.029999
"544","2018-07-20",35.040001
"545","2018-07-23",35.470001
"546","2018-07-24",35.439999
"547","2018-07-25",35.110001
"548","2018-07-26",35.470001
"549","2018-07-27",34.34
"550","2018-07-30",33.93
"551","2018-07-31",33.68
"552","2018-08-01",34.27
"553","2018-08-02",34.889999
"554","2018-08-03",34.450001
"555","2018-08-06",34.669998
"556","2018-08-07",34.669998
"557","2018-08-08",34.709999
"558","2018-08-09",34.73
"559","2018-08-10",34.66
"560","2018-08-13",34.549999
"561","2018-08-14",34.830002
"562","2018-08-15",34.560001
"563","2018-08-16",34.639999
"564","2018-08-17",34.630001
"565","2018-08-20",34.650002
"566","2018-08-21",35.080002
"567","2018-08-22",35.029999
"568","2018-08-23",35.080002
"569","2018-08-24",34.919998
"570","2018-08-27",34.580002
"571","2018-08-28",34.240002
"572","2018-08-29",34.130001
"573","2018-08-30",34.259998
"574","2018-08-31",34.43
"575","2018-09-04",34.610001
"576","2018-09-05",34.860001
"577","2018-09-06",34.59
"578","2018-09-07",34.639999
"579","2018-09-10",34.709999
"580","2018-09-11",34.790001
"581","2018-09-12",34.169998
"582","2018-09-13",33.970001
"583","2018-09-14",33.990002
"584","2018-09-17",33.529999
"585","2018-09-18",33.220001
"586","2018-09-19",33.490002
"587","2018-09-20",33.84
"588","2018-09-21",33.09
"589","2018-09-24",32.93
"590","2018-09-25",32.639999
"591","2018-09-26",32.169998
"592","2018-09-27",32.009998
"593","2018-09-28",32.099998
"594","2018-10-01",31.83
"595","2018-10-02",31.15
"596","2018-10-03",31.780001
"597","2018-10-04",31.66
"598","2018-10-05",31.27
"599","2018-10-08",31.469999
"600","2018-10-09",31.200001
"601","2018-10-10",30.76
"602","2018-10-11",29.870001
"603","2018-10-12",28.940001
"604","2018-10-15",29.25
"605","2018-10-16",29.450001
"606","2018-10-17",29.389999
"607","2018-10-18",28.92
"608","2018-10-19",28.280001
"609","2018-10-22",27.74
"610","2018-10-23",27.73
"611","2018-10-24",26.389999
"612","2018-10-25",26.24
"613","2018-10-26",25.73
"614","2018-10-29",26.190001
"615","2018-10-30",26.85
"616","2018-10-31",26.969999
"617","2018-11-01",27.35
"618","2018-11-02",27.4
"619","2018-11-05",27.030001
"620","2018-11-06",26.969999
"621","2018-11-07",26.75
"622","2018-11-08",26.75
"623","2018-11-09",26.57
"624","2018-11-12",26.42
"625","2018-11-13",26.42
"626","2018-11-14",25.82
"627","2018-11-15",26.42
"628","2018-11-16",26.049999
"629","2018-11-19",25.690001
"630","2018-11-20",25.48
"631","2018-11-21",25.309999
"632","2018-11-23",25.540001
"633","2018-11-26",26.27
"634","2018-11-27",26.27
"635","2018-11-28",26.389999
"636","2018-11-29",25.83
"637","2018-11-30",25.950001
"638","2018-12-03",25.639999
"639","2018-12-04",23.690001
"640","2018-12-06",23.459999
"641","2018-12-07",23.219999
"642","2018-12-10",23.18
"643","2018-12-11",23
"644","2018-12-12",23.15
"645","2018-12-13",22.74
"646","2018-12-14",21.959999
"647","2018-12-17",21.860001
"648","2018-12-18",21.41
"649","2018-12-19",20.17
"650","2018-12-20",20.5
"651","2018-12-21",20.24
"652","2018-12-24",20.24
"653","2018-12-26",21.59
"654","2018-12-27",21.1
"655","2018-12-28",22.139999
"656","2018-12-31",22.34
"657","2019-01-02",22.6
"658","2019-01-03",22.24
"659","2019-01-04",22.889999
"660","2019-01-07",23.35
"661","2019-01-08",23.32
"662","2019-01-09",23.24
"663","2019-01-10",23.219999
"664","2019-01-11",23.18
"665","2019-01-14",22.870001
"666","2019-01-15",23
"667","2019-01-16",23.799999
"668","2019-01-17",23.540001
"669","2019-01-18",23.709999
"670","2019-01-22",23.34
"671","2019-01-23",23.4
"672","2019-01-24",23.26
"673","2019-01-25",23.25
"674","2019-01-28",23.42
"675","2019-01-29",24.1
"676","2019-01-30",24.190001
"677","2019-01-31",24.110001
"678","2019-02-01",24.059999
"679","2019-02-04",24.469999
"680","2019-02-05",24.309999
"681","2019-02-06",24.48
"682","2019-02-07",24.42
"683","2019-02-08",24.299999
"684","2019-02-11",24.440001
"685","2019-02-12",24.58
"686","2019-02-13",24.879999
"687","2019-02-14",24.6
"688","2019-02-15",25.190001
"689","2019-02-19",25.290001
"690","2019-02-20",25.48
"691","2019-02-21",25.540001
"692","2019-02-22",25.6
"693","2019-02-25",25.559999
"694","2019-02-26",25.370001
"695","2019-02-27",25.459999
"696","2019-02-28",25.5
"697","2019-03-01",25.549999
"698","2019-03-04",25.32
"699","2019-03-05",25.540001
"700","2019-03-06",24.459999
"701","2019-03-07",24.25
"702","2019-03-08",24.33
"703","2019-03-11",24.57
"704","2019-03-12",24.610001
"705","2019-03-13",24.629999
"706","2019-03-14",24.389999
