"","date","IHRT"
"294","2020-08-27",9.21
"295","2020-08-28",9.12
"296","2020-08-31",9.22
"297","2020-09-01",9.13
"298","2020-09-02",9.15
"299","2020-09-03",8.92
"300","2020-09-04",9.2
"301","2020-09-08",9.13
"302","2020-09-09",9.24
"303","2020-09-10",9.18
"304","2020-09-11",9.01
"305","2020-09-14",9.2
"306","2020-09-15",8.93
"307","2020-09-16",9.29
"308","2020-09-17",9.29
"309","2020-09-18",9.12
"310","2020-09-21",8.85
"311","2020-09-22",8.11
"312","2020-09-23",7.63
"313","2020-09-24",7.79
"314","2020-09-25",7.93
"315","2020-09-28",8.79
"316","2020-09-29",8.78
"317","2020-09-30",8.12
"318","2020-10-01",8.13
"319","2020-10-02",8.19
"320","2020-10-05",8.2
"321","2020-10-06",8.01
"322","2020-10-07",8.19
"323","2020-10-08",8.2
"324","2020-10-09",8.13
"325","2020-10-12",8.36
"326","2020-10-13",8
"327","2020-10-14",7.93
"328","2020-10-15",7.93
"329","2020-10-16",8.1
"330","2020-10-19",7.85
"331","2020-10-20",7.91
"332","2020-10-21",7.79
"333","2020-10-22",8.34
"334","2020-10-23",8.85
"335","2020-10-26",8.36
"336","2020-10-27",8.68
"337","2020-10-28",8.31
"338","2020-10-29",8.52
"339","2020-10-30",8.22
"340","2020-11-02",8.65
"341","2020-11-03",8.79
"342","2020-11-04",8.43
"343","2020-11-05",8.99
"344","2020-11-06",8.87
"345","2020-11-09",10.21
"346","2020-11-10",9.72
"347","2020-11-11",10.2
"348","2020-11-12",9.83
"349","2020-11-13",10.13
"350","2020-11-16",10.4
"351","2020-11-17",10.35
"352","2020-11-18",10.16
"353","2020-11-19",9.84
"354","2020-11-20",10.79
"355","2020-11-23",11.87
"356","2020-11-24",11.83
"357","2020-11-25",12.05
"358","2020-11-27",12.47
