"","date","BCYC"
"207","2020-03-18",11
"208","2020-03-19",11.68
"209","2020-03-20",10.78
"210","2020-03-23",10.51
"211","2020-03-24",10.53
"212","2020-03-25",11.5
"213","2020-03-26",14.55
"214","2020-03-27",12.77
"215","2020-03-30",13.81
"216","2020-03-31",13.65
"217","2020-04-01",13.98
"218","2020-04-02",12.75
"219","2020-04-03",13.46
"220","2020-04-06",14.15
"221","2020-04-07",14.05
"222","2020-04-08",14.644
"223","2020-04-09",14.5
"224","2020-04-13",13.9
"225","2020-04-14",14.23
"226","2020-04-15",14.45
"227","2020-04-16",14.62
"228","2020-04-17",14.66
"229","2020-04-20",15
"230","2020-04-21",15.13
"231","2020-04-22",15.025
"232","2020-04-23",14.9
"233","2020-04-24",14.723
"234","2020-04-27",14.91
"235","2020-04-28",14.948
"236","2020-04-29",13.02
"237","2020-04-30",12.8
"238","2020-05-01",12.63
"239","2020-05-04",13.82
"240","2020-05-05",14.1
"241","2020-05-06",14.12
"242","2020-05-07",13.6
"243","2020-05-08",14.222
"244","2020-05-11",15
"245","2020-05-12",15.05
"246","2020-05-13",14.67
"247","2020-05-14",15.105
"248","2020-05-15",14.775
"249","2020-05-18",14.54
"250","2020-05-19",14.96
"251","2020-05-20",15
"252","2020-05-21",14.79
"253","2020-05-22",15.4
"254","2020-05-26",17.780001
"255","2020-05-27",16.51
"256","2020-05-28",18.15
"257","2020-05-29",17.870001
"258","2020-06-01",17.18
"259","2020-06-02",17.790001
"260","2020-06-03",17.290001
"261","2020-06-04",17.33
"262","2020-06-05",17.4
"263","2020-06-08",18.209999
"264","2020-06-09",17.219999
"265","2020-06-10",17.110001
"266","2020-06-11",15.66
"267","2020-06-12",16.120001
"268","2020-06-15",16.35
"269","2020-06-16",15.93
"270","2020-06-17",16.040001
"271","2020-06-18",15.68
"272","2020-06-19",16
"273","2020-06-22",15.6
"274","2020-06-23",16.99
"275","2020-06-24",16.6
"276","2020-06-25",17.16
"277","2020-06-26",16.940001
"278","2020-06-29",16.129999
"279","2020-06-30",15.74
"280","2020-07-01",15.3
"281","2020-07-02",15.646
"282","2020-07-06",15.51
"283","2020-07-07",15.715
"284","2020-07-08",15.53
"285","2020-07-09",17
"286","2020-07-10",17.296
"287","2020-07-13",17.719999
"288","2020-07-14",19.049999
"289","2020-07-15",19.25
"290","2020-07-16",18.68
"291","2020-07-17",17.200001
"292","2020-07-20",18.565001
"293","2020-07-21",18.57
"294","2020-07-22",17.801001
"295","2020-07-23",18.049999
"296","2020-07-24",17.110001
"297","2020-07-27",17.17
"298","2020-07-28",16.860001
"299","2020-07-29",16.25
"300","2020-07-30",16.106001
"301","2020-07-31",15.8
"302","2020-08-03",15.72
"303","2020-08-04",16.32
"304","2020-08-05",16.639999
"305","2020-08-06",16.290001
"306","2020-08-07",15.79
"307","2020-08-10",16.32
"308","2020-08-11",16.01
"309","2020-08-12",15.72
"310","2020-08-13",15.8
"311","2020-08-14",17.059999
"312","2020-08-17",18.299999
"313","2020-08-18",18.02
"314","2020-08-19",18.799999
"315","2020-08-20",18.549999
"316","2020-08-21",18.280001
"317","2020-08-24",17.83
"318","2020-08-25",18.5
"319","2020-08-26",18.049999
"320","2020-08-27",17.559999
"321","2020-08-28",17.93
"322","2020-08-31",17.969999
"323","2020-09-01",17.969999
"324","2020-09-02",18.299999
"325","2020-09-03",17.82
"326","2020-09-04",17.27
"327","2020-09-08",16.65
"328","2020-09-09",16.75
"329","2020-09-10",16.5
"330","2020-09-11",15.65
"331","2020-09-14",19.08
"332","2020-09-15",19.030001
"333","2020-09-16",20.709999
"334","2020-09-17",20.65
"335","2020-09-18",19.819
"336","2020-09-21",20.799999
"337","2020-09-22",20
"338","2020-09-23",20.290001
"339","2020-09-24",18.389999
"340","2020-09-25",19.01
"341","2020-09-28",19.690001
"342","2020-09-29",19.440001
"343","2020-09-30",19.049999
"344","2020-10-01",19.5
"345","2020-10-02",19.5
"346","2020-10-05",19.17
"347","2020-10-06",18.969999
"348","2020-10-07",18.85
"349","2020-10-08",18.34
"350","2020-10-09",19.01
"351","2020-10-12",18.99
"352","2020-10-13",19.01
"353","2020-10-14",18.93
"354","2020-10-15",18.98
"355","2020-10-16",19.24
"356","2020-10-19",18.950001
"357","2020-10-20",19.33
"358","2020-10-21",18.940001
"359","2020-10-22",19
"360","2020-10-23",18.99
"361","2020-10-26",18.73
"362","2020-10-27",18.83
"363","2020-10-28",18.440001
"364","2020-10-29",18.790001
"365","2020-10-30",18.51
"366","2020-11-02",18.299999
"367","2020-11-03",18.82
"368","2020-11-04",18.77
"369","2020-11-05",19
"370","2020-11-06",18.49
"371","2020-11-09",18.469999
"372","2020-11-10",19.360001
"373","2020-11-11",18.83
"374","2020-11-12",20.780001
"375","2020-11-13",20.32
"376","2020-11-16",20.370001
"377","2020-11-17",20.98
"378","2020-11-18",19.309999
"379","2020-11-19",19.620001
"380","2020-11-20",20.629999
"381","2020-11-23",19.91
"382","2020-11-24",20.4
"383","2020-11-25",19.799999
"384","2020-11-27",20.440001
