"","date","COOP"
"418","2013-11-22",13.56
"419","2013-11-25",13.68
"420","2013-11-26",13.68
"421","2013-11-27",13.56
"422","2013-11-29",13.8
"423","2013-12-02",13.68
"424","2013-12-03",13.56
"425","2013-12-04",13.44
"426","2013-12-05",13.44
"427","2013-12-06",13.2
"428","2013-12-09",19.799999
"429","2013-12-10",20.16
"430","2013-12-11",21.120001
"431","2013-12-12",24.719999
"432","2013-12-13",25.559999
"433","2013-12-16",27.360001
"434","2013-12-17",30
"435","2013-12-18",32.040001
"436","2013-12-19",31.92
"437","2013-12-20",30.24
"438","2013-12-23",30
"439","2013-12-24",30.719999
"440","2013-12-26",32.16
"441","2013-12-27",32.52
"442","2013-12-30",33.240002
"443","2013-12-31",33.84
"444","2014-01-02",34.439999
"445","2014-01-03",35.279999
"446","2014-01-06",33
"447","2014-01-07",32.279999
"448","2014-01-08",32.16
"449","2014-01-09",32.16
"450","2014-01-10",32.400002
"451","2014-01-13",31.799999
"452","2014-01-14",31.68
"453","2014-01-15",31.08
"454","2014-01-16",29.040001
"455","2014-01-17",28.92
"456","2014-01-21",29.280001
"457","2014-01-22",29.280001
"458","2014-01-23",29.280001
"459","2014-01-24",29.52
"460","2014-01-27",29.879999
"461","2014-01-28",29.76
"462","2014-01-29",29.879999
"463","2014-01-30",30
"464","2014-01-31",30.6
"465","2014-02-03",30.719999
"466","2014-02-04",30.120001
"467","2014-02-05",29.16
"468","2014-02-06",29.040001
"469","2014-02-07",28.799999
"470","2014-02-10",30.360001
"471","2014-02-11",32.400002
"472","2014-02-12",32.52
"473","2014-02-13",32.52
"474","2014-02-14",32.400002
"475","2014-02-18",32.279999
"476","2014-02-19",32.16
"477","2014-02-20",32.400002
"478","2014-02-21",32.400002
"479","2014-02-24",32.400002
"480","2014-02-25",32.52
"481","2014-02-26",32.400002
"482","2014-02-27",32.400002
"483","2014-02-28",32.880001
"484","2014-03-03",33
"485","2014-03-04",34.080002
"486","2014-03-05",36.48
"487","2014-03-06",38.52
"488","2014-03-07",39.599998
"489","2014-03-10",41.880001
"490","2014-03-11",39.720001
"491","2014-03-12",39.599998
"492","2014-03-13",38.16
"493","2014-03-14",40.200001
"494","2014-03-17",41.16
"495","2014-03-18",41.400002
"496","2014-03-19",40.799999
"497","2014-03-20",40.32
"498","2014-03-21",39
"499","2014-03-24",39
"500","2014-03-25",38.880001
"501","2014-03-26",38.279999
"502","2014-03-27",38.400002
"503","2014-03-28",39
"504","2014-03-31",39
"505","2014-04-01",38.759998
"506","2014-04-02",40.560001
"507","2014-04-03",40.560001
"508","2014-04-04",39.48
"509","2014-04-07",39.599998
"510","2014-04-08",39.599998
"511","2014-04-09",39.48
"512","2014-04-10",39.360001
"513","2014-04-11",39
"514","2014-04-14",37.799999
"515","2014-04-15",36.240002
"516","2014-04-16",37.439999
"517","2014-04-17",37.200001
"518","2014-04-21",37.080002
"519","2014-04-22",37.799999
"520","2014-04-23",37.799999
"521","2014-04-24",37.32
"522","2014-04-25",36.84
"523","2014-04-28",36.720001
"524","2014-04-29",36.48
"525","2014-04-30",36
"526","2014-05-01",35.400002
"527","2014-05-02",35.040001
"528","2014-05-05",35.16
