"","date","WSBC"
"413","2008-08-21",24.08
"414","2008-08-22",24.870001
"415","2008-08-25",23.59
"416","2008-08-26",23.940001
"417","2008-08-27",24.16
"418","2008-08-28",25.17
"419","2008-08-29",24.780001
"420","2008-09-02",25.24
"421","2008-09-03",26.15
"422","2008-09-04",24.98
"423","2008-09-05",25.49
"424","2008-09-08",26.99
"425","2008-09-09",26.26
"426","2008-09-10",26.459999
"427","2008-09-11",25.85
"428","2008-09-12",26.4
"429","2008-09-15",24.950001
"430","2008-09-16",27.76
"431","2008-09-17",25.809999
"432","2008-09-18",29.370001
"433","2008-09-19",29.83
"434","2008-09-22",29.09
"435","2008-09-23",28.719999
"436","2008-09-24",27.870001
"437","2008-09-25",27.49
"438","2008-09-26",27.9
"439","2008-09-29",26.83
"440","2008-09-30",26.620001
"441","2008-10-01",28.129999
"442","2008-10-02",25.25
"443","2008-10-03",25.24
"444","2008-10-06",26.24
"445","2008-10-07",24.75
"446","2008-10-08",25
"447","2008-10-09",23.219999
"448","2008-10-10",25.540001
"449","2008-10-13",26.9
"450","2008-10-14",27.09
"451","2008-10-15",25.52
"452","2008-10-16",28.379999
"453","2008-10-17",25.860001
"454","2008-10-20",26.41
"455","2008-10-21",25.6
"456","2008-10-22",25.41
"457","2008-10-23",24.68
"458","2008-10-24",23.959999
"459","2008-10-27",23.440001
"460","2008-10-28",25.5
"461","2008-10-29",25.02
"462","2008-10-30",26.41
"463","2008-10-31",27.18
"464","2008-11-03",27.860001
"465","2008-11-04",27.719999
"466","2008-11-05",25.700001
"467","2008-11-06",24.98
"468","2008-11-07",25.24
"469","2008-11-10",24.91
"470","2008-11-11",24.41
"471","2008-11-12",23.110001
"472","2008-11-13",24.969999
"473","2008-11-14",23
"474","2008-11-17",22.33
"475","2008-11-18",22.379999
"476","2008-11-19",20.629999
"477","2008-11-20",19.32
"478","2008-11-21",20.530001
"479","2008-11-24",23.9
"480","2008-11-25",24.719999
"481","2008-11-26",25.549999
"482","2008-11-28",25.83
"483","2008-12-01",22.889999
"484","2008-12-02",23.879999
"485","2008-12-03",24.360001
"486","2008-12-04",23.66
"487","2008-12-05",25.07
"488","2008-12-08",25.74
"489","2008-12-09",24.219999
"490","2008-12-10",24.040001
"491","2008-12-11",22.290001
"492","2008-12-12",23.309999
"493","2008-12-15",21.91
"494","2008-12-16",23.559999
"495","2008-12-17",23.35
"496","2008-12-18",23.530001
"497","2008-12-19",23.799999
"498","2008-12-22",23.549999
"499","2008-12-23",23.43
"500","2008-12-24",23.67
"501","2008-12-26",24.26
"502","2008-12-29",25.1
"503","2008-12-30",26.290001
"504","2008-12-31",27.209999
"505","2009-01-02",27.280001
"506","2009-01-05",26.32
"507","2009-01-06",26.959999
"508","2009-01-07",26.34
"509","2009-01-08",27.07
"510","2009-01-09",25.049999
"511","2009-01-12",24.629999
"512","2009-01-13",24.98
"513","2009-01-14",23.889999
"514","2009-01-15",23.85
"515","2009-01-16",23.110001
"516","2009-01-20",20.639999
"517","2009-01-21",22.059999
"518","2009-01-22",21.040001
"519","2009-01-23",21.67
"520","2009-01-26",21.959999
"521","2009-01-27",22.41
"522","2009-01-28",22.879999
"523","2009-01-29",21.6
"524","2009-01-30",20.66
"525","2009-02-02",21.92
"526","2009-02-03",20.969999
"527","2009-02-04",21.190001
"528","2009-02-05",21.57
"529","2009-02-06",23.23
"530","2009-02-09",22.99
"531","2009-02-10",20.98
"532","2009-02-11",21.41
"533","2009-02-12",21.459999
"534","2009-02-13",20.77
"535","2009-02-17",19.559999
"536","2009-02-18",19.15
"537","2009-02-19",18.440001
"538","2009-02-20",17.84
"539","2009-02-23",17.030001
"540","2009-02-24",18.33
"541","2009-02-25",18.049999
"542","2009-02-26",18.4
"543","2009-02-27",17.73
"544","2009-03-02",17.280001
"545","2009-03-03",16.450001
"546","2009-03-04",16.459999
"547","2009-03-05",14.32
"548","2009-03-06",13.99
"549","2009-03-09",13.75
"550","2009-03-10",16.129999
"551","2009-03-11",15.67
"552","2009-03-12",18.110001
"553","2009-03-13",17.93
"554","2009-03-16",17.48
"555","2009-03-17",18.860001
"556","2009-03-18",20.389999
"557","2009-03-19",20.129999
"558","2009-03-20",20.66
"559","2009-03-23",23.77
"560","2009-03-24",21.9
"561","2009-03-25",23.15
"562","2009-03-26",23.709999
"563","2009-03-27",22.77
"564","2009-03-30",21.85
"565","2009-03-31",22.83
"566","2009-04-01",23.51
"567","2009-04-02",23.57
"568","2009-04-03",23.93
"569","2009-04-06",23.129999
"570","2009-04-07",21.719999
"571","2009-04-08",21.809999
"572","2009-04-09",23.790001
"573","2009-04-13",24.33
"574","2009-04-14",22.15
"575","2009-04-15",22.969999
"576","2009-04-16",23.309999
"577","2009-04-17",23.799999
"578","2009-04-20",21.65
"579","2009-04-21",23.440001
"580","2009-04-22",22.65
"581","2009-04-23",19.879999
"582","2009-04-24",19.940001
"583","2009-04-27",19.379999
"584","2009-04-28",19.75
"585","2009-04-29",20.82
"586","2009-04-30",19.889999
"587","2009-05-01",19.35
"588","2009-05-04",20.370001
"589","2009-05-05",19.309999
"590","2009-05-06",19.700001
"591","2009-05-07",18.780001
"592","2009-05-08",19.92
"593","2009-05-11",18.700001
"594","2009-05-12",18.08
"595","2009-05-13",16.75
"596","2009-05-14",17.34
"597","2009-05-15",16.809999
"598","2009-05-18",17.84
"599","2009-05-19",16.530001
"600","2009-05-20",15.7
"601","2009-05-21",15.82
"602","2009-05-22",15.26
"603","2009-05-26",16.74
"604","2009-05-27",15.6
"605","2009-05-28",15.91
"606","2009-05-29",16.43
"607","2009-06-01",16.75
"608","2009-06-02",17.110001
"609","2009-06-03",17.07
"610","2009-06-04",17.620001
"611","2009-06-05",17.200001
"612","2009-06-08",17.049999
"613","2009-06-09",16.65
"614","2009-06-10",15.91
"615","2009-06-11",16.040001
"616","2009-06-12",16.23
"617","2009-06-15",15.45
"618","2009-06-16",15.13
"619","2009-06-17",15.09
"620","2009-06-18",15.43
"621","2009-06-19",15.49
"622","2009-06-22",14.87
"623","2009-06-23",14.7
"624","2009-06-24",14.53
"625","2009-06-25",15.08
"626","2009-06-26",14.97
"627","2009-06-29",14.86
"628","2009-06-30",14.54
"629","2009-07-01",15.15
"630","2009-07-02",14.68
"631","2009-07-06",14.71
"632","2009-07-07",14.7
"633","2009-07-08",14.79
"634","2009-07-09",14.6
"635","2009-07-10",15.07
"636","2009-07-13",15.9
"637","2009-07-14",15.33
"638","2009-07-15",15.38
"639","2009-07-16",15.25
"640","2009-07-17",15.08
"641","2009-07-20",14.88
"642","2009-07-21",14.51
"643","2009-07-22",14.8
"644","2009-07-23",15.24
"645","2009-07-24",15
"646","2009-07-27",15.62
"647","2009-07-28",16.4
"648","2009-07-29",16.34
"649","2009-07-30",16.77
"650","2009-07-31",16.67
"651","2009-08-03",17.360001
"652","2009-08-04",17.860001
"653","2009-08-05",17.549999
"654","2009-08-06",17.459999
"655","2009-08-07",18.280001
"656","2009-08-10",18.16
"657","2009-08-11",16.76
"658","2009-08-12",17.030001
"659","2009-08-13",16.93
"660","2009-08-14",16.32
"661","2009-08-17",15.87
"662","2009-08-18",16.040001
"663","2009-08-19",16.120001
"664","2009-08-20",16.209999
"665","2009-08-21",16.82
"666","2009-08-24",16.299999
"667","2009-08-25",16.15
"668","2009-08-26",16.33
"669","2009-08-27",15.95
"670","2009-08-28",15.3
"671","2009-08-31",14.68
"672","2009-09-01",14.78
"673","2009-09-02",14.43
"674","2009-09-03",14.69
"675","2009-09-04",14.69
"676","2009-09-08",14.92
"677","2009-09-09",14.92
"678","2009-09-10",15.09
"679","2009-09-11",15.15
"680","2009-09-14",15.56
"681","2009-09-15",15.5
"682","2009-09-16",15.9
"683","2009-09-17",15.58
"684","2009-09-18",15.75
"685","2009-09-21",15.29
"686","2009-09-22",15.78
"687","2009-09-23",15.64
"688","2009-09-24",15.48
"689","2009-09-25",15.51
"690","2009-09-28",15.81
"691","2009-09-29",15.61
"692","2009-09-30",15.46
"693","2009-10-01",15.67
"694","2009-10-02",15.37
"695","2009-10-05",15.51
"696","2009-10-06",15.88
"697","2009-10-07",15.87
"698","2009-10-08",15.77
"699","2009-10-09",15.86
"700","2009-10-12",15.65
"701","2009-10-13",15.45
"702","2009-10-14",15.91
"703","2009-10-15",15.9
"704","2009-10-16",15.44
"705","2009-10-19",15.57
"706","2009-10-20",15.33
"707","2009-10-21",14.8
"708","2009-10-22",14.87
"709","2009-10-23",14.51
"710","2009-10-26",14.73
"711","2009-10-27",14.6
"712","2009-10-28",14.36
"713","2009-10-29",14.69
"714","2009-10-30",14.15
"715","2009-11-02",13.86
"716","2009-11-03",13.43
"717","2009-11-04",12.86
"718","2009-11-05",13.29
"719","2009-11-06",13.1
"720","2009-11-09",13
"721","2009-11-10",12.81
"722","2009-11-11",12.87
"723","2009-11-12",12.65
"724","2009-11-13",12.61
"725","2009-11-16",12.96
"726","2009-11-17",12.89
"727","2009-11-18",12.98
"728","2009-11-19",12.99
"729","2009-11-20",12.99
"730","2009-11-23",12.99
"731","2009-11-24",12.86
"732","2009-11-25",12.71
"733","2009-11-27",12.49
"734","2009-11-30",12.91
"735","2009-12-01",12.91
"736","2009-12-02",12.6
"737","2009-12-03",12.22
"738","2009-12-04",12.33
"739","2009-12-07",12.79
"740","2009-12-08",12.56
"741","2009-12-09",12.57
"742","2009-12-10",12.43
"743","2009-12-11",12.41
"744","2009-12-14",12.32
"745","2009-12-15",12.11
"746","2009-12-16",12.31
"747","2009-12-17",12.37
"748","2009-12-18",12.1
"749","2009-12-21",12.2
"750","2009-12-22",12.1
"751","2009-12-23",12.04
"752","2009-12-24",12.1
"753","2009-12-28",12.18
"754","2009-12-29",12.29
"755","2009-12-30",12.32
"756","2009-12-31",12.34
"757","2010-01-04",12.74
"758","2010-01-05",12.32
"759","2010-01-06",12.1
"760","2010-01-07",12.78
"761","2010-01-08",13.15
"762","2010-01-11",13.15
"763","2010-01-12",13.16
"764","2010-01-13",13.29
"765","2010-01-14",13.41
"766","2010-01-15",13.24
"767","2010-01-19",13.88
"768","2010-01-20",13.73
"769","2010-01-21",13.59
"770","2010-01-22",13.58
"771","2010-01-25",13.41
"772","2010-01-26",13.23
"773","2010-01-27",14.73
"774","2010-01-28",14.38
"775","2010-01-29",14.51
"776","2010-02-01",14.17
"777","2010-02-02",14.06
"778","2010-02-03",14
"779","2010-02-04",13.97
"780","2010-02-05",14.17
"781","2010-02-08",13.93
"782","2010-02-09",14.04
"783","2010-02-10",14.09
"784","2010-02-11",14.06
"785","2010-02-12",13.75
"786","2010-02-16",13.99
"787","2010-02-17",14.32
"788","2010-02-18",14.6
"789","2010-02-19",14.65
"790","2010-02-22",14.72
"791","2010-02-23",14.63
"792","2010-02-24",15.44
"793","2010-02-25",15.35
"794","2010-02-26",15.15
"795","2010-03-01",15.59
"796","2010-03-02",15.67
"797","2010-03-03",15.62
"798","2010-03-04",15.76
"799","2010-03-05",16.469999
"800","2010-03-08",16.040001
"801","2010-03-09",16.09
"802","2010-03-10",16.18
"803","2010-03-11",16.290001
"804","2010-03-12",16.120001
"805","2010-03-15",15.97
"806","2010-03-16",15.72
"807","2010-03-17",16.02
"808","2010-03-18",16.01
"809","2010-03-19",17.09
"810","2010-03-22",16.82
"811","2010-03-23",16.780001
"812","2010-03-24",16.25
"813","2010-03-25",16.6
"814","2010-03-26",16.58
"815","2010-03-29",16.48
"816","2010-03-30",16.469999
"817","2010-03-31",16.26
"818","2010-04-01",16.32
"819","2010-04-05",16.52
"820","2010-04-06",16.629999
"821","2010-04-07",16.530001
"822","2010-04-08",16.469999
"823","2010-04-09",16.42
"824","2010-04-12",16.639999
"825","2010-04-13",16.91
"826","2010-04-14",17.5
"827","2010-04-15",17.639999
"828","2010-04-16",17.440001
"829","2010-04-19",17.610001
"830","2010-04-20",17.969999
"831","2010-04-21",18.42
"832","2010-04-22",18.629999
"833","2010-04-23",18.6
"834","2010-04-26",18.09
