"","date","EQ"
"164","2019-06-10",6.18
"165","2019-06-11",6.01
"166","2019-06-12",6
"167","2019-06-13",6.03
"168","2019-06-14",6
"169","2019-06-17",6.01
"170","2019-06-18",6.06
"171","2019-06-19",6.01
"172","2019-06-20",6.1
"173","2019-06-21",6
"174","2019-06-24",5.63
"175","2019-06-25",5.92
"176","2019-06-26",5.7
"177","2019-06-27",5.75
"178","2019-06-28",5.66
"179","2019-07-01",5.44
"180","2019-07-02",5.6
"181","2019-07-03",5.51
"182","2019-07-05",5.5
"183","2019-07-08",5.5
"184","2019-07-09",5.5
"185","2019-07-10",5.51
"186","2019-07-11",5.5
"187","2019-07-12",5.5
"188","2019-07-15",5.47
"189","2019-07-16",5.5
"190","2019-07-17",5.5
"191","2019-07-18",5.45
"192","2019-07-19",5.51
"193","2019-07-22",5.44
"194","2019-07-23",5.19
"195","2019-07-24",4.99
"196","2019-07-25",4.65
"197","2019-07-26",4.56
"198","2019-07-29",4.3
"199","2019-07-30",4.25
"200","2019-07-31",4.1
"201","2019-08-01",3.95
"202","2019-08-02",4.16
"203","2019-08-05",4
"204","2019-08-06",3.31
"205","2019-08-07",3.45
"206","2019-08-08",3.74
"207","2019-08-09",3.78
"208","2019-08-12",3.56
"209","2019-08-13",3.76
"210","2019-08-14",3.61
"211","2019-08-15",3.91
"212","2019-08-16",4.05
"213","2019-08-19",4.1
"214","2019-08-20",4.05
"215","2019-08-21",4
"216","2019-08-22",4.05
"217","2019-08-23",4.05
"218","2019-08-26",3.89
"219","2019-08-27",3.62
"220","2019-08-28",3.71
"221","2019-08-29",4.02
"222","2019-08-30",3.86
"223","2019-09-03",3.57
"224","2019-09-04",3.64
"225","2019-09-05",4.03
"226","2019-09-06",3.95
"227","2019-09-09",3.7
"228","2019-09-10",3.67
"229","2019-09-11",3.76
"230","2019-09-12",3.77
"231","2019-09-13",3.81
"232","2019-09-16",4.08
"233","2019-09-17",3.86
"234","2019-09-18",3.68
"235","2019-09-19",3.67
"236","2019-09-20",3.83
"237","2019-09-23",3.86
"238","2019-09-24",3.84
"239","2019-09-25",3.74
"240","2019-09-26",3.91
"241","2019-09-27",3.73
"242","2019-09-30",3.8
"243","2019-10-01",3.65
"244","2019-10-02",3.7
"245","2019-10-03",3.66
"246","2019-10-04",4.11
"247","2019-10-07",4.02
"248","2019-10-08",4.03
"249","2019-10-09",4.26
"250","2019-10-10",4.07
"251","2019-10-11",3.65
"252","2019-10-14",3.66
"253","2019-10-15",3.63
"254","2019-10-16",3.54
"255","2019-10-17",3.5
"256","2019-10-18",3.29
"257","2019-10-21",3.5
"258","2019-10-22",3.47
"259","2019-10-23",3.51
"260","2019-10-24",3
"261","2019-10-25",3.25
"262","2019-10-28",3.19
"263","2019-10-29",3.34
"264","2019-10-30",3.18
"265","2019-10-31",3.57
"266","2019-11-01",3.45
"267","2019-11-04",3.7
"268","2019-11-05",3.27
"269","2019-11-06",3.3
"270","2019-11-07",3.2
"271","2019-11-08",3.33
"272","2019-11-11",3.26
"273","2019-11-12",3.48
"274","2019-11-13",3.22
"275","2019-11-14",3.65
"276","2019-11-15",3.49
"277","2019-11-18",3.65
"278","2019-11-19",3.56
"279","2019-11-20",3.5
"280","2019-11-21",3.55
"281","2019-11-22",3.36
"282","2019-11-25",3.22
"283","2019-11-26",3.19
"284","2019-11-27",3.26
"285","2019-11-29",3.25
"286","2019-12-02",3.31
"287","2019-12-03",3.99
"288","2019-12-04",3.96
"289","2019-12-05",4.11
"290","2019-12-06",3.84
"291","2019-12-09",4.05
"292","2019-12-10",4.75
"293","2019-12-11",4.75
"294","2019-12-12",4.75
"295","2019-12-13",5
"296","2019-12-16",4.83
"297","2019-12-17",4.87
"298","2019-12-18",4.51
"299","2019-12-19",4.54
"300","2019-12-20",4.69
"301","2019-12-23",4.38
"302","2019-12-24",4.28
"303","2019-12-26",3.92
"304","2019-12-27",4.03
"305","2019-12-30",4.19
"306","2019-12-31",3.38
"307","2020-01-02",4.09
"308","2020-01-03",4.4
"309","2020-01-06",4.38
"310","2020-01-07",4.41
"311","2020-01-08",4.52
"312","2020-01-09",4.47
"313","2020-01-10",4.39
"314","2020-01-13",4.59
"315","2020-01-14",4.66
"316","2020-01-15",4.51
"317","2020-01-16",4.61
"318","2020-01-17",4.62
"319","2020-01-21",4.41
"320","2020-01-22",4.14
"321","2020-01-23",4.28
"322","2020-01-24",5.1
"323","2020-01-27",5.05
"324","2020-01-28",5
"325","2020-01-29",4.99
"326","2020-01-30",4.77
"327","2020-01-31",4.57
"328","2020-02-03",4.49
"329","2020-02-04",4.3
"330","2020-02-05",4.77
"331","2020-02-06",4.7
"332","2020-02-07",4.81
"333","2020-02-10",4.82
"334","2020-02-11",4.95
"335","2020-02-12",4.96
"336","2020-02-13",4.98
"337","2020-02-14",4.97
"338","2020-02-18",5.06
"339","2020-02-19",5.03
"340","2020-02-20",5.08
"341","2020-02-21",5.13
"342","2020-02-24",5.5
"343","2020-02-25",5.36
"344","2020-02-26",5.31
"345","2020-02-27",5.09
"346","2020-02-28",4.81
"347","2020-03-02",5.1
"348","2020-03-03",4.79
"349","2020-03-04",4.89
"350","2020-03-05",4.79
"351","2020-03-06",5.14
"352","2020-03-09",4.25
"353","2020-03-10",3.6
"354","2020-03-11",3.5
"355","2020-03-12",3.48
"356","2020-03-13",2.98
"357","2020-03-16",2.42
"358","2020-03-17",3.25
"359","2020-03-18",2.96
"360","2020-03-19",3.94
"361","2020-03-20",3.23
"362","2020-03-23",2.8
"363","2020-03-24",2.3
"364","2020-03-25",2.65
"365","2020-03-26",2.74
"366","2020-03-27",2.62
"367","2020-03-30",2.6
"368","2020-03-31",2.71
"369","2020-04-01",2.48
"370","2020-04-02",2.45
"371","2020-04-03",2.34
"372","2020-04-06",2.4
"373","2020-04-07",2.37
"374","2020-04-08",2.43
"375","2020-04-09",2.53
"376","2020-04-13",2.54
"377","2020-04-14",2.96
"378","2020-04-15",2.5
"379","2020-04-16",2.73
"380","2020-04-17",2.73
"381","2020-04-20",2.65
"382","2020-04-21",2.5
"383","2020-04-22",2.45
"384","2020-04-23",2.77
"385","2020-04-24",2.85
"386","2020-04-27",2.91
"387","2020-04-28",2.7
"388","2020-04-29",2.86
"389","2020-04-30",2.73
"390","2020-05-01",2.52
"391","2020-05-04",2.6
"392","2020-05-05",2.68
"393","2020-05-06",2.68
"394","2020-05-07",2.98
"395","2020-05-08",3.31
"396","2020-05-11",3.22
"397","2020-05-12",3.35
"398","2020-05-13",3.04
"399","2020-05-14",2.85
"400","2020-05-15",2.98
"401","2020-05-18",2.66
"402","2020-05-19",2.8
"403","2020-05-20",2.99
"404","2020-05-21",3.07
"405","2020-05-22",3.08
"406","2020-05-26",3.29
"407","2020-05-27",3.53
"408","2020-05-28",3.53
"409","2020-05-29",3.45
"410","2020-06-01",3.51
"411","2020-06-02",3.4
"412","2020-06-03",3.24
"413","2020-06-04",3.04
"414","2020-06-05",2.96
"415","2020-06-08",3
"416","2020-06-09",3
"417","2020-06-10",2.84
"418","2020-06-11",2.77
"419","2020-06-12",2.69
"420","2020-06-15",2.89
"421","2020-06-16",2.87
"422","2020-06-17",2.72
"423","2020-06-18",2.76
"424","2020-06-19",2.73
"425","2020-06-22",2.62
"426","2020-06-23",2.63
"427","2020-06-24",2.69
"428","2020-06-25",2.7
"429","2020-06-26",2.88
"430","2020-06-29",2.83
"431","2020-06-30",2.95
"432","2020-07-01",2.8
"433","2020-07-02",2.78
"434","2020-07-06",2.83
"435","2020-07-07",2.83
"436","2020-07-08",2.8
"437","2020-07-09",3.32
"438","2020-07-10",3.19
"439","2020-07-13",26.5
"440","2020-07-14",13.98
"441","2020-07-15",17.33
"442","2020-07-16",14.77
"443","2020-07-17",13.86
"444","2020-07-20",13.64
"445","2020-07-21",12.7
"446","2020-07-22",13.38
"447","2020-07-23",13.26
"448","2020-07-24",13.31
"449","2020-07-27",12.65
"450","2020-07-28",11.76
"451","2020-07-29",11.44
"452","2020-07-30",10.69
"453","2020-07-31",9.65
"454","2020-08-03",10.1
"455","2020-08-04",10.37
"456","2020-08-05",10.63
"457","2020-08-06",9.75
"458","2020-08-07",9.48
"459","2020-08-10",10.05
"460","2020-08-11",10.11
"461","2020-08-12",8.97
"462","2020-08-13",8.82
"463","2020-08-14",7.24
"464","2020-08-17",7.11
"465","2020-08-18",6.84
"466","2020-08-19",6.85
"467","2020-08-20",6.84
"468","2020-08-21",6.88
"469","2020-08-24",6.72
"470","2020-08-25",7.04
"471","2020-08-26",6.86
"472","2020-08-27",5.98
"473","2020-08-28",6.08
"474","2020-08-31",5.89
"475","2020-09-01",5.46
"476","2020-09-02",5.33
"477","2020-09-03",5.18
"478","2020-09-04",5.06
"479","2020-09-08",5.16
"480","2020-09-09",5.25
"481","2020-09-10",5.12
"482","2020-09-11",5.56
"483","2020-09-14",5.72
"484","2020-09-15",6.01
"485","2020-09-16",6.32
"486","2020-09-17",6.37
"487","2020-09-18",6.41
"488","2020-09-21",6.78
"489","2020-09-22",6.31
"490","2020-09-23",5.61
"491","2020-09-24",5.6
"492","2020-09-25",5.75
"493","2020-09-28",5.63
"494","2020-09-29",5.74
"495","2020-09-30",5.77
"496","2020-10-01",6.08
"497","2020-10-02",6
"498","2020-10-05",6.36
"499","2020-10-06",6.15
"500","2020-10-07",6.58
"501","2020-10-08",6.27
"502","2020-10-09",6.45
"503","2020-10-12",6.16
"504","2020-10-13",6.15
"505","2020-10-14",6.12
"506","2020-10-15",5.64
"507","2020-10-16",6.16
"508","2020-10-19",5.85
"509","2020-10-20",5.69
"510","2020-10-21",5.61
"511","2020-10-22",5.81
"512","2020-10-23",5.84
"513","2020-10-26",5.66
"514","2020-10-27",5.76
"515","2020-10-28",5.45
"516","2020-10-29",6
"517","2020-10-30",6.35
"518","2020-11-02",5.28
"519","2020-11-03",5.06
"520","2020-11-04",5.04
"521","2020-11-05",4.89
"522","2020-11-06",4.45
"523","2020-11-09",3.55
"524","2020-11-10",3.48
"525","2020-11-11",5.04
"526","2020-11-12",4.48
"527","2020-11-13",4.53
"528","2020-11-16",4.58
"529","2020-11-17",4.47
"530","2020-11-18",4.3
"531","2020-11-19",4.69
"532","2020-11-20",4.91
"533","2020-11-23",5.25
"534","2020-11-24",5.09
"535","2020-11-25",4.91
"536","2020-11-27",4.92
