"","date","CFB"
"240","2020-07-28",9.64
"241","2020-07-29",9.86
"242","2020-07-30",9.78
"243","2020-07-31",9.17
"244","2020-08-03",9.25
"245","2020-08-04",9.48
"246","2020-08-05",9.84
"247","2020-08-06",9.8
"248","2020-08-07",9.9
"249","2020-08-10",9.89
"250","2020-08-11",9.92
"251","2020-08-12",10.2
"252","2020-08-13",10.11
"253","2020-08-14",9.89
"254","2020-08-17",10.05
"255","2020-08-18",9.39
"256","2020-08-19",9.55
"257","2020-08-20",9.46
"258","2020-08-21",9.14
"259","2020-08-24",9.46
"260","2020-08-25",9.54
"261","2020-08-26",9.18
"262","2020-08-27",9.37
"263","2020-08-28",9.42
"264","2020-08-31",9.23
"265","2020-09-01",9.135
"266","2020-09-02",9.14
"267","2020-09-03",9.16
"268","2020-09-04",9.33
"269","2020-09-08",9.31
"270","2020-09-09",9.49
"271","2020-09-10",9.46
"272","2020-09-11",9.36
"273","2020-09-14",9.78
"274","2020-09-15",9.67
"275","2020-09-16",9.83
"276","2020-09-17",9.96
"277","2020-09-18",9.63
"278","2020-09-21",8.49
"279","2020-09-22",8.46
"280","2020-09-23",8
"281","2020-09-24",8.18
"282","2020-09-25",8.18
"283","2020-09-28",8.615
"284","2020-09-29",8.54
"285","2020-09-30",8.69
"286","2020-10-01",8.84
"287","2020-10-02",9.15
"288","2020-10-05",9.43
"289","2020-10-06",9.44
"290","2020-10-07",9.73
"291","2020-10-08",9.91
"292","2020-10-09",9.78
"293","2020-10-12",9.94
"294","2020-10-13",9.75
"295","2020-10-14",9.48
"296","2020-10-15",9.4
"297","2020-10-16",9.48
"298","2020-10-19",9.36
"299","2020-10-20",9.28
"300","2020-10-21",9.19
"301","2020-10-22",9.35
"302","2020-10-23",9.31
"303","2020-10-26",9.2
"304","2020-10-27",8.93
"305","2020-10-28",8.6
"306","2020-10-29",8.6
"307","2020-10-30",8.35
"308","2020-11-02",8.69
"309","2020-11-03",8.92
"310","2020-11-04",8.4
"311","2020-11-05",8.68
"312","2020-11-06",8.25
"313","2020-11-09",9.28
"314","2020-11-10",9.54
"315","2020-11-11",9.42
"316","2020-11-12",9.24
"317","2020-11-13",9.34
"318","2020-11-16",9.69
"319","2020-11-17",9.62
"320","2020-11-18",9.58
"321","2020-11-19",9.55
"322","2020-11-20",9.48
"323","2020-11-23",9.75
"324","2020-11-24",9.99
"325","2020-11-25",9.71
"326","2020-11-27",9.51
