"","date","MKD"
"96","2020-05-18",1.75
"97","2020-05-19",1.79
"98","2020-05-20",1.7
"99","2020-05-21",1.7
"100","2020-05-22",1.55
"101","2020-05-26",1.58
"102","2020-05-27",1.65
"103","2020-05-28",1.6
"104","2020-05-29",1.64
"105","2020-06-01",1.61
"106","2020-06-02",1.66
"107","2020-06-03",1.66
"108","2020-06-04",1.97
"109","2020-06-05",2.19
"110","2020-06-08",1.986
"111","2020-06-09",1.91
"112","2020-06-10",1.96
"113","2020-06-11",1.84
"114","2020-06-12",1.75
"115","2020-06-15",1.69
"116","2020-06-16",1.74
"117","2020-06-17",2.09
"118","2020-06-18",2.41
"119","2020-06-19",2.34
"120","2020-06-22",2.04
"121","2020-06-23",2.04
"122","2020-06-24",1.96
"123","2020-06-25",1.9
"124","2020-06-26",1.91
"125","2020-06-29",2.8
"126","2020-06-30",2.95
"127","2020-07-01",2.41
"128","2020-07-02",2.283
"129","2020-07-06",2.34
"130","2020-07-07",2.26
"131","2020-07-08",2.538
"132","2020-07-09",2.4
"133","2020-07-10",2.4
"134","2020-07-13",2.53
"135","2020-07-14",2.393
"136","2020-07-15",2.52
"137","2020-07-16",2.69
"138","2020-07-17",2.87
"139","2020-07-20",3.35
"140","2020-07-21",3.25
"141","2020-07-22",2.91
"142","2020-07-23",2.61
"143","2020-07-24",2.35
"144","2020-07-27",2.41
"145","2020-07-28",2.29
"146","2020-07-29",2.3
"147","2020-07-30",2.33
"148","2020-07-31",2.2
"149","2020-08-03",1.99
"150","2020-08-04",2.03
"151","2020-08-05",2
"152","2020-08-06",1.92
"153","2020-08-07",1.99
"154","2020-08-10",1.79
"155","2020-08-11",1.74
"156","2020-08-12",1.58
"157","2020-08-13",1.646
"158","2020-08-14",1.58
"159","2020-08-17",1.76
"160","2020-08-18",1.79
"161","2020-08-19",1.915
"162","2020-08-20",1.54
"163","2020-08-21",1.68
"164","2020-08-24",1.65
"165","2020-08-25",1.6
"166","2020-08-26",1.53
"167","2020-08-27",1.6
"168","2020-08-28",1.56
"169","2020-08-31",1.5
"170","2020-09-01",1.43
"171","2020-09-02",1.23
"172","2020-09-03",1.17
"173","2020-09-04",1.201
"174","2020-09-08",1.12
"175","2020-09-09",1.21
"176","2020-09-10",1.15
"177","2020-09-11",1.14
"178","2020-09-14",1.14
"179","2020-09-15",1.25
"180","2020-09-16",1.2
"181","2020-09-17",1.174
"182","2020-09-18",1.18
"183","2020-09-21",1.14
"184","2020-09-22",1.13
"185","2020-09-23",1.11
"186","2020-09-24",1.17
"187","2020-09-25",1.11
"188","2020-09-28",1.106
"189","2020-09-29",1.13
"190","2020-09-30",1.26
"191","2020-10-01",1.34
"192","2020-10-02",1.38
"193","2020-10-05",1.44
"194","2020-10-06",1.35
"195","2020-10-07",1.27
"196","2020-10-08",1.23
"197","2020-10-09",1.177
"198","2020-10-12",1.13
"199","2020-10-13",1.23
"200","2020-10-14",1.17
"201","2020-10-15",1.09
"202","2020-10-16",1.12
"203","2020-10-19",1.14
"204","2020-10-20",1.56
"205","2020-10-21",1.48
"206","2020-10-22",1.15
"207","2020-10-23",1.15
"208","2020-10-26",1.07
"209","2020-10-27",1.08
"210","2020-10-28",1.085
"211","2020-10-29",1.08
"212","2020-10-30",1.07
"213","2020-11-02",1.08
"214","2020-11-03",1.11
"215","2020-11-04",1.11
"216","2020-11-05",1.08
"217","2020-11-06",1.1
"218","2020-11-09",1.08
"219","2020-11-10",1.09
"220","2020-11-11",1.07
"221","2020-11-12",1.12
"222","2020-11-13",1.11
"223","2020-11-16",1.116
"224","2020-11-17",1.11
"225","2020-11-18",1.12
"226","2020-11-19",1.12
"227","2020-11-20",1.14
"228","2020-11-23",1.125
"229","2020-11-24",1.15
"230","2020-11-25",1.18
"231","2020-11-27",1.16
