"","date","CDAY"
"272","2019-05-24",50.849998
"273","2019-05-28",51.669998
"274","2019-05-29",50
"275","2019-05-30",50.57
"276","2019-05-31",49.18
"277","2019-06-03",47
"278","2019-06-04",47.860001
"279","2019-06-05",47.889999
"280","2019-06-06",48.860001
"281","2019-06-07",49.23
"282","2019-06-10",50.990002
"283","2019-06-11",49.41
"284","2019-06-12",50.119999
"285","2019-06-13",51.209999
"286","2019-06-14",50.759998
"287","2019-06-17",51.16
"288","2019-06-18",52.139999
"289","2019-06-19",52.75
"290","2019-06-20",52.77
"291","2019-06-21",51.580002
"292","2019-06-24",50.610001
"293","2019-06-25",48.220001
"294","2019-06-26",47.880001
"295","2019-06-27",49.630001
"296","2019-06-28",50.200001
"297","2019-07-01",51.32
"298","2019-07-02",51.950001
"299","2019-07-03",51.860001
"300","2019-07-05",51.860001
"301","2019-07-08",50.779999
"302","2019-07-09",50.16
"303","2019-07-10",49.5
"304","2019-07-11",49.52
"305","2019-07-12",50.150002
"306","2019-07-15",49.93
"307","2019-07-16",49.23
"308","2019-07-17",49.919998
"309","2019-07-18",49.779999
"310","2019-07-19",48.259998
"311","2019-07-22",49.299999
"312","2019-07-23",49.57
"313","2019-07-24",51.419998
"314","2019-07-25",51.43
"315","2019-07-26",52.98
"316","2019-07-29",52.130001
"317","2019-07-30",51.740002
"318","2019-07-31",53.310001
"319","2019-08-01",52.049999
"320","2019-08-02",52.66
"321","2019-08-05",50.73
"322","2019-08-06",50.279999
"323","2019-08-07",50.419998
"324","2019-08-08",51.59
"325","2019-08-09",52.349998
"326","2019-08-12",52.709999
"327","2019-08-13",53.48
"328","2019-08-14",50.419998
"329","2019-08-15",50.419998
"330","2019-08-16",50.639999
"331","2019-08-19",52.41
"332","2019-08-20",54.080002
"333","2019-08-21",56.709999
"334","2019-08-22",58.060001
"335","2019-08-23",57.060001
"336","2019-08-26",57.310001
"337","2019-08-27",56.970001
"338","2019-08-28",57.220001
"339","2019-08-29",58.310001
"340","2019-08-30",57.77
"341","2019-09-03",56.099998
"342","2019-09-04",57.450001
"343","2019-09-05",55.200001
"344","2019-09-06",54.27
"345","2019-09-09",52.700001
"346","2019-09-10",51.720001
"347","2019-09-11",51.790001
"348","2019-09-12",52.369999
"349","2019-09-13",51.790001
"350","2019-09-16",51.889999
"351","2019-09-17",52.41
"352","2019-09-18",52.349998
"353","2019-09-19",51.790001
"354","2019-09-20",51.889999
"355","2019-09-23",51.669998
"356","2019-09-24",49.580002
"357","2019-09-25",50.299999
"358","2019-09-26",50.310001
"359","2019-09-27",49.009998
"360","2019-09-30",49.369999
"361","2019-10-01",49.330002
"362","2019-10-02",47.630001
"363","2019-10-03",47.700001
"364","2019-10-04",48.299999
"365","2019-10-07",49.16
"366","2019-10-08",48.259998
"367","2019-10-09",49.080002
"368","2019-10-10",48.830002
"369","2019-10-11",49.419998
"370","2019-10-14",49.169998
"371","2019-10-15",49.75
"372","2019-10-16",46.200001
"373","2019-10-17",45.630001
"374","2019-10-18",44.740002
"375","2019-10-21",45.380001
"376","2019-10-22",42.669998
"377","2019-10-23",43.139999
"378","2019-10-24",45.119999
"379","2019-10-25",46.189999
"380","2019-10-28",46.200001
"381","2019-10-29",45.02
"382","2019-10-30",45.43
"383","2019-10-31",48.25
"384","2019-11-01",49.509998
"385","2019-11-04",49.779999
"386","2019-11-05",50
"387","2019-11-06",50.32
"388","2019-11-07",50.029999
"389","2019-11-08",55.139999
"390","2019-11-11",54
"391","2019-11-12",55.119999
"392","2019-11-13",53.650002
"393","2019-11-14",55.080002
"394","2019-11-15",56.540001
"395","2019-11-18",57.689999
"396","2019-11-19",58.66
"397","2019-11-20",58.93
"398","2019-11-21",57.57
"399","2019-11-22",58.369999
"400","2019-11-25",59.639999
"401","2019-11-26",60.049999
"402","2019-11-27",60.529999
"403","2019-11-29",60.360001
"404","2019-12-02",60.369999
"405","2019-12-03",61.57
"406","2019-12-04",61.59
"407","2019-12-05",61.939999
"408","2019-12-06",62.470001
"409","2019-12-09",61.75
"410","2019-12-10",61.98
"411","2019-12-11",62.040001
"412","2019-12-12",61.57
"413","2019-12-13",62.509998
"414","2019-12-16",63.200001
"415","2019-12-17",63.169998
"416","2019-12-18",64.400002
"417","2019-12-19",65.029999
"418","2019-12-20",65.720001
"419","2019-12-23",66.470001
"420","2019-12-24",66.730003
"421","2019-12-26",67.830002
"422","2019-12-27",67.849998
"423","2019-12-30",68.010002
"424","2019-12-31",67.879997
"425","2020-01-02",70.019997
"426","2020-01-03",69.510002
"427","2020-01-06",69.410004
"428","2020-01-07",70.110001
"429","2020-01-08",70.379997
"430","2020-01-09",71.480003
"431","2020-01-10",71.489998
"432","2020-01-13",72.599998
"433","2020-01-14",72.449997
"434","2020-01-15",73.349998
"435","2020-01-16",72.82
"436","2020-01-17",72.730003
"437","2020-01-21",72.220001
"438","2020-01-22",72.5
"439","2020-01-23",72.580002
"440","2020-01-24",71.580002
"441","2020-01-27",71.480003
"442","2020-01-28",72.870003
"443","2020-01-29",72.690002
"444","2020-01-30",74.830002
"445","2020-01-31",73.290001
"446","2020-02-03",75.050003
"447","2020-02-04",77.889999
"448","2020-02-05",73.43
"449","2020-02-06",65.879997
"450","2020-02-07",66.910004
"451","2020-02-10",69.089996
"452","2020-02-11",68.529999
"453","2020-02-12",69.82
"454","2020-02-13",72.370003
"455","2020-02-14",73.68
"456","2020-02-18",74.120003
"457","2020-02-19",75.5
"458","2020-02-20",75.199997
"459","2020-02-21",74.949997
"460","2020-02-24",74.050003
"461","2020-02-25",73.089996
"462","2020-02-26",73.839996
"463","2020-02-27",72.440002
"464","2020-02-28",70.730003
"465","2020-03-02",74.209999
"466","2020-03-03",69.470001
"467","2020-03-04",71.940002
"468","2020-03-05",68.410004
"469","2020-03-06",66.32
"470","2020-03-09",61.91
"471","2020-03-10",62.830002
"472","2020-03-11",56.630001
"473","2020-03-12",48.619999
"474","2020-03-13",55.049999
"475","2020-03-16",47.560001
"476","2020-03-17",49.049999
"477","2020-03-18",44.150002
"478","2020-03-19",45.900002
"479","2020-03-20",47.759998
"480","2020-03-23",46.720001
"481","2020-03-24",49.830002
"482","2020-03-25",50.290001
"483","2020-03-26",52.240002
"484","2020-03-27",48.650002
"485","2020-03-30",51.41
"486","2020-03-31",50.07
"487","2020-04-01",46
"488","2020-04-02",43.279999
"489","2020-04-03",39.209999
"490","2020-04-06",44.470001
"491","2020-04-07",45.470001
"492","2020-04-08",49.52
"493","2020-04-09",53.900002
"494","2020-04-13",53
"495","2020-04-14",54.740002
"496","2020-04-15",52.5
"497","2020-04-16",50.150002
"498","2020-04-17",53.580002
"499","2020-04-20",53.369999
"500","2020-04-21",50.360001
"501","2020-04-22",51.689999
"502","2020-04-23",51.5
"503","2020-04-24",51.619999
"504","2020-04-27",54.439999
"505","2020-04-28",53.919998
"506","2020-04-29",59.830002
"507","2020-04-30",58.970001
"508","2020-05-01",56.700001
"509","2020-05-04",58.619999
"510","2020-05-05",60.060001
"511","2020-05-06",61.869999
"512","2020-05-07",64.489998
"513","2020-05-08",65.260002
"514","2020-05-11",66.150002
"515","2020-05-12",64.849998
"516","2020-05-13",60.84
"517","2020-05-14",61.619999
"518","2020-05-15",63.279999
"519","2020-05-18",64.879997
"520","2020-05-19",64.400002
"521","2020-05-20",65.220001
"522","2020-05-21",64.209999
"523","2020-05-22",63.419998
"524","2020-05-26",65.279999
"525","2020-05-27",67.43
"526","2020-05-28",67.919998
"527","2020-05-29",68.870003
"528","2020-06-01",71.809998
"529","2020-06-02",72.010002
"530","2020-06-03",75.510002
"531","2020-06-04",74.410004
"532","2020-06-05",81.93
"533","2020-06-08",83.870003
"534","2020-06-09",76.029999
"535","2020-06-10",77.370003
"536","2020-06-11",70.480003
"537","2020-06-12",72.610001
"538","2020-06-15",76.139999
"539","2020-06-16",76.559998
"540","2020-06-17",76.739998
"541","2020-06-18",78.389999
"542","2020-06-19",77.529999
"543","2020-06-22",78.730003
"544","2020-06-23",80.660004
"545","2020-06-24",78.400002
"546","2020-06-25",79.75
"547","2020-06-26",79.910004
"548","2020-06-29",78.279999
"549","2020-06-30",79.269997
"550","2020-07-01",84.139999
"551","2020-07-02",84.669998
"552","2020-07-06",84.400002
"553","2020-07-07",83.75
"554","2020-07-08",84.989998
"555","2020-07-09",85.339996
"556","2020-07-10",83.150002
"557","2020-07-13",78.82
"558","2020-07-14",79.410004
"559","2020-07-15",81.75
"560","2020-07-16",80.849998
"561","2020-07-17",82.290001
"562","2020-07-20",82.5
"563","2020-07-21",80.57
"564","2020-07-22",80.709999
"565","2020-07-23",77.709999
"566","2020-07-24",77.339996
"567","2020-07-27",79.599998
"568","2020-07-28",79.489998
"569","2020-07-29",81.690002
"570","2020-07-30",78.959999
"571","2020-07-31",78.290001
"572","2020-08-03",82.269997
"573","2020-08-04",82.440002
"574","2020-08-05",84.269997
"575","2020-08-06",74.5
"576","2020-08-07",70.410004
"577","2020-08-10",69.25
"578","2020-08-11",70.199997
"579","2020-08-12",69.900002
"580","2020-08-13",72.849998
"581","2020-08-14",72.839996
"582","2020-08-17",74.410004
"583","2020-08-18",74.239998
"584","2020-08-19",74.419998
"585","2020-08-20",75.970001
"586","2020-08-21",74.199997
"587","2020-08-24",74.230003
"588","2020-08-25",75.019997
"589","2020-08-26",76.610001
"590","2020-08-27",76.959999
"591","2020-08-28",78.849998
"592","2020-08-31",79.519997
"593","2020-09-01",83.68
"594","2020-09-02",82.849998
"595","2020-09-03",73.940002
"596","2020-09-04",72.660004
"597","2020-09-08",76.5
"598","2020-09-09",77.739998
"599","2020-09-10",76.230003
"600","2020-09-11",73.529999
"601","2020-09-14",75.279999
"602","2020-09-15",76.800003
"603","2020-09-16",78.010002
"604","2020-09-17",75.589996
"605","2020-09-18",75.029999
"606","2020-09-21",76.25
"607","2020-09-22",78.379997
"608","2020-09-23",76.339996
"609","2020-09-24",76.07
"610","2020-09-25",79.610001
"611","2020-09-28",82.209999
"612","2020-09-29",82.449997
"613","2020-09-30",82.650002
"614","2020-10-01",83.480003
"615","2020-10-02",84.300003
"616","2020-10-05",88.25
"617","2020-10-06",85.379997
"618","2020-10-07",88
"619","2020-10-08",87.889999
"620","2020-10-09",89.220001
"621","2020-10-12",88.82
"622","2020-10-13",90.029999
"623","2020-10-14",89.449997
"624","2020-10-15",89.940002
"625","2020-10-16",89.989998
"626","2020-10-19",89.080002
"627","2020-10-20",88.5
"628","2020-10-21",89
"629","2020-10-22",89.559998
"630","2020-10-23",92.209999
"631","2020-10-26",88.800003
"632","2020-10-27",88.839996
"633","2020-10-28",88.620003
"634","2020-10-29",88.230003
"635","2020-10-30",86.220001
"636","2020-11-02",84.089996
"637","2020-11-03",87.199997
"638","2020-11-04",91.919998
