"","date","IMAC"
"307","2020-05-01",1.52
"308","2020-05-04",1.538
"309","2020-05-05",1.65
"310","2020-05-06",1.68
"311","2020-05-07",1.74
"312","2020-05-08",1.71
"313","2020-05-11",1.69
"314","2020-05-12",1.66
"315","2020-05-13",1.56
"316","2020-05-14",1.54
"317","2020-05-15",1.66
"318","2020-05-18",1.619
"319","2020-05-19",1.6
"320","2020-05-20",1.67
"321","2020-05-21",1.61
"322","2020-05-22",1.62
"323","2020-05-26",1.63
"324","2020-05-27",1.59
"325","2020-05-28",1.55
"326","2020-05-29",1.54
"327","2020-06-01",1.51
"328","2020-06-02",1.54
"329","2020-06-03",1.59
"330","2020-06-04",1.59
"331","2020-06-05",1.7
"332","2020-06-08",1.65
"333","2020-06-09",2.17
"334","2020-06-10",1.83
"335","2020-06-11",1.52
"336","2020-06-12",1.57
"337","2020-06-15",1.63
"338","2020-06-16",1.77
"339","2020-06-17",1.7
"340","2020-06-18",1.54
"341","2020-06-19",1.53
"342","2020-06-22",1.53
"343","2020-06-23",1.57
"344","2020-06-24",1.43
"345","2020-06-25",1.43
"346","2020-06-26",1.37
"347","2020-06-29",1.36
"348","2020-06-30",1.25
"349","2020-07-01",1.218
"350","2020-07-02",1.22
"351","2020-07-06",1.26
"352","2020-07-07",1.26
"353","2020-07-08",1.21
"354","2020-07-09",1.18
"355","2020-07-10",1.19
"356","2020-07-13",1.23
"357","2020-07-14",1.25
"358","2020-07-15",1.31
"359","2020-07-16",1.3
"360","2020-07-17",1.3
"361","2020-07-20",1.3
"362","2020-07-21",1.28
"363","2020-07-22",1.28
"364","2020-07-23",1.26
"365","2020-07-24",1.25
"366","2020-07-27",1.2
"367","2020-07-28",1.29
"368","2020-07-29",1.23
"369","2020-07-30",1.25
"370","2020-07-31",1.31
"371","2020-08-03",1.32
"372","2020-08-04",1.58
"373","2020-08-05",1.62
"374","2020-08-06",1.35
"375","2020-08-07",1.31
"376","2020-08-10",1.31
"377","2020-08-11",1.27
"378","2020-08-12",1.23
"379","2020-08-13",1.22
"380","2020-08-14",1.16
"381","2020-08-17",1.14
"382","2020-08-18",1.11
"383","2020-08-19",1.11
"384","2020-08-20",1.12
"385","2020-08-21",1.09
"386","2020-08-24",1.1
"387","2020-08-25",1.1
"388","2020-08-26",1.06
"389","2020-08-27",1.02
"390","2020-08-28",1.02
"391","2020-08-31",0.99
"392","2020-09-01",0.988
"393","2020-09-02",0.905
"394","2020-09-03",0.751
"395","2020-09-04",0.698
"396","2020-09-08",0.729
"397","2020-09-09",0.739
"398","2020-09-10",0.783
"399","2020-09-11",0.8
"400","2020-09-14",0.819
"401","2020-09-15",0.86
"402","2020-09-16",0.86
"403","2020-09-17",0.843
"404","2020-09-18",0.81
"405","2020-09-21",0.77
"406","2020-09-22",0.76
"407","2020-09-23",0.74
"408","2020-09-24",0.71
"409","2020-09-25",0.745
"410","2020-09-28",0.797
"411","2020-09-29",0.802
"412","2020-09-30",0.778
"413","2020-10-01",0.8
"414","2020-10-02",0.795
"415","2020-10-05",0.8
"416","2020-10-06",0.782
"417","2020-10-07",0.802
"418","2020-10-08",0.839
"419","2020-10-09",0.82
"420","2020-10-12",0.85
"421","2020-10-13",0.924
"422","2020-10-14",0.964
"423","2020-10-15",0.884
"424","2020-10-16",0.833
"425","2020-10-19",0.74
"426","2020-10-20",0.764
"427","2020-10-21",0.8
"428","2020-10-22",0.929
"429","2020-10-23",0.85
"430","2020-10-26",0.844
"431","2020-10-27",0.79
"432","2020-10-28",0.795
"433","2020-10-29",0.79
"434","2020-10-30",0.8
"435","2020-11-02",0.79
"436","2020-11-03",0.8
"437","2020-11-04",0.77
"438","2020-11-05",0.84
"439","2020-11-06",0.83
"440","2020-11-09",0.814
"441","2020-11-10",0.792
"442","2020-11-11",0.833
"443","2020-11-12",1.52
"444","2020-11-13",1.22
"445","2020-11-16",1.05
"446","2020-11-17",1.04
"447","2020-11-18",1.03
"448","2020-11-19",1.061
"449","2020-11-20",1.04
"450","2020-11-23",1.17
"451","2020-11-24",1.12
"452","2020-11-25",1.1
"453","2020-11-27",1.15
