"","date","TEVA"
"339","2008-05-07",45.209999
"340","2008-05-08",45.560001
"341","2008-05-09",45.240002
"342","2008-05-12",44.709999
"343","2008-05-13",44.849998
"344","2008-05-14",44.970001
"345","2008-05-15",45.27
"346","2008-05-16",46.509998
"347","2008-05-19",46.310001
"348","2008-05-20",45.93
"349","2008-05-21",45.830002
"350","2008-05-22",45.610001
"351","2008-05-23",45.139999
"352","2008-05-27",45.68
"353","2008-05-28",45.240002
"354","2008-05-29",45.119999
"355","2008-05-30",45.73
"356","2008-06-02",45.32
"357","2008-06-03",44.610001
"358","2008-06-04",45
"359","2008-06-05",45.98
"360","2008-06-06",45.049999
"361","2008-06-09",44.759998
"362","2008-06-10",43.619999
"363","2008-06-11",42.990002
"364","2008-06-12",42.259998
"365","2008-06-13",42.5
"366","2008-06-16",44.73
"367","2008-06-17",45.049999
"368","2008-06-18",44.720001
"369","2008-06-19",45
"370","2008-06-20",44.18
"371","2008-06-23",44.689999
"372","2008-06-24",44.810001
"373","2008-06-25",45.009998
"374","2008-06-26",45.439999
"375","2008-06-27",45.200001
"376","2008-06-30",45.799999
"377","2008-07-01",46.990002
"378","2008-07-02",46.93
"379","2008-07-03",47.200001
"380","2008-07-07",43.18
"381","2008-07-08",45.009998
"382","2008-07-09",44.349998
"383","2008-07-10",45
"384","2008-07-11",41.779999
"385","2008-07-14",41.599998
"386","2008-07-15",42.27
"387","2008-07-16",42.41
"388","2008-07-17",41.049999
"389","2008-07-18",42.869999
"390","2008-07-21",43.700001
"391","2008-07-22",44.09
"392","2008-07-23",46.529999
"393","2008-07-24",45.099998
"394","2008-07-25",46.18
"395","2008-07-28",45.77
"396","2008-07-29",44.580002
"397","2008-07-30",44.049999
"398","2008-07-31",44.84
"399","2008-08-01",46.09
"400","2008-08-04",46.009998
"401","2008-08-05",46.869999
"402","2008-08-06",46.939999
"403","2008-08-07",46.990002
"404","2008-08-08",47.279999
"405","2008-08-11",46.790001
"406","2008-08-12",46.41
"407","2008-08-13",46.580002
"408","2008-08-14",47.720001
"409","2008-08-15",48.32
"410","2008-08-18",48.060001
"411","2008-08-19",47.779999
"412","2008-08-20",47.459999
"413","2008-08-21",46.580002
"414","2008-08-22",46.790001
"415","2008-08-25",46.580002
"416","2008-08-26",46.869999
"417","2008-08-27",47.740002
"418","2008-08-28",47.5
"419","2008-08-29",47.34
"420","2008-09-02",47.07
"421","2008-09-03",48.040001
"422","2008-09-04",47.919998
"423","2008-09-05",47.560001
"424","2008-09-08",46.82
"425","2008-09-09",46.27
"426","2008-09-10",46.16
"427","2008-09-11",46.669998
"428","2008-09-12",46.57
"429","2008-09-15",45.799999
"430","2008-09-16",45.959999
"431","2008-09-17",44.709999
"432","2008-09-18",45.799999
"433","2008-09-19",46.07
"434","2008-09-22",44.27
"435","2008-09-23",44.610001
"436","2008-09-24",45.389999
"437","2008-09-25",45.720001
"438","2008-09-26",46.029999
"439","2008-09-29",43.360001
"440","2008-09-30",45.790001
"441","2008-10-01",46.77
"442","2008-10-02",45.889999
"443","2008-10-03",46.080002
"444","2008-10-06",43.599998
"445","2008-10-07",43.02
"446","2008-10-08",42.91
"447","2008-10-09",40.18
"448","2008-10-10",38.490002
"449","2008-10-13",41.75
"450","2008-10-14",41.41
"451","2008-10-15",37.959999
"452","2008-10-16",40.740002
"453","2008-10-17",40.32
"454","2008-10-20",41.330002
"455","2008-10-21",41.049999
"456","2008-10-22",40.439999
"457","2008-10-23",39.990002
"458","2008-10-24",38.700001
"459","2008-10-27",37.779999
"460","2008-10-28",40.150002
"461","2008-10-29",39.540001
"462","2008-10-30",41.639999
"463","2008-10-31",42.880001
