"","date","CHTR"
"273","2011-02-02",41.619999
"274","2011-02-03",42
"275","2011-02-04",41.990002
"276","2011-02-07",41.990002
"277","2011-02-08",43.880001
"278","2011-02-09",45.310001
"279","2011-02-10",46.099998
"280","2011-02-11",47
"281","2011-02-14",47.349998
"282","2011-02-15",47.099998
"283","2011-02-16",46.32
"284","2011-02-17",46.57
"285","2011-02-18",46.439999
"286","2011-02-22",45.689999
"287","2011-02-23",44.970001
"288","2011-02-24",45
"289","2011-02-25",45.5
"290","2011-02-28",45.77
"291","2011-03-01",46.93
"292","2011-03-02",48.82
"293","2011-03-03",47.849998
"294","2011-03-04",47.990002
"295","2011-03-07",48.220001
"296","2011-03-08",48.150002
"297","2011-03-09",48
"298","2011-03-10",47.48
"299","2011-03-11",47.810001
"300","2011-03-14",46.52
"301","2011-03-15",45.549999
"302","2011-03-16",45.98
"303","2011-03-17",47.049999
"304","2011-03-18",48.369999
"305","2011-03-21",48.880001
"306","2011-03-22",48.669998
"307","2011-03-23",48.830002
"308","2011-03-24",49.880001
"309","2011-03-25",49.810001
"310","2011-03-28",49.209999
"311","2011-03-29",49.169998
"312","2011-03-30",49.490002
"313","2011-03-31",50.630001
"314","2011-04-01",51.66
"315","2011-04-04",51.990002
"316","2011-04-05",52.880001
"317","2011-04-06",55.490002
"318","2011-04-07",55.41
"319","2011-04-08",54.810001
"320","2011-04-11",54.25
"321","2011-04-12",54.75
"322","2011-04-13",54.869999
"323","2011-04-14",55.279999
"324","2011-04-15",55.299999
"325","2011-04-18",54.740002
"326","2011-04-19",54.759998
"327","2011-04-20",54.799999
"328","2011-04-21",54.880001
"329","2011-04-25",54.860001
"330","2011-04-26",55.279999
"331","2011-04-27",56.119999
"332","2011-04-28",58.639999
"333","2011-04-29",58.939999
"334","2011-05-02",59.299999
"335","2011-05-03",58.709999
"336","2011-05-04",58.259998
"337","2011-05-05",57.529999
"338","2011-05-06",58
"339","2011-05-09",57.849998
"340","2011-05-10",58.330002
"341","2011-05-11",58.669998
"342","2011-05-12",59
"343","2011-05-13",57.860001
"344","2011-05-16",57.77
"345","2011-05-17",56.18
"346","2011-05-18",57.360001
"347","2011-05-19",57.619999
"348","2011-05-20",57
"349","2011-05-23",55.790001
"350","2011-05-24",55.990002
"351","2011-05-25",55.75
"352","2011-05-26",55.68
"353","2011-05-27",56.23
"354","2011-05-31",56.490002
"355","2011-06-01",56.700001
"356","2011-06-02",57.389999
"357","2011-06-03",57.779999
"358","2011-06-06",57.380001
"359","2011-06-07",57.869999
"360","2011-06-08",57.939999
"361","2011-06-09",57.77
"362","2011-06-10",57.5
"363","2011-06-13",55.459999
"364","2011-06-14",55.959999
"365","2011-06-15",55.700001
"366","2011-06-16",56.009998
"367","2011-06-17",56.810001
"368","2011-06-20",56.029999
"369","2011-06-21",56.200001
"370","2011-06-22",57.139999
"371","2011-06-23",55.52
"372","2011-06-24",54.41
"373","2011-06-27",54.09
"374","2011-06-28",54.57
"375","2011-06-29",54.360001
"376","2011-06-30",54.259998
"377","2011-07-01",55.150002
"378","2011-07-05",57.970001
"379","2011-07-06",58.98
"380","2011-07-07",58.540001
"381","2011-07-08",57.799999
"382","2011-07-11",56.509998
"383","2011-07-12",56.720001
"384","2011-07-13",56.759998
"385","2011-07-14",56.860001
"386","2011-07-15",57.34
"387","2011-07-18",56.279999
"388","2011-07-19",57.41
"389","2011-07-20",58.779999
"390","2011-07-21",59.509998
"391","2011-07-22",59.75
"392","2011-07-25",59.119999
"393","2011-07-26",58.990002
"394","2011-07-27",57.349998
"395","2011-07-28",54.740002
"396","2011-07-29",54
"397","2011-08-01",53.279999
"398","2011-08-02",50.990002
"399","2011-08-03",51.360001
"400","2011-08-04",47.080002
"401","2011-08-05",46.060001
"402","2011-08-08",42.060001
"403","2011-08-09",45.189999
"404","2011-08-10",44.349998
"405","2011-08-11",46.959999
"406","2011-08-12",47.23
"407","2011-08-15",49.259998
"408","2011-08-16",48.529999
"409","2011-08-17",48.450001
"410","2011-08-18",45.98
"411","2011-08-19",46.59
"412","2011-08-22",45.290001
"413","2011-08-23",47.43
"414","2011-08-24",47.599998
"415","2011-08-25",46.490002
"416","2011-08-26",47.639999
"417","2011-08-29",49.709999
"418","2011-08-30",49.990002
"419","2011-08-31",49.880001
"420","2011-09-01",49.630001
"421","2011-09-02",48.880001
"422","2011-09-06",47.91
"423","2011-09-07",49.619999
"424","2011-09-08",48.889999
"425","2011-09-09",46.709999
"426","2011-09-12",46.860001
"427","2011-09-13",47.639999
"428","2011-09-14",49.23
"429","2011-09-15",49.43
"430","2011-09-16",49.34
"431","2011-09-19",49.110001
"432","2011-09-20",49.450001
"433","2011-09-21",48.16
"434","2011-09-22",46.27
"435","2011-09-23",47.580002
"436","2011-09-26",49.209999
"437","2011-09-27",50.049999
"438","2011-09-28",49.200001
"439","2011-09-29",48.119999
"440","2011-09-30",46.84
"441","2011-10-03",43.669998
"442","2011-10-04",45.099998
"443","2011-10-05",46.59
"444","2011-10-06",47.18
"445","2011-10-07",46.630001
"446","2011-10-10",48.650002
"447","2011-10-11",48.439999
"448","2011-10-12",49.080002
"449","2011-10-13",48.57
"450","2011-10-14",49.040001
"451","2011-10-17",49
"452","2011-10-18",50.259998
"453","2011-10-19",48.779999
"454","2011-10-20",49
"455","2011-10-21",49.75
"456","2011-10-24",50.419998
"457","2011-10-25",49.639999
"458","2011-10-26",50.220001
"459","2011-10-27",49.580002
"460","2011-10-28",45.580002
"461","2011-10-31",45.939999
"462","2011-11-01",46.849998
"463","2011-11-02",48.189999
"464","2011-11-03",50.66
"465","2011-11-04",52.709999
"466","2011-11-07",52.849998
"467","2011-11-08",53.450001
"468","2011-11-09",51.23
"469","2011-11-10",52.689999
"470","2011-11-11",53.610001
"471","2011-11-14",52.450001
"472","2011-11-15",53.18
"473","2011-11-16",51.5
"474","2011-11-17",52.200001
"475","2011-11-18",52.91
"476","2011-11-21",52.07
"477","2011-11-22",52.459999
"478","2011-11-23",50.98
"479","2011-11-25",51.849998
"480","2011-11-28",52.75
"481","2011-11-29",52.639999
"482","2011-11-30",52.869999
"483","2011-12-01",52.810001
"484","2011-12-02",53.080002
"485","2011-12-05",52.040001
"486","2011-12-06",52.970001
"487","2011-12-07",52.939999
"488","2011-12-08",51.169998
"489","2011-12-09",52.939999
"490","2011-12-12",52.810001
"491","2011-12-13",52.669998
"492","2011-12-14",52.540001
"493","2011-12-15",53.099998
"494","2011-12-16",54.52
"495","2011-12-19",52.740002
"496","2011-12-20",55.419998
"497","2011-12-21",55.599998
"498","2011-12-22",55.740002
"499","2011-12-23",56.299999
"500","2011-12-27",56.139999
"501","2011-12-28",55.959999
"502","2011-12-29",56.880001
"503","2011-12-30",56.939999
"504","2012-01-03",57.189999
"505","2012-01-04",56.810001
"506","2012-01-05",56.98
"507","2012-01-06",56.619999
"508","2012-01-09",56.75
"509","2012-01-10",56.66
"510","2012-01-11",56.150002
"511","2012-01-12",57.459999
"512","2012-01-13",56.959999
"513","2012-01-17",56.970001
"514","2012-01-18",56.439999
"515","2012-01-19",56.970001
"516","2012-01-20",57.009998
"517","2012-01-23",57
"518","2012-01-24",56.639999
"519","2012-01-25",57.709999
"520","2012-01-26",58.490002
"521","2012-01-27",57.610001
"522","2012-01-30",56.830002
"523","2012-01-31",57.639999
"524","2012-02-01",58.279999
"525","2012-02-02",57.799999
"526","2012-02-03",58.169998
"527","2012-02-06",58.310001
"528","2012-02-07",57.84
"529","2012-02-08",58.119999
"530","2012-02-09",58.790001
"531","2012-02-10",58.59
"532","2012-02-13",59.970001
"533","2012-02-14",60.02
"534","2012-02-15",62.220001
"535","2012-02-16",62.509998
"536","2012-02-17",62.849998
"537","2012-02-21",62.700001
"538","2012-02-22",62.720001
"539","2012-02-23",63.5
"540","2012-02-24",63.43
"541","2012-02-27",63.57
"542","2012-02-28",63.560001
"543","2012-02-29",63.41
"544","2012-03-01",63.240002
"545","2012-03-02",62.560001
"546","2012-03-05",62.349998
"547","2012-03-06",60.900002
"548","2012-03-07",60.540001
"549","2012-03-08",61.040001
"550","2012-03-09",61.09
"551","2012-03-12",62.470001
"552","2012-03-13",62.889999
"553","2012-03-14",63.110001
"554","2012-03-15",63.490002
"555","2012-03-16",63.990002
"556","2012-03-19",63.970001
"557","2012-03-20",63.23
"558","2012-03-21",64.010002
"559","2012-03-22",64.629997
"560","2012-03-23",64.910004
"561","2012-03-26",64.370003
"562","2012-03-27",63.98
"563","2012-03-28",63.25
"564","2012-03-29",63.110001
"565","2012-03-30",63.450001
"566","2012-04-02",64.370003
"567","2012-04-03",63.009998
"568","2012-04-04",61.779999
"569","2012-04-05",62.759998
"570","2012-04-09",61.66
"571","2012-04-10",59.41
"572","2012-04-11",60.560001
"573","2012-04-12",61.060001
"574","2012-04-13",60.970001
"575","2012-04-16",60.34
"576","2012-04-17",61.310001
"577","2012-04-18",61.16
"578","2012-04-19",61.450001
"579","2012-04-20",61.959999
"580","2012-04-23",60.200001
"581","2012-04-24",60.169998
"582","2012-04-25",60.630001
"583","2012-04-26",60.950001
"584","2012-04-27",60.419998
"585","2012-04-30",60.470001
"586","2012-05-01",61.02
"587","2012-05-02",62.240002
"588","2012-05-03",62.349998
"589","2012-05-04",61.57
"590","2012-05-07",61.82
"591","2012-05-08",64.970001
"592","2012-05-09",67.139999
"593","2012-05-10",67.699997
"594","2012-05-11",67.489998
"595","2012-05-14",66.230003
"596","2012-05-15",65.489998
"597","2012-05-16",65.300003
"598","2012-05-17",63.34
"599","2012-05-18",61.68
"600","2012-05-21",63.630001
"601","2012-05-22",64.650002
"602","2012-05-23",64.610001
"603","2012-05-24",64.209999
