"","date","JFU"
"205","2020-06-08",6.49
"206","2020-06-09",6.67
"207","2020-06-10",6.78
"208","2020-06-11",6.3
"209","2020-06-12",6.3
"210","2020-06-15",6.31
"211","2020-06-16",6.165
"212","2020-06-17",6
"213","2020-06-18",6.045
"214","2020-06-19",8.41
"215","2020-06-22",6.13
"216","2020-06-23",5
"217","2020-06-24",4.62
"218","2020-06-25",4.05
"219","2020-06-26",3.85
"220","2020-06-29",3.5
"221","2020-06-30",3.68
"222","2020-07-01",3.47
"223","2020-07-02",3.4
"224","2020-07-06",3.38
"225","2020-07-07",3.06
"226","2020-07-08",2.85
"227","2020-07-09",2.74
"228","2020-07-10",2.6
"229","2020-07-13",2.41
"230","2020-07-14",2.45
"231","2020-07-15",2.47
"232","2020-07-16",2.32
"233","2020-07-17",2.2
"234","2020-07-20",2.295
"235","2020-07-21",2.21
"236","2020-07-22",2.28
"237","2020-07-23",1.99
"238","2020-07-24",1.77
"239","2020-07-27",1.92
"240","2020-07-28",2.1
"241","2020-07-29",2.01
"242","2020-07-30",1.97
"243","2020-07-31",1.95
"244","2020-08-03",2.04
"245","2020-08-04",2.019
"246","2020-08-05",2.06
"247","2020-08-06",2.08
"248","2020-08-07",2.05
"249","2020-08-10",2.01
"250","2020-08-11",1.95
"251","2020-08-12",1.98
"252","2020-08-13",2.02
"253","2020-08-14",1.96
"254","2020-08-17",1.935
"255","2020-08-18",1.95
"256","2020-08-19",1.84
"257","2020-08-20",1.78
"258","2020-08-21",1.66
"259","2020-08-24",1.61
"260","2020-08-25",1.7
"261","2020-08-26",1.64
"262","2020-08-27",1.66
"263","2020-08-28",1.63
"264","2020-08-31",1.58
"265","2020-09-01",1.52
"266","2020-09-02",1.4
"267","2020-09-03",1.29
"268","2020-09-04",1.25
"269","2020-09-08",1.21
"270","2020-09-09",1.34
"271","2020-09-10",1.28
"272","2020-09-11",1.01
"273","2020-09-14",0.916
"274","2020-09-15",0.92
"275","2020-09-16",0.911
"276","2020-09-17",0.905
"277","2020-09-18",0.9
"278","2020-09-21",0.867
"279","2020-09-22",0.868
"280","2020-09-23",0.82
"281","2020-09-24",0.804
"282","2020-09-25",0.858
"283","2020-09-28",0.85
"284","2020-09-29",1.11
"285","2020-09-30",0.906
"286","2020-10-01",0.99
"287","2020-10-02",0.888
"288","2020-10-05",0.906
"289","2020-10-06",0.932
"290","2020-10-07",0.94
"291","2020-10-08",0.93
"292","2020-10-09",0.916
"293","2020-10-12",0.916
"294","2020-10-13",0.88
"295","2020-10-14",0.867
"296","2020-10-15",0.892
"297","2020-10-16",0.902
"298","2020-10-19",1.1
"299","2020-10-20",1.4
"300","2020-10-21",1.73
"301","2020-10-22",1.45
"302","2020-10-23",1.39
"303","2020-10-26",1.48
"304","2020-10-27",1.6
"305","2020-10-28",1.55
"306","2020-10-29",1.63
"307","2020-10-30",1.32
"308","2020-11-02",1.23
"309","2020-11-03",1.39
"310","2020-11-04",1.36
"311","2020-11-05",1.39
"312","2020-11-06",1.27
"313","2020-11-09",1.22
"314","2020-11-10",1.04
"315","2020-11-11",1.1
"316","2020-11-12",1.24
"317","2020-11-13",1.19
"318","2020-11-16",1.32
"319","2020-11-17",1.29
"320","2020-11-18",1.3
"321","2020-11-19",1.22
"322","2020-11-20",1.26
"323","2020-11-23",1.29
"324","2020-11-24",1.77
"325","2020-11-25",1.76
"326","2020-11-27",1.64
