"","date","TRVI"
"135","2019-11-14",3.9
"136","2019-11-15",4.207
"137","2019-11-18",4.179
"138","2019-11-19",4.355
"139","2019-11-20",4.11
"140","2019-11-21",4.25
"141","2019-11-22",4.15
"142","2019-11-25",3.802
"143","2019-11-26",3.5
"144","2019-11-27",3.294
"145","2019-11-29",3.52
"146","2019-12-02",3.57
"147","2019-12-03",3.42
"148","2019-12-04",3.58
"149","2019-12-05",3.9
"150","2019-12-06",3.63
"151","2019-12-09",3.6
"152","2019-12-10",3.497
"153","2019-12-11",3.76
"154","2019-12-12",3.76
"155","2019-12-13",3.4
"156","2019-12-16",3.763
"157","2019-12-17",3.6
"158","2019-12-18",3.68
"159","2019-12-19",3.57
"160","2019-12-20",3.83
"161","2019-12-23",3.75
"162","2019-12-24",3.607
"163","2019-12-26",3.65
"164","2019-12-27",3.72
"165","2019-12-30",3.75
"166","2019-12-31",3.75
"167","2020-01-02",3.75
"168","2020-01-03",4.284
"169","2020-01-06",4.372
"170","2020-01-07",4.376
"171","2020-01-08",4.41
"172","2020-01-09",5.17
"173","2020-01-10",5.23
"174","2020-01-13",5.2
"175","2020-01-14",5.01
"176","2020-01-15",5.3
"177","2020-01-16",5.35
"178","2020-01-17",5.33
"179","2020-01-21",5.2
"180","2020-01-22",5.17
"181","2020-01-23",4.99
"182","2020-01-24",5.18
"183","2020-01-27",4.86
"184","2020-01-28",5.14
"185","2020-01-29",5.34
"186","2020-01-30",5.25
"187","2020-01-31",4.98
"188","2020-02-03",4.67
"189","2020-02-04",4.65
"190","2020-02-05",5.38
"191","2020-02-06",5.258
"192","2020-02-07",5.258
"193","2020-02-10",5.31
"194","2020-02-11",5.22
"195","2020-02-12",5.041
"196","2020-02-13",5.5
"197","2020-02-14",5.16
"198","2020-02-18",5.2
"199","2020-02-19",5.563
"200","2020-02-20",5.73
"201","2020-02-21",5.5
"202","2020-02-24",5.866
"203","2020-02-25",5.73
"204","2020-02-26",5.8
"205","2020-02-27",5.5
"206","2020-02-28",5.19
"207","2020-03-02",5.19
"208","2020-03-03",4.94
"209","2020-03-04",5.006
"210","2020-03-05",4.63
"211","2020-03-06",5
"212","2020-03-09",4.665
"213","2020-03-10",3.9
"214","2020-03-11",3.2
"215","2020-03-12",3.35
"216","2020-03-13",2.5
"217","2020-03-16",3.708
"218","2020-03-17",4.09
"219","2020-03-18",3.245
"220","2020-03-19",3.73
"221","2020-03-20",2.97
"222","2020-03-23",2.36
"223","2020-03-24",2.59
"224","2020-03-25",2.63
"225","2020-03-26",2.637
"226","2020-03-27",2.3
"227","2020-03-30",1.71
"228","2020-03-31",3.29
"229","2020-04-01",3.14
"230","2020-04-02",2.66
"231","2020-04-03",2.7
"232","2020-04-06",2.65
"233","2020-04-07",2.68
"234","2020-04-08",2.591
"235","2020-04-09",2.7
"236","2020-04-13",2.72
"237","2020-04-14",2.99
"238","2020-04-15",2.855
"239","2020-04-16",2.65
"240","2020-04-17",2.72
"241","2020-04-20",2.75
"242","2020-04-21",2.74
"243","2020-04-22",2.64
"244","2020-04-23",2.7
"245","2020-04-24",2.88
"246","2020-04-27",2.93
"247","2020-04-28",2.93
"248","2020-04-29",2.86
"249","2020-04-30",2.87
"250","2020-05-01",2.69
"251","2020-05-04",2.51
"252","2020-05-05",2.71
"253","2020-05-06",2.65
"254","2020-05-07",2.665
"255","2020-05-08",2.65
"256","2020-05-11",2.79
"257","2020-05-12",2.85
"258","2020-05-13",2.81
"259","2020-05-14",2.8
"260","2020-05-15",2.81
"261","2020-05-18",2.76
"262","2020-05-19",2.66
"263","2020-05-20",2.7
"264","2020-05-21",2.66
"265","2020-05-22",2.7
"266","2020-05-26",2.69
"267","2020-05-27",2.77
"268","2020-05-28",2.77
"269","2020-05-29",2.74
"270","2020-06-01",3.4
"271","2020-06-02",3.6
"272","2020-06-03",3.76
"273","2020-06-04",4.25
"274","2020-06-05",4.43
"275","2020-06-08",4.02
"276","2020-06-09",4.01
"277","2020-06-10",4.16
"278","2020-06-11",4.1
"279","2020-06-12",4.54
"280","2020-06-15",4.91
"281","2020-06-16",5.15
"282","2020-06-17",5.4
"283","2020-06-18",5.61
"284","2020-06-19",5.375
"285","2020-06-22",5.74
"286","2020-06-23",5.74
"287","2020-06-24",5.48
"288","2020-06-25",5.8
"289","2020-06-26",6.05
"290","2020-06-29",6.87
"291","2020-06-30",6.58
"292","2020-07-01",6.98
"293","2020-07-02",7.615
"294","2020-07-06",6.98
"295","2020-07-07",5.49
"296","2020-07-08",5.49
"297","2020-07-09",5.47
"298","2020-07-10",5.82
"299","2020-07-13",4.92
"300","2020-07-14",5.14
"301","2020-07-15",5.37
"302","2020-07-16",5.43
"303","2020-07-17",5.28
"304","2020-07-20",5.15
"305","2020-07-21",4.94
"306","2020-07-22",5.18
"307","2020-07-23",5.34
"308","2020-07-24",5.21
"309","2020-07-27",5.1
"310","2020-07-28",5.15
"311","2020-07-29",5.05
"312","2020-07-30",4.845
"313","2020-07-31",4.97
"314","2020-08-03",4.27
"315","2020-08-04",4.46
"316","2020-08-05",4.63
"317","2020-08-06",4.3
"318","2020-08-07",4.45
"319","2020-08-10",4.86
"320","2020-08-11",5.82
"321","2020-08-12",6.6
"322","2020-08-13",5.66
"323","2020-08-14",5.86
"324","2020-08-17",5.24
"325","2020-08-18",5.01
"326","2020-08-19",5.08
"327","2020-08-20",4.98
"328","2020-08-21",4.78
"329","2020-08-24",3.74
"330","2020-08-25",4.17
"331","2020-08-26",4.15
"332","2020-08-27",3.92
"333","2020-08-28",4.1
"334","2020-08-31",4.03
"335","2020-09-01",3.5
"336","2020-09-02",3.7
"337","2020-09-03",3.56
"338","2020-09-04",3.61
"339","2020-09-08",3.65
"340","2020-09-09",3.58
"341","2020-09-10",3.728
"342","2020-09-11",3.65
"343","2020-09-14",3.86
"344","2020-09-15",3.85
"345","2020-09-16",3.73
"346","2020-09-17",3.64
"347","2020-09-18",4.02
"348","2020-09-21",3.94
"349","2020-09-22",3.91
"350","2020-09-23",3.92
"351","2020-09-24",3.79
"352","2020-09-25",3.9
"353","2020-09-28",4.019
"354","2020-09-29",4.02
"355","2020-09-30",4.03
"356","2020-10-01",3.99
"357","2020-10-02",3.91
"358","2020-10-05",3.89
"359","2020-10-06",3.86
"360","2020-10-07",3.87
"361","2020-10-08",3.9
"362","2020-10-09",3.85
"363","2020-10-12",3.77
"364","2020-10-13",3.7
"365","2020-10-14",3.65
"366","2020-10-15",3.49
"367","2020-10-16",3.49
"368","2020-10-19",3.5
"369","2020-10-20",3.49
"370","2020-10-21",3.48
"371","2020-10-22",3.47
"372","2020-10-23",3.48
"373","2020-10-26",3.345
"374","2020-10-27",3.31
"375","2020-10-28",3.13
"376","2020-10-29",3.18
"377","2020-10-30",3.22
"378","2020-11-02",3.33
"379","2020-11-03",3.4
"380","2020-11-04",3.39
"381","2020-11-05",3.4
"382","2020-11-06",3.24
"383","2020-11-09",3.36
"384","2020-11-10",3.32
"385","2020-11-11",3.816
"386","2020-11-12",3.5
"387","2020-11-13",3.36
"388","2020-11-16",3.32
"389","2020-11-17",3.1
"390","2020-11-18",3.12
"391","2020-11-19",3
"392","2020-11-20",3.04
"393","2020-11-23",3.04
"394","2020-11-24",3.06
"395","2020-11-25",3.09
"396","2020-11-27",3.085
