"","date","V"
"685","2010-12-03",19.3375
"686","2010-12-06",19.577499
"687","2010-12-07",19.219999
"688","2010-12-08",19.485001
"689","2010-12-09",19.780001
"690","2010-12-10",20.049999
"691","2010-12-13",20.2225
"692","2010-12-14",20.16
"693","2010-12-15",19.235001
"694","2010-12-16",16.797501
"695","2010-12-17",16.725
"696","2010-12-20",16.997499
"697","2010-12-21",17.012501
"698","2010-12-22",17.137501
"699","2010-12-23",17.182501
"700","2010-12-27",17.702499
"701","2010-12-28",17.682501
"702","2010-12-29",17.65
"703","2010-12-30",17.5725
"704","2010-12-31",17.594999
"705","2011-01-03",17.629999
"706","2011-01-04",17.65
"707","2011-01-05",18.022499
"708","2011-01-06",18.2925
"709","2011-01-07",18.24
"710","2011-01-10",17.952499
"711","2011-01-11",17.969999
"712","2011-01-12",18.1525
"713","2011-01-13",17.785
"714","2011-01-14",17.780001
"715","2011-01-18",17.8025
"716","2011-01-19",17.280001
"717","2011-01-20",17.672501
"718","2011-01-21",17.5375
"719","2011-01-24",17.9475
"720","2011-01-25",17.895
"721","2011-01-26",17.75
"722","2011-01-27",17.65
"723","2011-01-28",17.365
"724","2011-01-31",17.4625
"725","2011-02-01",17.674999
"726","2011-02-02",18.022499
"727","2011-02-03",17.907499
"728","2011-02-04",18.225
"729","2011-02-07",18.4825
"730","2011-02-08",18.6425
"731","2011-02-09",18.32
"732","2011-02-10",18.684999
"733","2011-02-11",18.7325
"734","2011-02-14",18.934999
"735","2011-02-15",18.9025
"736","2011-02-16",18.99
"737","2011-02-17",19.035
"738","2011-02-18",18.9575
"739","2011-02-22",18.434999
"740","2011-02-23",18.219999
"741","2011-02-24",18.477501
"742","2011-02-25",18.67
"743","2011-02-28",18.262501
"744","2011-03-01",18.174999
"745","2011-03-02",18.4925
"746","2011-03-03",18.9575
"747","2011-03-04",18.672501
"748","2011-03-07",18.5375
"749","2011-03-08",18.5425
"750","2011-03-09",18.4275
"751","2011-03-10",17.85
"752","2011-03-11",18.127501
"753","2011-03-14",17.965
