"","date","VIR"
"131","2020-04-20",31
"132","2020-04-21",30.549999
"133","2020-04-22",30.08
"134","2020-04-23",31.15
"135","2020-04-24",32.610001
"136","2020-04-27",33.049999
"137","2020-04-28",32.720001
"138","2020-04-29",30.1
"139","2020-04-30",30.51
"140","2020-05-01",27.889999
"141","2020-05-04",29.799999
"142","2020-05-05",29.950001
"143","2020-05-06",29.200001
"144","2020-05-07",29.870001
"145","2020-05-08",30.790001
"146","2020-05-11",31.309999
"147","2020-05-12",30.26
"148","2020-05-13",30.709999
"149","2020-05-14",31.15
"150","2020-05-15",30.35
"151","2020-05-18",40.099998
"152","2020-05-19",33.98
"153","2020-05-20",39.91
"154","2020-05-21",37.060001
"155","2020-05-22",33.689999
"156","2020-05-26",33.669998
"157","2020-05-27",32.200001
"158","2020-05-28",31.559999
"159","2020-05-29",34.18
"160","2020-06-01",35.349998
"161","2020-06-02",37.029999
"162","2020-06-03",33.419998
"163","2020-06-04",34.009998
"164","2020-06-05",33.209999
"165","2020-06-08",35.939999
"166","2020-06-09",34.77
"167","2020-06-10",34.73
"168","2020-06-11",33.549999
"169","2020-06-12",34.220001
"170","2020-06-15",35.630001
"171","2020-06-16",36.380001
"172","2020-06-17",37.080002
"173","2020-06-18",37.32
"174","2020-06-19",41.459999
"175","2020-06-22",38.889999
"176","2020-06-23",40.290001
"177","2020-06-24",47.860001
"178","2020-06-25",45.09
"179","2020-06-26",38.830002
"180","2020-06-29",36.32
"181","2020-06-30",40.970001
"182","2020-07-01",39.599998
"183","2020-07-02",40.32
"184","2020-07-06",41.02
"185","2020-07-07",44.349998
"186","2020-07-08",46.07
"187","2020-07-09",47.200001
"188","2020-07-10",48.709999
"189","2020-07-13",50.220001
"190","2020-07-14",49.580002
"191","2020-07-15",50.669998
"192","2020-07-16",49.23
"193","2020-07-17",51.380001
"194","2020-07-20",51.700001
"195","2020-07-21",52.139999
"196","2020-07-22",49.639999
"197","2020-07-23",49.09
"198","2020-07-24",48.060001
"199","2020-07-27",47.740002
"200","2020-07-28",48.040001
"201","2020-07-29",47.470001
"202","2020-07-30",47.060001
"203","2020-07-31",47.759998
"204","2020-08-03",49.52
"205","2020-08-04",50.599998
"206","2020-08-05",50.650002
"207","2020-08-06",50.16
"208","2020-08-07",52.029999
"209","2020-08-10",53.200001
"210","2020-08-11",52.66
"211","2020-08-12",52.869999
"212","2020-08-13",52.75
"213","2020-08-14",52.740002
"214","2020-08-17",53.599998
"215","2020-08-18",52.950001
"216","2020-08-19",50.43
"217","2020-08-20",51.889999
"218","2020-08-21",52.860001
"219","2020-08-24",42.950001
"220","2020-08-25",42.150002
"221","2020-08-26",43.66
"222","2020-08-27",41.099998
"223","2020-08-28",41.639999
"224","2020-08-31",40.48
"225","2020-09-01",33.889999
"226","2020-09-02",33.380001
"227","2020-09-03",31.030001
"228","2020-09-04",28.57
"229","2020-09-08",28.68
"230","2020-09-09",30.17
"231","2020-09-10",28.280001
"232","2020-09-11",28.379999
"233","2020-09-14",31.870001
"234","2020-09-15",30.809999
"235","2020-09-16",32.959999
"236","2020-09-17",32.009998
"237","2020-09-18",32.720001
"238","2020-09-21",32
"239","2020-09-22",32.889999
"240","2020-09-23",33.43
"241","2020-09-24",32.279999
"242","2020-09-25",35.91
"243","2020-09-28",36.169998
"244","2020-09-29",37.73
"245","2020-09-30",34.330002
"246","2020-10-01",34.75
"247","2020-10-02",33.330002
"248","2020-10-05",39.110001
"249","2020-10-06",41.5
"250","2020-10-07",41.950001
"251","2020-10-08",41.700001
"252","2020-10-09",40.889999
"253","2020-10-12",43.380001
"254","2020-10-13",42.860001
"255","2020-10-14",41.09
"256","2020-10-15",41.580002
"257","2020-10-16",39.439999
"258","2020-10-19",36.59
"259","2020-10-20",35.459999
"260","2020-10-21",34.57
"261","2020-10-22",37.27
"262","2020-10-23",34.709999
"263","2020-10-26",35.77
"264","2020-10-27",35.529999
"265","2020-10-28",33.09
"266","2020-10-29",33.830002
"267","2020-10-30",31.440001
"268","2020-11-02",30.74
"269","2020-11-03",31.549999
"270","2020-11-04",31.84
"271","2020-11-05",31.32
"272","2020-11-06",32.439999
"273","2020-11-09",25.51
"274","2020-11-10",25.84
"275","2020-11-11",27.610001
"276","2020-11-12",27.360001
"277","2020-11-13",26.98
"278","2020-11-16",26.74
"279","2020-11-17",27.17
"280","2020-11-18",27.49
"281","2020-11-19",28.719999
"282","2020-11-20",29.02
"283","2020-11-23",27.91
"284","2020-11-24",27.200001
"285","2020-11-25",28.41
"286","2020-11-27",29.639999
