"","date","MEC"
"79","2019-08-29",13.63
"80","2019-08-30",13.22
"81","2019-09-03",13.04
"82","2019-09-04",12.91
"83","2019-09-05",13.19
"84","2019-09-06",12.65
"85","2019-09-09",12.87
"86","2019-09-10",12.9
"87","2019-09-11",13.11
"88","2019-09-12",13.17
"89","2019-09-13",13.14
"90","2019-09-16",14.35
"91","2019-09-17",13.68
"92","2019-09-18",12.81
"93","2019-09-19",12.8
"94","2019-09-20",12.88
"95","2019-09-23",12.68
"96","2019-09-24",12.47
"97","2019-09-25",12.99
"98","2019-09-26",12.84
"99","2019-09-27",12.47
"100","2019-09-30",13.19
"101","2019-10-01",12.9
"102","2019-10-02",13.17
"103","2019-10-03",13.3
"104","2019-10-04",12.83
"105","2019-10-07",12.16
"106","2019-10-08",12.39
"107","2019-10-09",11.95
"108","2019-10-10",11.95
"109","2019-10-11",11.85
"110","2019-10-14",12.45
"111","2019-10-15",12.94
"112","2019-10-16",12.52
"113","2019-10-17",12.44
"114","2019-10-18",12.22
"115","2019-10-21",12.91
"116","2019-10-22",12.98
"117","2019-10-23",12.95
"118","2019-10-24",12.56
"119","2019-10-25",12.19
"120","2019-10-28",12.63
"121","2019-10-29",11.76
"122","2019-10-30",7.87
"123","2019-10-31",8.55
"124","2019-11-01",10.12
"125","2019-11-04",10.47
"126","2019-11-05",9.79
"127","2019-11-06",9.97
"128","2019-11-07",9.88
"129","2019-11-08",9.62
"130","2019-11-11",9.4
"131","2019-11-12",9.47
"132","2019-11-13",9.42
"133","2019-11-14",9.32
"134","2019-11-15",9.27
"135","2019-11-18",9.1
"136","2019-11-19",9.08
"137","2019-11-20",8.99
"138","2019-11-21",9.78
"139","2019-11-22",9.63
"140","2019-11-25",9.54
"141","2019-11-26",9.55
"142","2019-11-27",9.25
"143","2019-11-29",9.35
"144","2019-12-02",9.22
"145","2019-12-03",9.36
"146","2019-12-04",8.98
"147","2019-12-05",9.06
"148","2019-12-06",9.19
"149","2019-12-09",9
"150","2019-12-10",9.03
"151","2019-12-11",9.18
"152","2019-12-12",9.28
"153","2019-12-13",9.2
"154","2019-12-16",8.98
"155","2019-12-17",9.04
"156","2019-12-18",9.24
"157","2019-12-19",9.31
"158","2019-12-20",9.22
"159","2019-12-23",9.25
"160","2019-12-24",9.34
"161","2019-12-26",9.35
"162","2019-12-27",9.9
"163","2019-12-30",9.38
"164","2019-12-31",9.38
"165","2020-01-02",9.53
"166","2020-01-03",9.45
"167","2020-01-06",9.4
"168","2020-01-07",9.19
"169","2020-01-08",8.97
"170","2020-01-09",9.03
"171","2020-01-10",8.9
"172","2020-01-13",8.97
"173","2020-01-14",8.94
"174","2020-01-15",8.94
"175","2020-01-16",9.17
"176","2020-01-17",9.11
"177","2020-01-21",9.1
"178","2020-01-22",9.05
"179","2020-01-23",8.81
"180","2020-01-24",8.85
"181","2020-01-27",8.75
"182","2020-01-28",8.67
"183","2020-01-29",8.14
"184","2020-01-30",7.87
"185","2020-01-31",7.61
"186","2020-02-03",7.61
"187","2020-02-04",7.93
"188","2020-02-05",7.65
"189","2020-02-06",7.56
"190","2020-02-07",7.53
"191","2020-02-10",7.53
"192","2020-02-11",7.7
"193","2020-02-12",7.79
"194","2020-02-13",7.83
"195","2020-02-14",7.9
"196","2020-02-18",7.79
"197","2020-02-19",7.71
"198","2020-02-20",7.66
"199","2020-02-21",7.64
"200","2020-02-24",8.04
"201","2020-02-25",7.59
"202","2020-02-26",7.08
"203","2020-02-27",7.12
"204","2020-02-28",7.29
"205","2020-03-02",7.41
"206","2020-03-03",7.22
"207","2020-03-04",7.3
"208","2020-03-05",7.05
"209","2020-03-06",6.76
"210","2020-03-09",6.31
"211","2020-03-10",6.4
"212","2020-03-11",5.67
"213","2020-03-12",4.01
"214","2020-03-13",5.59
"215","2020-03-16",5.46
"216","2020-03-17",6.13
"217","2020-03-18",5.51
"218","2020-03-19",5.87
"219","2020-03-20",5.19
"220","2020-03-23",5.76
"221","2020-03-24",5.71
"222","2020-03-25",5.76
"223","2020-03-26",6.77
"224","2020-03-27",5.99
"225","2020-03-30",5.96
"226","2020-03-31",6.13
"227","2020-04-01",6
"228","2020-04-02",6.31
"229","2020-04-03",5.73
"230","2020-04-06",5.98
"231","2020-04-07",6
"232","2020-04-08",6.05
"233","2020-04-09",6.05
"234","2020-04-13",5.89
"235","2020-04-14",5.92
"236","2020-04-15",5.8
"237","2020-04-16",5.54
"238","2020-04-17",5.68
"239","2020-04-20",5.49
"240","2020-04-21",5.62
"241","2020-04-22",5.42
"242","2020-04-23",5.32
"243","2020-04-24",5.4
"244","2020-04-27",5.53
"245","2020-04-28",5.62
"246","2020-04-29",5.5
"247","2020-04-30",5.22
"248","2020-05-01",5.1
"249","2020-05-04",4.7
"250","2020-05-05",4.67
"251","2020-05-06",5.09
"252","2020-05-07",5.02
"253","2020-05-08",6.13
"254","2020-05-11",5.79
"255","2020-05-12",5.12
"256","2020-05-13",4.87
"257","2020-05-14",4.97
"258","2020-05-15",5.16
"259","2020-05-18",5.94
"260","2020-05-19",5.37
"261","2020-05-20",5.5
"262","2020-05-21",5.47
"263","2020-05-22",5.7
"264","2020-05-26",6.26
"265","2020-05-27",6.31
"266","2020-05-28",6.33
"267","2020-05-29",6.12
"268","2020-06-01",5.88
"269","2020-06-02",6.06
"270","2020-06-03",6.5
"271","2020-06-04",6.32
"272","2020-06-05",6.55
"273","2020-06-08",7.83
"274","2020-06-09",7.58
"275","2020-06-10",7.12
"276","2020-06-11",6.8
"277","2020-06-12",7.4
"278","2020-06-15",7.42
"279","2020-06-16",7.27
"280","2020-06-17",7.05
"281","2020-06-18",7.2
"282","2020-06-19",7.37
"283","2020-06-22",7.4
"284","2020-06-23",7.5
"285","2020-06-24",7.48
"286","2020-06-25",7.47
"287","2020-06-26",7.17
"288","2020-06-29",7.44
"289","2020-06-30",7.9
"290","2020-07-01",7.82
"291","2020-07-02",7.86
"292","2020-07-06",7.9
"293","2020-07-07",7.36
"294","2020-07-08",7.7
"295","2020-07-09",7.2
"296","2020-07-10",7.26
"297","2020-07-13",7.52
"298","2020-07-14",7.82
"299","2020-07-15",7.5
"300","2020-07-16",7.81
"301","2020-07-17",7.77
"302","2020-07-20",7.73
"303","2020-07-21",7.89
"304","2020-07-22",7.61
"305","2020-07-23",7.48
"306","2020-07-24",7.18
"307","2020-07-27",7.15
"308","2020-07-28",7.43
"309","2020-07-29",7.75
"310","2020-07-30",7.79
"311","2020-07-31",7.59
"312","2020-08-03",7.52
"313","2020-08-04",7.64
"314","2020-08-05",7.41
"315","2020-08-06",7.72
"316","2020-08-07",8
"317","2020-08-10",7.97
"318","2020-08-11",8.31
"319","2020-08-12",8.73
"320","2020-08-13",8.64
"321","2020-08-14",8.78
"322","2020-08-17",9
"323","2020-08-18",9.16
"324","2020-08-19",9.32
"325","2020-08-20",9
"326","2020-08-21",9.04
"327","2020-08-24",9.35
"328","2020-08-25",9.4
"329","2020-08-26",9.35
"330","2020-08-27",9.33
"331","2020-08-28",9.1
"332","2020-08-31",8.55
"333","2020-09-01",8.84
"334","2020-09-02",8.8
"335","2020-09-03",8.57
"336","2020-09-04",8.84
"337","2020-09-08",8.89
"338","2020-09-09",9.25
"339","2020-09-10",8.97
"340","2020-09-11",8.87
"341","2020-09-14",9.12
"342","2020-09-15",9.24
"343","2020-09-16",9.83
"344","2020-09-17",9.97
"345","2020-09-18",9.74
"346","2020-09-21",9.54
"347","2020-09-22",9.65
"348","2020-09-23",9
"349","2020-09-24",9.03
"350","2020-09-25",8.86
"351","2020-09-28",8.89
"352","2020-09-29",9.14
"353","2020-09-30",9.19
"354","2020-10-01",9.71
"355","2020-10-02",9.77
"356","2020-10-05",9.75
"357","2020-10-06",9.66
"358","2020-10-07",9.58
"359","2020-10-08",9.41
"360","2020-10-09",9.47
"361","2020-10-12",9.38
"362","2020-10-13",9.17
"363","2020-10-14",9.2
"364","2020-10-15",9.49
"365","2020-10-16",9.65
"366","2020-10-19",9.37
"367","2020-10-20",9.4
"368","2020-10-21",9.54
"369","2020-10-22",9.07
"370","2020-10-23",9.36
"371","2020-10-26",8.99
"372","2020-10-27",9.04
"373","2020-10-28",9
"374","2020-10-29",9.03
"375","2020-10-30",8.91
"376","2020-11-02",9.87
"377","2020-11-03",10.18
"378","2020-11-04",9.92
"379","2020-11-05",10.25
"380","2020-11-06",10.3
"381","2020-11-09",10.19
"382","2020-11-10",10.79
"383","2020-11-11",10.78
"384","2020-11-12",10.71
"385","2020-11-13",11.12
"386","2020-11-16",11.77
"387","2020-11-17",11.83
"388","2020-11-18",11.36
"389","2020-11-19",11.16
"390","2020-11-20",11.3
"391","2020-11-23",11.29
"392","2020-11-24",11.7
"393","2020-11-25",11.44
"394","2020-11-27",11.15
