"","date","CRSAU"
"221","2020-01-22",10.47
"222","2020-01-23",10.502
"223","2020-01-24",10.55
"224","2020-01-27",10.53
"225","2020-01-28",10.4284
"226","2020-01-29",10.4284
"227","2020-01-30",10.4284
"228","2020-01-31",10.41
"229","2020-02-03",10.41
"230","2020-02-04",10.41
"231","2020-02-05",10.41
"232","2020-02-06",10.41
"233","2020-02-07",10.5
"234","2020-02-10",10.48
"235","2020-02-11",10.5
"236","2020-02-12",10.56
"237","2020-02-13",10.48
"238","2020-02-14",10.48
"239","2020-02-18",10.48
"240","2020-02-19",10.48
"241","2020-02-20",10.48
"242","2020-02-21",10.5
"243","2020-02-24",10.5
"244","2020-02-25",10.5
"245","2020-02-26",10.5
"246","2020-02-27",10.48
"247","2020-02-28",10.42
"248","2020-03-02",10.41
"249","2020-03-03",10.41
"250","2020-03-04",10.4532
"251","2020-03-05",10.4532
"252","2020-03-06",10.41
"253","2020-03-09",10.25
"254","2020-03-10",10.4
"255","2020-03-11",10.39
"256","2020-03-12",10.2
"257","2020-03-13",10.2
"258","2020-03-16",9.76
"259","2020-03-17",10.3025
"260","2020-03-18",10.15
"261","2020-03-19",10.05
"262","2020-03-20",10.05
"263","2020-03-23",9.8
"264","2020-03-24",9.8
"265","2020-03-25",9.88
"266","2020-03-26",9.88
"267","2020-03-27",9.88
"268","2020-03-30",9.88
"269","2020-03-31",10.25
"270","2020-04-01",10.1
"271","2020-04-02",10.1
"272","2020-04-03",10.1
"273","2020-04-06",10.28
"274","2020-04-07",10.28
"275","2020-04-08",10.28
"276","2020-04-09",10.28
"277","2020-04-13",10.28
"278","2020-04-14",10.2
"279","2020-04-15",10.2
"280","2020-04-16",10.2
"281","2020-04-17",10.2
"282","2020-04-20",10.15
"283","2020-04-21",10.12
"284","2020-04-22",10.12
"285","2020-04-23",10.12
"286","2020-04-24",10.12
"287","2020-04-27",10.12
"288","2020-04-28",10.12
"289","2020-04-29",10.12
"290","2020-04-30",10.12
"291","2020-05-01",10.12
"292","2020-05-04",10.2
"293","2020-05-05",10.2
"294","2020-05-06",10.2
"295","2020-05-07",10.2
"296","2020-05-08",10.2
"297","2020-05-11",10.2
"298","2020-05-12",10.2
"299","2020-05-13",10.1984
"300","2020-05-14",10.1984
"301","2020-05-15",10.1984
"302","2020-05-18",10.1984
"303","2020-05-19",10.12
"304","2020-05-20",10.12
"305","2020-05-21",10.12
"306","2020-05-22",10.12
"307","2020-05-26",10.12
"308","2020-05-27",10.12
"309","2020-05-28",10.12
"310","2020-05-29",10.12
"311","2020-06-01",10.12
"312","2020-06-02",10.12
"313","2020-06-03",10.3
"314","2020-06-04",10.5
"315","2020-06-05",10.5
"316","2020-06-08",10.4999
"317","2020-06-09",10.4799
"318","2020-06-10",10.4499
"319","2020-06-11",10.4499
"320","2020-06-12",10.4499
"321","2020-06-15",10.4499
"322","2020-06-16",10.4499
"323","2020-06-17",10.4499
"324","2020-06-18",10.65
"325","2020-06-19",10.4
"326","2020-06-22",13.22
"327","2020-06-23",12.75
"328","2020-06-24",11.1993
"329","2020-06-25",11.5
"330","2020-06-26",11.1
"331","2020-06-29",11.12
"332","2020-06-30",10.9
"333","2020-07-01",11.075
"334","2020-07-02",10.525
"335","2020-07-06",11.15
"336","2020-07-07",11.7
"337","2020-07-08",10.9905
"338","2020-07-09",10.9905
"339","2020-07-10",10.9905
"340","2020-07-13",10.8
"341","2020-07-14",10.6
"342","2020-07-15",10.6
"343","2020-07-16",10.6
"344","2020-07-17",10.6
"345","2020-07-20",10.6
"346","2020-07-21",10.6
"347","2020-07-22",10.6
"348","2020-07-23",10.6
"349","2020-07-24",10.6
"350","2020-07-27",10.6
"351","2020-07-28",10.6
"352","2020-07-29",10.5995
"353","2020-07-30",10.5
"354","2020-07-31",10.5
"355","2020-08-03",10.5
"356","2020-08-04",10.49
"357","2020-08-05",10.4
"358","2020-08-06",10.4
"359","2020-08-07",10.4
"360","2020-08-10",10.4
"361","2020-08-11",10.46
"362","2020-08-12",10.415
"363","2020-08-13",10.41
"364","2020-08-14",10.41
"365","2020-08-17",10.41
"366","2020-08-18",10.355
"367","2020-08-19",10.36
"368","2020-08-20",10.36
"369","2020-08-21",10.32
"370","2020-08-24",10.32
"371","2020-08-25",10.32
"372","2020-08-26",10.32
"373","2020-08-27",10.32
"374","2020-08-28",10.32
"375","2020-08-31",10.45
"376","2020-09-01",10.5283
"377","2020-09-02",10.5729
"378","2020-09-03",10.5729
"379","2020-09-04",10.5729
"380","2020-09-08",10.6
"381","2020-09-09",11.75
"382","2020-09-10",11.75
"383","2020-09-11",11.2
"384","2020-09-14",10.89
"385","2020-09-15",11.65
"386","2020-09-16",10.6
"387","2020-09-17",10.6
"388","2020-09-18",NA
"389","2020-09-21",10.6
"390","2020-09-22",10.6
"391","2020-09-23",10.6
"392","2020-09-24",10.6
"393","2020-09-25",10.6
"394","2020-09-28",10.6
"395","2020-09-29",10.6
"396","2020-09-30",10.6
"397","2020-10-01",10.5284
"398","2020-10-02",10.5284
"399","2020-10-05",10.55
"400","2020-10-06",10.23
"401","2020-10-07",10.23
"402","2020-10-08",10.29
"403","2020-10-09",10.5
"404","2020-10-12",10.43
"405","2020-10-13",10.35
"406","2020-10-14",10.35
"407","2020-10-15",10.35
"408","2020-10-16",10.34
"409","2020-10-19",10.34
"410","2020-10-20",10.34
"411","2020-10-21",10.3
"412","2020-10-22",10.3
"413","2020-10-23",10.3
"414","2020-10-26",10.3
"415","2020-10-27",10.3
"416","2020-10-28",10.3
"417","2020-10-29",10.3
"418","2020-10-30",10.25
"419","2020-11-02",10.25
"420","2020-11-03",10.25
"421","2020-11-04",10.25
"422","2020-11-05",10.25
"423","2020-11-06",10.25
"424","2020-11-09",10.25
"425","2020-11-10",9.17
"426","2020-11-11",10.2008
"427","2020-11-12",10.45
"428","2020-11-13",10.3
"429","2020-11-16",10.36
"430","2020-11-17",10.3735
"431","2020-11-18",10.75
"432","2020-11-19",10.8
"433","2020-11-20",10.8
"434","2020-11-23",10.8
"435","2020-11-24",10.8
"436","2020-11-25",10.8
"437","2020-11-27",10.8
