"","date","CCAP"
"74","2020-05-18",11.2
"75","2020-05-19",11
"76","2020-05-20",11.04
"77","2020-05-21",11
"78","2020-05-22",10.98
"79","2020-05-26",11.16
"80","2020-05-27",11.82
"81","2020-05-28",11.9
"82","2020-05-29",12.27
"83","2020-06-01",12.7
"84","2020-06-02",12.75
"85","2020-06-03",12.95
"86","2020-06-04",12.86
"87","2020-06-05",12.42
"88","2020-06-08",12.81
"89","2020-06-09",12.71
"90","2020-06-10",12.56
"91","2020-06-11",12.55
"92","2020-06-12",12.59
"93","2020-06-15",12.8
"94","2020-06-16",13.2
"95","2020-06-17",13.2
"96","2020-06-18",12.88
"97","2020-06-19",12.64
"98","2020-06-22",12.77
"99","2020-06-23",13
"100","2020-06-24",13.055
"101","2020-06-25",13.17
"102","2020-06-26",13.25
"103","2020-06-29",12.95
"104","2020-06-30",12.64
"105","2020-07-01",12.64
"106","2020-07-02",12.7
"107","2020-07-06",12.5
"108","2020-07-07",12.91
"109","2020-07-08",12.4
"110","2020-07-09",12.14
"111","2020-07-10",11.975
"112","2020-07-13",12.19
"113","2020-07-14",12.05
"114","2020-07-15",12.26
"115","2020-07-16",12.24
"116","2020-07-17",11.95
"117","2020-07-20",12
"118","2020-07-21",11.97
"119","2020-07-22",11.97
"120","2020-07-23",11.95
"121","2020-07-24",12
"122","2020-07-27",11.95
"123","2020-07-28",11.75
"124","2020-07-29",11.72
"125","2020-07-30",11.7
"126","2020-07-31",11.7
"127","2020-08-03",11.843
"128","2020-08-04",11.65
"129","2020-08-05",11.89
"130","2020-08-06",11.8
"131","2020-08-07",12.06
"132","2020-08-10",12.18
"133","2020-08-11",12.49
"134","2020-08-12",12.46
"135","2020-08-13",12.5
"136","2020-08-14",12.45
"137","2020-08-17",12.37
"138","2020-08-18",12.305
"139","2020-08-19",12.44
"140","2020-08-20",12.41
"141","2020-08-21",12.3
"142","2020-08-24",12.35
"143","2020-08-25",12.35
"144","2020-08-26",12.3
"145","2020-08-27",12.325
"146","2020-08-28",12.35
"147","2020-08-31",12.35
"148","2020-09-01",12.34
"149","2020-09-02",12.97
"150","2020-09-03",12.875
"151","2020-09-04",13.05
"152","2020-09-08",12.73
"153","2020-09-09",12.925
"154","2020-09-10",13.12
"155","2020-09-11",13.19
"156","2020-09-14",13
"157","2020-09-15",13.108
"158","2020-09-16",13.12
"159","2020-09-17",13.425
"160","2020-09-18",13.503
"161","2020-09-21",13.714
"162","2020-09-22",13.65
"163","2020-09-23",13.58
"164","2020-09-24",13.6
"165","2020-09-25",13.81
"166","2020-09-28",13.55
"167","2020-09-29",13.14
"168","2020-09-30",12.75
"169","2020-10-01",12.64
"170","2020-10-02",12.626
"171","2020-10-05",12.95
"172","2020-10-06",12.87
"173","2020-10-07",12.78
"174","2020-10-08",12.9
"175","2020-10-09",12.73
"176","2020-10-12",12.84
"177","2020-10-13",12.95
"178","2020-10-14",12.94
"179","2020-10-15",12.81
"180","2020-10-16",12.8
"181","2020-10-19",12.53
"182","2020-10-20",12.8
"183","2020-10-21",12.75
"184","2020-10-22",12.55
"185","2020-10-23",12.4
"186","2020-10-26",12.6
"187","2020-10-27",12.8
"188","2020-10-28",12.66
"189","2020-10-29",12.87
"190","2020-10-30",12.8
"191","2020-11-02",13.14
"192","2020-11-03",13.31
"193","2020-11-04",13.65
"194","2020-11-05",14
"195","2020-11-06",13.9
"196","2020-11-09",13.48
"197","2020-11-10",13.32
"198","2020-11-11",13.77
"199","2020-11-12",13.92
"200","2020-11-13",13.86
"201","2020-11-16",13.98
"202","2020-11-17",13.86
"203","2020-11-18",13.5
"204","2020-11-19",13.51
"205","2020-11-20",13.43
"206","2020-11-23",13.6
"207","2020-11-24",13.67
"208","2020-11-25",13.71
"209","2020-11-27",13.69
