"","date","IDYA"
"126","2019-11-19",8.2
"127","2019-11-20",6.78
"128","2019-11-21",6.85
"129","2019-11-22",7.15
"130","2019-11-25",7.44
"131","2019-11-26",7.35
"132","2019-11-27",7.46
"133","2019-11-29",7.65
"134","2019-12-02",8.4
"135","2019-12-03",8.24
"136","2019-12-04",7.5
"137","2019-12-05",7.89
"138","2019-12-06",7.7
"139","2019-12-09",7.48
"140","2019-12-10",7.7
"141","2019-12-11",7.8
"142","2019-12-12",7.75
"143","2019-12-13",7.47
"144","2019-12-16",7.1
"145","2019-12-17",7.36
"146","2019-12-18",7.11
"147","2019-12-19",8.13
"148","2019-12-20",9.09
"149","2019-12-23",8.79
"150","2019-12-24",8.75
"151","2019-12-26",9.02
"152","2019-12-27",8.5
"153","2019-12-30",7.89
"154","2019-12-31",7.5
"155","2020-01-02",9.14
"156","2020-01-03",8.63
"157","2020-01-06",8.96
"158","2020-01-07",8.95
"159","2020-01-08",8.46
"160","2020-01-09",8.62
"161","2020-01-10",9.27
"162","2020-01-13",10.01
"163","2020-01-14",10.23
"164","2020-01-15",10.58
"165","2020-01-16",10.04
"166","2020-01-17",10.03
"167","2020-01-21",9.7
"168","2020-01-22",9.43
"169","2020-01-23",9.3
"170","2020-01-24",9.05
"171","2020-01-27",8.8
"172","2020-01-28",9.05
"173","2020-01-29",8.5
"174","2020-01-30",8.6
"175","2020-01-31",8.55
"176","2020-02-03",9.06
"177","2020-02-04",8.71
"178","2020-02-05",8.6
"179","2020-02-06",8.18
"180","2020-02-07",7.19
"181","2020-02-10",6.73
"182","2020-02-11",6.73
"183","2020-02-12",6.82
"184","2020-02-13",7.03
"185","2020-02-14",6.79
"186","2020-02-18",6.71
"187","2020-02-19",6.82
"188","2020-02-20",6.97
"189","2020-02-21",6.92
"190","2020-02-24",7
"191","2020-02-25",6.9
"192","2020-02-26",7.24
"193","2020-02-27",6.97
"194","2020-02-28",7
"195","2020-03-02",6.96
"196","2020-03-03",7.06
"197","2020-03-04",7.1
"198","2020-03-05",6.95
"199","2020-03-06",7
"200","2020-03-09",6.93
"201","2020-03-10",6.085
"202","2020-03-11",4.85
"203","2020-03-12",4.11
"204","2020-03-13",4.03
"205","2020-03-16",3.33
"206","2020-03-17",3.03
"207","2020-03-18",3.14
"208","2020-03-19",3.35
"209","2020-03-20",3.71
"210","2020-03-23",3.68
"211","2020-03-24",4.12
"212","2020-03-25",4.18
"213","2020-03-26",4.66
"214","2020-03-27",4.23
"215","2020-03-30",4.15
"216","2020-03-31",4.12
"217","2020-04-01",3.75
"218","2020-04-02",3.81
"219","2020-04-03",3.59
"220","2020-04-06",3.82
"221","2020-04-07",4.05
"222","2020-04-08",4.49
"223","2020-04-09",4.45
"224","2020-04-13",4.42
"225","2020-04-14",4.51
"226","2020-04-15",4.2
"227","2020-04-16",4.28
"228","2020-04-17",4.5
"229","2020-04-20",4.56
"230","2020-04-21",4.65
"231","2020-04-22",4.74
"232","2020-04-23",5.18
"233","2020-04-24",5.09
"234","2020-04-27",5.25
"235","2020-04-28",5.57
"236","2020-04-29",5.89
"237","2020-04-30",5.55
"238","2020-05-01",5.26
"239","2020-05-04",5.61
"240","2020-05-05",6.43
"241","2020-05-06",6.29
"242","2020-05-07",6.13
"243","2020-05-08",6.86
"244","2020-05-11",7.87
"245","2020-05-12",7.61
"246","2020-05-13",7.13
"247","2020-05-14",7.01
"248","2020-05-15",7.82
"249","2020-05-18",7.35
"250","2020-05-19",7.765
"251","2020-05-20",7.55
"252","2020-05-21",7.28
"253","2020-05-22",6.99
"254","2020-05-26",7.19
"255","2020-05-27",7.665
"256","2020-05-28",9.4
"257","2020-05-29",9.79
"258","2020-06-01",10.23
"259","2020-06-02",8.99
"260","2020-06-03",8.77
"261","2020-06-04",8.75
"262","2020-06-05",8.04
"263","2020-06-08",8.86
"264","2020-06-09",8.7
"265","2020-06-10",8.56
"266","2020-06-11",7.45
"267","2020-06-12",7.9
"268","2020-06-15",8.95
"269","2020-06-16",12.84
"270","2020-06-17",18.57
"271","2020-06-18",14.255
"272","2020-06-19",14.7
"273","2020-06-22",14.1
"274","2020-06-23",14.23
"275","2020-06-24",14.49
"276","2020-06-25",14.69
"277","2020-06-26",14.42
"278","2020-06-29",13.25
"279","2020-06-30",14.21
"280","2020-07-01",13.34
"281","2020-07-02",13.73
"282","2020-07-06",14.46
"283","2020-07-07",13.52
"284","2020-07-08",13.79
"285","2020-07-09",13.35
"286","2020-07-10",13.34
"287","2020-07-13",14.17
"288","2020-07-14",13.36
"289","2020-07-15",14.2
"290","2020-07-16",13.7
"291","2020-07-17",13.72
"292","2020-07-20",13.07
"293","2020-07-21",13.09
"294","2020-07-22",13.32
"295","2020-07-23",12.48
"296","2020-07-24",11.9
"297","2020-07-27",11.92
"298","2020-07-28",12.3
"299","2020-07-29",12.32
"300","2020-07-30",11.3
"301","2020-07-31",12.61
"302","2020-08-03",11.5
"303","2020-08-04",11.57
"304","2020-08-05",11.69
"305","2020-08-06",11.79
"306","2020-08-07",12.51
"307","2020-08-10",12.29
"308","2020-08-11",11.73
"309","2020-08-12",11.53
"310","2020-08-13",11.59
"311","2020-08-14",11.75
"312","2020-08-17",11.53
"313","2020-08-18",11.51
"314","2020-08-19",11.41
"315","2020-08-20",11.27
"316","2020-08-21",11.22
"317","2020-08-24",11.5
"318","2020-08-25",11.65
"319","2020-08-26",11.67
"320","2020-08-27",11.65
"321","2020-08-28",11.66
"322","2020-08-31",12.1
"323","2020-09-01",12.06
"324","2020-09-02",12.95
"325","2020-09-03",11.62
"326","2020-09-04",11.72
"327","2020-09-08",12.17
"328","2020-09-09",12.55
"329","2020-09-10",12.41
"330","2020-09-11",12.29
"331","2020-09-14",12.57
"332","2020-09-15",12.79
"333","2020-09-16",13.09
"334","2020-09-17",13.31
"335","2020-09-18",13.17
"336","2020-09-21",12.17
"337","2020-09-22",11.76
"338","2020-09-23",11.84
"339","2020-09-24",11.81
"340","2020-09-25",11.63
"341","2020-09-28",12.19
"342","2020-09-29",11.82
"343","2020-09-30",12.56
"344","2020-10-01",13
"345","2020-10-02",12.98
"346","2020-10-05",12.89
"347","2020-10-06",13.08
"348","2020-10-07",14.18
"349","2020-10-08",14.07
"350","2020-10-09",14.08
"351","2020-10-12",14
"352","2020-10-13",13.87
"353","2020-10-14",13.59
"354","2020-10-15",13.23
"355","2020-10-16",13.4
"356","2020-10-19",13.11
"357","2020-10-20",12.71
"358","2020-10-21",12.94
"359","2020-10-22",13.655
"360","2020-10-23",12.77
"361","2020-10-26",12.4
"362","2020-10-27",12.46
"363","2020-10-28",12.35
"364","2020-10-29",12.35
"365","2020-10-30",12.17
"366","2020-11-02",12.44
"367","2020-11-03",13.23
"368","2020-11-04",13.18
"369","2020-11-05",13.85
"370","2020-11-06",13.25
"371","2020-11-09",13.76
"372","2020-11-10",14.2
"373","2020-11-11",13.03
"374","2020-11-12",12.84
"375","2020-11-13",13.36
"376","2020-11-16",13.48
"377","2020-11-17",13.85
"378","2020-11-18",13.19
"379","2020-11-19",12.84
"380","2020-11-20",12.52
"381","2020-11-23",12.66
"382","2020-11-24",13.15
"383","2020-11-25",13.36
"384","2020-11-27",13.56
